Hybridization REF	TCGA-AR-A1AU-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0255833333333333
CREB3L1	0.10325
RPS11	1.243625
PNMA1	-0.28475
MMP2	1.265
C10orf90	-1.791
ZHX3	-0.319666666666667
ERCC5	-0.36675
GPR98	0.582428571428571
RXFP3	-0.52
APBB2	0.62825
PRO0478	-1.212625
KLHL13	-0.405
PRSSL1	-0.6965
PDCL3	0.192333333333333
DECR1	-0.074375
SALL1	-3.88233333333333
CADM4	0.2325
RPS18	0.585642857142857
HNRPD	-0.21525
CFHR5	0.3015
SLC10A7	0.686625
OR2K2	1.489
LMAN1	-0.723625
SUHW1	-2.46175
CHD8	-0.4104
SUMO1	0.7145
GP1BA	0.2836
DDB1	-1.06083333333333
MYO9B	-0.8303
MMP7	6.7965
CRNKL1	0.3195
C9orf45	-1.978
XAB2	0.13675
RTN1	2.83542857142857
KLHL14	-0.713285714285714
TBX10	-2.187
CENPQ	-1.68575
UTY	-1.91866666666667
ZBTB12	0.165
DTNBP1	0.058125
KBTBD8	-1.36883333333333
ZEB1	-0.324666666666667
ZG16	-1.6665
MIER1	-0.0341
ADAM5P	1.256
CHD9	-0.2560625
STK16	0.71175
KIAA1486	-2.972
TOB2	0.782083333333333
BANK1	3.266
OR2V2	-0.2
GRM2	-0.604833333333333
PROSC	-0.1105
SPIN2B	0.54275
PIR	-1.92477777777778
IPO9	-0.9349
EVC	1.00566666666667
CXCL13	2.4915
KIAA1199	-2.9042
SORL1	-0.096
NAT10	-0.48975
CHD1	-0.5735
SYN3	0.408
SLC22A2	-0.549
SERPINF1	0.458166666666667
WDR34	-0.46225
OR7A17	-1.377
C9orf11	2.0285
RNF216L	-0.7626
LHB	-0.0075
STK25	-0.03275
TAOK3	0.25325
LOC152573	-3.07425
C3orf39	0.3135
C14orf108	0.7774
CDC25B	-1.84809090909091
BMP3	1.908
TMEM180	-0.3015
MAP1LC3C	1.6775
CRYGC	-1.547
POU3F1	-2.0289
C20orf32	-1.9585
CCDC95	-0.219
HIGD1B	4.793
USP6NL	-0.358125
ABCD4	-0.798833333333333
DIMT1L	-0.940916666666667
TEK	2.254875
SLC25A46	-0.16875
LARP7	-1.3786
CD160	1.172
MT1JP	2.06383333333333
PHF20	-0.2151875
CPNE4	2.2045
GTPBP1	0.0715714285714286
RAB33B	0.75
ALDOC	-1.69975
ZNF212	-0.41125
NUDT1	-0.761166666666667
RFPL2	-0.61975
ZNF83	-0.274
GDPD5	-0.24625
PDCD4	3.17752631578947
CEP350	-0.6945
OR10A2	-1.96875
CST7	0.40125
CIAO1	-1.206
SELL	0.49675
OR8J3	-0.209
LTBP4	-0.0563333333333333
SIRT6	0.006
CCL19	4.454
PPIL1	-1.79066666666667
GBP7	1.2855
STK17A	-1.497
ABR	-0.00674999999999999
OR9G1	-1.824
FOXE1	-0.434
CNGA3	-1.705
GML	0.2085
CD38	-2.5795
ZDHHC6	0.0435
NEFH	-2.424
CTDSP2	0.180583333333333
PGBD5	0.912166666666667
CCNY	-0.294857142857143
RMND5B	0.650166666666667
ZNF257	-2.4575
FLJ22167	-0.31975
EXOSC7	-0.1405
ROR2	1.099
MAOA	2.107375
TNNT3	2.365
GYPC	-0.128
C7orf33	-0.0505
PLIN	4.4405
LOC90826	-0.419
RNF4	-0.266
F8A1	-0.480166666666667
PLEKHG4	-0.865
GRB2	-0.4214
HIST1H2AD	1.41375
DUS3L	-0.7195
EIF1	-0.434
RP5-1077B9.4	-0.930333333333333
FPGT	1.352
GDF10	1.833
COQ9	-0.0325
GCC2	0.194642857142857
RARRES3	1.72925
PLXNA1	-0.6697
KIAA0100	-1.0475
PMF1	-0.21575
FNDC1	4.6785
HS2ST1	0.26975
CRELD2	0.74175
C8G	-1.368
CD82	0.44125
LIM2	-1.0445
UNQ6490	0.602
MMP16	-1.27675
DRD3	-0.01775
C5orf26	0.54275
C11orf73	-0.447125
PTP4A2	0.157625
OR4M2	0.781
HPCA	0.0928333333333333
SEC14L1	-0.317333333333333
CHFR	-0.565625
EMILIN1	0.97575
NDUFS4	-0.546
COL18A1	0.428
PDZD3	0.1022
C9orf16	-0.0726666666666667
ERBB2IP	-0.432333333333333
EMX2	3.464
FUS	-0.8185
TF	-3.2021
CLCN4	-0.328166666666667
CXorf56	0.2285
C11orf72	-0.43375
ELAC2	-0.786416666666667
NPR1	0.75875
ASS1	-1.96916666666667
USP42	-0.907875
POLR2J	-0.65
SEC23IP	-0.0408333333333333
UQCRC1	-0.09625
LOC729603	-1.0365
C1orf71	-0.787
POLG	-2.236
ADAM23	-3.4295
TFR2	-0.76975
RICTOR	-0.6488
MGC39606	0.6435
C19orf55	-0.284875
SNAPC1	-1.75716666666667
GNA11	0.4655
CCDC52	0.403833333333333
FSIP1	5.8235
UPF3A	-0.513
IGSF11	-2.369
LAGE3	-0.63975
CHST6	-2.799
UNC13B	0.829
TTLL4	-1.34325
ZNF687	-0.395125
SDC2	1.2309
COX7A2	0.07375
LAMB4	-0.99225
FAM24A	1.326
LRRTM3	-2.9908
GPHB5	0.46425
OR4C13	1.2375
EIF3EIP	0.213
HABP4	0.108
TMEM125	3.55975
CNTN2	0.253
ASNSD1	-0.2465
FUT4	-0.728125
ACF	-3.715
LOC158381	1.801
CDH8	0.673333333333333
AGPS	-1.7805
C4orf18	2.821
PECI	0.5345
UNG	-0.328625
GSTP1	-1.70425
DCUN1D5	-1.84016666666667
DKFZP564J0863	-1.78925
SLC9A3R1	0.242125
BCDO2	-0.890625
CHMP7	-0.402375
REM2	0.9085
DNHD1	-0.49975
FKBP4	-0.376
ZNF350	0.97775
MGC11102	0.357625
BST1	1.764
KISS1R	0.6205
NCR2	1.379
DEFB125	null
UBE2W	1.29275
KRT15	3.87625
C10orf99	0.364
SCN11A	-0.618571428571429
GFI1	-2.756
RDHE2	3.481
FHL1	0.503833333333333
OSGEP	-0.566
GATA1	-3.58283333333333
SMC6	-1.5195
TTTY14	-1.56325
LPIN3	0.61
RPL4	0.2735
RBPMS	0.3412
PRPF3	-1.1285
EMR1	-2.281
SPATA19	0.314
XCR1	0.3505
IRX3	2.5738
RBM6	-0.62575
KLF4	-0.0335
UNC5CL	-1.3525
SEBOX	-0.0305
BTK	-1.1515
KRCC1	1.90525
C6orf27	0.619
SYTL5	-0.351
PRND	1.39128571428571
LOC653319	-0.817
PIGL	-1.1615
HUS1	-0.476333333333333
SFRS6	0.789333333333333
C17orf77	0.818
UIMC1	-0.451
FXYD2	-1.7988
LOC283152	0.41975
ZNF667	-1.83175
ZCCHC12	-0.336
TFEC	2.696
ATP7B	-0.0315
POLD2	-0.7075
RG9MTD1	-0.18275
ACOT2	0.462833333333333
HIST1H4I	-0.4105
PPARGC1A	-2.238
ETFA	-1.0586
POLRMT	-0.21125
ZNF146	-0.263
MIA2	-3.047
KLHL6	-1.3175
HOXB5	-1.025
NENF	0.245
CUGBP1	0.07225
PRSS22	1.04133333333333
CASC4	1.3693
CUL4B	-0.4362
CENPJ	-1.4781
PITX1	-1.0245
FLJ31033	0.318
CELSR3	-1.37283333333333
