Hybridization REF	TCGA-BH-A0BF-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.22366666666667
CREB3L1	1.40175
RPS11	0.65725
PNMA1	-0.23
MMP2	2.52066666666667
C10orf90	-5.02675
ZHX3	-0.2425
ERCC5	0.434
GPR98	-2.4938
RXFP3	0.393
APBB2	0.62375
PRO0478	-0.81025
KLHL13	-2.95275
PRSSL1	-0.631833333333333
PDCL3	0.425833333333333
DECR1	0.38625
SALL1	-2.85783333333333
CADM4	0.0313333333333333
RPS18	-0.1285
HNRPD	-0.598833333333333
CFHR5	-0.6025
SLC10A7	0.277875
OR2K2	0.572
LMAN1	-0.526875
SUHW1	-3.73525
CHD8	-0.0625
SUMO1	0.0201
GP1BA	1.2761
DDB1	-0.119333333333333
MYO9B	0.2765
MMP7	5.85275
CRNKL1	0.80975
C9orf45	-2.01916666666667
XAB2	-0.03725
RTN1	1.89625
KLHL14	-0.5785
TBX10	-1.8005
CENPQ	-1.4665
UTY	-1.88457142857143
ZBTB12	0.0245
DTNBP1	0.267375
KBTBD8	-0.799666666666667
ZEB1	0.0976666666666667
ZG16	-1.345
MIER1	-0.1333
ADAM5P	null
CHD9	-0.892875
STK16	1.12075
KIAA1486	-0.89
TOB2	0.434083333333333
BANK1	4.2475
OR2V2	0.41175
GRM2	-0.145833333333333
PROSC	0.8545
SPIN2B	-0.18625
PIR	-2.46122222222222
IPO9	-0.8501
EVC	1.0285
CXCL13	7.14133333333333
KIAA1199	0.1676
SORL1	0.7595
NAT10	0.6915
CHD1	-1.77825
SYN3	-0.42325
SLC22A2	-0.1895
SERPINF1	2.19233333333333
WDR34	-0.28925
OR7A17	0.6065
C9orf11	0.033
RNF216L	-0.8353
LHB	-0.096
STK25	0.76475
TAOK3	1.275875
LOC152573	-3.086
C3orf39	0.43175
C14orf108	-0.0043
CDC25B	-0.544909090909091
BMP3	0.252
TMEM180	0.366
MAP1LC3C	0.25675
CRYGC	-1.4615
POU3F1	-0.627
C20orf32	-1.2335
CCDC95	-0.1725
HIGD1B	3.96725
USP6NL	-0.45675
ABCD4	-0.758833333333333
DIMT1L	-1.00341666666667
TEK	1.540875
SLC25A46	-0.62025
LARP7	-1.7412
CD160	1.72916666666667
MT1JP	0.768833333333333
PHF20	0.35675
CPNE4	-3.422
GTPBP1	-0.301357142857143
RAB33B	0.501666666666667
ALDOC	-2.768875
ZNF212	-0.23
NUDT1	-0.852666666666667
RFPL2	-1.06133333333333
ZNF83	0.222166666666667
GDPD5	-0.308
PDCD4	1.9609
CEP350	0.02675
OR10A2	0.1755
CST7	2.861
CIAO1	-0.615
SELL	2.9335
OR8J3	0.167
LTBP4	-0.104333333333333
SIRT6	0.72225
CCL19	4.34025
PPIL1	-1.1455
GBP7	1.94016666666667
STK17A	-0.4794
ABR	0.8005
OR9G1	1.327
FOXE1	-0.76775
CNGA3	0.791
GML	1.0015
CD38	1.757
ZDHHC6	0.423
NEFH	-1.66525
CTDSP2	0.7655
PGBD5	-0.448
CCNY	0.482857142857143
RMND5B	0.797833333333333
ZNF257	-1.699
FLJ22167	0.048125
EXOSC7	-0.240666666666667
ROR2	2.83625
MAOA	-0.559375
TNNT3	1.3395
GYPC	0.36025
C7orf33	1.253
PLIN	2.942
LOC90826	-0.6625
RNF4	-0.5886
F8A1	0.3755
PLEKHG4	-1.2175
GRB2	0.7942
HIST1H2AD	0.62575
DUS3L	-0.769166666666667
EIF1	-0.661
RP5-1077B9.4	0.223166666666667
FPGT	1.07
GDF10	0.373666666666667
COQ9	0.11825
GCC2	-0.362571428571429
RARRES3	3.0705
PLXNA1	-0.7824
KIAA0100	-0.0888
PMF1	0.60325
FNDC1	5.2405
HS2ST1	-0.0551666666666666
CRELD2	0.658
C8G	-1.205
CD82	1.30825
LIM2	-0.848
UNQ6490	-0.31
MMP16	-0.266
DRD3	-0.11875
C5orf26	-1.40675
C11orf73	-0.39625
PTP4A2	0.001
OR4M2	-1.814
HPCA	0.415
SEC14L1	-0.2485
CHFR	0.43625
EMILIN1	1.426375
NDUFS4	-0.38725
COL18A1	1.134125
PDZD3	-0.0924
C9orf16	-0.052
ERBB2IP	-0.289833333333333
EMX2	4.725
FUS	0.56375
TF	-4.9532
CLCN4	0.611166666666667
CXorf56	0.3345
C11orf72	0.665
ELAC2	-0.175416666666667
NPR1	0.00149999999999999
ASS1	-0.0846666666666667
USP42	-0.504625
POLR2J	-0.394
SEC23IP	0.660666666666667
UQCRC1	-0.11225
LOC729603	-0.23575
C1orf71	-0.3605
POLG	-1.8735
ADAM23	-2.986
TFR2	-0.88
RICTOR	-0.3844
MGC39606	-0.46475
C19orf55	-0.59075
SNAPC1	-1.62416666666667
GNA11	1.202375
CCDC52	0.568833333333333
FSIP1	1.692
UPF3A	0.583
IGSF11	-2.567
LAGE3	-0.21175
CHST6	-2.024
UNC13B	-0.227375
TTLL4	-0.621
ZNF687	0.51875
SDC2	-0.2037
COX7A2	-1.15875
LAMB4	0.857666666666666
FAM24A	0.6335
LRRTM3	-2.7404
GPHB5	0.1065
OR4C13	1.5415
EIF3EIP	-1.12707142857143
HABP4	0.8365
TMEM125	1.95
CNTN2	-0.15375
ASNSD1	-0.17125
FUT4	0.529
ACF	-4.98075
LOC158381	0.956
CDH8	-1.19925
AGPS	-1.78833333333333
C4orf18	2.496375
PECI	-1.05791666666667
UNG	-0.101625
GSTP1	-1.2855
DCUN1D5	-0.7945
DKFZP564J0863	-1.1535
SLC9A3R1	0.87875
BCDO2	-0.23475
CHMP7	0.650125
REM2	1.3585
DNHD1	0.0557500000000001
FKBP4	-0.078875
ZNF350	1.3245
MGC11102	0.166625
BST1	2.02125
KISS1R	0.614
NCR2	-0.2365
DEFB125	-4.517
UBE2W	0.803
KRT15	1.86525
C10orf99	0.37
SCN11A	-0.4985
GFI1	-0.38275
RDHE2	-0.708166666666667
FHL1	-0.248333333333333
OSGEP	-0.746166666666667
GATA1	-3.52916666666667
SMC6	-0.79275
TTTY14	-1.2915
LPIN3	0.28525
RPL4	-0.1314
RBPMS	0.3563
PRPF3	0.121333333333333
EMR1	-1.6035
SPATA19	0.21275
XCR1	-0.0835
IRX3	1.7529
RBM6	0.11325
KLF4	-0.8605
UNC5CL	0.6825
SEBOX	0.239
BTK	1.4
KRCC1	1.006
C6orf27	0.2695
SYTL5	0.077
PRND	3.32025
LOC653319	-1.843
PIGL	-1.552125
HUS1	-0.0886666666666667
SFRS6	0.920166666666667
C17orf77	-0.8935
UIMC1	-0.739333333333333
FXYD2	-2.1334
LOC283152	1.87875
ZNF667	0.3995
ZCCHC12	-0.50775
TFEC	5.3145
ATP7B	0.629833333333333
POLD2	-0.753166666666667
RG9MTD1	0.3275
ACOT2	0.161
HIST1H4I	-1.817625
PPARGC1A	-2.6088
ETFA	-0.767
POLRMT	-0.4955
ZNF146	0.272625
MIA2	-3.082
KLHL6	0.5295
HOXB5	-1.013125
NENF	0.436333333333333
CUGBP1	-1.573
PRSS22	1.4605
CASC4	0.4292
CUL4B	-0.5765
CENPJ	-1.0413
PITX1	1.508
FLJ31033	1.56966666666667
CELSR3	0.170333333333333
ZNF568	0.6255
ITSN1	-0.127333333333333
EHBP1L1	0.0216666666666667
C19orf2	-0.71475
DCTN1	0.757
LIN28B	-4.5774
TNKS2	0.94125
C1QBP	-0.53275
CADPS2	1.91275
SRMS	0.427
GJA9	0.753
MGC24975	-0.1715
TRIM45	-1.91316666666667
TSP50	0.0655
TCP1	-1.5735
TMED7	-0.6326
CMA1	3.1705
CENPL	-0.636166666666667
PTCRA	0.1905
FST	-2.13275
VWCE	-3.949
PAWR	-1.27575
ABCC12	0.19875
LDLR	-1.0794
ASTN2	1.3198
LOC441212	-0.559875
GPATCH8	-0.17425
TANC2	-0.7665
KIF4A	-1.5075
C18orf18	-1.26525
PGM1	-0.94125
KIAA0258	-0.335
CPD	-0.2605
SNCAIP	-0.65575
DCT	-4.67166666666667
HLA-DOA	3.46009090909091
OR11L1	0.6165
UPK1B	0.1926
DNAJB4	-0.288625
UGT1A8	0.44475
HIST1H4L	-2.9475
PECR	-1.06283333333333
HSPA2	0.72375
WFIKKN1	-3.3865
SERP1	0.642375
SYDE2	0.61575
TACR2	0.416
NUP85	-0.012
CD177	1.03816666666667
LGR5	-2.3595
PIGG	-0.31225
PTHR1	-0.5875
RAB5A	0.3599
FLJ13224	-0.0375
USP9Y	-3.395
C7orf53	-1.1475
LRP1B	-0.76025
XAF1	3.4155
ABCG8	-1.437
ANKDD1A	-0.973333333333333
DAND5	-2.0635
SPAG6	0.501333333333333
LINCR	1.64625
ZDHHC22	-1.70025
CCDC60	1.106
THOC7	-1.17716666666667
TCTA	1.2251
OR8K3	0.9365
NY-REN-7	-1.421
B2M	2.8845
C6orf141	-0.199625
LPPR4	2.7165
SQLE	-0.51475
SEPHS1	-0.25825
BTBD14B	0.0857142857142857
PLRG1	-0.65525
SPG7	-0.1803125
ZNF614	-0.163333333333333
PARD6G	0.456333333333333
INPP5B	-0.5448
GRPEL2	-0.673125
PPID	-1.0348
TRIM56	-0.07475
UBE2J1	0.29175
IL20RA	3.7925
LOC387856	1.50666666666667
C1orf107	0.346
UTS2R	0.884
C19orf22	1.179
SAFB2	-0.352875
KIAA0652	0.9575
KLRG1	1.33266666666667
MS4A8B	-0.243333333333333
FRAG1	-0.06275
KIAA1546	-0.5775
E2F4	-0.3735
CLEC4M	-0.490666666666667
BTBD14A	-1.10475
KIAA0999	0.1088
GYPA	-3.332
TAC1	-0.267666666666667
TRAIP	-1.95666666666667
KIAA0232	-0.1839
ERCC8	-0.77425
GPX4	0.04
KIAA0368	-0.349125
GPR157	-0.404
CTAGE4	-0.081
C9orf30	-0.649666666666667
OR52A1	-0.6215
HSP90B3P	0.3415
ALG9	-0.5016
BTBD10	-0.005
SDK2	0.02875
BAIAP3	0.551
RABGGTB	-0.63725
ANKRD40	1.144
KRT74	1.177
CALCOCO2	0.107571428571429
SNCA	-2.39175
TMSL8	-4.828125
C2orf53	0.797
ESRRB	-0.25125
ARHGAP26	-1.052
TDRD9	-3.35025
HRAS	0.0906666666666667
KLRC4	-1.001
JAGN1	-0.2575
BSDC1	0.36225
RNF43	-0.8526
NDUFAF1	0.31875
PHF12	0.51925
OR1L3	0.02175
FOLR2	2.4075
LYZL6	-0.358833333333333
tcag7.1260	-0.8955
WSB1	-0.719
PROS1	-1.0238
OSTN	0.584
PSMB8	1.9575
SOCS4	-1.20775
DDIT4L	1.4135
MAS1	-1.534
MGC34796	1.38725
CSHL1	0.167166666666667
TBCCD1	1.22766666666667
ZBTB7C	-0.0205
AP2S1	0.3815
P15RS	-0.7452
VAT1	-0.6591
SHANK3	-0.119333333333333
TUFM	-0.123666666666667
THEG	-0.308
KRT34	-2.56433333333333
SGSM3	0.226875
TOMM22	-0.75675
SOCS3	1.82816666666667
CPO	0.906
POP4	0.4525
BHLHB3	1.394
MALL	1.4995
OR1B1	-0.553
PARK2	0.6728
GPR124	0.874
LCE1E	0.718
RUVBL2	0.032
CGRRF1	0.1857
ACPL2	0.6525
WNT10B	-1.344
BAIAP2L2	-2.51275
ISCA1	0.575
C1orf125	-0.6495
RPAP1	-0.88025
RAI16	0.472
RPL27	-1.01375
NLRP9	0.921
EPN1	0.716
LOC388610	-0.555375
SLC35A1	0.8889
GAL	-3.27425
SLC14A2	0.095
RDH11	-0.920666666666667
FAM138F	-0.48
AUH	-0.10025
FLJ40243	-0.537333333333333
C14orf129	-0.275833333333333
MBD2	-0.299666666666667
ABHD14B	0.606375
PIGT	-0.081875
ALS2CR4	-0.14125
ALAS1	0.5793
FOXO1	1.74933333333333
CRLF3	-0.09075
C20orf107	0.397
