Hybridization REF	TCGA-AR-A1AL-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.57875
CREB3L1	1.9945
RPS11	0.764625
PNMA1	-0.40375
MMP2	1.80366666666667
C10orf90	-2.36325
ZHX3	-0.647666666666667
ERCC5	1.14075
GPR98	0.343857142857143
RXFP3	0.592
APBB2	0.904
PRO0478	-1.652
KLHL13	-2.22275
PRSSL1	-0.651833333333333
PDCL3	-0.139666666666667
DECR1	-0.46275
SALL1	-2.18816666666667
CADM4	1.67333333333333
RPS18	1.091
HNRPD	-0.732916666666667
CFHR5	1.128
SLC10A7	-0.18025
OR2K2	-0.5
LMAN1	0.00712499999999996
SUHW1	-4.03875
CHD8	-0.1527
SUMO1	-0.2151
GP1BA	1.0453
DDB1	0.201833333333333
MYO9B	0.2306
MMP7	4.90025
CRNKL1	0.123
C9orf45	-0.856833333333333
XAB2	1.4715
RTN1	1.964
KLHL14	-0.909
TBX10	-1.765
CENPQ	-2.186
UTY	-2.18976923076923
ZBTB12	-0.0195
DTNBP1	-0.577
KBTBD8	-1.4775
ZEB1	0.0868333333333333
ZG16	-1.62525
MIER1	-0.3998
ADAM5P	0.033
CHD9	-0.5778125
STK16	0.27575
KIAA1486	-0.514
TOB2	0.275666666666667
BANK1	4.0345
OR2V2	0.06725
GRM2	0.4795
PROSC	0.08975
SPIN2B	-0.53625
PIR	-1.578
IPO9	-0.1654
EVC	1.18683333333333
CXCL13	4.42733333333333
KIAA1199	-1.0865
SORL1	0.876
NAT10	-0.50825
CHD1	-0.75925
SYN3	-0.7535
SLC22A2	-0.0865
SERPINF1	1.46783333333333
WDR34	-0.43525
OR7A17	0.8245
C9orf11	0.455
RNF216L	-0.5159
LHB	0.0395
STK25	-0.634
TAOK3	0.584125
LOC152573	-1.9845
C3orf39	0.322375
C14orf108	0.9435
CDC25B	-1.82618181818182
BMP3	0.584
TMEM180	0.0755
MAP1LC3C	2.01725
CRYGC	-0.718
POU3F1	-1.435
C20orf32	-1.647
CCDC95	-0.32
HIGD1B	4.598
USP6NL	-0.067125
ABCD4	-0.0976666666666667
DIMT1L	-0.48
TEK	1.772625
SLC25A46	-0.98475
LARP7	-1.9115
CD160	-0.117166666666667
MT1JP	-0.537166666666667
PHF20	-0.457875
CPNE4	-2.18725
GTPBP1	-0.528785714285714
RAB33B	0.6775
ALDOC	-2.574
ZNF212	-0.33725
NUDT1	-1.227
RFPL2	-0.33225
ZNF83	-0.05
GDPD5	0.721625
PDCD4	1.1398
CEP350	0.522
OR10A2	0.5065
CST7	1.371
CIAO1	-0.80425
SELL	1.31125
OR8J3	0.2625
LTBP4	0.658
SIRT6	0.40075
CCL19	4.13925
PPIL1	-1.185
GBP7	0.110333333333333
STK17A	-0.7672
ABR	0.0525
OR9G1	-0.677
FOXE1	-0.836
CNGA3	0.3245
GML	0.845
CD38	-2.77725
ZDHHC6	0.5005
NEFH	-1.07025
CTDSP2	1.26608333333333
PGBD5	-1.28866666666667
CCNY	0.372142857142857
RMND5B	-0.670333333333333
ZNF257	-0.925
FLJ22167	-0.02275
EXOSC7	-0.463
ROR2	1.7005
MAOA	1.14375
TNNT3	3.19066666666667
GYPC	-0.5475
C7orf33	-0.2045
