Hybridization REF	TCGA-AR-A1AV-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.397
CREB3L1	0.30125
RPS11	0.512375
PNMA1	0.09425
MMP2	0.774
C10orf90	-3.99175
ZHX3	-0.761833333333333
ERCC5	-0.041
GPR98	-2.51142857142857
RXFP3	0.618
APBB2	1.22875
PRO0478	-0.573
KLHL13	-2.694
PRSSL1	-0.680666666666667
PDCL3	0.249166666666667
DECR1	1.019125
SALL1	-4.24733333333333
CADM4	0.0831666666666667
RPS18	0.281428571428571
HNRPD	-0.292333333333333
CFHR5	1.84
SLC10A7	0.511125
OR2K2	1.768
LMAN1	0.552
SUHW1	-4.12875
CHD8	0.3681
SUMO1	0.2072
GP1BA	3.3303
DDB1	0.0416666666666667
MYO9B	0.7521
MMP7	5.703
CRNKL1	0.97925
C9orf45	-0.645666666666667
XAB2	1.1865
RTN1	2.13425
KLHL14	0.079
TBX10	-1.4545
CENPQ	-1.7855
UTY	-1.97030769230769
ZBTB12	-0.479
DTNBP1	0.491375
KBTBD8	1.52666666666667
ZEB1	-0.5865
ZG16	-1.46375
MIER1	0.0178
ADAM5P	-8.125
CHD9	-0.3581875
STK16	0.294
KIAA1486	-0.9285
TOB2	0.474416666666667
BANK1	5.41325
OR2V2	0.682
GRM2	-0.184166666666667
PROSC	-0.071875
SPIN2B	-0.67175
PIR	-1.88422222222222
IPO9	-0.1499
EVC	1.191
CXCL13	6.94116666666667
KIAA1199	-0.8757
SORL1	1.1215
NAT10	-0.8395
CHD1	-0.3865
SYN3	-0.2035
SLC22A2	0.56575
SERPINF1	1.902
WDR34	-1.145
OR7A17	0.50225
C9orf11	-0.3185
RNF216L	-0.3198
LHB	0.0435
STK25	-0.534
TAOK3	0.934125
LOC152573	-3.0995
C3orf39	0.54325
C14orf108	0.849
CDC25B	-0.533727272727273
BMP3	0.1845
TMEM180	0.3205
MAP1LC3C	1.259
CRYGC	-1.783
POU3F1	-0.5978
C20orf32	-1.0695
CCDC95	-0.451
HIGD1B	3.85525
USP6NL	1.09875
ABCD4	0.0948333333333333
DIMT1L	-0.507833333333333
TEK	0.952875
SLC25A46	-0.18175
LARP7	-1.0313
CD160	2.47283333333333
MT1JP	0.0376666666666667
PHF20	-0.1714375
CPNE4	-2.2455
GTPBP1	0.232
RAB33B	1.07683333333333
ALDOC	-2.521125
ZNF212	0.1215
NUDT1	-0.693666666666667
RFPL2	-0.8885
ZNF83	0.881833333333333
GDPD5	-1.038125
PDCD4	1.89275
CEP350	0.7635
OR10A2	0.42
CST7	3.474
CIAO1	-0.422
SELL	3.90825
OR8J3	0.635
LTBP4	-0.300833333333333
SIRT6	0.2995
CCL19	4.12775
PPIL1	-0.7155
GBP7	0.958833333333333
STK17A	0.6638
ABR	0.45775
OR9G1	1.931
FOXE1	-1.221625
CNGA3	2.071
GML	0.667
CD38	3.4005
ZDHHC6	0.708666666666667
NEFH	-2.10625
CTDSP2	0.53875
PGBD5	-1.5345
CCNY	-0.134071428571429
RMND5B	0.0795
ZNF257	-1.48275
FLJ22167	-0.210125
EXOSC7	-0.548333333333333
ROR2	0.816125
MAOA	-1.198875
TNNT3	1.77366666666667
GYPC	-0.073
C7orf33	3.2475
PLIN	2.91
LOC90826	0.4755
RNF4	0.7151
F8A1	0.158
PLEKHG4	-1.63375
GRB2	0.9499
HIST1H2AD	-0.0545
DUS3L	0.0711666666666667
EIF1	0.213333333333333
RP5-1077B9.4	-0.3995
FPGT	1.0575
GDF10	1.6095
COQ9	-0.64325
GCC2	0.403
RARRES3	3.03925
PLXNA1	-0.2098
KIAA0100	0.2689
PMF1	0.47525
FNDC1	5.16475
HS2ST1	-0.0705
CRELD2	0.60225
C8G	-1.6125
CD82	1.107
LIM2	-1.0495
UNQ6490	-0.326
MMP16	-1.4715
DRD3	0.10925
C5orf26	-0.43225
C11orf73	-0.557
PTP4A2	0.0855
OR4M2	0.568
HPCA	-0.766833333333333
SEC14L1	0.630666666666667
CHFR	0.248625
EMILIN1	1.1665
NDUFS4	-0.41575
COL18A1	-0.571
PDZD3	-0.604222222222222
C9orf16	-0.1575
ERBB2IP	0.301
EMX2	3.365
FUS	-0.72475
TF	-2.2822
CLCN4	0.321333333333333
CXorf56	0.179
C11orf72	0.89725
ELAC2	-0.0965
NPR1	-1.054
ASS1	-2.5305
USP42	0.4345
POLR2J	-0.116
SEC23IP	0.941333333333333
UQCRC1	-0.369
LOC729603	-0.4145
C1orf71	0.10475
POLG	-1.719
ADAM23	-2.845
TFR2	-1.69225
RICTOR	-0.3981
MGC39606	-0.39225
C19orf55	-0.062625
SNAPC1	-1.49383333333333
GNA11	-0.6135
CCDC52	-0.284666666666667
FSIP1	0.0695
UPF3A	0.255875
IGSF11	-3.154
LAGE3	0.0245
CHST6	-2.724
UNC13B	-0.6035
TTLL4	-0.321125
ZNF687	0.18525
SDC2	0.2113
COX7A2	-0.3655
LAMB4	-1.309
FAM24A	0.4495
LRRTM3	-2.2696
GPHB5	-0.14575
OR4C13	-0.377
EIF3EIP	-0.335714285714286
HABP4	-0.8445
TMEM125	1.82775
CNTN2	0.2485
ASNSD1	-1.73472347597681e-18
FUT4	0.477125
ACF	-4.09025
LOC158381	0.355
CDH8	-1.36833333333333
AGPS	-0.834666666666667
C4orf18	2.27975
PECI	-0.149583333333333
UNG	-0.571
GSTP1	-0.7285
DCUN1D5	-1.374
DKFZP564J0863	-1.1235
SLC9A3R1	0.905625
BCDO2	-0.50525
CHMP7	0.4735
REM2	0.7955
DNHD1	-0.09825
FKBP4	-0.66525
ZNF350	1.41525
MGC11102	-0.0515
BST1	1.9475
KISS1R	0.185
NCR2	0.128
DEFB125	0.161
UBE2W	1.28675
KRT15	-0.71925
C10orf99	0.1575
SCN11A	1.26
GFI1	0.99675
RDHE2	-1.42966666666667
FHL1	-0.7045
OSGEP	0.314833333333333
GATA1	-3.988
SMC6	-0.4255
TTTY14	-0.70225
LPIN3	-0.69375
RPL4	-0.6741
RBPMS	0.0724
PRPF3	-0.605833333333333
EMR1	-0.7495
SPATA19	-0.128
XCR1	-0.232
IRX3	1.379
RBM6	-0.21
KLF4	-0.3006
UNC5CL	-0.16925
SEBOX	-1.4825
BTK	1.50425
KRCC1	0.6405
C6orf27	0.345
SYTL5	-1.9375
PRND	0.735428571428571
LOC653319	-1.1705
PIGL	-0.38825
HUS1	-0.487166666666667
SFRS6	0.379
C17orf77	-1.36
UIMC1	-0.264666666666667
FXYD2	-1.3195
LOC283152	1.04375
ZNF667	-0.36
ZCCHC12	-0.53875
TFEC	6.2385
ATP7B	-1.29566666666667
POLD2	-1.08783333333333
RG9MTD1	-0.3095
ACOT2	-0.6875
HIST1H4I	-1.11125
PPARGC1A	-3.1491
ETFA	-1.3621
POLRMT	-0.37075
ZNF146	0.415125
MIA2	-3.0315
KLHL6	2.24616666666667
HOXB5	-1.472125
NENF	0.462833333333333
CUGBP1	-1.298
PRSS22	1.50133333333333
CASC4	0.6942
CUL4B	-0.07
CENPJ	-1.6918
PITX1	1.45716666666667
FLJ31033	2.49316666666667
CELSR3	-0.351166666666667
ZNF568	1.043
ITSN1	-0.668833333333333
EHBP1L1	0.2525
C19orf2	-0.04475
DCTN1	0.11775
LIN28B	-5.11783333333333
TNKS2	1.3505
C1QBP	-0.411
CADPS2	1.4405
SRMS	0.57125
GJA9	-0.540666666666667
MGC24975	0.346
TRIM45	-1.0385
TSP50	0.28775
TCP1	-1.01075
TMED7	-0.1513
CMA1	1.943
CENPL	-0.719666666666667
PTCRA	1.5935
FST	-4.03725
VWCE	-3.2795
PAWR	-1.47775
ABCC12	0.5694
LDLR	-1.3766
ASTN2	-0.2705
LOC441212	-0.923125
GPATCH8	0.23825
TANC2	-2.35033333333333
KIF4A	-2.098
C18orf18	-1.12775
PGM1	-1.53175
KIAA0258	0.165
CPD	0.49875
SNCAIP	-1.4385
DCT	-4.67666666666667
HLA-DOA	3.764
OR11L1	1.163
UPK1B	-0.91
DNAJB4	-0.193125
UGT1A8	-0.2965
HIST1H4L	-0.908
PECR	-1.068
HSPA2	0.99725
WFIKKN1	-2.5525
SERP1	0.76
SYDE2	0.11475
TACR2	0.3235
NUP85	-0.349
CD177	3.509
LGR5	-3.74
PIGG	-0.26625
PTHR1	-1.95983333333333
RAB5A	0.3307
FLJ13224	-0.36
USP9Y	-2.6882
C7orf53	-1.2895
LRP1B	-2.48325
XAF1	3.9123
ABCG8	0.665
ANKDD1A	-0.065
DAND5	-0.129
SPAG6	1.67616666666667
LINCR	1.1535
ZDHHC22	-1.75
CCDC60	2.281
THOC7	-1.30383333333333
TCTA	0.2722
OR8K3	-0.33475
NY-REN-7	0.4655
B2M	2.539
C6orf141	-1.69075
LPPR4	2.0005
SQLE	-0.12325
SEPHS1	-0.218
BTBD14B	0.5575
PLRG1	-0.37875
SPG7	-0.6839375
ZNF614	-0.219833333333333
PARD6G	0.349833333333333
INPP5B	-0.3973
GRPEL2	-0.17225
PPID	-0.2847
TRIM56	0.141
UBE2J1	1.585375
IL20RA	0.03325
LOC387856	-0.59
C1orf107	1.19191666666667
UTS2R	0.73575
C19orf22	-0.42675
SAFB2	-0.1525
KIAA0652	0.04475
KLRG1	1.7915
MS4A8B	2.48583333333333
FRAG1	-0.27225
KIAA1546	0.753
E2F4	-0.7151
CLEC4M	0.0342
BTBD14A	-1.52575
KIAA0999	0.5182
GYPA	-4.69716666666667
TAC1	-0.847333333333333
TRAIP	-1.008
KIAA0232	0.7193
ERCC8	-1.041625
GPX4	0.035875
KIAA0368	-0.573
GPR157	-0.660333333333333
CTAGE4	0.283
C9orf30	-1.34
OR52A1	-0.308
HSP90B3P	-0.0915
ALG9	-0.4568
BTBD10	0.28925
SDK2	1.489
BAIAP3	1.46825
RABGGTB	-0.771125
ANKRD40	0.0225
KRT74	0.555
CALCOCO2	0.894285714285714
SNCA	-3.54775
TMSL8	-3.294875
