Hybridization REF	TCGA-BH-A0H3-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.156666666666667
CREB3L1	1.76825
RPS11	0.385625
PNMA1	-0.542
MMP2	1.8015
C10orf90	-2.075
ZHX3	0.1945
ERCC5	0.6595
GPR98	-1.948875
RXFP3	0.992
APBB2	2.6855
PRO0478	-1.175
KLHL13	-2.176
PRSSL1	0.752666666666667
PDCL3	0.181666666666667
DECR1	-1.21675
SALL1	-2.28133333333333
CADM4	1.54333333333333
RPS18	0.322071428571429
HNRPD	-0.988416666666666
CFHR5	0.251666666666667
SLC10A7	0.272375
OR2K2	-0.208
LMAN1	-1.228875
SUHW1	-2.778
CHD8	0.5903
SUMO1	0.5778
GP1BA	1.1249
DDB1	0.0701666666666667
MYO9B	0.0123
MMP7	5.733
CRNKL1	0.342125
C9orf45	-1.513
XAB2	0.7835
RTN1	1.667125
KLHL14	-0.936
TBX10	-0.7
CENPQ	-2.14975
UTY	-0.978357142857143
ZBTB12	-0.2185
DTNBP1	-0.1425
KBTBD8	-1.26583333333333
ZEB1	0.198666666666667
ZG16	-0.4145
MIER1	0.3364
ADAM5P	null
CHD9	0.259625
STK16	0.95875
KIAA1486	-0.419
TOB2	0.981916666666667
BANK1	2.654
OR2V2	0.36175
GRM2	0.410333333333333
PROSC	0.147875
SPIN2B	-0.472
PIR	-3.10755555555556
IPO9	-0.6829
EVC	1.758
CXCL13	4.777
KIAA1199	-1.1642
SORL1	0.50725
NAT10	-0.55175
CHD1	0.26225
SYN3	0.03
SLC22A2	-0.23975
SERPINF1	1.54616666666667
WDR34	0.1575
OR7A17	0.4165
C9orf11	-0.263
RNF216L	0.2851
LHB	0.5495
STK25	-0.39125
TAOK3	0.569875
LOC152573	-2.89675
C3orf39	0.067375
C14orf108	-0.2923
CDC25B	-1.87690909090909
BMP3	0.8735
TMEM180	0.4295
MAP1LC3C	0.5185
CRYGC	-0.582
POU3F1	-0.906
C20orf32	-1.1565
CCDC95	0.3035
HIGD1B	4.54175
USP6NL	-0.840625
ABCD4	0.056
DIMT1L	-1.14358333333333
TEK	1.663125
SLC25A46	-0.86975
LARP7	-0.7699
CD160	0.536833333333333
MT1JP	-0.219333333333333
PHF20	-0.2441875
CPNE4	-2.16725
GTPBP1	0.0999285714285715
RAB33B	1.07483333333333
ALDOC	-1.809875
ZNF212	-0.16075
NUDT1	-0.9065
RFPL2	-0.149
ZNF83	-0.565666666666667
GDPD5	0.07975
PDCD4	1.0858
CEP350	-0.803
OR10A2	0.39325
CST7	1.71725
CIAO1	-1.37875
SELL	1.99575
OR8J3	0.5925
LTBP4	0.676833333333333
SIRT6	0.50275
CCL19	5.183
PPIL1	-1.025
GBP7	0.00683333333333334
STK17A	-0.6244
ABR	0.593
OR9G1	0.3215
FOXE1	-0.20525
CNGA3	0.5775
GML	0.631
CD38	-1.589
ZDHHC6	0.000833333333333325
NEFH	-0.18775
CTDSP2	0.595083333333333
PGBD5	-1.2905
CCNY	0.384071428571429
RMND5B	0.522083333333333
ZNF257	0.08475
FLJ22167	-0.44775
EXOSC7	-1.0605
ROR2	1.264125
MAOA	0.53525
TNNT3	0.888666666666667
GYPC	-0.81875
C7orf33	0.544
PLIN	2.54416666666667
LOC90826	-0.214
RNF4	-0.126
F8A1	1.09066666666667
PLEKHG4	-1.716
GRB2	0.1894
HIST1H2AD	1.44775
DUS3L	-1.17716666666667
EIF1	-0.6935
RP5-1077B9.4	-0.373666666666667
FPGT	1.43075
GDF10	0.545333333333333
COQ9	0.07375
GCC2	-0.254142857142857
RARRES3	3.03625
PLXNA1	-0.2024
KIAA0100	0.1499
PMF1	0.55675
FNDC1	5.85225
HS2ST1	-0.0931666666666667
CRELD2	0.8665
C8G	-0.6725
CD82	0.9125
LIM2	-0.48
UNQ6490	0.232
MMP16	0.6835
DRD3	0.171
C5orf26	-0.32425
C11orf73	-0.393
PTP4A2	1.922375
OR4M2	1.2935
HPCA	-0.8285
SEC14L1	-0.462666666666667
CHFR	-0.205875
EMILIN1	1.552875
NDUFS4	-0.64525
COL18A1	1.144625
PDZD3	0.1138
C9orf16	1.15416666666667
ERBB2IP	0.614833333333333
EMX2	3.0475
FUS	-0.97175
TF	-3.442
CLCN4	-0.468333333333333
CXorf56	-0.51075
C11orf72	0.449
ELAC2	-0.740166666666667
NPR1	-0.42975
ASS1	-2.41716666666667
USP42	0.0691250000000001
POLR2J	-0.0365
SEC23IP	0.453666666666667
