Hybridization REF	TCGA-E2-A1B5-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.210416666666667
CREB3L1	-0.07175
RPS11	0.603625
PNMA1	-1.2445
MMP2	-1.006
C10orf90	0.9515
ZHX3	-0.852833333333333
ERCC5	1.27775
GPR98	-1.034375
RXFP3	0.74
APBB2	0.55025
PRO0478	-0.351
KLHL13	-2.2995
PRSSL1	-0.134166666666667
PDCL3	-0.401333333333333
DECR1	0.25975
SALL1	-4.3305
CADM4	2.159
RPS18	0.244857142857143
HNRPD	-0.625916666666667
CFHR5	0.102833333333333
SLC10A7	-0.593375
OR2K2	0.071
LMAN1	-2.063
SUHW1	-2.4515
CHD8	0.4185
SUMO1	0.7112
GP1BA	2.9455
DDB1	-0.257166666666667
MYO9B	0.4351
MMP7	6.998
CRNKL1	-0.65275
C9orf45	-0.511833333333333
XAB2	0.40025
RTN1	1.1885
KLHL14	0.149125
TBX10	-0.381
CENPQ	-2.1965
UTY	-0.662785714285714
ZBTB12	0.505
DTNBP1	0.6435
KBTBD8	0.627
ZEB1	-0.187
ZG16	-0.5595
MIER1	0.5083
ADAM5P	0.896
CHD9	0.3668125
STK16	0.2145
KIAA1486	-0.032
TOB2	0.900666666666667
BANK1	6.00875
OR2V2	0.48275
GRM2	0.260666666666667
PROSC	0.149125
SPIN2B	-0.15225
PIR	-1.19966666666667
IPO9	-0.5171
EVC	1.08166666666667
CXCL13	6.8775
KIAA1199	-1.891
SORL1	0.913
NAT10	0.302
CHD1	-0.5405
SYN3	-0.1565
SLC22A2	0.11075
SERPINF1	0.540166666666667
WDR34	-0.40375
OR7A17	0.165
C9orf11	0.1025
RNF216L	0.5152
LHB	0.3685
STK25	-0.3435
TAOK3	1.797
LOC152573	-2.67875
C3orf39	-0.549
C14orf108	-0.8673
CDC25B	-0.929272727272727
BMP3	0.4155
TMEM180	0.265
MAP1LC3C	0.39225
CRYGC	-0.8155
POU3F1	-0.7549
C20orf32	-1.04
CCDC95	0.442
HIGD1B	2.1005
USP6NL	0.46825
ABCD4	-0.0301666666666667
DIMT1L	-0.991333333333333
TEK	0.170125
SLC25A46	-1.639
LARP7	-0.5423
CD160	2.00183333333333
MT1JP	0.2295
PHF20	-0.5548125
CPNE4	-2.02175
GTPBP1	0.592285714285714
RAB33B	-0.529833333333333
ALDOC	-1.633625
ZNF212	0.3855
NUDT1	0.0998333333333333
RFPL2	-0.17275
ZNF83	-0.402166666666667
GDPD5	1.027875
PDCD4	1.0074
CEP350	0.06275
OR10A2	0.48225
CST7	3.01275
CIAO1	-0.94975
SELL	4.33525
OR8J3	0.518
