Hybridization REF	TCGA-BH-A0B5-11A-23R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.273416666666667
CREB3L1	-0.08275
RPS11	1.411125
PNMA1	0.231
MMP2	1.21033333333333
C10orf90	-1.8095
ZHX3	0.787666666666667
ERCC5	0.6275
GPR98	-2.37
RXFP3	0.959
APBB2	1.61425
PRO0478	-1.035
KLHL13	-1.87225
PRSSL1	-0.0131666666666667
PDCL3	-0.3525
DECR1	1.436625
SALL1	-5.443
CADM4	-0.655333333333333
RPS18	1.09607142857143
HNRPD	-0.680583333333333
CFHR5	3.1365
SLC10A7	-0.3415
OR2K2	0.139
LMAN1	-1.11725
SUHW1	-3.4755
CHD8	-0.7276
SUMO1	0.5473
GP1BA	0.5306
DDB1	-0.453833333333333
MYO9B	-0.6821
MMP7	2.46
CRNKL1	-0.199
C9orf45	-1.34033333333333
XAB2	0.58275
RTN1	3.88371428571429
KLHL14	-0.762375
TBX10	-1.1835
CENPQ	-1.8045
UTY	-1.49516666666667
ZBTB12	-0.1325
DTNBP1	-0.166875
KBTBD8	-2.24433333333333
ZEB1	1.2605
ZG16	-0.63425
MIER1	0.2229
ADAM5P	-0.4285
CHD9	0.5435
STK16	1.404
KIAA1486	-0.0785
TOB2	1.92416666666667
BANK1	5.76375
OR2V2	-0.334
GRM2	0.1165
PROSC	1.031625
SPIN2B	0.09625
PIR	-0.972111111111111
IPO9	-0.8155
EVC	0.0785
CXCL13	0.628833333333333
KIAA1199	-5.84966666666667
SORL1	-1.65
NAT10	-0.843
CHD1	-1.00425
SYN3	-0.361
SLC22A2	-0.567
SERPINF1	2.6995
WDR34	-2.20725
OR7A17	0.7645
C9orf11	0.5075
RNF216L	-0.4812
LHB	0.192
STK25	0.613625
TAOK3	0.465625
LOC152573	-0.289
C3orf39	-0.12675
C14orf108	0.2308
CDC25B	-2.01618181818182
BMP3	5.9565
TMEM180	-0.247
MAP1LC3C	4.662
CRYGC	-0.978
POU3F1	-1.0927
C20orf32	-1.6655
CCDC95	-0.3575
HIGD1B	5.431
USP6NL	-0.190375
ABCD4	0.1005
DIMT1L	-0.260166666666667
TEK	3.323875
SLC25A46	0.48
LARP7	-0.8242
CD160	0.547
MT1JP	2.02416666666667
PHF20	-0.5245
CPNE4	1.41125
GTPBP1	-0.352142857142857
RAB33B	1.48933333333333
ALDOC	0.132125
ZNF212	-0.75425
NUDT1	-1.32583333333333
RFPL2	-0.95725
ZNF83	-0.536666666666667
GDPD5	2.555125
PDCD4	1.62005
CEP350	-0.295
OR10A2	0.27175
CST7	-0.3275
CIAO1	-0.44925
SELL	-0.075875
OR8J3	1.0765
LTBP4	1.0785
SIRT6	-0.747
CCL19	3.79475
PPIL1	-2.12183333333333
GBP7	-0.1458
STK17A	-1.3894
ABR	0.22725
OR9G1	0.188
FOXE1	-0.738625
CNGA3	-0.3425
GML	0.1255
CD38	-2.50975
ZDHHC6	-0.372666666666667
NEFH	-3.47725
CTDSP2	1.00375
PGBD5	-2.32366666666667
CCNY	0.653142857142857
RMND5B	0.8755
ZNF257	-2.312
