Hybridization REF	TCGA-BH-A0DV-11A-22R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.195583333333333
CREB3L1	-0.7705
RPS11	1.65525
PNMA1	-0.4895
MMP2	-0.310833333333333
C10orf90	0.4565
ZHX3	-0.764
ERCC5	0.591
GPR98	0.973
RXFP3	0.2665
APBB2	-0.52075
PRO0478	-0.403
KLHL13	2.0335
PRSSL1	-1.03566666666667
PDCL3	0.139
DECR1	0.096125
SALL1	-3.5405
CADM4	0.465666666666667
RPS18	1.3835
HNRPD	-0.287833333333333
CFHR5	0.578666666666667
SLC10A7	-0.10075
OR2K2	0.034
LMAN1	-1.58575
SUHW1	-3.00075
CHD8	0.081
SUMO1	-0.1757
GP1BA	-0.0194
DDB1	-0.725833333333333
MYO9B	-0.3953
MMP7	6.52425
CRNKL1	-0.031625
C9orf45	-1.63983333333333
XAB2	0.35675
RTN1	1.623
KLHL14	-0.731
TBX10	-2.056
CENPQ	-1.756
UTY	-1.04030769230769
ZBTB12	-0.1085
DTNBP1	-0.21375
KBTBD8	-1.76733333333333
ZEB1	-0.0408333333333334
ZG16	-1.91375
MIER1	0.2284
ADAM5P	-0.048
CHD9	0.661125
STK16	1.02175
KIAA1486	-0.278
TOB2	0.3785
BANK1	1.82825
OR2V2	0.2265
GRM2	-0.202
PROSC	0.271125
SPIN2B	0.066
PIR	-3.05066666666667
IPO9	-0.6586
EVC	0.726833333333333
CXCL13	2.03383333333333
KIAA1199	-3.4925
SORL1	1.019
NAT10	-0.21625
CHD1	-0.8505
SYN3	-0.49475
SLC22A2	-0.34475
SERPINF1	0.695666666666667
WDR34	-0.73625
OR7A17	0.02425
C9orf11	-0.6555
RNF216L	-0.4017
LHB	-0.0495
STK25	0.360625
TAOK3	0.926875
LOC152573	-3.43
C3orf39	0.716125
C14orf108	0.1269
CDC25B	-2.27354545454545
BMP3	1.051
TMEM180	0.251
MAP1LC3C	0.8495
CRYGC	-1.124
POU3F1	-0.6386
C20orf32	-1.3885
CCDC95	-0.289
HIGD1B	4.19075
USP6NL	-0.36625
ABCD4	-0.366666666666667
DIMT1L	0.111333333333333
TEK	1.077
SLC25A46	-1.0455
LARP7	-1.161
CD160	1.06433333333333
MT1JP	1.6595
PHF20	-0.3988125
CPNE4	-1.663
GTPBP1	0.0192142857142857
RAB33B	1.1225
ALDOC	-1.176625
ZNF212	0.07675
NUDT1	-1.24166666666667
RFPL2	-0.8525
ZNF83	0.631333333333333
GDPD5	0.161625
PDCD4	2.23305
CEP350	-0.94075
OR10A2	-0.083
CST7	0.5665
CIAO1	-1.325
SELL	-0.2875
OR8J3	0.4415
LTBP4	0.461666666666667
SIRT6	-0.14725
CCL19	2.817
PPIL1	-1.33883333333333
GBP7	0.0695
STK17A	-0.9063
ABR	-0.1545
OR9G1	-0.51
FOXE1	-0.787875
CNGA3	-1.2315
GML	0.04
CD38	-2.55275
ZDHHC6	-0.0763333333333333
NEFH	-0.9485
CTDSP2	0.897166666666667
PGBD5	-1.40466666666667
CCNY	-0.115928571428571
RMND5B	0.31575
ZNF257	-0.9045
FLJ22167	0.309
EXOSC7	0.4815
ROR2	1.03225
MAOA	0.41325
TNNT3	1.517
GYPC	0.8735
C7orf33	0.7185
PLIN	2.48516666666667
LOC90826	-0.246
RNF4	-0.7067
F8A1	-0.860166666666667
PLEKHG4	0.16275
GRB2	-0.89255
HIST1H2AD	-1.401
DUS3L	0.00783333333333332
EIF1	-0.7695
RP5-1077B9.4	-0.257166666666667
FPGT	0.456
GDF10	1.42566666666667
COQ9	0.1115
GCC2	0.347857142857143
RARRES3	2.302125
PLXNA1	0.0244
KIAA0100	-0.8831
PMF1	0.2695
FNDC1	2.14375
HS2ST1	-0.12675
CRELD2	-0.2565
C8G	-1.9525
CD82	2.36425
LIM2	-1.4005
UNQ6490	0.432
MMP16	0.2585
DRD3	-0.2715
C5orf26	1.57725
C11orf73	-0.770875
PTP4A2	-1.008375
OR4M2	0.4395
HPCA	-0.308166666666667
SEC14L1	-0.126
CHFR	-1.1285
EMILIN1	0.16925
NDUFS4	0.07225
COL18A1	0.3925
PDZD3	0.1949
C9orf16	-0.326666666666667
ERBB2IP	-0.221333333333333
EMX2	2.7695
FUS	-0.02075
TF	-2.0183
CLCN4	-0.754
CXorf56	0.917
C11orf72	0.18225
ELAC2	-0.448666666666667
NPR1	0.141
ASS1	-1.429
USP42	0.37675
POLR2J	-0.3255
SEC23IP	-0.337833333333333
UQCRC1	0.0275
LOC729603	-0.3755
C1orf71	-0.705375
POLG	-3.298
ADAM23	-4.342
TFR2	-1.06175
RICTOR	-0.2046
MGC39606	2.10075
C19orf55	-0.210375
SNAPC1	-0.839833333333333
GNA11	1.190375
CCDC52	-0.385666666666667
FSIP1	1.556
UPF3A	0.00399999999999999
IGSF11	-2.34283333333333
LAGE3	-1.3115
CHST6	-3.437
UNC13B	0.192375
TTLL4	-0.5825
ZNF687	-0.409875
SDC2	-0.2149
COX7A2	-1.33
LAMB4	-0.38275
FAM24A	0.281
LRRTM3	-1.19316666666667
GPHB5	0.51825
OR4C13	-0.339
EIF3EIP	0.888428571428571
HABP4	0.6355
TMEM125	2.997
CNTN2	0.2135
ASNSD1	0.39075
FUT4	0.304875
ACF	-3.694
LOC158381	0.5505
CDH8	1.53925
AGPS	-2.039
C4orf18	3.679125
PECI	-0.36575
UNG	-0.770625
GSTP1	-0.83625
DCUN1D5	-1.65333333333333
DKFZP564J0863	-2.0625
SLC9A3R1	-0.442875
BCDO2	0.569625
CHMP7	-0.00762500000000002
REM2	0.2055
DNHD1	-0.435
FKBP4	-0.367
ZNF350	1.43025
MGC11102	-1.0225
BST1	0.054
KISS1R	0.999
NCR2	0.032
DEFB125	0.151
UBE2W	0.490625
KRT15	4.77275
C10orf99	-0.1045
SCN11A	0.15775
GFI1	-1.01425
RDHE2	0.00850000000000001
FHL1	-0.248
OSGEP	-0.294166666666667
GATA1	-3.39833333333333
SMC6	-1.82775
TTTY14	-1.43125
LPIN3	0.1685
RPL4	1.2594
RBPMS	0.6418
PRPF3	0.155166666666667
EMR1	-3.255
SPATA19	-0.03075
XCR1	-0.0965
IRX3	2.2187
RBM6	0.47925
KLF4	-0.5537
UNC5CL	-0.823
SEBOX	0.0595
BTK	-1.43725
KRCC1	1.3275
C6orf27	0.9305
SYTL5	-0.175
PRND	2.172625
LOC653319	-1.478
PIGL	-1.1585
HUS1	-0.926666666666667
SFRS6	-0.0179166666666667
C17orf77	0.8015
UIMC1	0.120666666666667
FXYD2	-2.1896
