Hybridization REF	TCGA-AR-A1AN-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.334083333333333
CREB3L1	1.13225
RPS11	1.04775
PNMA1	-0.02275
MMP2	2.0565
C10orf90	-1.3715
ZHX3	-0.247333333333333
ERCC5	-0.039
GPR98	0.244625
RXFP3	0.119
APBB2	0.92575
PRO0478	-1.01925
KLHL13	0.58075
PRSSL1	-0.492
PDCL3	0.351
DECR1	0.65725
SALL1	-3.536
CADM4	0.639833333333333
RPS18	0.531714285714286
HNRPD	-0.488916666666667
CFHR5	0.0246
SLC10A7	0.0661428571428572
OR2K2	-1.4835
LMAN1	-1.271125
SUHW1	-4.32033333333333
CHD8	-0.0311
SUMO1	0.5657
GP1BA	0.791
DDB1	-0.433666666666667
MYO9B	-0.5799
MMP7	4.98475
CRNKL1	-0.478875
C9orf45	-0.469
XAB2	-0.01775
RTN1	3.67325
KLHL14	-0.95125
TBX10	-2.085
CENPQ	-1.68075
UTY	-2.1365
ZBTB12	-0.7435
DTNBP1	-0.053625
KBTBD8	-1.59066666666667
ZEB1	-0.453
ZG16	-1.372
MIER1	-0.2933
ADAM5P	-0.388
CHD9	-0.748933333333333
STK16	0.23125
KIAA1486	-0.4905
TOB2	0.623333333333333
BANK1	4.0685
OR2V2	0.28175
GRM2	0.565666666666667
PROSC	0.081375
SPIN2B	-0.239
PIR	-3.12733333333333
IPO9	-0.6609
EVC	1.1245
CXCL13	0.912333333333333
KIAA1199	-2.7001
SORL1	1.841
NAT10	-0.33575
CHD1	-0.68775
SYN3	-1.243
SLC22A2	-0.05425
SERPINF1	1.424
WDR34	-0.19125
OR7A17	-0.01
C9orf11	0.294
RNF216L	-1.2637
LHB	-0.2165
STK25	0.3575
TAOK3	0.88575
LOC152573	-1.72075
C3orf39	0.6135
C14orf108	0.7768
CDC25B	-1.84890909090909
BMP3	1.0595
TMEM180	-0.152
MAP1LC3C	2.5225
CRYGC	-0.794
POU3F1	-1.34422222222222
C20orf32	-3.203
CCDC95	-0.0515
HIGD1B	4.376
USP6NL	-0.553
ABCD4	-0.533666666666667
DIMT1L	-0.4565
TEK	2.50525
SLC25A46	-0.7685
LARP7	-1.5101
CD160	0.867
MT1JP	0.708
PHF20	-0.083
CPNE4	-2.52475
GTPBP1	0.189857142857143
RAB33B	1.655
ALDOC	-2.605875
ZNF212	-0.6105
NUDT1	-1.27383333333333
RFPL2	-0.57425
ZNF83	-0.197666666666667
GDPD5	-0.0895
PDCD4	2.73155
CEP350	-0.34275
OR10A2	-0.4245
CST7	1.556
CIAO1	-1.402
SELL	1.5455
OR8J3	-0.437
LTBP4	0.709666666666667
SIRT6	0.14025
CCL19	5.1325
PPIL1	-1.21783333333333
GBP7	-0.342833333333333
STK17A	-1.1055
ABR	0.21575
OR9G1	-0.3225
FOXE1	-0.486
CNGA3	-1.4445
GML	0.6855
CD38	-2.62325
ZDHHC6	-0.304333333333333
NEFH	0.39175
CTDSP2	0.826833333333333
PGBD5	-0.908
CCNY	0.0678571428571429
RMND5B	0.770916666666667
ZNF257	-1.614
FLJ22167	-0.71175
EXOSC7	0.0543333333333333
ROR2	1.679375
MAOA	0.042875
TNNT3	2.299
GYPC	0.1865
C7orf33	1.163
PLIN	3.54283333333333
LOC90826	-0.0925
RNF4	-0.4995
F8A1	-0.532166666666667
PLEKHG4	-0.7985
GRB2	-0.336
HIST1H2AD	-0.912
DUS3L	-0.4785
EIF1	-0.225333333333333
RP5-1077B9.4	-0.533166666666667
FPGT	1.32225
GDF10	2.97266666666667
COQ9	-0.14675
GCC2	-0.168071428571429
RARRES3	2.815
PLXNA1	-0.791
KIAA0100	-0.4073
PMF1	1.2965
FNDC1	5.27625
HS2ST1	-0.206416666666667
CRELD2	0.60725
C8G	-2.1115
CD82	0.5335
LIM2	-1.0925
UNQ6490	1.14
MMP16	0.96575
DRD3	-0.19625
C5orf26	-0.0625
C11orf73	-0.2565
PTP4A2	0.373125
OR4M2	0.027
HPCA	-0.590666666666667
SEC14L1	-0.0995
CHFR	-0.770125
EMILIN1	1.465
NDUFS4	-0.2275
COL18A1	0.523
PDZD3	-0.189444444444444
C9orf16	-0.093
ERBB2IP	0.114833333333333
EMX2	4.254
FUS	-0.11375
TF	-3.5664
CLCN4	0.330666666666667
CXorf56	0.622
C11orf72	0.22475
ELAC2	-0.199
NPR1	0.939
ASS1	-1.75683333333333
USP42	-0.340375
POLR2J	-0.449
SEC23IP	0.371
UQCRC1	0.3485
LOC729603	-0.47375
C1orf71	-0.657625
POLG	-2.437
ADAM23	-3.8285
TFR2	-1.005
RICTOR	-1.65744444444444
MGC39606	1.055
C19orf55	-0.61175
SNAPC1	-1.323
GNA11	1.0355
CCDC52	-0.0816666666666667
FSIP1	4.179
UPF3A	-0.41125
IGSF11	-1.9664
LAGE3	-0.305
CHST6	-1.845
UNC13B	0.763375
TTLL4	-0.421375
ZNF687	0.50925
SDC2	-0.6136
COX7A2	-0.61075
LAMB4	-0.8
FAM24A	0.4135
LRRTM3	-0.596
GPHB5	0.18625
OR4C13	0.483
EIF3EIP	0.761142857142857
HABP4	0.316
TMEM125	3.1615
CNTN2	0.1945
ASNSD1	-0.5325
FUT4	-0.6155
ACF	-3.6705
LOC158381	1.864
CDH8	0.01775
AGPS	-1.19983333333333
C4orf18	3.99275
PECI	0.523833333333333
UNG	-0.589375
GSTP1	-1.2835
DCUN1D5	-1.201
DKFZP564J0863	-1.7655
SLC9A3R1	-0.348625
BCDO2	-0.338
CHMP7	0.04525
REM2	-0.2585
DNHD1	-1.971125
FKBP4	-0.751625
ZNF350	1.2135
MGC11102	-0.503
BST1	1.27575
KISS1R	0.764
NCR2	-0.4205
DEFB125	1.615
UBE2W	0.823375
KRT15	3.440375
C10orf99	0.2635
SCN11A	1.47728571428571
GFI1	-2.632
RDHE2	0.238166666666667
FHL1	-0.2365
OSGEP	-0.0948333333333333
GATA1	-4.54433333333333
SMC6	-1.27
TTTY14	-1.57525
LPIN3	-0.20025
RPL4	0.7368
RBPMS	0.8801
PRPF3	0.0776666666666667
EMR1	-1.7385
SPATA19	0.17775
XCR1	0.1635
IRX3	2.2419
RBM6	-0.258
KLF4	0.0724
UNC5CL	-0.00149999999999999
SEBOX	-0.1835
BTK	-0.31375
KRCC1	1.51325
C6orf27	0.561
SYTL5	-0.2045
PRND	3.670625
LOC653319	-1.5675
PIGL	-1.844625
HUS1	-0.578
SFRS6	0.725
C17orf77	-0.232
UIMC1	-0.426333333333333
FXYD2	-2.2432
LOC283152	1.921
ZNF667	-0.7305
ZCCHC12	-1.15875
TFEC	2.152
ATP7B	2.64516666666667
POLD2	-0.9065
RG9MTD1	0.36925
ACOT2	0.492666666666667
HIST1H4I	-2.06125
PPARGC1A	-1.1955
ETFA	-0.7944
POLRMT	0.07725
ZNF146	-0.49175
MIA2	-2.3355
KLHL6	-1.19583333333333
HOXB5	1.673
NENF	0.643833333333333
CUGBP1	-0.74925
PRSS22	1.725
CASC4	0.4486
CUL4B	-0.2521
CENPJ	-2.0169
PITX1	-0.152333333333333
FLJ31033	0.7565
CELSR3	-2.35783333333333
ZNF568	0.9755
ITSN1	-0.63725
EHBP1L1	0.0861666666666667
C19orf2	-0.82875
DCTN1	0.74075
LIN28B	-3.449
TNKS2	-0.0235
C1QBP	0.34
CADPS2	1.3855
SRMS	0.6455
GJA9	0.871
MGC24975	-0.617833333333333
TRIM45	0.592
TSP50	-0.368
TCP1	-1.3635
TMED7	0.3114
CMA1	3.203
CENPL	-1.48883333333333
PTCRA	-0.2135
FST	-2.521
VWCE	-3.92475
PAWR	-0.60525
ABCC12	-0.0686666666666666
LDLR	-0.007
ASTN2	0.946
LOC441212	-0.697125
GPATCH8	-0.40375
TANC2	-1.65754545454545
KIF4A	-2.697
C18orf18	-1.36775
PGM1	-1.36225
KIAA0258	0.041
CPD	0.18175
SNCAIP	-0.435
DCT	-5.13533333333333
HLA-DOA	2.766
OR11L1	0.097
UPK1B	-0.386833333333333
DNAJB4	0.404375
UGT1A8	-0.5535
HIST1H4L	-2.684
PECR	-1.53133333333333
HSPA2	2.05425
WFIKKN1	-1.834
SERP1	0.909625
SYDE2	-0.49375
TACR2	0.245
NUP85	-0.748
CD177	-0.964666666666667
LGR5	-2.9622
PIGG	0.02775
PTHR1	-0.228166666666667
RAB5A	0.2245
FLJ13224	0.272
USP9Y	-0.67675
C7orf53	-1.006
LRP1B	0.85325
XAF1	0.3532
ABCG8	0.169
ANKDD1A	-0.870666666666667
DAND5	-0.76
SPAG6	5.58416666666667
LINCR	1.3805
ZDHHC22	-1.27575
CCDC60	-1.68
THOC7	-1.1005
TCTA	1.1215
OR8K3	1.05625
NY-REN-7	-3.0135
B2M	1.865
C6orf141	-1.5415
LPPR4	3.19
SQLE	-2.243125
SEPHS1	-0.79075
BTBD14B	0.119357142857143
PLRG1	-0.24125
SPG7	-0.28875
ZNF614	-0.299
PARD6G	1.2655
INPP5B	-0.5363
GRPEL2	-0.44275
PPID	-1.0629
TRIM56	-0.0565
UBE2J1	-0.142375
IL20RA	5.414
LOC387856	-0.396
C1orf107	0.229083333333333
UTS2R	1.08325
C19orf22	0.20225
SAFB2	-0.506125
KIAA0652	0.441625
KLRG1	-0.138666666666667
MS4A8B	4.60833333333333
FRAG1	0.325
KIAA1546	0.38375
E2F4	-0.9881
CLEC4M	0.092
BTBD14A	-1.132
KIAA0999	1.5449
GYPA	-2.74933333333333
TAC1	4.2232
TRAIP	-1.9155
KIAA0232	0.9099
ERCC8	-1.07475
GPX4	0.451875
KIAA0368	-0.14325
GPR157	-0.581166666666667
CTAGE4	0.649
C9orf30	-1.13516666666667
OR52A1	1.083
HSP90B3P	-0.541
ALG9	-0.3751
BTBD10	0.17
SDK2	-0.98075
BAIAP3	2.3125
RABGGTB	-0.615
ANKRD40	0.707
KRT74	-0.202
CALCOCO2	0.0322857142857143
SNCA	-2.353
TMSL8	-4.49075
C2orf53	-0.636
ESRRB	-0.10825
ARHGAP26	-1.635125
TDRD9	-2.21575
HRAS	0.11
KLRC4	-1.0815
JAGN1	-0.362833333333333
BSDC1	0.39625
RNF43	0.2242
NDUFAF1	0.44275
PHF12	-0.582
OR1L3	0.848666666666667
FOLR2	2.7365
LYZL6	-0.371666666666667
tcag7.1260	-1.7825
WSB1	-1.20616666666667
PROS1	0.4045
OSTN	0.307
PSMB8	0.89825
SOCS4	-0.007875
DDIT4L	1.95975
MAS1	-0.3705
MGC34796	1.51525
CSHL1	0.2295
TBCCD1	0.699666666666667
ZBTB7C	0.5675
AP2S1	0.175875
P15RS	-0.4591
VAT1	-0.7839
SHANK3	1.25
TUFM	0.2375
THEG	0.00674999999999999
KRT34	-2.496
SGSM3	0.650375
TOMM22	-0.4015
SOCS3	2.74016666666667
CPO	1.3715
POP4	0.19725
BHLHB3	2.97575
MALL	2.35975
OR1B1	0.7305
PARK2	0.663833333333333
GPR124	1.20025
LCE1E	-1.671
RUVBL2	-0.38175
CGRRF1	0.8686
ACPL2	-0.086
WNT10B	-2.942875
BAIAP2L2	-2.66775
ISCA1	0.4995
C1orf125	0.208375
RPAP1	-0.927
RAI16	0.545833333333333
RPL27	0.169875
NLRP9	0.6195
EPN1	0.235
LOC388610	-1.132625
SLC35A1	1.0823
GAL	-4.67575
SLC14A2	0.07475
RDH11	-0.870833333333333
FAM138F	-0.35
AUH	0.5175
FLJ40243	-0.416666666666667
C14orf129	0.0471666666666667
MBD2	-1.394
ABHD14B	0.652375
PIGT	-0.19775
ALS2CR4	0.197375
ALAS1	1.2246
FOXO1	1.51416666666667
CRLF3	-0.2995
C20orf107	-0.115
FARS2	1.2835
CCDC28A	1.14225
NPHP3	-0.57975
OR13F1	0.4795
TSEN54	-0.758
DEFB106B	0.0527999999999999
OR8B4	-0.438
STH	0.12775
ZC3H14	-0.41125
CBX2	0.194
TMEM49	-0.3955
C6orf21	0.2025
FLJ20920	0.588
CRTAP	0.147857142857143
DDX50	-0.39975
STYXL1	0.3735
BLVRB	0.064
LOC147650	0.606166666666667
MMP24	0.2575
GRID1	2.33183333333333
BANF1	-0.721666666666667
CTAGEP	-0.1125
HMBS	-2.0125
SLC25A24	-0.0321666666666666
C14orf50	0.97925
MRO	0.099
SLC25A15	-0.1625
FAM84B	1.2777
TDP1	-1.787
C16orf78	0.0482
C11orf57	-0.784875
RFK	-0.803875
ZFYVE9	-1.361375
STCH	-1.4098
WIBG	0.12425
LOC283871	0.288166666666667
GBA2	0.6018
NDUFB3	-0.1565
HSD17B13	-0.53175
GRIN3A	-0.277166666666667
FMNL1	0.0558333333333333
SEPT7	-0.4954
GNLY	2.306
GRAMD1C	1.089
ZNF165	-0.505
USP38	-0.084
FAM83A	-4.153
C14orf24	0.753833333333334
ARMCX3	1.19075
ARHGDIB	1.41216666666667
AK1	0.62
KIAA1045	0.64525
DNAJB13	-0.3555
NEU2	0.612
HIST1H4B	-2.16633333333333
FAM20B	-0.2551
HES2	0.6
FAM73B	-0.0106
LOC388381	0.23675
INTS7	-0.326727272727273
AMPH	2.6065
ZNF775	-0.21325
UCKL1	-0.21
C10orf97	0.3085
C1orf161	0.3115
ALDH1L1	0.3225
FLJ39378	-0.2645
SLC23A1	-1.942
RBM4B	0.29475
THAP4	0.408166666666667
OGFRL1	0.29875
KIAA0831	0.145125
PPP1R15A	1.15783333333333
C1orf96	-1.02764285714286
C12orf11	-2.07475
BMF	0.1575
MAN1A1	-0.875875
KIAA1600	0.39
NLGN4X	-0.2355
ALOX12	-0.7745
RB1CC1	-0.0567
NEIL2	0.7264
EIF4E	0.222181818181818
ABHD5	-0.24875
EXOC4	-0.756333333333333
CIP29	-0.447166666666667
BATF2	-0.538
SLC29A4	-0.32875
HTR4	0.1845
EMB	-1.24675
TRAF6	0.42925
LMNB1	-4.844
FAM19A5	-1.257375
SHE	2.851
PIK3C2B	1.2335
C15orf15	0.6208
USP15	-0.4468
TCEAL2	2.938
C5orf39	-0.463
PTGER2	-1.28475
SLC31A1	-0.2775
IFT172	0.59825
ADAM29	0.039
GFOD1	-0.115
ST7L	-0.00566666666666665
C15orf26	-3.278
PKN3	0.03725
CNTD1	3.16883333333333
COMMD1	0.72975
NTRK2	3.8725
FOXN3	0.168
MFGE8	0.7469
PFKFB2	0.761833333333333
TAS2R4	-0.82375
ENTHD1	0.285166666666667
PRMT5	-0.33275
MGC16384	-1.824875
LOC442229	-0.79775
TSKU	0.405375
KRTCAP3	1.80825
PDLIM1	1.8397
KCNS2	1.297
RNF126	-0.32
CEP63	-0.346875
CLIC4	-0.518625
hCG_1990170	0.742
ACR	0.8764
KLK7	4.533
ALOX5AP	3.06075
RIPK3	3.1805
TAS2R9	0.2465
C19orf18	1.7325
BIRC6	-0.187071428571429
ZNF16	1.341
RFT1	-1.04175
SLC8A2	-0.32875
TACC1	-0.524375
ITGAD	0.6795
SAMHD1	1.17025
SH3PXD2B	1.5142
EPC2	0.3455
C20orf85	1.329125
ATP13A2	0.936833333333333
KRT4	0.2075
CAPNS1	0.61075
MDM2	-1.22808333333333
PCDH20	2.9565
KCNK9	0.435
OR2C1	0.12
KLHDC3	-0.299
IPPK	0.9815
EFHD2	0.02525
GALR3	0.737
NBEA	1.49333333333333
ABCA6	3.4749
