Hybridization REF	TCGA-AR-A1AW-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.483
CREB3L1	1.62575
RPS11	0.35925
PNMA1	-0.49725
MMP2	0.6045
C10orf90	-2.4175
ZHX3	-0.749666666666667
ERCC5	0.0615
GPR98	1.12585714285714
RXFP3	0.4585
APBB2	2.248
PRO0478	-0.89375
KLHL13	-3.7125
PRSSL1	2.5955
PDCL3	0.0121666666666667
DECR1	0.278375
SALL1	-3.9585
CADM4	1.14666666666667
RPS18	0.311642857142857
HNRPD	-0.610416666666667
CFHR5	1.189
SLC10A7	-0.0366249999999999
OR2K2	0.3305
LMAN1	-0.9765
SUHW1	-3.14675
CHD8	-0.1803
SUMO1	0.396
GP1BA	0.079
DDB1	1.0625
MYO9B	0.0286
MMP7	5.0765
CRNKL1	1.184
C9orf45	-1.88533333333333
XAB2	1.004125
RTN1	0.926875
KLHL14	-1.28025
TBX10	-0.747
CENPQ	-1.16125
UTY	2.19921428571429
ZBTB12	0.003
DTNBP1	0.12625
KBTBD8	-1.474
ZEB1	-0.878833333333333
ZG16	-0.32975
MIER1	-0.582
ADAM5P	-0.264
CHD9	-0.1914375
STK16	1.178
KIAA1486	-0.403
TOB2	0.474833333333333
BANK1	1.65475
OR2V2	0.31125
GRM2	0.276833333333333
PROSC	-0.04875
SPIN2B	-0.50475
PIR	-3.09777777777778
IPO9	-0.2179
EVC	0.108333333333333
CXCL13	0.967
KIAA1199	0.7565
SORL1	0.63175
NAT10	-0.47475
CHD1	-0.4555
SYN3	-0.35825
SLC22A2	-0.50175
SERPINF1	1.143
WDR34	-0.312
OR7A17	0.40775
C9orf11	-0.446
RNF216L	-0.6086
LHB	0.225
STK25	-0.338375
TAOK3	0.455125
LOC152573	-3.056
C3orf39	0.255
C14orf108	0.5218
CDC25B	-1.41518181818182
BMP3	0.2845
TMEM180	0.4995
MAP1LC3C	-0.186
CRYGC	-0.11
POU3F1	-1.0338
C20orf32	-1.3155
CCDC95	0.503
HIGD1B	3.975
USP6NL	-0.3985
ABCD4	-0.777166666666667
DIMT1L	-0.161916666666667
TEK	0.952
SLC25A46	-0.22425
LARP7	-1.2907
CD160	0.0666666666666667
MT1JP	-0.939666666666667
PHF20	0.0421875
CPNE4	1.98875
GTPBP1	-0.316428571428571
RAB33B	0.986666666666667
ALDOC	-2.662
ZNF212	-0.16975
NUDT1	-0.552333333333333
RFPL2	-0.463
ZNF83	0.554666666666667
GDPD5	0.527375
PDCD4	1.2469
CEP350	0.3745
OR10A2	0.328
CST7	-1.02375
CIAO1	-1.296
SELL	-0.3855
OR8J3	0.325
LTBP4	-0.0783333333333334
SIRT6	0.43875
CCL19	2.595
PPIL1	-0.797666666666667
GBP7	-0.01
STK17A	-0.5187
ABR	0.14425
OR9G1	0.7195
FOXE1	-0.550625
CNGA3	1.895
GML	0.3805
CD38	-3.83225
ZDHHC6	-0.0263333333333333
NEFH	-2.33475
CTDSP2	0.609333333333333
PGBD5	-1.71066666666667
CCNY	-0.314714285714286
RMND5B	1.17133333333333
ZNF257	-0.051
FLJ22167	-0.215
EXOSC7	-0.884833333333333
ROR2	1.5845
MAOA	-1.3625
TNNT3	0.278833333333333
GYPC	-1.01625
C7orf33	0.4845
PLIN	2.45916666666667
LOC90826	0.04125
RNF4	-0.1931
F8A1	0.441
PLEKHG4	-0.97925
GRB2	-0.0389
HIST1H2AD	-0.13
DUS3L	0.0231666666666667
EIF1	-0.468833333333333
RP5-1077B9.4	-0.263166666666667
FPGT	1.833
GDF10	-0.701166666666667
COQ9	0.238
GCC2	-0.262142857142857
RARRES3	1.829
PLXNA1	-0.5181
KIAA0100	-0.6435
PMF1	0.9625
FNDC1	4.94475
HS2ST1	0.0691666666666667
CRELD2	-0.2855
C8G	-0.793
CD82	0.33275
LIM2	-0.7495
UNQ6490	-0.2315
MMP16	-0.1975
DRD3	0.18475
C5orf26	-0.75525
C11orf73	-0.7715
PTP4A2	1.260625
OR4M2	-0.243
HPCA	-0.760833333333333
SEC14L1	-0.873333333333333
CHFR	0.486375
EMILIN1	0.74225
NDUFS4	0.21625
COL18A1	0.550375
PDZD3	0.027
C9orf16	0.0758333333333333
ERBB2IP	0.412666666666667
EMX2	3.18975
FUS	-0.343
TF	-3.5426
CLCN4	-1.27083333333333
CXorf56	0.18325
C11orf72	0.24725
ELAC2	-0.025
NPR1	-0.4015
ASS1	-3.32516666666667
USP42	0.029375
POLR2J	0.0995
SEC23IP	1.45733333333333
UQCRC1	0.21925
LOC729603	-0.36375
C1orf71	0.18725
POLG	-1.415
ADAM23	-3.62625
TFR2	-1.263
RICTOR	-0.3802
MGC39606	-0.457
C19orf55	-0.102125
SNAPC1	-1.7875
GNA11	0.813375
CCDC52	0.0101666666666667
FSIP1	5.37
UPF3A	-0.414375
IGSF11	-2.47816666666667
LAGE3	0.2355
CHST6	-1.5275
UNC13B	0.17225
TTLL4	-1.110375
ZNF687	0.615625
SDC2	0.9346
COX7A2	0.441
LAMB4	-0.72925
FAM24A	0.6835
LRRTM3	-1.048
GPHB5	-0.01925
OR4C13	-0.481
EIF3EIP	-0.403571428571429
