Hybridization REF	TCGA-BH-A0BT-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.182666666666667
CREB3L1	1.17725
RPS11	0.564375
PNMA1	0.14725
MMP2	-0.753333333333333
C10orf90	-1.57025
ZHX3	-0.4205
ERCC5	-0.298
GPR98	-1.77125
RXFP3	0.891
APBB2	1.54975
PRO0478	-1.4285
KLHL13	-2.12925
PRSSL1	-0.181666666666667
PDCL3	0.289
DECR1	0.190875
SALL1	-5.1345
CADM4	1.385
RPS18	0.776785714285714
HNRPD	-0.886833333333333
CFHR5	0.3956
SLC10A7	0.847714285714286
OR2K2	0.5335
LMAN1	-0.7925
SUHW1	-2.96525
CHD8	-0.7
SUMO1	0.7874
GP1BA	0.3346
DDB1	-0.0503333333333333
MYO9B	-0.227
MMP7	4.94175
CRNKL1	0.69675
C9orf45	-1.53766666666667
XAB2	0.698875
RTN1	3.824875
KLHL14	-1.55125
TBX10	-0.6855
CENPQ	-1.45675
UTY	-0.967153846153846
ZBTB12	0.029
DTNBP1	-0.759625
KBTBD8	-2.11416666666667
ZEB1	-1.8655
ZG16	-0.67625
MIER1	0.1548
ADAM5P	-0.489
CHD9	-0.9505625
STK16	0.46075
KIAA1486	-0.4825
TOB2	1.02658333333333
BANK1	0.77025
OR2V2	0.3185
GRM2	0.6115
PROSC	0.389375
SPIN2B	-0.15125
PIR	-2.18544444444444
IPO9	-0.6958
EVC	0.458666666666667
CXCL13	1.81683333333333
KIAA1199	-2.5602
SORL1	0.8545
NAT10	-0.793
CHD1	-1.26025
SYN3	-0.188
SLC22A2	-0.7075
SERPINF1	-1.05133333333333
WDR34	-0.0595
OR7A17	0.76725
C9orf11	-0.455
RNF216L	-0.8653
LHB	0.1805
STK25	0.43475
TAOK3	-0.04925
LOC152573	-2.9525
C3orf39	0.59875
C14orf108	0.9009
CDC25B	-2.42790909090909
BMP3	0.356
TMEM180	0.4465
MAP1LC3C	0.528
CRYGC	-0.1725
POU3F1	-0.9344
C20orf32	-0.661
CCDC95	-0.31
HIGD1B	4.66375
USP6NL	-0.437875
ABCD4	-0.482666666666667
DIMT1L	-0.947166666666667
TEK	1.109
SLC25A46	-0.32275
LARP7	-1.7827
CD160	0.219166666666667
MT1JP	-0.491
PHF20	-0.2439375
CPNE4	-1.65525
GTPBP1	0.106357142857143
RAB33B	1.548
ALDOC	-3.08325
ZNF212	-0.672
NUDT1	-1.49383333333333
RFPL2	-1.37525
ZNF83	-0.593
GDPD5	-0.202125
PDCD4	2.2311
CEP350	-0.71925
OR10A2	0.33325
CST7	-0.70725
CIAO1	-0.6875
SELL	0.268375
OR8J3	0.5975
LTBP4	0.471
SIRT6	0.24525
CCL19	4.10975
PPIL1	-0.729166666666667
