Hybridization REF	TCGA-C8-A1HG-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.364416666666667
CREB3L1	0.171
RPS11	0.707375
PNMA1	-0.487
MMP2	-0.2885
C10orf90	-1.889
ZHX3	0.268166666666667
ERCC5	-0.5695
GPR98	-0.21925
RXFP3	0.539
APBB2	0.771
PRO0478	-1.463875
KLHL13	-1.94775
PRSSL1	-0.315833333333333
PDCL3	0.581333333333333
DECR1	1.06675
SALL1	-4.314
CADM4	-0.209333333333333
RPS18	0.224571428571429
HNRPD	-0.200916666666667
CFHR5	0.584333333333333
SLC10A7	0.01775
OR2K2	0.289
LMAN1	-0.001375
SUHW1	-3.17375
CHD8	-0.1809
SUMO1	0.7961
GP1BA	1.7399
DDB1	-0.5185
MYO9B	-0.5547
MMP7	6.017
CRNKL1	0.620375
C9orf45	-1.155
XAB2	0.183125
RTN1	3.612
KLHL14	-1.152625
TBX10	-0.5665
CENPQ	-0.4455
UTY	-2.05138461538461
ZBTB12	0.023
DTNBP1	-1.116875
KBTBD8	-0.155333333333333
ZEB1	-1.27383333333333
ZG16	-0.83525
MIER1	0.0288
ADAM5P	0.547
CHD9	-1.19125
STK16	-0.39775
KIAA1486	0.0125
TOB2	0.86
BANK1	4.10075
OR2V2	0.404
GRM2	0.2815
PROSC	1.525625
SPIN2B	0.25425
PIR	0.626888888888889
IPO9	-0.7781
EVC	0.857666666666667
CXCL13	6.98833333333333
KIAA1199	-0.2421
SORL1	0.5495
NAT10	-0.84875
CHD1	-0.438
SYN3	-0.2245
SLC22A2	0.06975
SERPINF1	0.582166666666667
WDR34	0.70875
OR7A17	0.62725
C9orf11	-0.1275
RNF216L	-0.4868
LHB	0.418
STK25	-0.774125
TAOK3	0.01925
LOC152573	-4.444
C3orf39	0.577125
C14orf108	-0.2232
CDC25B	-0.938727272727273
BMP3	0.2975
TMEM180	0.312
MAP1LC3C	0.00225000000000001
CRYGC	-0.92
POU3F1	-1.1008
C20orf32	-1.5875
CCDC95	0.3775
HIGD1B	3.65425
USP6NL	0.039125
ABCD4	-0.609166666666667
DIMT1L	-0.747916666666667
TEK	1.1065
SLC25A46	-0.43925
LARP7	-1.0012
CD160	1.50816666666667
MT1JP	0.751666666666667
PHF20	-0.023625
CPNE4	-0.9725
GTPBP1	0.0932142857142857
RAB33B	0.981833333333333
ALDOC	-1.225
ZNF212	-0.415
NUDT1	-0.542666666666667
RFPL2	1.954
ZNF83	-0.960666666666667
GDPD5	-0.7165
PDCD4	2.69145
CEP350	-0.69925
