Hybridization REF	TCGA-BH-A1ES-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.576333333333333
CREB3L1	0.61475
RPS11	-0.2925
PNMA1	0.50725
MMP2	1.21316666666667
C10orf90	-2.35775
ZHX3	-0.4025
ERCC5	0.21675
GPR98	0.9225
RXFP3	0.2695
APBB2	1.51375
PRO0478	-0.99725
KLHL13	-1.10225
PRSSL1	-0.834333333333333
PDCL3	-0.171166666666667
DECR1	-0.623875
SALL1	-2.141
CADM4	1.58533333333333
RPS18	-0.5285
HNRPD	-0.3265
CFHR5	0.473833333333333
SLC10A7	0.16475
OR2K2	0.3605
LMAN1	-1.530125
SUHW1	-3.816
CHD8	0.2776
SUMO1	-0.0175
GP1BA	-0.1316
DDB1	-0.423166666666667
MYO9B	-0.0169
MMP7	5.779
CRNKL1	0.852375
C9orf45	-1.23583333333333
XAB2	0.713375
RTN1	2.2465
KLHL14	-1.155125
TBX10	-1.2645
CENPQ	-1.9555
UTY	-1.67675
ZBTB12	0.396
DTNBP1	-0.0195
KBTBD8	-1.76316666666667
ZEB1	-1.421
ZG16	-1.75525
MIER1	-0.662
ADAM5P	0.791
CHD9	-0.445625
STK16	0.3275
KIAA1486	0.236
TOB2	-0.00341666666666667
BANK1	1.673
OR2V2	0.26075
GRM2	0.1
PROSC	2.458875
SPIN2B	0.747
PIR	-3.04866666666667
IPO9	-0.895
EVC	1.502
CXCL13	3.51816666666667
KIAA1199	0.5302
SORL1	0.78225
NAT10	-0.49875
CHD1	-0.78375
SYN3	0.19475
SLC22A2	-0.313
SERPINF1	1.43983333333333
WDR34	-0.593
OR7A17	0.288
C9orf11	-0.88
RNF216L	-0.634
LHB	0.135
STK25	-0.09475
TAOK3	0.86675
LOC152573	-4.04675
C3orf39	0.43325
C14orf108	0.7465
CDC25B	-0.938818181818182
BMP3	0.102
TMEM180	0.6005
MAP1LC3C	-0.26675
CRYGC	-1.1045
POU3F1	-1.4345
C20orf32	-1.6575
CCDC95	0.02
HIGD1B	3.9865
USP6NL	-0.36575
ABCD4	-0.013
DIMT1L	-0.156416666666667
TEK	0.560625
SLC25A46	-0.93475
LARP7	-1.2178
CD160	-0.1955
MT1JP	0.0536666666666667
PHF20	-0.345
CPNE4	0.76375
GTPBP1	-0.259285714285714
RAB33B	1.58533333333333
ALDOC	-1.430625
ZNF212	0.21875
NUDT1	-0.648
RFPL2	-1.205
ZNF83	1.36833333333333
GDPD5	-0.9945
PDCD4	0.76765
CEP350	0.203
OR10A2	-0.13
CST7	-0.78075
CIAO1	-0.5965
SELL	0.342875
OR8J3	0.3715
LTBP4	-0.361166666666667
SIRT6	0.3535
CCL19	1.98775
PPIL1	-1.29616666666667
GBP7	-0.120833333333333
STK17A	-0.6123
ABR	0.41025
OR9G1	-0.315
FOXE1	-0.619875
CNGA3	0.055
GML	0.5175
CD38	-4.18875
ZDHHC6	0.0221666666666667
NEFH	-1.59075
CTDSP2	1.193
