Hybridization REF	TCGA-AR-A1AR-01A-31R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.588166666666667
CREB3L1	0.61075
RPS11	0.943
PNMA1	0.0395
MMP2	1.00183333333333
C10orf90	-1.376
ZHX3	-0.957666666666667
ERCC5	-0.16775
GPR98	-1.25425
RXFP3	0.5875
APBB2	-0.2335
PRO0478	-1.62075
KLHL13	-1.81275
PRSSL1	-0.348666666666667
PDCL3	-0.0486666666666667
DECR1	0.561625
SALL1	-3.63383333333333
CADM4	0.424166666666667
RPS18	0.925571428571429
HNRPD	0.00508333333333333
CFHR5	-0.2004
SLC10A7	0.655625
OR2K2	-0.3425
LMAN1	0.34075
SUHW1	-2.48325
CHD8	-0.4983
SUMO1	0.8983
GP1BA	1.7944
DDB1	-0.237333333333333
MYO9B	0.3146
MMP7	6.42325
CRNKL1	-0.25575
C9orf45	-0.3855
XAB2	0.86325
RTN1	2.44571428571429
KLHL14	-1.593375
TBX10	-2.3355
CENPQ	-1.60125
UTY	-1.84842857142857
ZBTB12	-0.461
DTNBP1	0.16325
KBTBD8	0.4505
ZEB1	-1.58
ZG16	-2.8365
MIER1	-0.000199999999999961
ADAM5P	0.6875
CHD9	-0.6346875
STK16	0.01875
KIAA1486	-1.3925
TOB2	0.62825
BANK1	4.53025
OR2V2	0.55
GRM2	-0.826
PROSC	1.39675
SPIN2B	0.18325
PIR	-1.05222222222222
IPO9	-0.6374
EVC	1.01783333333333
CXCL13	6.02766666666667
KIAA1199	1.8533
SORL1	0.2235
NAT10	0.15075
CHD1	-0.85825
SYN3	-1.37925
SLC22A2	-0.40025
SERPINF1	1.47216666666667
WDR34	0.30825
OR7A17	0.4765
C9orf11	-1.394
RNF216L	0.2411
LHB	0.034
STK25	0.156875
TAOK3	0.13075
LOC152573	-2.521
C3orf39	0.12475
C14orf108	0.952
CDC25B	-0.900727272727273
BMP3	0.5575
TMEM180	0.231
MAP1LC3C	0.533
CRYGC	-0.993
POU3F1	-2.2724
C20orf32	-1.572
CCDC95	-0.25
HIGD1B	4.111
USP6NL	1.2995
ABCD4	-0.176333333333333
DIMT1L	-0.371583333333333
TEK	1.607625
SLC25A46	-0.365
LARP7	-1.1523
CD160	1.397
MT1JP	0.522333333333333
PHF20	-1.10075
CPNE4	-3.37425
GTPBP1	-0.431357142857143
RAB33B	1.24283333333333
ALDOC	-2.839125
ZNF212	-0.07175
NUDT1	0.00866666666666667
RFPL2	-1.51125
ZNF83	0.0851666666666667
GDPD5	-0.461
PDCD4	0.7037
CEP350	0.3725
OR10A2	0.4395
CST7	2.60775
CIAO1	-0.15375
SELL	2.845375
OR8J3	0.232
LTBP4	-0.555333333333333
SIRT6	0.32725
CCL19	4.377
PPIL1	-0.2805
GBP7	-0.3845
STK17A	-0.3926
ABR	0.356
OR9G1	0.036
FOXE1	-0.90225
CNGA3	0.294
GML	0.87
CD38	-0.86025
ZDHHC6	-0.0838333333333333
NEFH	-1.6365
CTDSP2	0.39575
PGBD5	1.78966666666667
CCNY	0.528642857142857
RMND5B	-0.142833333333333
ZNF257	-0.576
FLJ22167	-0.708125
EXOSC7	0.0678333333333333
ROR2	1.478
MAOA	1.37475
TNNT3	2.48083333333333
GYPC	-0.06625
C7orf33	1.57
PLIN	4.3455
LOC90826	0.03775
RNF4	-0.4506
F8A1	-0.233833333333333
PLEKHG4	-1.16425
GRB2	-0.46525
HIST1H2AD	-0.03275
DUS3L	-0.211166666666667
EIF1	-0.636833333333333
RP5-1077B9.4	-0.234
FPGT	1.27475
GDF10	0.0698333333333333
COQ9	-0.497
GCC2	-0.132857142857143
RARRES3	2.437125
PLXNA1	0.4447
KIAA0100	-0.7731
PMF1	0.3275
FNDC1	5.6595
HS2ST1	0.170833333333333
CRELD2	0.4765
C8G	-0.431
CD82	1.764
LIM2	-1.0915
UNQ6490	0.0825
MMP16	-1.425
DRD3	0.19775
C5orf26	-0.71225
C11orf73	0.43775
PTP4A2	0.176375
OR4M2	0.3045
HPCA	-0.525333333333333
SEC14L1	-0.668166666666667
CHFR	-0.013375
EMILIN1	1.42375
NDUFS4	-0.7955
COL18A1	0.262625
PDZD3	-0.135777777777778
C9orf16	0.529833333333333
ERBB2IP	-0.2855
EMX2	4.6415
FUS	-0.90575
TF	-2.1154
CLCN4	1.27566666666667
CXorf56	0.46125
C11orf72	0.09975
ELAC2	-0.42475
NPR1	0.22975
ASS1	-0.652333333333333
USP42	0.227875
POLR2J	-0.427
SEC23IP	0.114166666666667
UQCRC1	0.0855
LOC729603	-0.19975
C1orf71	-0.707
POLG	-1.6785
ADAM23	-3.424
TFR2	-0.58
RICTOR	-1.3165
MGC39606	0.628
C19orf55	-0.359625
SNAPC1	-0.866
GNA11	0.374
CCDC52	-0.4375
FSIP1	-0.882
UPF3A	-1.413625
IGSF11	-2.647
LAGE3	0.903
CHST6	-1.0365
UNC13B	-0.14075
TTLL4	1.054875
ZNF687	0.49175
SDC2	-1.0374
COX7A2	-0.1615
LAMB4	-1.21775
FAM24A	0.8865
LRRTM3	-1.6774
GPHB5	1.0085
OR4C13	0.371
EIF3EIP	0.128285714285714
HABP4	0.1115
TMEM125	2.569
CNTN2	0.2185
ASNSD1	0.1565
FUT4	0.486125
ACF	-4.225
LOC158381	0.15
CDH8	-1.36875
AGPS	0.177333333333333
C4orf18	2.063625
PECI	-0.372083333333333
UNG	-0.8475
GSTP1	0.85375
DCUN1D5	0.0753333333333333
DKFZP564J0863	0.77925
SLC9A3R1	-0.6345
BCDO2	-0.29825
CHMP7	-0.221375
REM2	-0.484
DNHD1	-0.84625
FKBP4	-1.262
ZNF350	1.158
MGC11102	0.42
BST1	1.8855
KISS1R	0.7755
NCR2	0.6015
DEFB125	-1.101
UBE2W	0.99375
