Hybridization REF	TCGA-BH-A1EU-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0618333333333333
CREB3L1	1.31525
RPS11	0.550875
PNMA1	0.06025
MMP2	1.5585
C10orf90	-1.08775
ZHX3	0.145666666666667
ERCC5	0.27025
GPR98	0.090875
RXFP3	0.309
APBB2	1.22675
PRO0478	-0.89
KLHL13	-0.7035
PRSSL1	-0.272333333333333
PDCL3	-0.283833333333333
DECR1	0.653375
SALL1	-3.01533333333333
CADM4	0.391666666666667
RPS18	0.210571428571429
HNRPD	-0.6715
CFHR5	0.115833333333333
SLC10A7	0.10375
OR2K2	0.103
LMAN1	-1.147
SUHW1	-3.126
CHD8	0.0777
SUMO1	0.1004
GP1BA	2.0127
DDB1	-0.441166666666667
MYO9B	-0.2001
MMP7	5.309
CRNKL1	0.58125
C9orf45	-0.016
XAB2	0.294125
RTN1	1.753125
KLHL14	-0.183875
TBX10	-0.749
CENPQ	-1.5405
UTY	-1.70542857142857
ZBTB12	-0.158
DTNBP1	0.182375
KBTBD8	0.427833333333333
ZEB1	-0.513333333333333
ZG16	-1.019
MIER1	-0.1903
ADAM5P	-0.211
CHD9	-0.15375
STK16	-0.442
KIAA1486	-0.29
TOB2	0.501083333333333
BANK1	4.80975
OR2V2	0.39125
GRM2	0.0535
PROSC	0.036875
SPIN2B	0.1465
PIR	-2.25422222222222
IPO9	-0.9126
EVC	0.971
CXCL13	5.66466666666667
KIAA1199	-1.957
SORL1	1.3905
NAT10	-0.82175
CHD1	0.2335
SYN3	-0.523
SLC22A2	-0.307
SERPINF1	1.5345
WDR34	-0.9915
OR7A17	0.16875
C9orf11	-0.1
RNF216L	-0.109
LHB	-0.0415
STK25	-0.8
TAOK3	1.276
LOC152573	-0.20575
C3orf39	0.5395
C14orf108	0.7365
CDC25B	-1.73727272727273
BMP3	0.378
TMEM180	-0.0625
MAP1LC3C	2.0895
CRYGC	-1.067
POU3F1	-1.4343
C20orf32	-0.965
CCDC95	-0.2115
HIGD1B	3.68
USP6NL	-0.078125
ABCD4	0.0471666666666667
DIMT1L	-0.0499166666666667
TEK	1.900125
SLC25A46	0.1085
LARP7	-1.1583
CD160	1.3555
MT1JP	-0.284166666666667
PHF20	-0.2964375
CPNE4	-1.446
GTPBP1	-0.247785714285714
RAB33B	1.16483333333333
ALDOC	-2.2925
ZNF212	-0.3175
NUDT1	-0.693833333333333
RFPL2	-0.35
ZNF83	0.3145
GDPD5	-0.3245
PDCD4	1.90725
CEP350	0.487
OR10A2	0.05425
CST7	2.66925
CIAO1	-1.05425
SELL	2.71725
OR8J3	0.1475
LTBP4	-0.00333333333333333
SIRT6	-0.32125
CCL19	4.05875
PPIL1	-1.27466666666667
GBP7	0.121166666666667
STK17A	-0.2956
ABR	0.60075
OR9G1	0.033
FOXE1	-0.48425
CNGA3	0.797
GML	0.1885
CD38	-1.12725
ZDHHC6	-0.312333333333333
NEFH	-0.86725
CTDSP2	0.950416666666667
PGBD5	-0.613833333333333
CCNY	-0.165571428571429
RMND5B	0.52025
ZNF257	-1.45725
FLJ22167	-0.2895
EXOSC7	-0.360833333333333
ROR2	1.310625
MAOA	1.660375
TNNT3	1.97183333333333
GYPC	0.20675
C7orf33	0.747
PLIN	3.63666666666667
LOC90826	0.2295
RNF4	-0.1917
F8A1	0.455833333333333
PLEKHG4	-0.60625
GRB2	-0.4246
HIST1H2AD	0.40275
DUS3L	-1.22716666666667
EIF1	-0.145333333333333
RP5-1077B9.4	-0.911333333333333
FPGT	1.66425
GDF10	3.20466666666667
COQ9	-0.73475
GCC2	0.151785714285714
RARRES3	2.64425
PLXNA1	-0.5702
KIAA0100	-0.5609
PMF1	0.11325
FNDC1	4.6015
HS2ST1	-0.251166666666667
CRELD2	-0.03625
C8G	-1.232
CD82	0.829
LIM2	-0.78
UNQ6490	0.135
MMP16	0.0745
DRD3	-0.029
C5orf26	0.50575
C11orf73	-0.05525
PTP4A2	-0.001875
OR4M2	0.263
HPCA	-1.16383333333333
SEC14L1	-0.402833333333333
CHFR	-0.22175
EMILIN1	0.8455
NDUFS4	0.254
COL18A1	0.1575
PDZD3	0.0657
C9orf16	-0.0483333333333333
ERBB2IP	0.0213333333333333
EMX2	3.59875
FUS	-0.7835
TF	-2.7055
CLCN4	0.015
CXorf56	0.65
C11orf72	-0.06975
ELAC2	-0.637333333333333
NPR1	0.695
ASS1	-1.742
USP42	-0.187875
POLR2J	-0.3175
SEC23IP	0.3665
UQCRC1	-0.6245
LOC729603	-0.6
C1orf71	-0.493375
POLG	-2.042
ADAM23	-2.96275
TFR2	-1.303
RICTOR	-0.2697
MGC39606	1.17175
C19orf55	-0.376375
SNAPC1	-1.26316666666667
GNA11	0.22775
CCDC52	-0.103
FSIP1	3.562
UPF3A	-0.6015
IGSF11	-1.96616666666667
LAGE3	0.12025
CHST6	-2.201
UNC13B	0.14175
TTLL4	-0.9155
ZNF687	0.299875
SDC2	-0.2718
COX7A2	-0.4245
LAMB4	-0.3385
FAM24A	0.2365
LRRTM3	-2.136
GPHB5	0.3905
OR4C13	-0.013
EIF3EIP	-0.126571428571429
HABP4	-0.16
TMEM125	2.82925
CNTN2	0.00674999999999999
ASNSD1	0.14275
FUT4	-0.00700000000000001
ACF	-3.476
LOC158381	1.0375
CDH8	-0.35125
AGPS	-1.42566666666667
C4orf18	3.886375
PECI	-0.206333333333333
UNG	-1.460875
GSTP1	-0.76425
DCUN1D5	-0.923
DKFZP564J0863	-0.854
SLC9A3R1	-0.504
BCDO2	0.98475
CHMP7	-0.112
REM2	0.2335
DNHD1	-0.190375
FKBP4	-0.64375
ZNF350	1.9515
MGC11102	-0.09775
BST1	2.19925
KISS1R	-0.021
NCR2	0.215
DEFB125	0.3765
UBE2W	0.980625
KRT15	1.475875
C10orf99	-0.017
SCN11A	0.92525
GFI1	-0.76175
RDHE2	1.49233333333333
FHL1	1.45933333333333
OSGEP	0.103333333333333
GATA1	-3.39933333333333
SMC6	-1.1015
TTTY14	-1.015
LPIN3	-0.026
RPL4	-0.3409
RBPMS	0.567
PRPF3	-0.243666666666667
EMR1	-1.06
SPATA19	0.19825
XCR1	-0.0265
IRX3	1.8434
RBM6	-0.3465
KLF4	0.8114
UNC5CL	-1.55825
SEBOX	-0.044
BTK	0.12375
KRCC1	1.757
C6orf27	0.084
SYTL5	-0.7085
PRND	2.945125
LOC653319	-1.085
PIGL	-0.961375
HUS1	-0.185833333333333
SFRS6	0.3705
C17orf77	0.24
UIMC1	-0.309666666666667
FXYD2	-1.4394
LOC283152	1.0565
ZNF667	-0.342
ZCCHC12	-0.43425
TFEC	4.4088
ATP7B	0.564
POLD2	-1.422
RG9MTD1	0.23675
ACOT2	0.771333333333333
HIST1H4I	-1.86125
PPARGC1A	-2.0483
ETFA	-0.6208
POLRMT	-0.534
ZNF146	-0.425875
MIA2	-1.6255
KLHL6	0.662666666666667
HOXB5	-0.2525
NENF	0.779
CUGBP1	-0.44575
PRSS22	0.9055
CASC4	1.2109
CUL4B	0.016
CENPJ	-2.2289
PITX1	0.575833333333333
FLJ31033	0.646333333333333
CELSR3	-2.14
ZNF568	1.5905
ITSN1	-0.0901666666666667
EHBP1L1	-0.847333333333333
C19orf2	-0.674
DCTN1	-0.16225
LIN28B	-4.52733333333333
TNKS2	-0.081
C1QBP	-1.147125
CADPS2	1.05825
SRMS	0.31375
GJA9	0.3405
MGC24975	-0.359666666666667
TRIM45	0.727333333333333
TSP50	1.33525
TCP1	-1.20675
TMED7	0.3658
CMA1	2.8575
CENPL	-1.712
PTCRA	0.3795
FST	-3.083
VWCE	-2.21575
PAWR	-0.76525
ABCC12	0.717833333333333
LDLR	-2.2818
ASTN2	0.3289
LOC441212	-0.505625
GPATCH8	-0.197
TANC2	-1.183
KIF4A	-2.65225
C18orf18	-0.53075
PGM1	-0.78875
KIAA0258	0.31475
CPD	0.440875
SNCAIP	0.064
DCT	-4.02233333333333
HLA-DOA	2.79886363636364
OR11L1	0.091
UPK1B	-0.019
DNAJB4	0.146375
UGT1A8	-0.20475
HIST1H4L	-3.081
PECR	-0.720166666666667
HSPA2	0.65075
WFIKKN1	0.000999999999999999
SERP1	0.989625
SYDE2	0.27475
TACR2	-0.1515
NUP85	-0.93175
CD177	-0.0723333333333333
LGR5	-2.01233333333333
PIGG	-0.0484166666666667
PTHR1	-0.2115
RAB5A	0.4221
FLJ13224	0.067
USP9Y	-2.04016666666667
C7orf53	-0.244
LRP1B	0.47325
XAF1	1.8223
ABCG8	-1.523
ANKDD1A	-0.0531666666666667
DAND5	-2.1835
SPAG6	3.28933333333333
LINCR	1.368
ZDHHC22	-0.759125
CCDC60	0.138
THOC7	-0.6665
TCTA	0.7226
OR8K3	0.0955
NY-REN-7	-0.535
B2M	1.86766666666667
C6orf141	-1.24975
LPPR4	3.12175
SQLE	-1.4225
SEPHS1	-1.00875
BTBD14B	0.187642857142857
PLRG1	-0.1355
SPG7	-0.948125
ZNF614	-0.132
PARD6G	0.92
INPP5B	-0.5786
GRPEL2	-0.186875
PPID	-0.8227
TRIM56	0.1125
UBE2J1	-0.3135
IL20RA	4.51725
LOC387856	0.19275
C1orf107	0.558666666666667
UTS2R	0.231
C19orf22	-0.0545
SAFB2	-0.927875
KIAA0652	0.080625
KLRG1	1.49833333333333
MS4A8B	0.305333333333333
FRAG1	0.5415
KIAA1546	0.73775
E2F4	-0.9089
CLEC4M	0.0623333333333333
BTBD14A	-1.54725
KIAA0999	0.4557
GYPA	-3.0085
TAC1	1.701
TRAIP	-1.71666666666667
KIAA0232	0.8929
ERCC8	-0.60575
GPX4	0.450375
KIAA0368	0.156375
GPR157	-0.825666666666667
CTAGE4	0.999
C9orf30	-1.15016666666667
OR52A1	0.3685
HSP90B3P	-1.1795
ALG9	-0.3725
BTBD10	0.59725
SDK2	-0.16125
BAIAP3	-0.34575
RABGGTB	-0.687875
ANKRD40	-0.339666666666667
KRT74	0.1795
CALCOCO2	0.174357142857143
SNCA	-2.24625
TMSL8	-3.031125
C2orf53	0.0955
ESRRB	-0.1155
ARHGAP26	-0.922875
TDRD9	-2.14275
HRAS	-0.41
KLRC4	-1.112
JAGN1	0.0468333333333333
BSDC1	0.01825
RNF43	-0.028
NDUFAF1	0.73
PHF12	0.39975
OR1L3	0.1045
FOLR2	2.48391666666667
LYZL6	0.00283333333333335
tcag7.1260	-1.4625
WSB1	-1.25566666666667
PROS1	0.524
OSTN	0.167
PSMB8	1.03025
SOCS4	-0.295375
DDIT4L	2.1655
MAS1	-1.811
MGC34796	0.67225
CSHL1	0.277333333333333
TBCCD1	-0.100166666666667
ZBTB7C	-0.241
AP2S1	-0.284
P15RS	-0.4042
VAT1	-0.5942
SHANK3	0.8475
TUFM	-0.991166666666667
THEG	0.189
KRT34	-0.8445
SGSM3	-0.2175
TOMM22	-1.13925
SOCS3	1.4875
CPO	0.808
POP4	0.305
BHLHB3	1.72925
MALL	1.59
OR1B1	0.3205
PARK2	0.599833333333333
GPR124	0.822125
LCE1E	0.396
RUVBL2	-1.12725
CGRRF1	1.1685
ACPL2	0.173
WNT10B	-1.3695
BAIAP2L2	-2.0665
ISCA1	0.4555
C1orf125	0.9915
RPAP1	-0.6925
RAI16	0.746
RPL27	-0.16775
NLRP9	0.063
EPN1	0.3135
LOC388610	-1.5355
SLC35A1	0.7985
GAL	-3.58675
SLC14A2	0.2245
RDH11	-0.735166666666667
FAM138F	-0.2305
AUH	0.29525
FLJ40243	0.20075
C14orf129	0.509833333333333
MBD2	-0.3105
ABHD14B	-0.213375
PIGT	0.687625
ALS2CR4	-0.0405
ALAS1	0.2825
FOXO1	1.72766666666667
CRLF3	-0.054625
C20orf107	-0.107
FARS2	0.321
CCDC28A	0.84325
NPHP3	-0.26025
OR13F1	0.2535
TSEN54	-1.053
DEFB106B	-0.1274
OR8B4	0.3455
STH	1.72325
ZC3H14	-0.5805
CBX2	-0.11
TMEM49	-1.0565
C6orf21	0.3045
FLJ20920	0.31575
CRTAP	0.628142857142857
DDX50	-0.302
STYXL1	0.04875
BLVRB	0.458333333333333
LOC147650	-0.569333333333333
MMP24	-0.19
GRID1	2.56583333333333
BANF1	-0.818166666666667
CTAGEP	0.22825
HMBS	-2.27175
SLC25A24	0.814333333333333
C14orf50	0.49675
MRO	1.6515
SLC25A15	-0.79775
FAM84B	1.1831
TDP1	-0.5655
C16orf78	0.157166666666667
C11orf57	-0.50575
RFK	-0.390125
ZFYVE9	-1.293625
STCH	-0.9241
WIBG	0.387
LOC283871	-0.520333333333333
GBA2	-0.152
NDUFB3	-0.0105
HSD17B13	0.99175
GRIN3A	1.13116666666667
FMNL1	0.498333333333333
SEPT7	-0.5806
GNLY	3.0295
GRAMD1C	1.1455
ZNF165	-0.8115
USP38	0.38
FAM83A	-3.39616666666667
C14orf24	0.249833333333333
ARMCX3	1.968875
ARHGDIB	2.04616666666667
AK1	-0.0585
KIAA1045	1.08525
DNAJB13	-0.270833333333333
NEU2	0.161
HIST1H4B	-2.21483333333333
FAM20B	-0.7457
HES2	-0.170285714285714
FAM73B	-0.2184
LOC388381	0.3825
INTS7	-0.548
AMPH	1.85975
ZNF775	-0.482875
UCKL1	-0.994833333333333
C10orf97	0.38375
C1orf161	0.00950000000000002
ALDH1L1	0.96475
FLJ39378	-0.122125
SLC23A1	-1.1845
RBM4B	-0.178
THAP4	-0.314166666666667
OGFRL1	0.6815
KIAA0831	0.4285
PPP1R15A	-0.0721666666666667
C1orf96	-0.528428571428571
C12orf11	-1.19775
BMF	1.024375
MAN1A1	-0.138375
KIAA1600	0.551666666666667
NLGN4X	-0.6975
ALOX12	-0.775333333333333
RB1CC1	-0.1987
NEIL2	0.7696
EIF4E	-0.352454545454546
ABHD5	-0.08075
EXOC4	-0.467666666666667
CIP29	-0.7055
BATF2	1.499
SLC29A4	-0.06625
HTR4	0.27325
EMB	0.65475
TRAF6	0.94075
LMNB1	-4.21075
FAM19A5	-1.558625
SHE	2.6625
PIK3C2B	1.4975
C15orf15	-0.1564
USP15	0.4115
TCEAL2	1.863
C5orf39	0.6265
PTGER2	-0.39225
SLC31A1	-0.9585
IFT172	0.40825
ADAM29	0.062
GFOD1	0.872
ST7L	1.152
C15orf26	-2.3335
PKN3	-1.341
CNTD1	2.55766666666667
COMMD1	0.615625
NTRK2	2.56433333333333
FOXN3	0.637
MFGE8	-0.3721
PFKFB2	0.400666666666667
TAS2R4	-0.042
ENTHD1	1.88566666666667
PRMT5	-1.205125
MGC16384	-1.15225
LOC442229	-0.24025
TSKU	-0.151
