Hybridization REF	TCGA-BH-A1EW-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.684416666666667
CREB3L1	0.14625
RPS11	0.582875
PNMA1	-0.4305
MMP2	0.588833333333333
C10orf90	-1.83375
ZHX3	-0.658833333333333
ERCC5	-0.37875
GPR98	0.24325
RXFP3	0.361
APBB2	1.64025
PRO0478	-1.214375
KLHL13	-0.17375
PRSSL1	-0.458166666666667
PDCL3	0.842833333333333
DECR1	0.532375
SALL1	-2.798
CADM4	0.591333333333333
RPS18	-0.0166428571428571
HNRPD	-0.373583333333333
CFHR5	1.48683333333333
SLC10A7	0.747125
OR2K2	0.0645
LMAN1	-0.7225
SUHW1	-2.6825
CHD8	-0.2783
SUMO1	0.4478
GP1BA	1.2957
DDB1	-0.8185
MYO9B	-0.6026
MMP7	3.462
CRNKL1	0.751875
C9orf45	-1.34633333333333
XAB2	-0.196
RTN1	3.753625
KLHL14	-1.12675
TBX10	-0.393
CENPQ	-1.176
UTY	-1.14978571428571
ZBTB12	-0.0405
DTNBP1	-0.048875
KBTBD8	-1.07966666666667
ZEB1	-1.18066666666667
ZG16	-0.7895
MIER1	-0.3311
ADAM5P	0.6625
CHD9	-0.851
STK16	0.8265
KIAA1486	-0.2085
TOB2	0.634666666666667
BANK1	2.83725
OR2V2	0.3485
GRM2	0.214833333333333
PROSC	-0.607125
SPIN2B	-0.21275
PIR	-0.736666666666667
IPO9	-0.6959
EVC	0.842666666666667
CXCL13	3.38183333333333
KIAA1199	-2.1023
SORL1	0.1
NAT10	-0.478
CHD1	-0.436
SYN3	-0.52425
SLC22A2	-0.176
SERPINF1	0.5795
WDR34	-0.468
OR7A17	0.3675
C9orf11	-0.562
RNF216L	-0.4238
LHB	0.057
STK25	-0.64175
TAOK3	-0.38675
LOC152573	-1.6845
C3orf39	0.40475
C14orf108	0.1783
CDC25B	-1.25281818181818
BMP3	0.143
TMEM180	0.2005
MAP1LC3C	1.02225
CRYGC	-0.571
POU3F1	-1.1667
C20orf32	-1.218
CCDC95	-0.208
HIGD1B	3.26725
USP6NL	-0.02975
ABCD4	-0.431833333333333
DIMT1L	0.08125
TEK	1.951
SLC25A46	-0.44925
LARP7	-1.0224
CD160	0.372333333333333
MT1JP	0.605333333333333
PHF20	-0.014375
CPNE4	-1.2695
GTPBP1	0.0385
RAB33B	1.00566666666667
ALDOC	-2.101
ZNF212	-0.242
NUDT1	-1.13466666666667
RFPL2	-0.3595
ZNF83	-0.69
GDPD5	-0.455875
PDCD4	2.64015
CEP350	0.06725
OR10A2	0.095
CST7	2.6995
CIAO1	-0.90575
SELL	2.716625
OR8J3	0.365
LTBP4	-0.0201666666666667
SIRT6	-0.43625
CCL19	4.65025
PPIL1	-0.1195
GBP7	1.34683333333333
STK17A	-0.4908
ABR	0.05225
OR9G1	-0.0705
FOXE1	-0.109
CNGA3	0.6055
GML	0.4015
CD38	-0.97325
ZDHHC6	-0.072
NEFH	-2.0725
CTDSP2	0.293166666666667
PGBD5	-2.0815
CCNY	0.248642857142857
RMND5B	0.665333333333333
ZNF257	-3.29175
FLJ22167	-0.18425
EXOSC7	-0.437833333333333
ROR2	1.50175
MAOA	1.15
TNNT3	1.93516666666667
GYPC	-0.58375
C7orf33	0.447
PLIN	3.62
LOC90826	0.37525
RNF4	0.6727
F8A1	-0.0528333333333333
PLEKHG4	-0.949
GRB2	0.18085
HIST1H2AD	-0.1535
DUS3L	-0.853333333333333
EIF1	0.505333333333333
RP5-1077B9.4	-0.915166666666667
FPGT	1.262
GDF10	2.6195
COQ9	-0.292
GCC2	-0.468214285714286
RARRES3	3.145125
PLXNA1	-1.0791
KIAA0100	-0.2322
PMF1	0.2075
FNDC1	3.68475
HS2ST1	-0.426666666666667
CRELD2	1.06625
C8G	-1.2415
CD82	0.39375
LIM2	-0.606
UNQ6490	-0.207
MMP16	-0.30125
DRD3	-0.18275
C5orf26	-0.19675
C11orf73	-0.5085
PTP4A2	0.9345
OR4M2	0.076
HPCA	-1.10116666666667
SEC14L1	-0.552
CHFR	-0.5635
EMILIN1	0.522125
NDUFS4	0.6895
COL18A1	-0.024
PDZD3	0.0371
C9orf16	-0.019
ERBB2IP	0.5625
EMX2	2.81125
FUS	-0.93775
TF	-1.7538
CLCN4	-0.436833333333333
CXorf56	0.797
C11orf72	0.18275
ELAC2	-0.319083333333333
NPR1	0.06725
ASS1	-1.381
USP42	0.047875
POLR2J	-0.1745
SEC23IP	0.539166666666667
UQCRC1	-0.745
LOC729603	-0.7985
C1orf71	0.175375
POLG	-1.728
ADAM23	-3.00425
TFR2	-1.056
RICTOR	-0.2292
MGC39606	0.22375
C19orf55	-0.23
SNAPC1	-1.0885
GNA11	0.1105
CCDC52	-0.417666666666667
FSIP1	4.699
UPF3A	-0.7145
IGSF11	-2.04633333333333
LAGE3	1.319
CHST6	-2.6745
UNC13B	0.0805
TTLL4	-0.48275
ZNF687	0.386625
SDC2	-1.0884
COX7A2	0.36025
LAMB4	-0.63625
FAM24A	0.231
LRRTM3	-1.87466666666667
GPHB5	0.5695
OR4C13	0.0605
EIF3EIP	0.0245714285714286
HABP4	-0.2425
TMEM125	3.49025
CNTN2	0.09975
ASNSD1	0.20125
FUT4	-0.489
ACF	-3.11275
LOC158381	1.47
CDH8	-0.82275
AGPS	-0.661666666666667
C4orf18	2.33
PECI	0.205166666666667
UNG	-1.009125
GSTP1	-1.96175
DCUN1D5	-1.09183333333333
DKFZP564J0863	-1.2485
SLC9A3R1	2.129875
BCDO2	1.373
CHMP7	-0.761
REM2	0.926
DNHD1	-0.111625
FKBP4	0.053125
ZNF350	0.847
MGC11102	0.32125
BST1	1.25375
KISS1R	0.6205
NCR2	0.048
DEFB125	0.1755
UBE2W	1.372125
KRT15	0.315875
C10orf99	0.15
SCN11A	0.002875
GFI1	-1.589
RDHE2	2.75566666666667
FHL1	-0.0331666666666667
OSGEP	-0.313166666666667
GATA1	-3.22566666666667
SMC6	-1.42
TTTY14	-1.149
LPIN3	0.02225
RPL4	-0.6793
RBPMS	-0.0683
PRPF3	-0.313333333333333
EMR1	-1.1275
SPATA19	0.05375
XCR1	0.3095
IRX3	1.8598
RBM6	-1.14625
KLF4	-0.0996
UNC5CL	1.20575
SEBOX	0.2285
BTK	-0.51875
KRCC1	0.632
C6orf27	0.0895
SYTL5	-0.3365
PRND	2.635875
LOC653319	-1.164
PIGL	-0.822875
HUS1	-0.228333333333333
SFRS6	0.735583333333333
C17orf77	0.4215
UIMC1	-0.329666666666667
FXYD2	-1.5252
LOC283152	2.128
ZNF667	-1.667
ZCCHC12	-0.26
TFEC	3.2215
ATP7B	-0.0168333333333333
POLD2	-1.48516666666667
RG9MTD1	0.371
ACOT2	-0.247
HIST1H4I	-1.452
PPARGC1A	-1.758
ETFA	-1.1178
POLRMT	-0.47525
ZNF146	0.659125
MIA2	-2.416
KLHL6	-0.1945
HOXB5	0.728875
NENF	1.2525
CUGBP1	-0.169
PRSS22	2.37433333333333
CASC4	1.0791
CUL4B	-0.389
CENPJ	-1.9461
PITX1	0.986833333333333
FLJ31033	1.6775
CELSR3	-2.047
ZNF568	0.60225
ITSN1	-0.737166666666667
EHBP1L1	-0.695833333333333
C19orf2	-0.34875
DCTN1	-0.36875
LIN28B	-4.36816666666667
TNKS2	0.3665
C1QBP	0.273875
CADPS2	1.19375
SRMS	0.213
GJA9	0.270833333333333
MGC24975	-1.081
TRIM45	-1.13933333333333
TSP50	0.38025
TCP1	-0.71275
TMED7	0.3146
CMA1	3.0865
CENPL	-1.147
PTCRA	0.5945
FST	-2.4325
VWCE	-3.19075
PAWR	-1.56475
ABCC12	0.856833333333333
LDLR	-1.1032
ASTN2	-0.0734
LOC441212	-0.440875
GPATCH8	-0.10475
TANC2	-0.525833333333333
KIF4A	-1.64775
C18orf18	-1.38625
PGM1	-1.8465
KIAA0258	0.26
CPD	1.402875
SNCAIP	-0.42
DCT	-3.81983333333333
HLA-DOA	2.17731818181818
OR11L1	0.4055
UPK1B	-0.0395
DNAJB4	0.331125
UGT1A8	-0.238
HIST1H4L	-2.7355
PECR	-1.87433333333333
HSPA2	1.146
WFIKKN1	-1.274
SERP1	1.625375
SYDE2	-0.1705
TACR2	0.263
NUP85	-0.27
CD177	-0.175
LGR5	-1.6145
PIGG	0.0933333333333333
PTHR1	-1.56983333333333
RAB5A	1.3565
FLJ13224	0.136
USP9Y	-1.6585
C7orf53	-0.711
LRP1B	-0.22575
XAF1	2.9292
ABCG8	-0.4905
ANKDD1A	-0.305666666666667
DAND5	-2.2685
SPAG6	1.31383333333333
LINCR	0.59875
ZDHHC22	-1.150625
CCDC60	0.263
THOC7	-0.644166666666667
TCTA	0.3175
OR8K3	0.275
NY-REN-7	-1.237
B2M	2.55266666666667
C6orf141	-2.53825
LPPR4	2.387
SQLE	-0.221625
SEPHS1	-0.2235
BTBD14B	0.488714285714286
PLRG1	0.232
SPG7	-1.1729375
ZNF614	-0.0526666666666667
PARD6G	0.678333333333333
INPP5B	-1.0642
GRPEL2	0.289
PPID	-0.5885
TRIM56	-0.3775
UBE2J1	0.250875
IL20RA	5.7755
LOC387856	0.14525
C1orf107	1.29866666666667
UTS2R	0.4775
C19orf22	-0.00799999999999999
SAFB2	-0.697125
KIAA0652	0.254375
KLRG1	0.377833333333333
MS4A8B	3.79883333333333
FRAG1	0.386
KIAA1546	0.78175
E2F4	-1.0344
CLEC4M	0.313166666666667
BTBD14A	-0.882
KIAA0999	1.0482
GYPA	-4.01116666666667
TAC1	5.8194
TRAIP	-1.6795
KIAA0232	1.2364
ERCC8	-0.310875
GPX4	0.5865
KIAA0368	0.01625
GPR157	-0.608833333333333
CTAGE4	1.4935
C9orf30	-0.6505
OR52A1	0.232
HSP90B3P	-0.4355
ALG9	-0.3333
BTBD10	0.964
SDK2	0.02725
BAIAP3	0.79675
RABGGTB	-0.318625
ANKRD40	0.288833333333333
KRT74	0.361
CALCOCO2	0.698214285714286
SNCA	-2.5735
TMSL8	-2.000125
C2orf53	0.053
ESRRB	-0.07175
ARHGAP26	-0.575
TDRD9	-2.2655
HRAS	0.3225
KLRC4	-0.8565
JAGN1	0.733666666666667
BSDC1	0.25025
RNF43	-0.6224
NDUFAF1	0.634
PHF12	0.3225
OR1L3	0.35775
FOLR2	2.54016666666667
LYZL6	0.0846666666666667
tcag7.1260	-1.944
WSB1	-0.713
PROS1	-0.0994
OSTN	0.3545
PSMB8	1.055
SOCS4	-0.65425
DDIT4L	0.81225
MAS1	-0.0575
MGC34796	0.95875
CSHL1	0.274333333333333
TBCCD1	1.5035
ZBTB7C	0.1065
AP2S1	0.185375
P15RS	0.1031
VAT1	-0.3021
SHANK3	0.8325
TUFM	-0.6355
THEG	2.7865
KRT34	-0.937
SGSM3	-0.374375
TOMM22	-0.52825
SOCS3	1.784
CPO	0.5875
POP4	0.38925
BHLHB3	0.1905
MALL	2.20825
OR1B1	0.2935
PARK2	0.401333333333333
GPR124	0.50875
LCE1E	-0.3175
RUVBL2	-0.5985
CGRRF1	0.9861
ACPL2	0.4795
WNT10B	-1.77375
BAIAP2L2	-1.90975
ISCA1	0.8615
C1orf125	0.593125
RPAP1	-0.43325
RAI16	-0.180833333333333
RPL27	0.1365
NLRP9	0.1575
EPN1	0.2625
LOC388610	-1.407375
SLC35A1	1.1833
GAL	-2.077
SLC14A2	0.47075
RDH11	-0.516666666666667
FAM138F	-0.1125
AUH	0.83175
FLJ40243	0.357
C14orf129	0.903
MBD2	-0.764166666666667
ABHD14B	-0.5325
PIGT	0.732875
ALS2CR4	-0.02025
ALAS1	-0.0514
FOXO1	1.05516666666667
CRLF3	-0.114375
C20orf107	0.4065
FARS2	0.76775
CCDC28A	0.6135
NPHP3	-1.10475
OR13F1	0.283
TSEN54	-0.45475
DEFB106B	0.1373
OR8B4	0.556
STH	1.417
ZC3H14	-0.87625
CBX2	-0.357
TMEM49	-0.669
C6orf21	0.461
FLJ20920	0.395375
CRTAP	-0.578
DDX50	-0.079
STYXL1	-0.0415
BLVRB	1.3245
LOC147650	-0.0263333333333333
MMP24	0.03875
GRID1	1.6185
BANF1	-1.06566666666667
CTAGEP	0.22175
HMBS	-1.8735
SLC25A24	0.515333333333333
C14orf50	-0.22625
MRO	0.693333333333333
SLC25A15	-1.1635
FAM84B	1.0555
TDP1	-1.1195
C16orf78	0.0945
C11orf57	-0.195
RFK	-0.227125
ZFYVE9	-0.219125
STCH	-0.148
WIBG	0.4905
LOC283871	0.233666666666667
GBA2	-0.3498
NDUFB3	0.4505
HSD17B13	-0.60225
GRIN3A	0.471
FMNL1	-0.134
SEPT7	-0.7204
GNLY	3.9805
GRAMD1C	-0.861666666666667
ZNF165	1.38075
USP38	1.023
FAM83A	-3.00466666666667
C14orf24	0.770333333333333
ARMCX3	1.8305
ARHGDIB	0.540833333333333
AK1	0.389625
KIAA1045	0.78075
DNAJB13	0.0146666666666667
NEU2	0.439
