Hybridization REF	TCGA-BH-A1F0-11B-23R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.87875
CREB3L1	0.26025
RPS11	1.413625
PNMA1	0.0655
MMP2	1.29716666666667
C10orf90	0.136
ZHX3	0.0938333333333333
ERCC5	0.5175
GPR98	-0.637875
RXFP3	0.32
APBB2	1.107
PRO0478	-1.06475
KLHL13	1.23675
PRSSL1	0.157833333333333
PDCL3	-0.1875
DECR1	0.360625
SALL1	-2.36483333333333
CADM4	0.0146666666666667
RPS18	0.598428571428572
HNRPD	-0.648166666666667
CFHR5	1.4584
SLC10A7	0.0338571428571428
OR2K2	-1.379
LMAN1	-1.540375
SUHW1	-3.10475
CHD8	-0.5821
SUMO1	0.4383
GP1BA	1.29
DDB1	-0.900666666666667
MYO9B	-0.5523
MMP7	7.15325
CRNKL1	0.06875
C9orf45	-0.988833333333333
XAB2	0.250375
RTN1	2.80242857142857
KLHL14	-0.150375
TBX10	-1.225
CENPQ	-1.011
UTY	-1.18475
ZBTB12	0.2645
DTNBP1	0.3255
KBTBD8	-0.967166666666667
ZEB1	-0.236333333333333
ZG16	-0.50075
MIER1	0.0796
ADAM5P	0.649
CHD9	-0.2429375
STK16	-0.1455
KIAA1486	-0.246
TOB2	1.10375
BANK1	4.8875
OR2V2	0.38225
GRM2	0.3665
PROSC	-0.230875
SPIN2B	0.846
PIR	-0.921555555555556
IPO9	-1.509
EVC	0.8035
CXCL13	4.88933333333333
KIAA1199	-3.4693
SORL1	0.835
NAT10	-1.013
CHD1	-1.06175
SYN3	-0.0125
SLC22A2	-0.577
SERPINF1	1.77783333333333
WDR34	-1.427
OR7A17	0.077
C9orf11	0.141
RNF216L	-0.8954
LHB	-0.0535
STK25	-0.591125
TAOK3	0.387
LOC152573	-0.34875
C3orf39	0.315625
C14orf108	0.0516
CDC25B	-1.90427272727273
BMP3	0.902
TMEM180	-0.347
MAP1LC3C	4.22375
CRYGC	0.00800000000000001
POU3F1	-1.355375
C20orf32	-1.2875
CCDC95	-0.4565
HIGD1B	4.92625
USP6NL	0.208875
ABCD4	0.170166666666667
DIMT1L	0.01075
TEK	2.8145
SLC25A46	-0.0545
LARP7	-0.9442
CD160	0.5405
MT1JP	1.613
PHF20	-0.718
CPNE4	-0.711
GTPBP1	-0.0170714285714286
RAB33B	1.46333333333333
ALDOC	-1.190875
ZNF212	-0.41325
NUDT1	-0.915
RFPL2	-1.19366666666667
ZNF83	-0.02
GDPD5	0.63275
PDCD4	2.20035
CEP350	-0.58
OR10A2	-0.28925
CST7	0.837
CIAO1	-1.28525
SELL	0.824125
OR8J3	-0.25
LTBP4	0.672166666666667
SIRT6	-0.67125
CCL19	5.24225
PPIL1	-0.932166666666667
GBP7	0.2712
STK17A	-0.64
ABR	0.2055
OR9G1	0.693
FOXE1	-0.537875
CNGA3	0.247
GML	0.279
CD38	-1.22575
ZDHHC6	-0.117333333333333
NEFH	-3.12325
CTDSP2	0.682583333333333
PGBD5	-2.081
CCNY	0.0464285714285714
RMND5B	0.4225
ZNF257	-1.41575
FLJ22167	-0.557875
EXOSC7	0.0816666666666667
ROR2	0.694375
MAOA	4.175125
TNNT3	3.75366666666667
GYPC	0.7435
C7orf33	2.058
PLIN	5.443
LOC90826	0.27925
RNF4	-0.5368
F8A1	-0.0773333333333334
PLEKHG4	-1.216
GRB2	-1.1137
HIST1H2AD	-1.646
DUS3L	-0.983
EIF1	0.142666666666667
RP5-1077B9.4	-1.09066666666667
FPGT	1.27875
GDF10	4.82366666666667
COQ9	-0.0685
GCC2	0.00328571428571428
RARRES3	3.09725
PLXNA1	-0.5651
KIAA0100	-0.7541
PMF1	-0.16325
FNDC1	4.83775
HS2ST1	-0.203166666666667
CRELD2	-0.0605
C8G	-1.607
CD82	0.83225
LIM2	-1.424
UNQ6490	-0.7635
MMP16	-0.308
DRD3	-0.511
C5orf26	1.191
C11orf73	0.32
PTP4A2	0.09475
OR4M2	-1.6575
HPCA	-1.72983333333333
SEC14L1	0.297333333333333
CHFR	-1.027625
EMILIN1	0.9085
NDUFS4	0.73625
COL18A1	-0.0785
PDZD3	-0.0302
C9orf16	-0.112166666666667
ERBB2IP	-0.125333333333333
EMX2	5.2855
FUS	-1.76925
TF	-2.0753
CLCN4	0.214166666666667
CXorf56	0.7605
C11orf72	0.33025
ELAC2	-0.634833333333333
NPR1	2.08725
ASS1	-0.539166666666667
USP42	-0.44575
POLR2J	-0.353
SEC23IP	-0.063
UQCRC1	-0.4735
LOC729603	-1.05725
C1orf71	-0.877125
POLG	-3.1175
ADAM23	-3.47675
TFR2	-0.984
RICTOR	-0.3716
MGC39606	1.563
C19orf55	-0.51
SNAPC1	-1.00333333333333
GNA11	0.4775
CCDC52	-0.433333333333333
FSIP1	0.6145
UPF3A	-0.431
IGSF11	-1.3844
LAGE3	-1.17425
CHST6	-3.3285
UNC13B	0.217125
TTLL4	-1.574
ZNF687	-0.077125
SDC2	0.3003
COX7A2	-0.16825
LAMB4	0.22225
FAM24A	-0.2495
LRRTM3	-1.927
GPHB5	1.1385
OR4C13	-0.001
EIF3EIP	1.50735714285714
HABP4	0.717
TMEM125	2.7275
CNTN2	0.67775
ASNSD1	0.2395
FUT4	-0.48575
ACF	-3.5805
LOC158381	1.2235
CDH8	-1.23525
AGPS	-1.11066666666667
C4orf18	3.107875
PECI	0.433583333333333
UNG	-0.711
GSTP1	0.21975
DCUN1D5	-1.22733333333333
DKFZP564J0863	-1.33275
