Hybridization REF	TCGA-C8-A1HF-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.125916666666667
CREB3L1	1.581
RPS11	1.026875
PNMA1	-0.24
MMP2	1.17616666666667
C10orf90	-2.03125
ZHX3	-0.0326666666666667
ERCC5	0.282
GPR98	0.404
RXFP3	0.653
APBB2	0.51225
PRO0478	-1.54025
KLHL13	-1.827
PRSSL1	-0.220333333333333
PDCL3	2.01833333333333
DECR1	-0.202625
SALL1	-3.5055
CADM4	0.1575
RPS18	0.753928571428571
HNRPD	-0.114166666666667
CFHR5	0.301166666666667
SLC10A7	0.3525
OR2K2	-0.0645
LMAN1	-0.563875
SUHW1	-3.2645
CHD8	-0.0848
SUMO1	0.3906
GP1BA	1.0518
DDB1	-0.629666666666667
MYO9B	-0.065
MMP7	4.8275
CRNKL1	1.247875
C9orf45	-1.61366666666667
XAB2	0.39475
RTN1	1.5645
KLHL14	-1.28
TBX10	-0.827
CENPQ	-0.65275
UTY	-1.47716666666667
ZBTB12	-0.212
DTNBP1	-0.022125
KBTBD8	-1.09416666666667
ZEB1	-1.456
ZG16	-0.88925
MIER1	0.1861
ADAM5P	0.2045
CHD9	-0.9021875
STK16	0.0635
KIAA1486	-0.482
TOB2	1.17841666666667
BANK1	2.73725
OR2V2	0.26075
GRM2	0.488
PROSC	-0.094375
SPIN2B	0.3955
PIR	-0.196555555555556
IPO9	-0.4368
EVC	0.446
CXCL13	6.67516666666667
KIAA1199	0.6142
SORL1	0.4885
NAT10	-0.73675
CHD1	-0.3925
SYN3	-0.56325
SLC22A2	-0.3875
SERPINF1	0.710166666666667
WDR34	1.0645
OR7A17	0.60525
C9orf11	-0.2355
RNF216L	-0.3775
LHB	0.325
STK25	-0.729875
TAOK3	0.064
LOC152573	-3.49075
C3orf39	-0.218
C14orf108	0.2338
CDC25B	-0.624909090909091
BMP3	0.173
TMEM180	0.122
MAP1LC3C	-0.20725
CRYGC	-0.9475
POU3F1	-1.0239
C20orf32	-0.7785
CCDC95	0.102
HIGD1B	4.31925
USP6NL	0.5625
ABCD4	-0.604833333333333
DIMT1L	-0.67525
