Hybridization REF	TCGA-C8-A1HN-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0705
CREB3L1	0.17375
RPS11	0.548125
PNMA1	-0.8345
MMP2	-0.1925
C10orf90	-2.04575
ZHX3	-0.0911666666666667
ERCC5	-0.418
GPR98	-0.878285714285714
RXFP3	0.703
APBB2	1.59775
PRO0478	-1.330125
KLHL13	-3.64
PRSSL1	-0.253166666666667
PDCL3	0.375666666666667
DECR1	-0.9085
SALL1	-3.52933333333333
CADM4	0.534666666666667
RPS18	0.0297142857142857
HNRPD	-0.464416666666667
CFHR5	1.71183333333333
SLC10A7	1.434875
OR2K2	0.318
LMAN1	-0.826
SUHW1	-3.0415
CHD8	-0.2395
SUMO1	1.0363
GP1BA	-0.2045
DDB1	-0.113833333333333
MYO9B	-0.4144
MMP7	4.09675
CRNKL1	-0.274375
C9orf45	-1.70483333333333
XAB2	0.097625
RTN1	0.85425
KLHL14	-1.72275
TBX10	-0.5365
CENPQ	-0.14475
UTY	-1.70314285714286
ZBTB12	0.3365
DTNBP1	-0.621
KBTBD8	-0.751666666666667
ZEB1	-1.292
ZG16	-1.63025
MIER1	-0.1954
ADAM5P	0.269
CHD9	-0.5189375
STK16	0.46175
KIAA1486	-0.1505
TOB2	0.627416666666667
BANK1	1.94525
OR2V2	0.2825
GRM2	0.120333333333333
PROSC	1.377875
SPIN2B	0.4375
PIR	0.362777777777778
IPO9	-0.4501
EVC	0.656166666666667
CXCL13	2.57816666666667
KIAA1199	-0.4481
SORL1	0.60125
NAT10	-0.83125
CHD1	-0.44275
SYN3	-0.56
SLC22A2	-0.423
SERPINF1	-0.292833333333333
WDR34	0.549
OR7A17	0.4735
C9orf11	-0.573
RNF216L	-0.5765
LHB	-0.0575
STK25	-0.412875
TAOK3	0.81275
LOC152573	-3.234
C3orf39	0.661125
C14orf108	0.0641
CDC25B	-1.51472727272727
BMP3	0.527
TMEM180	0.314
MAP1LC3C	-0.415
CRYGC	-0.7115
POU3F1	-1.3711
C20orf32	-1.4805
CCDC95	0.2235
HIGD1B	4.0555
USP6NL	-0.4165
ABCD4	-1.11716666666667
DIMT1L	-0.470083333333333
TEK	0.72875
SLC25A46	-0.76125
LARP7	-0.8434
CD160	-0.644
MT1JP	-0.603666666666667
PHF20	0.8709375
CPNE4	-1.3085
GTPBP1	-0.506928571428572
RAB33B	0.883666666666667
ALDOC	-3.1475
ZNF212	-0.33275
NUDT1	-0.348
RFPL2	-0.1455
ZNF83	0.297
GDPD5	-0.879625
PDCD4	1.5786
CEP350	-0.0485
OR10A2	0.29175
CST7	0.20125
CIAO1	-0.7385
SELL	0.11075
OR8J3	0.516
LTBP4	-0.513333333333333
SIRT6	-0.25375
CCL19	2.645
PPIL1	-0.177666666666667
GBP7	0.393
STK17A	-1.4674
ABR	0.2785
OR9G1	0.188
FOXE1	-0.24925
CNGA3	2.5295
GML	0.6115
CD38	-2.78225
ZDHHC6	0.053
NEFH	-2.7855
CTDSP2	0.03425
PGBD5	-1.62533333333333
CCNY	0.185142857142857
RMND5B	0.589833333333333
ZNF257	-2.253
FLJ22167	-0.6395
EXOSC7	-0.7785
ROR2	0.807875
MAOA	-0.6885
TNNT3	0.0768333333333333
GYPC	-1.34225
C7orf33	1.9685
PLIN	1.54133333333333
LOC90826	0.943
RNF4	0.4456
F8A1	0.0508333333333333
PLEKHG4	-0.54575
GRB2	0.4558
HIST1H2AD	0.94825
DUS3L	-1.52733333333333
EIF1	-0.305333333333333
RP5-1077B9.4	-0.554
FPGT	1.93425
GDF10	-1.76833333333333
COQ9	0.247
GCC2	0.113928571428571
RARRES3	2.530125
PLXNA1	-0.6832
KIAA0100	0.5269
PMF1	-0.16725
FNDC1	5.43725
HS2ST1	0.103083333333333
CRELD2	0.08325
C8G	1.1065
CD82	-0.317
LIM2	-0.7805
UNQ6490	-0.7665
MMP16	-0.509
DRD3	-0.05025
C5orf26	-0.58425
C11orf73	-0.4545
PTP4A2	-0.117625
OR4M2	0.377
HPCA	-1.14883333333333
SEC14L1	-0.458166666666667
CHFR	-0.186125
EMILIN1	0.56
NDUFS4	0.299
COL18A1	-0.1595
PDZD3	-0.1198
C9orf16	0.304
ERBB2IP	0.538
EMX2	3.7005
FUS	-0.849
TF	-3.6974
CLCN4	-1.22816666666667
CXorf56	0.75825
C11orf72	0.2435
ELAC2	-0.66025
NPR1	-1.46
ASS1	-2.29633333333333
USP42	-0.231
POLR2J	-0.49
SEC23IP	0.811333333333333
UQCRC1	-0.0695
LOC729603	-0.89975
C1orf71	0.125
POLG	-0.8975
ADAM23	-3.8395
TFR2	0.00525
RICTOR	-0.838
MGC39606	1.00375
C19orf55	-0.164125
SNAPC1	-1.13783333333333
GNA11	0.16725
CCDC52	-0.0405
FSIP1	5.866
UPF3A	-0.7585
IGSF11	-2.1715
LAGE3	0.295
CHST6	-1.3335
UNC13B	-1.28175
TTLL4	-1.09025
ZNF687	0.48375
SDC2	-1.2463
COX7A2	1.236
LAMB4	-0.428
FAM24A	0.6715
LRRTM3	-1.8
GPHB5	0.4005
OR4C13	0.3
EIF3EIP	-0.346928571428571
HABP4	-1.0385
TMEM125	2.41175
CNTN2	-0.256625
ASNSD1	-0.19075
FUT4	-0.3735
ACF	-3.545
LOC158381	0.732
CDH8	1.33575
AGPS	-0.861333333333333
C4orf18	2.934875
PECI	-0.540083333333333
UNG	-0.031375
GSTP1	-2.494625
DCUN1D5	-1.25783333333333
DKFZP564J0863	-1.47925
SLC9A3R1	2.23225
BCDO2	0.035875
CHMP7	-0.88275
REM2	2.095
DNHD1	-0.69725
FKBP4	0.47075
ZNF350	2.155
MGC11102	0.50675
BST1	2.79675
KISS1R	0.438
NCR2	-0.1205
DEFB125	1.388
UBE2W	2.330125
KRT15	0.32525
C10orf99	0.368
SCN11A	-0.161125
GFI1	-3.04475
RDHE2	0.777666666666667
FHL1	-1.9625
OSGEP	-0.5255
GATA1	-3.26833333333333
SMC6	-1.2035
TTTY14	-1.49275
LPIN3	0.0625
RPL4	-0.8252
RBPMS	0.0492
PRPF3	0.213166666666667
EMR1	-2.083
SPATA19	0.56925
XCR1	0.673
IRX3	2.2977
RBM6	-0.83425
KLF4	-2.0164
UNC5CL	-2.61525
SEBOX	0.3395
BTK	-0.37875
KRCC1	1.29275
C6orf27	0.3825
SYTL5	-0.407
PRND	4.221375
LOC653319	-0.5855
PIGL	-0.610375
HUS1	-0.473
SFRS6	1.1
C17orf77	0.647
UIMC1	-0.307166666666667
FXYD2	-1.8191
LOC283152	2.585
ZNF667	-2.497
ZCCHC12	-1.139
TFEC	3.4562
ATP7B	0.00516666666666666
POLD2	-1.36916666666667
RG9MTD1	0.5
ACOT2	-0.730833333333333
HIST1H4I	0.04725
PPARGC1A	-2.807
ETFA	-1.2343
POLRMT	-0.1785
ZNF146	0.277375
MIA2	-4.5635
KLHL6	-0.962666666666667
HOXB5	3.0095
NENF	0.972166666666667
CUGBP1	-0.21775
PRSS22	2.34216666666667
CASC4	1.9638
CUL4B	0.1262
CENPJ	-1.6862
PITX1	0.281666666666667
FLJ31033	0.884166666666667
CELSR3	0.786833333333333
ZNF568	1.03175
ITSN1	-0.918083333333333
EHBP1L1	-0.128333333333333
C19orf2	-0.32875
DCTN1	-0.48475
LIN28B	-4.80216666666667
TNKS2	0.20975
C1QBP	-0.28325
CADPS2	-0.237
SRMS	0.5545
GJA9	0.215333333333333
MGC24975	-0.942166666666667
TRIM45	0.143833333333333
TSP50	0.21425
TCP1	-0.56625
TMED7	0.1531
CMA1	0.91
CENPL	-1.1665
PTCRA	0.384
FST	-3.843
VWCE	-4.15925
PAWR	-1.0865
ABCC12	0.2445
LDLR	-1.7234
ASTN2	0.4242
LOC441212	-1.2845
GPATCH8	0.0625
TANC2	-0.215916666666667
KIF4A	-0.7765
C18orf18	-0.4325
PGM1	-1.30725
KIAA0258	1.11175
CPD	1.235
SNCAIP	-2.038
DCT	-4.26733333333333
HLA-DOA	2.70740909090909
OR11L1	0.571
UPK1B	-0.491
DNAJB4	-0.73475
UGT1A8	-0.6775
HIST1H4L	-1.413
PECR	-0.4095
HSPA2	-0.09325
WFIKKN1	-0.027
SERP1	0.938875
SYDE2	1.4885
TACR2	0.5585
NUP85	-0.02175
CD177	0.335166666666667
LGR5	-2.3655
PIGG	0.576083333333333
PTHR1	-1.97283333333333
RAB5A	0.4861
FLJ13224	-0.148
USP9Y	-2.18
C7orf53	-0.762
LRP1B	-0.8785
XAF1	1.1005
ABCG8	-1.2725
ANKDD1A	-1.01016666666667
DAND5	-0.6835
SPAG6	0.242166666666667
LINCR	0.11275
ZDHHC22	-1.306375
CCDC60	-1.1145
THOC7	-1.18216666666667
TCTA	1.834
OR8K3	0.3455
NY-REN-7	-1.07425
B2M	1.31
C6orf141	-1.7425
LPPR4	1.95275
SQLE	0.218875
SEPHS1	-0.9
BTBD14B	0.541714285714286
PLRG1	0.06925
SPG7	-1.167375
ZNF614	-0.336666666666667
PARD6G	0.971333333333333
INPP5B	-1.2982
GRPEL2	0.421875
PPID	-0.5826
TRIM56	-0.5255
UBE2J1	-0.802875
IL20RA	6.85625
LOC387856	-0.33725
C1orf107	1.0075
UTS2R	0.847
C19orf22	-0.0955
SAFB2	-0.496875
KIAA0652	-0.41075
KLRG1	-1.06216666666667
MS4A8B	2.06166666666667
FRAG1	0.18675
KIAA1546	-0.0595
E2F4	-1.4548
CLEC4M	0.0188333333333333
BTBD14A	-0.5485
KIAA0999	-0.3096
GYPA	-3.599
TAC1	1.9652
TRAIP	-0.781833333333333
KIAA0232	1.6671
ERCC8	-1.40525
GPX4	1.478
KIAA0368	-0.23675
GPR157	-0.601166666666667
CTAGE4	2.1405
C9orf30	-1.7705
OR52A1	1.0635
HSP90B3P	-0.37
ALG9	-0.3018
BTBD10	0.54575
SDK2	-0.33675
BAIAP3	2.35225
RABGGTB	-0.471
ANKRD40	0.705166666666667
KRT74	0.2635
CALCOCO2	0.413428571428571
SNCA	-3.956
TMSL8	0.326
C2orf53	-0.1885
ESRRB	-0.2235
ARHGAP26	-1.497375
TDRD9	-3.292
HRAS	0.690166666666667
KLRC4	-1.326
JAGN1	0.116166666666667
BSDC1	1.3115
RNF43	0.0114
NDUFAF1	0.52
PHF12	0.657
OR1L3	0.60175
FOLR2	1.05233333333333
LYZL6	0.401833333333333
tcag7.1260	-1.7865
WSB1	-1.47166666666667
PROS1	-2.208
OSTN	0.5325
PSMB8	0.25975
SOCS4	-0.462625
DDIT4L	0.338
MAS1	null
MGC34796	1.695
CSHL1	-0.141666666666667
TBCCD1	0.865833333333333
ZBTB7C	0.6355
AP2S1	-0.026
P15RS	0.0135
VAT1	-0.2942
SHANK3	0.557166666666667
TUFM	-0.0803333333333333
THEG	0.17225
KRT34	-1.99325
SGSM3	0.05275
TOMM22	-0.584125
SOCS3	0.727666666666667
CPO	0.771
POP4	0.591
BHLHB3	-0.00975
MALL	0.72875
OR1B1	0.5715
PARK2	0.0448333333333334
GPR124	-0.11375
LCE1E	-0.343
RUVBL2	-0.39575
CGRRF1	-0.1945
ACPL2	-0.006
WNT10B	-1.99475
BAIAP2L2	-2.07675
ISCA1	0.182
C1orf125	0.195125
RPAP1	-0.4475
RAI16	-0.851
RPL27	-0.395875
NLRP9	0.5645
EPN1	0.7635
LOC388610	-0.851875
SLC35A1	1.0245
GAL	-3.9275
SLC14A2	0.502
RDH11	-0.694
FAM138F	-0.1455
AUH	-0.271
FLJ40243	0.07425
C14orf129	-0.6795
MBD2	-0.578
ABHD14B	0.365375
PIGT	0.469
ALS2CR4	-0.59225
ALAS1	0.4289
FOXO1	-0.2905
CRLF3	0.003625
C20orf107	0.058
FARS2	0.75225
CCDC28A	1.016
NPHP3	-1.36825
OR13F1	0.419
TSEN54	0.18975
DEFB106B	0.737
OR8B4	0.6765
STH	1.01875
ZC3H14	-1.63525
CBX2	-0.1665
TMEM49	-1.18275
C6orf21	0.5205
FLJ20920	0.86725
CRTAP	-0.211857142857143
DDX50	-0.85825
STYXL1	0.40675
BLVRB	0.922333333333333
LOC147650	1.02966666666667
MMP24	1.125
GRID1	1.17283333333333
BANF1	-0.383166666666667
CTAGEP	0.84275
HMBS	-1.627
SLC25A24	0.525666666666667
C14orf50	1.16725
MRO	1.7105
SLC25A15	-0.76025
FAM84B	2.2096
TDP1	-2.127
C16orf78	0.266666666666667
C11orf57	0.601625
RFK	-0.380125
ZFYVE9	-0.8285
STCH	-1.4732
WIBG	0.33875
LOC283871	-0.0798333333333333
GBA2	-0.6223
NDUFB3	0.73625
HSD17B13	-1.1405
GRIN3A	0.3295
FMNL1	-0.4475
SEPT7	-0.7794
GNLY	2.7815
GRAMD1C	1.131
ZNF165	0.5665
USP38	0.7185
FAM83A	-2.2175
C14orf24	3.30816666666667
ARMCX3	0.556625
ARHGDIB	-0.078
AK1	0.731375
KIAA1045	-0.11475
DNAJB13	-0.06
NEU2	0.392
HIST1H4B	-0.6305
FAM20B	-0.2546
HES2	0.266285714285714
FAM73B	-0.436
LOC388381	-0.5425
INTS7	-0.622727272727273
AMPH	-0.176
ZNF775	0.300875
UCKL1	0.256666666666667
C10orf97	0.1295
C1orf161	-0.00624999999999996
ALDH1L1	-1.39175
FLJ39378	-0.249125
SLC23A1	0.002
RBM4B	-0.14275
THAP4	0.319666666666667
OGFRL1	-0.17
KIAA0831	-0.22
PPP1R15A	-0.444833333333333
C1orf96	-0.0212857142857143
C12orf11	-1.86775
BMF	0.8995
MAN1A1	-0.24375
KIAA1600	-0.00383333333333334
NLGN4X	2.42825
ALOX12	-1.062
RB1CC1	0.4659
NEIL2	-0.3951
EIF4E	-0.0390909090909091
ABHD5	-0.2835
EXOC4	-0.214
CIP29	-0.727333333333333
BATF2	1.40325
SLC29A4	-0.61975
HTR4	0.37975
EMB	-1.45875
TRAF6	-0.00575
LMNB1	-3.229
FAM19A5	-0.853375
SHE	1.1205
PIK3C2B	1.3885
C15orf15	-0.6669
USP15	1.5979
TCEAL2	0.04675
C5orf39	-1.36216666666667
PTGER2	-2.383
SLC31A1	-0.8964375
IFT172	0.7685
ADAM29	0.60425
GFOD1	-0.93525
ST7L	0.789833333333333
C15orf26	-2.1725
PKN3	-1.1995
CNTD1	3.07033333333333
COMMD1	-0.0285
NTRK2	4.04041666666667
FOXN3	-0.905625
MFGE8	-0.9438
PFKFB2	0.684166666666667
TAS2R4	0.0545
ENTHD1	0.0255
PRMT5	-1.54125
MGC16384	-2.137125
LOC442229	-0.54075
TSKU	2.737
KRTCAP3	3.079375
PDLIM1	-0.5965
KCNS2	0.014
RNF126	-0.550333333333333
CEP63	0.2885
CLIC4	-1.014625
hCG_1990170	-1.88075
ACR	0.4777
