Hybridization REF	TCGA-E2-A15I-01A-21R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.549333333333333
CREB3L1	1.70175
RPS11	0.7555
PNMA1	-0.5125
MMP2	0.668333333333333
C10orf90	-2.3215
ZHX3	-0.383333333333333
ERCC5	1.045
GPR98	0.2755
RXFP3	0.66
APBB2	1.29
PRO0478	-0.165375
KLHL13	0.40375
PRSSL1	-0.749666666666667
PDCL3	-0.108
DECR1	0.314
SALL1	-4.661
CADM4	1.75533333333333
RPS18	0.281642857142857
HNRPD	-0.97925
CFHR5	0.605333333333333
SLC10A7	0.292
OR2K2	-0.104
LMAN1	-1.25425
SUHW1	-3.8265
CHD8	0.6645
SUMO1	0.3119
GP1BA	1.9234
DDB1	-0.431
MYO9B	-0.308
MMP7	6.374
CRNKL1	0.333625
C9orf45	-0.240166666666667
XAB2	0.753
RTN1	3.335125
KLHL14	-0.75475
TBX10	2.242
CENPQ	-2.2525
UTY	-1.60830769230769
ZBTB12	0.3085
DTNBP1	-0.0105
KBTBD8	-0.843333333333333
ZEB1	-0.086
ZG16	-1.70975
MIER1	0.0914
ADAM5P	1.0635
CHD9	-0.6954375
STK16	0.64125
KIAA1486	-0.674
TOB2	0.927
BANK1	4.817
OR2V2	0.12
GRM2	-0.227
PROSC	-0.30375
SPIN2B	-0.34525
PIR	-3.03277777777778
IPO9	-1.1185
EVC	1.04066666666667
CXCL13	6.34933333333333
KIAA1199	-2.5131
SORL1	1.97875
NAT10	-0.43925
CHD1	-0.64675
SYN3	-1.60925
SLC22A2	-0.5695
SERPINF1	0.463666666666667
WDR34	-0.3875
OR7A17	0.26575
C9orf11	-1.369
RNF216L	-0.2549
LHB	-0.1985
STK25	-0.01525
TAOK3	0.814625
LOC152573	-3.31925
C3orf39	0.14825
C14orf108	0.8599
CDC25B	-2.59163636363636
BMP3	0.509
TMEM180	-0.371
MAP1LC3C	-0.05525
CRYGC	-1.194
POU3F1	-1.5034
C20orf32	-1.6255
CCDC95	0.381
HIGD1B	4.5475
USP6NL	-0.366375
ABCD4	0.173
DIMT1L	-0.694583333333333
TEK	1.3325
SLC25A46	-0.893
LARP7	-0.7118
CD160	1.1395
MT1JP	-0.450166666666667
PHF20	-0.0225
CPNE4	-1.319
GTPBP1	-0.537571428571429
RAB33B	1.0305
ALDOC	-2.928
ZNF212	0.24275
NUDT1	-1.1815
RFPL2	-0.7245
ZNF83	0.6405
GDPD5	-1.34875
PDCD4	1.51405
CEP350	-0.17875
OR10A2	0.38175
CST7	2.25825
CIAO1	-1.24825
SELL	1.845
OR8J3	0.3165
LTBP4	-0.143666666666667
SIRT6	0.029
CCL19	4.6505
PPIL1	-1.2725
GBP7	0.468333333333333
STK17A	-0.8493
ABR	-0.10225
