Hybridization REF	TCGA-C8-A1HM-01A-12R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.907833333333333
CREB3L1	0.21575
RPS11	1.429
PNMA1	-1.14275
MMP2	-0.963833333333333
C10orf90	-2.8715
ZHX3	-0.0943333333333334
ERCC5	0.04475
GPR98	-1.401625
RXFP3	0.448
APBB2	2.30275
PRO0478	-0.816
KLHL13	-2.43375
PRSSL1	-0.466
PDCL3	0.818166666666667
DECR1	1.35025
SALL1	-5.11516666666667
CADM4	0.862
RPS18	0.00300000000000001
HNRPD	-0.878416666666667
CFHR5	0.482333333333333
SLC10A7	0.062125
OR2K2	-0.1905
LMAN1	-0.087625
SUHW1	-3.27075
CHD8	0.1496
SUMO1	0.632
GP1BA	2.0381
DDB1	-0.487
MYO9B	-0.234
MMP7	5.28225
CRNKL1	0.7155
C9orf45	-1.499
XAB2	0.3655
RTN1	2.13225
KLHL14	-0.00937499999999999
TBX10	-0.8375
CENPQ	0.467
UTY	-1.12235714285714
ZBTB12	0.6645
DTNBP1	0.602875
KBTBD8	-0.7195
ZEB1	-2.11733333333333
ZG16	-1.2765
MIER1	-0.1944
ADAM5P	-0.2275
CHD9	-0.563625
STK16	0.934
KIAA1486	-0.1255
TOB2	0.774416666666667
BANK1	4.647
OR2V2	0.0455
GRM2	0.182
PROSC	0.321625
SPIN2B	-0.27375
PIR	0.917333333333333
IPO9	-0.327
EVC	0.0821666666666667
CXCL13	7.402
KIAA1199	-1.4752
SORL1	0.594
NAT10	-0.1755
CHD1	-0.5405
SYN3	-0.52125
SLC22A2	-0.45975
SERPINF1	-0.708333333333333
WDR34	-0.3095
OR7A17	0.1815
C9orf11	-0.281
RNF216L	-0.3661
LHB	0.204
STK25	-1.284875
TAOK3	0.454875
LOC152573	-3.79875
C3orf39	0.080125
C14orf108	0.3513
CDC25B	-0.626727272727273
BMP3	-0.1505
TMEM180	0.3235
MAP1LC3C	-0.47125
CRYGC	-0.5115
POU3F1	-0.9445
C20orf32	-1.229
CCDC95	-0.2685
HIGD1B	2.225
USP6NL	0.692375
