Hybridization REF	TCGA-BH-A0HA-11A-31R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.164666666666667
CREB3L1	-0.5705
RPS11	1.1435
PNMA1	-0.0175
MMP2	0.2675
C10orf90	-0.2045
ZHX3	-0.2905
ERCC5	-0.06425
GPR98	-0.204625
RXFP3	0.386
APBB2	-0.0515
PRO0478	-0.755375
KLHL13	2.81425
PRSSL1	-0.916333333333334
PDCL3	0.480666666666667
DECR1	0.254
SALL1	-4.2345
CADM4	0.724166666666667
RPS18	0.364428571428571
HNRPD	-0.272916666666667
CFHR5	1.69383333333333
SLC10A7	-0.0385
OR2K2	0.5305
LMAN1	-1.417
SUHW1	-3.116
CHD8	-0.3726
SUMO1	0.0649
GP1BA	0.3319
DDB1	-0.302333333333333
MYO9B	-0.5411
MMP7	6.6575
CRNKL1	-0.037125
C9orf45	-1.09233333333333
XAB2	0.100375
RTN1	2.35014285714286
KLHL14	-0.430625
TBX10	-2.087
CENPQ	-2.0445
UTY	-1.75936363636364
ZBTB12	0.2645
DTNBP1	-0.22475
KBTBD8	-1.85633333333333
ZEB1	-0.938333333333333
ZG16	-1.8795
MIER1	-0.0348
ADAM5P	-1.156
CHD9	0.0245625
STK16	0.61575
KIAA1486	-1.029
TOB2	0.62025
BANK1	2.6485
OR2V2	-0.66375
GRM2	-0.1205
PROSC	0.850625
SPIN2B	0.18025
PIR	-2.00822222222222
IPO9	-1.2472
EVC	1.08283333333333
CXCL13	3.83916666666667
KIAA1199	-3.5212
SORL1	1.05225
NAT10	-0.18
CHD1	-0.869
SYN3	-0.45875
SLC22A2	-0.625
SERPINF1	0.480333333333333
WDR34	-0.7465
OR7A17	0.55175
C9orf11	-0.838
RNF216L	-0.883
LHB	-0.013
STK25	0.459125
TAOK3	0.38175
LOC152573	-2.2195
C3orf39	0.835625
C14orf108	0.4694
CDC25B	-2.25963636363636
BMP3	-0.16
TMEM180	-0.155
MAP1LC3C	2.28575
CRYGC	-2.756
POU3F1	-1.2836
C20orf32	-1.906
CCDC95	-0.3035
HIGD1B	4.403
USP6NL	-0.249
ABCD4	-0.500333333333333
DIMT1L	-0.365
TEK	1.89
SLC25A46	-0.892
LARP7	-1.3697
CD160	1.46933333333333
MT1JP	2.596
PHF20	-0.120875
CPNE4	-2.16675
GTPBP1	0.12
RAB33B	0.646833333333333
ALDOC	-1.361625
ZNF212	-0.4075
NUDT1	-1.558
RFPL2	-1.43275
ZNF83	-0.0531666666666667
GDPD5	0.071875
PDCD4	1.88005
CEP350	-0.8935
OR10A2	1.339
CST7	0.09675
CIAO1	-1.14625
SELL	-1.032625
OR8J3	0.1925
LTBP4	0.905666666666667
SIRT6	-0.2235
CCL19	4.246
PPIL1	-1.16716666666667
GBP7	-0.296
STK17A	-0.2521
ABR	0.3175
OR9G1	-0.9875
FOXE1	-1.0165
CNGA3	0.1575
GML	0.4385
CD38	-2.3525
ZDHHC6	-0.181
NEFH	-2.6375
CTDSP2	1.26091666666667
PGBD5	-0.660666666666667
CCNY	0.0524285714285714
RMND5B	0.851083333333333
ZNF257	-2.67175
FLJ22167	0.471875
EXOSC7	0.155
ROR2	1.85075
MAOA	2.567125
TNNT3	2.055
GYPC	0.67
C7orf33	0.9725
PLIN	4.1715
LOC90826	-0.16475
RNF4	-0.6957
F8A1	-0.326
PLEKHG4	-0.38875
GRB2	-0.7247
HIST1H2AD	-0.5745
DUS3L	0.0196666666666667
EIF1	-0.186833333333333
RP5-1077B9.4	-0.503666666666667
