Hybridization REF	TCGA-BH-A1EW-11B-33R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.20558333333333
CREB3L1	0.2965
RPS11	1.203875
PNMA1	0.1745
MMP2	-0.577333333333333
C10orf90	0.12525
ZHX3	-0.622666666666667
ERCC5	-0.034
GPR98	-0.185125
RXFP3	1.5855
APBB2	1.08
PRO0478	-0.754375
KLHL13	1.49775
PRSSL1	-0.295333333333333
PDCL3	0.5015
DECR1	0.99075
SALL1	-4.059
CADM4	-0.330333333333333
RPS18	1.09535714285714
HNRPD	-0.198416666666667
CFHR5	0.7765
SLC10A7	0.115571428571429
OR2K2	0.809
LMAN1	-1.036375
SUHW1	-3.58975
CHD8	-0.5982
SUMO1	0.6775
GP1BA	1.4389
DDB1	-1.04883333333333
MYO9B	-1.611
MMP7	7.1475
CRNKL1	0.73225
C9orf45	-1.42983333333333
XAB2	-0.57275
RTN1	4.15025
KLHL14	1.168875
TBX10	-0.8245
CENPQ	-0.60025
UTY	-1.20130769230769
ZBTB12	-0.806
DTNBP1	0.497
KBTBD8	-1.06316666666667
ZEB1	-1.3105
ZG16	-0.35875
MIER1	-0.1878
ADAM5P	-0.4865
CHD9	-0.7214375
STK16	1.31525
KIAA1486	0.2135
TOB2	0.439416666666667
BANK1	4.128
OR2V2	0.18475
GRM2	0.655666666666667
PROSC	-1.316375
SPIN2B	1.066
PIR	-0.816555555555555
IPO9	-1.4804
EVC	0.360666666666667
CXCL13	5.86266666666667
KIAA1199	-3.09244444444444
SORL1	0.4215
NAT10	-1.5685
CHD1	-0.41
SYN3	-0.392
SLC22A2	-0.338
SERPINF1	0.374666666666667
WDR34	-1.805
OR7A17	0.4175
C9orf11	0.1205
RNF216L	-0.6464
LHB	-0.07
STK25	-2.072875
TAOK3	0.00462499999999999
LOC152573	-1.623
C3orf39	-0.29025
C14orf108	0.7818
CDC25B	-2.484
BMP3	1.489
TMEM180	-0.4765
MAP1LC3C	2.683
CRYGC	-0.77
POU3F1	-0.8375
C20orf32	-1.7325
CCDC95	-1.8665
HIGD1B	4.7235
USP6NL	0.350875
ABCD4	-0.215166666666667
DIMT1L	0.355333333333333
TEK	1.937625
