Hybridization REF	TCGA-E2-A14N-01A-31R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.924833333333333
CREB3L1	0.0375
RPS11	0.116625
PNMA1	-0.965
MMP2	-1.4535
C10orf90	-1.39775
ZHX3	-0.2865
ERCC5	0.065
GPR98	-1.408125
RXFP3	0.648
APBB2	0.333
PRO0478	-1.127625
KLHL13	1.3375
PRSSL1	-1.10566666666667
PDCL3	0.834
DECR1	-0.31025
SALL1	-4.656
CADM4	0.051
RPS18	-0.054
HNRPD	-0.415333333333333
CFHR5	1.154
SLC10A7	-0.808142857142857
OR2K2	1.709
LMAN1	-1.168625
SUHW1	-1.095
CHD8	0.2258
SUMO1	1.5338
GP1BA	1.2783
DDB1	-0.576333333333333
MYO9B	-0.1409
MMP7	7.79575
CRNKL1	-0.696375
C9orf45	-0.581333333333333
XAB2	-0.053125
RTN1	1.0625
KLHL14	-1.840375
TBX10	-1.757
CENPQ	-1.94725
UTY	-1.34230769230769
ZBTB12	-0.161
DTNBP1	0.621375
KBTBD8	0.0381666666666667
ZEB1	-1.1745
ZG16	-1.71325
MIER1	1.2159
ADAM5P	0.375
CHD9	-0.3245625
STK16	-1.10075
KIAA1486	-0.514
TOB2	1.01025
BANK1	3.4805
OR2V2	-0.29
GRM2	-0.720666666666667
PROSC	0.249
SPIN2B	0.295
PIR	-1.27911111111111
IPO9	0.1278
EVC	-1.09633333333333
CXCL13	7.34583333333333
KIAA1199	-2.9903
SORL1	0.2675
NAT10	0.92225
CHD1	-0.32225
SYN3	-0.918
SLC22A2	-0.4845
SERPINF1	-1.4895
WDR34	-0.35225
OR7A17	0.6695
C9orf11	0.0015
RNF216L	0.3514
LHB	0.528
STK25	0.29925
TAOK3	0.17
LOC152573	-2.7775
C3orf39	-0.198875
C14orf108	-0.0203
CDC25B	-0.738
BMP3	-0.829
TMEM180	0.134
MAP1LC3C	0.31375
CRYGC	-1.207
POU3F1	-1.3248
C20orf32	-1.7235
CCDC95	-0.216
HIGD1B	2.2495
USP6NL	1.539125
ABCD4	-0.817666666666667
DIMT1L	-1.33158333333333
TEK	-0.114
SLC25A46	-0.6005
LARP7	-1.2298
CD160	0.506166666666667
MT1JP	1.182
PHF20	-0.656625
CPNE4	-1.44475
GTPBP1	-0.505357142857143
RAB33B	0.3606
ALDOC	-1.43925
ZNF212	0.1
NUDT1	0.0256666666666667
RFPL2	-0.786
ZNF83	-1.32
GDPD5	0.159
PDCD4	0.3411
CEP350	-0.43875
OR10A2	0.47825
CST7	0.9715
CIAO1	-0.2305
SELL	2.839
OR8J3	1.784
LTBP4	-0.974166666666667
SIRT6	0.262
CCL19	5.462
PPIL1	-0.816833333333333
GBP7	-0.373833333333333
STK17A	-1.0327
ABR	-1.057
OR9G1	0.6415
FOXE1	-1.06657142857143
CNGA3	-0.532
GML	0.09
CD38	-0.62825
ZDHHC6	0.0235
NEFH	-3.122
CTDSP2	-0.311916666666667
PGBD5	0.775
CCNY	1.52857142857143
RMND5B	0.16775
ZNF257	-0.3975
FLJ22167	-0.345375
EXOSC7	-0.221
ROR2	0.6225
MAOA	-1.435125
TNNT3	0.6815
GYPC	-0.14275
C7orf33	1.097
PLIN	2.6875
LOC90826	-0.00675000000000001
RNF4	-0.5767
F8A1	0.390166666666667
PLEKHG4	-2.90725
GRB2	0.1311
HIST1H2AD	-0.43275
DUS3L	-0.6005
EIF1	-0.599166666666667
RP5-1077B9.4	-0.389833333333333
FPGT	1.07075
GDF10	-1.04733333333333
COQ9	0.26175
GCC2	-0.8895
RARRES3	1.660625
PLXNA1	0.1636
KIAA0100	-0.5891
PMF1	-0.16775
FNDC1	4.66475
HS2ST1	-0.182333333333333
CRELD2	2.2975
C8G	-0.149
CD82	0.50175
LIM2	-1.145
UNQ6490	-0.807
MMP16	-1.30475
DRD3	0.08725
C5orf26	-0.602
C11orf73	-0.287
PTP4A2	0.59025
OR4M2	-0.626
HPCA	-1.21383333333333
SEC14L1	-0.118833333333333
CHFR	0.48625
EMILIN1	0.327
NDUFS4	-1.889
COL18A1	-0.40175
PDZD3	-0.3696
C9orf16	-0.254833333333333
ERBB2IP	-0.268666666666667
EMX2	0.9385
FUS	-0.40075
TF	-3.7819
CLCN4	1.2385
CXorf56	0.6325
C11orf72	0.50475
ELAC2	0.167166666666667
NPR1	-1.38525
ASS1	-0.238166666666667
USP42	1.144875
POLR2J	-0.6555
SEC23IP	0.000833333333333357
UQCRC1	-0.18725
LOC729603	-0.67875
C1orf71	-0.344875
POLG	-1.5315
ADAM23	-3.94525
TFR2	-0.18475
RICTOR	-1.49277777777778
MGC39606	0.50375
C19orf55	-0.14375
SNAPC1	0.0466666666666667
GNA11	-0.023375
CCDC52	-0.757333333333333
FSIP1	-0.404
UPF3A	-0.48825
IGSF11	-3.3598
LAGE3	0.45375
CHST6	0.28
UNC13B	0.153625
TTLL4	1.487
ZNF687	0.1035
SDC2	-0.3468
COX7A2	-0.06625
LAMB4	-0.7735
FAM24A	0.0855
LRRTM3	-1.772
GPHB5	1.33175
OR4C13	-0.404
EIF3EIP	-0.183285714285714
HABP4	-0.2095
TMEM125	3.04175
CNTN2	0.417
ASNSD1	-0.176
FUT4	0.65325
ACF	-4.39125
LOC158381	0.267
CDH8	-0.91125
AGPS	0.273833333333333
C4orf18	-0.264625
PECI	-0.900083333333333
UNG	0.00675000000000001
GSTP1	0.2095
DCUN1D5	0.349333333333333
DKFZP564J0863	-0.18175
SLC9A3R1	0.189
BCDO2	-0.669125
CHMP7	-0.768625
REM2	1.118
DNHD1	-0.496375
FKBP4	-0.02275
ZNF350	-1.9555
MGC11102	0.317875
BST1	2.18025
KISS1R	-0.1425
NCR2	0.4305
DEFB125	-0.374
UBE2W	1.27175
KRT15	3.37
C10orf99	0.377
SCN11A	0.414
GFI1	-1.505
RDHE2	1.7075
FHL1	-1.94483333333333
OSGEP	0.168666666666667
GATA1	-3.47066666666667
SMC6	0.255
TTTY14	-1.15
LPIN3	-0.1855
RPL4	-0.6434
RBPMS	-1.8343
PRPF3	0.446333333333333
EMR1	-1.3725
SPATA19	0.5545
XCR1	0.2625
IRX3	1.6703
RBM6	-0.28625
KLF4	-1.6458
UNC5CL	-1.67475
SEBOX	0.00899999999999998
BTK	-1.20425
KRCC1	0.1125
C6orf27	0.908
SYTL5	-1.4335
PRND	-0.479428571428572
LOC653319	-1.205
PIGL	-0.46925
HUS1	0.668666666666667
SFRS6	-0.436083333333333
C17orf77	-0.2
UIMC1	0.0326666666666667
FXYD2	-1.8436
LOC283152	0.36675
ZNF667	-0.465
ZCCHC12	-1.846
TFEC	2.8226
ATP7B	-1.02016666666667
POLD2	-0.581166666666667
RG9MTD1	1.25975
ACOT2	-0.725
HIST1H4I	-0.957875
PPARGC1A	-2.5692
ETFA	-1.6379
POLRMT	0.05275
