Hybridization REF	TCGA-BH-A1ET-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.172583333333333
CREB3L1	2.34625
RPS11	0.29375
PNMA1	-1.16625
MMP2	0.8145
C10orf90	-2.0595
ZHX3	-0.217333333333333
ERCC5	0.491
GPR98	0.33375
RXFP3	0.114
APBB2	1.11675
PRO0478	-1.0925
KLHL13	-2.10425
PRSSL1	-0.4195
PDCL3	0.577166666666667
DECR1	0.666375
SALL1	-2.92466666666667
CADM4	1.60883333333333
RPS18	-0.0785714285714286
HNRPD	-0.306916666666667
CFHR5	0.14
SLC10A7	0.722875
OR2K2	-0.00950000000000001
LMAN1	-0.73325
SUHW1	-3.87625
CHD8	0.2206
SUMO1	0.3929
GP1BA	0.6518
DDB1	-0.383333333333333
MYO9B	-0.4534
MMP7	6.30425
CRNKL1	0.937
C9orf45	-2.11766666666667
XAB2	0.267875
RTN1	3.122375
KLHL14	-1.41425
TBX10	-1.496
CENPQ	-2.36575
UTY	-1.09378571428571
ZBTB12	-0.138
DTNBP1	-0.35025
KBTBD8	-0.973
ZEB1	0.654166666666667
ZG16	-1.7605
MIER1	0.2854
ADAM5P	0.6975
CHD9	0.7746875
STK16	1.01575
KIAA1486	-0.892
TOB2	0.237083333333333
BANK1	2.50075
OR2V2	-0.141
GRM2	0.1385
PROSC	0.736375
SPIN2B	-0.29475
PIR	-1.63477777777778
IPO9	-0.862
EVC	0.88
CXCL13	2.79716666666667
KIAA1199	-2.955
SORL1	1.37075
NAT10	-0.50725
CHD1	0.0025
SYN3	-0.723
SLC22A2	-0.4625
SERPINF1	0.0986666666666667
WDR34	0.04425
OR7A17	0.07675
C9orf11	0.284
RNF216L	-0.2879
LHB	-0.3005
STK25	-0.296875
TAOK3	0.661
LOC152573	-3.1855
C3orf39	0.256125
C14orf108	0.7146
CDC25B	-2.498
BMP3	-0.473
TMEM180	0.016
MAP1LC3C	1.1965
CRYGC	-1.8575
POU3F1	-1.566
C20orf32	-1.476
CCDC95	0.398
HIGD1B	4.71175
USP6NL	-0.128875
ABCD4	-0.343666666666667
DIMT1L	-0.750833333333333
TEK	1.614375
SLC25A46	-0.476
LARP7	-1.0178
CD160	0.267666666666667
MT1JP	-0.638833333333333
PHF20	-0.173125
CPNE4	1.4655
GTPBP1	-0.849071428571429
RAB33B	1.44083333333333
ALDOC	-3.398375
ZNF212	-0.60775
NUDT1	-1.72483333333333
RFPL2	-0.09825
ZNF83	0.217333333333333
GDPD5	-1.19025
PDCD4	1.94115
CEP350	-0.1005
OR10A2	0.27875
CST7	0.87725
CIAO1	-1.2235
SELL	0.842
OR8J3	0.2285
LTBP4	-0.496833333333333
SIRT6	-0.22925
CCL19	4.36775
PPIL1	-0.888666666666667
GBP7	-0.377333333333333
STK17A	-0.926
ABR	0.511
OR9G1	-1.004
FOXE1	-0.920875
CNGA3	1.2075
GML	1.2385
CD38	-2.31375
ZDHHC6	0.1835
NEFH	-0.3105
CTDSP2	0.190416666666667
PGBD5	-1.463
CCNY	0.107214285714286
