Hybridization REF	TCGA-C8-A1HL-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.573
CREB3L1	2.633
RPS11	0.236
PNMA1	-0.29025
MMP2	0.628666666666667
C10orf90	-2.88375
ZHX3	-0.408333333333333
ERCC5	1.1405
GPR98	1.183375
RXFP3	0.093
APBB2	1.451
PRO0478	-1.073375
KLHL13	-0.32525
PRSSL1	1.65616666666667
PDCL3	0.423833333333333
DECR1	-1.148875
SALL1	-3.3035
CADM4	0.289
RPS18	-0.0690714285714286
HNRPD	-0.898166666666667
CFHR5	-0.4398
SLC10A7	-0.26225
OR2K2	-0.489
LMAN1	-1.166875
SUHW1	-3.9895
CHD8	0.6791
SUMO1	0.6427
GP1BA	0.7121
DDB1	-0.498833333333333
MYO9B	-0.3735
MMP7	4.67
CRNKL1	1.021
C9orf45	-0.68
XAB2	0.43175
RTN1	0.843
KLHL14	-1.370875
TBX10	-1.582
CENPQ	-1.1905
UTY	-3.15166666666667
ZBTB12	0.2115
DTNBP1	-0.060875
KBTBD8	-1.6735
ZEB1	-1.00166666666667
ZG16	3.332
MIER1	-0.464
ADAM5P	0.1595
CHD9	-0.223375
STK16	1.3965
KIAA1486	-0.3275
TOB2	0.756833333333333
BANK1	1.84825
OR2V2	-0.0685
GRM2	0.427666666666667
PROSC	0.365375
SPIN2B	1.30375
PIR	-2.438
IPO9	-0.0653
EVC	0.677833333333333
CXCL13	2.27483333333333
KIAA1199	-0.0325
SORL1	0.19625
NAT10	0.33725
CHD1	-0.85225
SYN3	-0.99375
SLC22A2	-2.75075
SERPINF1	0.6055
WDR34	1.1055
OR7A17	0.027
C9orf11	-1.2725
RNF216L	-0.3074
LHB	0.2965
STK25	0.553
TAOK3	0.9115
LOC152573	-3.53
C3orf39	0.030625
C14orf108	0.312
CDC25B	-0.618727272727273
BMP3	0.251
TMEM180	0.317
MAP1LC3C	0.155
CRYGC	-1.7845
POU3F1	-1.0807
C20orf32	-1.9215
CCDC95	0.4855
HIGD1B	4.847
USP6NL	-0.237875
ABCD4	0.134333333333333
DIMT1L	-0.966666666666667
TEK	2.357
SLC25A46	-1.36275
LARP7	-1.6539
CD160	0.1025
MT1JP	0.0755
PHF20	-0.395125
CPNE4	2.0865
GTPBP1	-0.498857142857143
RAB33B	1.0575
ALDOC	-1.8825
ZNF212	-0.25375
NUDT1	0.172
RFPL2	-0.873
ZNF83	-0.210833333333333
GDPD5	-0.634625
PDCD4	0.9196
CEP350	-0.261
OR10A2	0.44125
CST7	0.0455
CIAO1	-0.6
SELL	0.61075
OR8J3	3.67
LTBP4	-0.3585
SIRT6	0.23575
CCL19	3.8385
PPIL1	-0.804666666666667
GBP7	-0.0481666666666667
STK17A	-1.2483
ABR	0.94575
OR9G1	-0.277
FOXE1	-0.635125
CNGA3	0.1555
GML	0.4315
CD38	-3.21675
ZDHHC6	0.312833333333333
NEFH	-2.23875
CTDSP2	0.59225
PGBD5	-1.24066666666667
CCNY	0.386214285714286
RMND5B	0.836333333333333
ZNF257	-4.2915
FLJ22167	-0.043
EXOSC7	0.215833333333333
ROR2	1.5585
MAOA	-2.376625
TNNT3	0.827333333333333
GYPC	-0.11925
C7orf33	1.137
PLIN	2.5055
LOC90826	-0.813
RNF4	-0.5393
F8A1	0.262666666666667
PLEKHG4	-2.248
GRB2	0.14675
HIST1H2AD	0.9185
DUS3L	-0.9085
EIF1	-0.576666666666667
RP5-1077B9.4	-0.182166666666667
FPGT	0.667
GDF10	-0.0646666666666667
COQ9	1.109
GCC2	-0.352357142857143
RARRES3	2.112
PLXNA1	-0.4613
KIAA0100	-0.5123
PMF1	1.1925
FNDC1	5.5745
HS2ST1	-0.528916666666667
CRELD2	1.03025
C8G	-0.7055
CD82	-0.34575
LIM2	-1.7215
UNQ6490	-0.752
MMP16	0.3085
DRD3	-0.08875
C5orf26	-0.99025
C11orf73	-0.925875
PTP4A2	0.096625
OR4M2	0.361
HPCA	0.189333333333333
SEC14L1	-0.259
CHFR	0.847
EMILIN1	0.854
NDUFS4	-0.43525
COL18A1	0.507
PDZD3	0.1617
C9orf16	0.910666666666667
ERBB2IP	0.109166666666667
EMX2	4.14025
FUS	-0.36375
TF	-3.6627
CLCN4	-0.6775
CXorf56	-0.1985
C11orf72	0.94925
ELAC2	0.274416666666667
NPR1	1.09675
ASS1	0.059
USP42	-0.523875
POLR2J	0.347
SEC23IP	0.688833333333333
UQCRC1	0.71125
LOC729603	-0.14575
C1orf71	-0.491625
POLG	-0.255
ADAM23	-2.6675
TFR2	-0.55625
RICTOR	-0.3302
MGC39606	-0.273
C19orf55	0.01
SNAPC1	-1.868
GNA11	0.816875
CCDC52	0.6895
FSIP1	5.314
UPF3A	0.16325
IGSF11	-2.73866666666667
LAGE3	-0.26725
CHST6	-2.253
UNC13B	-0.253375
TTLL4	-0.84075
ZNF687	0.3775
SDC2	-0.4282
COX7A2	1.07675
LAMB4	-0.269
FAM24A	1.1035
LRRTM3	-1.7066
GPHB5	0.68375
OR4C13	0.5015
EIF3EIP	-0.322714285714286
HABP4	-0.806
TMEM125	4.17
CNTN2	2.6135
ASNSD1	-0.5485
FUT4	-0.28825
ACF	-4.15525
LOC158381	0.2555
CDH8	-0.9245
AGPS	-0.674166666666667
C4orf18	2.883875
PECI	-0.512583333333333
UNG	-0.515875
GSTP1	-2.30225
DCUN1D5	-2.07183333333333
DKFZP564J0863	-0.89275
SLC9A3R1	1.73
BCDO2	-1.06275
CHMP7	-0.545625
REM2	1.8405
DNHD1	-0.98875
FKBP4	0.80525
ZNF350	1.657
MGC11102	1.69575
BST1	1.2305
KISS1R	0.617
NCR2	0.836
DEFB125	-0.7025
UBE2W	0.06925
KRT15	-0.552875
C10orf99	0.4975
SCN11A	0.455125
GFI1	-3.30075
RDHE2	4.58466666666667
FHL1	-0.936833333333333
OSGEP	0.258666666666667
GATA1	-3.286
SMC6	-0.74225
TTTY14	-1.1635
LPIN3	-0.0975
RPL4	0.1048
RBPMS	0.1973
PRPF3	-0.0906666666666667
EMR1	-2.0465
SPATA19	-0.266
XCR1	0.5155
IRX3	1.6501
RBM6	0.06875
KLF4	-0.4361
UNC5CL	-1.2375
SEBOX	0.4555
BTK	-0.3085
KRCC1	0.90675
C6orf27	1.158
SYTL5	0.883
PRND	4.671625
LOC653319	-0.9155
PIGL	-1.73725
HUS1	-0.2105
SFRS6	0.18825
C17orf77	0.035
UIMC1	-0.252333333333333
FXYD2	-2.0207
LOC283152	1.78925
ZNF667	-1.9535
ZCCHC12	0.601
TFEC	3.148
ATP7B	1.2505
POLD2	-0.4765
RG9MTD1	-0.43375
ACOT2	1.0155
HIST1H4I	0.23175
PPARGC1A	-2.80133333333333
ETFA	-0.4692
POLRMT	0.04425
ZNF146	-0.901
MIA2	-3.049
KLHL6	0.079
HOXB5	0.132
NENF	-0.128166666666667
CUGBP1	-0.8155
PRSS22	2.2635
CASC4	0.2082
CUL4B	-0.6294
CENPJ	-1.3679
PITX1	2.06316666666667
FLJ31033	-0.086
CELSR3	-0.155833333333333
ZNF568	0.23775
ITSN1	-0.389166666666667
EHBP1L1	-0.464666666666667
C19orf2	-0.41075
DCTN1	0.75075
LIN28B	-4.4208
TNKS2	0.825
C1QBP	-0.756
CADPS2	1.86575
SRMS	0.89
GJA9	0.422833333333333
MGC24975	-0.865333333333333
TRIM45	-0.972666666666667
TSP50	0.92675
TCP1	-1.087
TMED7	-1.0411
CMA1	0.5085
CENPL	0.068
PTCRA	1.297
FST	-3.9595
VWCE	-4.29275
PAWR	-0.56475
ABCC12	4.28433333333333
LDLR	-1.8469
ASTN2	0.7118
LOC441212	-1.019
GPATCH8	-0.237
TANC2	-0.581666666666667
KIF4A	-0.17725
C18orf18	-1.6445
PGM1	-1.09175
KIAA0258	-0.01425
CPD	0.4825
SNCAIP	-1.59475
DCT	-4.41183333333333
HLA-DOA	3.24559090909091
OR11L1	0.588
UPK1B	0.250666666666667
DNAJB4	-0.39475
UGT1A8	-0.35775
HIST1H4L	-2.399
PECR	-0.9585
HSPA2	2.915
