Hybridization REF	TCGA-BH-A1EV-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.14875
CREB3L1	3.08775
RPS11	0.241625
PNMA1	0.2205
MMP2	1.54766666666667
C10orf90	-1.73175
ZHX3	0.0828333333333334
ERCC5	-0.3395
GPR98	1.29142857142857
RXFP3	0.348
APBB2	1.41575
PRO0478	-1.82225
KLHL13	-0.35325
PRSSL1	-1.18916666666667
PDCL3	0.9115
DECR1	-0.618125
SALL1	-2.00133333333333
CADM4	0.668666666666667
RPS18	-0.157285714285714
HNRPD	-0.504583333333333
CFHR5	-0.561166666666667
SLC10A7	0.017
OR2K2	0.9155
LMAN1	-0.816375
SUHW1	-4.0595
CHD8	0.6187
SUMO1	-0.054
GP1BA	-0.1649
DDB1	0.069
MYO9B	-0.2677
MMP7	5.89425
CRNKL1	1.31875
C9orf45	-0.616
XAB2	0.925875
RTN1	1.537375
KLHL14	-2.126375
TBX10	-1.4445
CENPQ	-0.5715
UTY	-1.48221428571429
ZBTB12	0.364
DTNBP1	-0.142375
KBTBD8	-1.82683333333333
ZEB1	-1.78033333333333
ZG16	0.69075
MIER1	-0.4392
ADAM5P	1.042
CHD9	-0.8305
STK16	1.29875
KIAA1486	-1.2475
TOB2	1.08333333333333
BANK1	2.44575
OR2V2	-0.69425
GRM2	0.107166666666667
PROSC	0.9475
SPIN2B	-1.129
PIR	-2.39277777777778
IPO9	-0.5848
EVC	1.2255
CXCL13	1.325
KIAA1199	1.1847
SORL1	1.566
NAT10	-0.4985
CHD1	-1.0135
SYN3	0.104
SLC22A2	-1.3225
SERPINF1	1.28466666666667
WDR34	-0.12
OR7A17	0.17325
C9orf11	-0.3795
RNF216L	-0.6532
LHB	0.04
STK25	-0.187125
TAOK3	1.195125
LOC152573	-2.93375
C3orf39	0.25325
C14orf108	0.8692
CDC25B	-1.39081818181818
BMP3	1.483
TMEM180	-0.156
MAP1LC3C	-0.81675
CRYGC	-3.4575
POU3F1	-1.5365
C20orf32	-1.9
CCDC95	0.015
HIGD1B	4.61475
USP6NL	0.3945
ABCD4	-0.435833333333333
DIMT1L	-1.22616666666667
TEK	0.537625
SLC25A46	-0.39825
LARP7	-2.1169
CD160	0.1745
MT1JP	-1.42
PHF20	0.4186875
CPNE4	-1.0055
GTPBP1	-0.0472857142857143
RAB33B	1.47366666666667
ALDOC	-1.444625
ZNF212	-0.35425
NUDT1	0.405666666666667
RFPL2	-0.8825
ZNF83	0.789666666666667
GDPD5	-0.12625
PDCD4	2.63935
CEP350	0.146
OR10A2	0.18275
CST7	0.97975
CIAO1	-1.096
SELL	-0.21225
OR8J3	0.2425
LTBP4	0.0885
SIRT6	0.23225
CCL19	1.3685
PPIL1	-0.674166666666667
GBP7	0.1075
STK17A	-0.8897
ABR	-0.20075
OR9G1	0.836
FOXE1	-0.37775
CNGA3	1.3395
GML	0.9795
CD38	-3.72325
ZDHHC6	0.788
NEFH	-2.6245
CTDSP2	0.818833333333333
PGBD5	-1.10133333333333
CCNY	0.152571428571429
RMND5B	0.0820833333333333
ZNF257	-1.211
FLJ22167	-0.132375
EXOSC7	-0.28
ROR2	2.373625
MAOA	-2.034375
TNNT3	-0.308333333333333
GYPC	-1.5245
C7orf33	1.0775
PLIN	1.588
LOC90826	-0.451
RNF4	-0.2191
F8A1	-0.443833333333333
PLEKHG4	-2.58275
GRB2	0.8587
HIST1H2AD	-1.03075
DUS3L	-1.01883333333333
EIF1	-0.349333333333333
RP5-1077B9.4	-1.28316666666667
FPGT	1.3035
GDF10	-2.15416666666667
COQ9	-0.48
GCC2	-0.702285714285714
RARRES3	2.666125
PLXNA1	-0.5207
KIAA0100	2.0955
PMF1	0.6725
FNDC1	5.6575
HS2ST1	-0.689916666666667
CRELD2	0.73775
C8G	-1.0595
CD82	-0.14675
LIM2	-1.271
UNQ6490	-0.6815
MMP16	-1.12125
DRD3	0.19075
C5orf26	-1.32075
C11orf73	0.27275
PTP4A2	0.613625
OR4M2	2.1065
HPCA	-1.0525
SEC14L1	-0.976833333333333
CHFR	0.085
EMILIN1	1.241875
NDUFS4	-0.57875
COL18A1	0.0255
PDZD3	-0.289
C9orf16	-0.135666666666667
ERBB2IP	-0.351333333333333
EMX2	3.86675
FUS	-0.94125
TF	-4.1688
CLCN4	1.06616666666667
CXorf56	0.08275
C11orf72	0.5405
ELAC2	-0.644083333333333
NPR1	-0.43325
ASS1	-1.29133333333333
USP42	-0.72725
POLR2J	-0.6975
SEC23IP	1.07383333333333
UQCRC1	-0.20975
LOC729603	-0.80925
C1orf71	-0.60525
POLG	-1.7565
ADAM23	-3.2695
TFR2	-1.05
RICTOR	-1.7074
MGC39606	1.15475
C19orf55	-0.185625
SNAPC1	-0.799333333333333
GNA11	0.46775
CCDC52	1.798
FSIP1	2.3275
UPF3A	-0.265875
IGSF11	-2.87366666666667
LAGE3	0.95325
CHST6	-0.753
UNC13B	0.474875
TTLL4	-0.129375
ZNF687	0.029375
SDC2	-0.1175
COX7A2	-0.67625
LAMB4	0.37825
FAM24A	-1.0115
LRRTM3	-1.4592
GPHB5	0.78025
OR4C13	-0.521
EIF3EIP	0.593
HABP4	-0.5065
TMEM125	4.46675
CNTN2	0.95725
ASNSD1	-0.423
FUT4	0.052625
ACF	-4.01275
LOC158381	1.2095
CDH8	-0.548
AGPS	0.252166666666667
C4orf18	2.152125
PECI	-0.2235
UNG	-0.626875
GSTP1	-1.156625
DCUN1D5	-0.406833333333333
DKFZP564J0863	-1.0315
SLC9A3R1	1.0285
BCDO2	0.664
CHMP7	0.824
REM2	3.1625
DNHD1	0.672625
FKBP4	0.115625
ZNF350	2.5455
MGC11102	0.47425
BST1	1.54575
KISS1R	0.897
NCR2	0.3975
DEFB125	0.5755
UBE2W	0.6605
KRT15	1.070125
C10orf99	0.2755
SCN11A	-0.45425
GFI1	-3.67
RDHE2	3.636
FHL1	-0.827166666666666
OSGEP	0.145333333333333
GATA1	-3.78066666666667
SMC6	-0.5125
TTTY14	-1.8425
LPIN3	-0.00874999999999999
RPL4	-0.0064
RBPMS	0.8624
PRPF3	0.2135
EMR1	-2.7975
SPATA19	0.52475
XCR1	0.509
IRX3	1.2963
RBM6	-0.273
KLF4	-0.3184
UNC5CL	1.615
SEBOX	0.1975
BTK	-1.23575
KRCC1	1.052
C6orf27	0.6665
SYTL5	1.261
PRND	3.35775
LOC653319	-0.808
PIGL	-2.4715
HUS1	0.221166666666667
SFRS6	1.13483333333333
C17orf77	2.685
UIMC1	-0.803666666666667
FXYD2	-2.1852
LOC283152	2.86525
ZNF667	-0.605
ZCCHC12	-0.93075
TFEC	2.5885
ATP7B	0.180166666666667
POLD2	-0.113833333333333
RG9MTD1	0.5525
ACOT2	0.6605
HIST1H4I	-2.11475
PPARGC1A	-0.4375
ETFA	-1.7522
POLRMT	-0.31225
ZNF146	1.05575
MIA2	-2.767
KLHL6	-1.57483333333333
HOXB5	1.8485
NENF	0.8305
CUGBP1	0.5335
PRSS22	2.10883333333333
CASC4	0.6619
CUL4B	0.0182
CENPJ	-1.8899
PITX1	2.28616666666667
FLJ31033	-0.806666666666667
CELSR3	-2.283
ZNF568	1.36325
ITSN1	-1.12975
EHBP1L1	-0.566833333333333
C19orf2	0.39625
DCTN1	0.332
LIN28B	-5.11933333333333
TNKS2	0.92425
C1QBP	-1.178125
CADPS2	0.70975
SRMS	0.84375
GJA9	0.795166666666667
MGC24975	-1.06583333333333
TRIM45	0.44
TSP50	0.3835
TCP1	-1.50075
TMED7	-0.4475
CMA1	0.066
CENPL	-0.737
PTCRA	0.1485
FST	-2.2975
VWCE	-3.86975
PAWR	-1.11525
ABCC12	2.6705
LDLR	-1.8525
ASTN2	0.00609999999999999
LOC441212	-1.20025
GPATCH8	-0.05725
TANC2	-0.366166666666667
KIF4A	-1.58725
C18orf18	-0.91875
PGM1	-0.37075
KIAA0258	0.1725
CPD	0.70925
SNCAIP	-1.36225
DCT	-4.6285
HLA-DOA	3.29631818181818
OR11L1	0.4925
UPK1B	-0.692
DNAJB4	-0.2885
UGT1A8	-0.347
HIST1H4L	-3.58
PECR	-0.692166666666667
HSPA2	2.352
WFIKKN1	-2.621
SERP1	1.47925
SYDE2	-1.5195
TACR2	0.6005
NUP85	-1.04225
CD177	-0.609833333333333
LGR5	-2.058
PIGG	-0.615916666666667
PTHR1	-1.35016666666667
RAB5A	1.3248
FLJ13224	-0.2325
USP9Y	-2.80733333333333
C7orf53	-0.7575
LRP1B	-1.351
XAF1	0.617
ABCG8	0.491
ANKDD1A	-1.04416666666667
DAND5	0.0075
SPAG6	1.86033333333333
LINCR	2.26425
ZDHHC22	-1.669625
CCDC60	0.7835
THOC7	-0.944166666666667
TCTA	1.3079
OR8K3	0.244
NY-REN-7	-2.15933333333333
B2M	1.49133333333333
C6orf141	-3.2315
LPPR4	3.408
SQLE	-0.01575
SEPHS1	0.4585
BTBD14B	0.297571428571429
PLRG1	-0.80075
SPG7	-0.8254375
ZNF614	1.1875
PARD6G	0.331333333333333
INPP5B	0.2494
GRPEL2	0.00674999999999998
PPID	-0.9997
TRIM56	-0.9375
UBE2J1	-0.4045
IL20RA	3.4255
LOC387856	0.339
C1orf107	1.86941666666667
UTS2R	-0.08975
C19orf22	0.85425
SAFB2	-1.102
KIAA0652	0.33875
KLRG1	-1.356
MS4A8B	3.44566666666667
FRAG1	1.436
KIAA1546	-0.004
E2F4	-0.9313
CLEC4M	-0.2605
BTBD14A	-0.9625
KIAA0999	1.0972
GYPA	-4.0102
TAC1	4.0149
TRAIP	-1.0275
KIAA0232	0.6357
ERCC8	-1.260625
GPX4	0.4045
KIAA0368	-0.49425
GPR157	-0.504666666666667
CTAGE4	1.098
C9orf30	-0.594166666666667
OR52A1	0.703
HSP90B3P	-0.5125
ALG9	0.0704
BTBD10	1.10025
SDK2	-1.48175
BAIAP3	0.97675
RABGGTB	-1.303875
ANKRD40	-0.177333333333333
KRT74	0.797
CALCOCO2	0.458571428571429
SNCA	-3.23025
TMSL8	-2.893
C2orf53	-0.401
ESRRB	-0.46475
ARHGAP26	-2.1925
TDRD9	-3.526
HRAS	-0.0225
KLRC4	-1.969
JAGN1	0.325
BSDC1	-0.323
RNF43	0.6865
NDUFAF1	0.93975
PHF12	1.76775
OR1L3	0.4815
FOLR2	2.18033333333333
LYZL6	0.3375
tcag7.1260	-1.256
WSB1	-0.2495
PROS1	-1.2634
OSTN	0.519
PSMB8	-0.27825
SOCS4	0.145857142857143
DDIT4L	0.541
MAS1	1.619
MGC34796	0.8275
CSHL1	0.283666666666667
TBCCD1	0.908666666666667
ZBTB7C	0.6015
AP2S1	0.302375
P15RS	-0.3059
VAT1	-0.155
SHANK3	0.853666666666667
TUFM	-0.622
THEG	-0.368
KRT34	-2.0835
SGSM3	0.659875
TOMM22	-0.6145
SOCS3	0.0235
CPO	2.3385
POP4	0.65225
BHLHB3	0.9665
MALL	0.08125
OR1B1	-0.488
PARK2	0.265833333333333
GPR124	0.5795
LCE1E	-0.9585
RUVBL2	-0.24525
CGRRF1	0.8932
ACPL2	0.98975
WNT10B	-1.712625
BAIAP2L2	-2.12
ISCA1	0.5465
C1orf125	1.386875
RPAP1	0.18825
RAI16	0.627333333333333
RPL27	0.08875
NLRP9	0.596
EPN1	0.909
LOC388610	1.5425
SLC35A1	0.9269
GAL	-4.5035
SLC14A2	0.4275
RDH11	-0.1435
FAM138F	0.0965
AUH	-0.27075
FLJ40243	0.44375
C14orf129	0.471333333333333
MBD2	-0.592166666666667
ABHD14B	0.936625
PIGT	0.15025
ALS2CR4	0.155625
ALAS1	0.6658
FOXO1	0.0236666666666667
CRLF3	-1.28225
C20orf107	0.3065
FARS2	0.96075
CCDC28A	0.1845
NPHP3	-0.43925
OR13F1	0.473
TSEN54	-1.476
DEFB106B	0.522666666666667
OR8B4	1.021
STH	-0.68725
ZC3H14	-0.383875
CBX2	-0.0775
TMEM49	-0.18475
C6orf21	0.7555
FLJ20920	0.023625
CRTAP	0.407285714285714
DDX50	0.24925
STYXL1	-0.124
BLVRB	0.0365
LOC147650	0.502166666666667
MMP24	0.39675
GRID1	2.04183333333333
BANF1	0.0466666666666667
CTAGEP	0.8045
HMBS	-1.7675
SLC25A24	-0.1665
C14orf50	3.27675
MRO	1.07366666666667
SLC25A15	-1.11125
FAM84B	2.1556
TDP1	-0.0365
C16orf78	0.114833333333333
C11orf57	-0.315875
RFK	-1.035
ZFYVE9	-1.512125
STCH	-0.7452
WIBG	1.2865
LOC283871	-0.271333333333333
GBA2	-0.0822
NDUFB3	0.02125
HSD17B13	-0.49675
GRIN3A	0.506166666666667
FMNL1	-0.6515
SEPT7	-0.4374
GNLY	1.678
GRAMD1C	0.694833333333333
ZNF165	0.18825
USP38	0.89675
FAM83A	-3.35916666666667
C14orf24	-0.03675
ARMCX3	1.316125
ARHGDIB	1.56866666666667
AK1	0.208
KIAA1045	-0.16875
DNAJB13	-0.219666666666667
NEU2	1.3245
HIST1H4B	-2.453
FAM20B	-0.1259
HES2	1.79307142857143
FAM73B	-0.4554
LOC388381	0.92525
INTS7	0.394363636363636
AMPH	1.6835
ZNF775	-0.59975
UCKL1	-0.779166666666667
C10orf97	0.53
C1orf161	0.397
ALDH1L1	-1.44575
FLJ39378	-0.112
SLC23A1	-1.4835
RBM4B	0.88525
THAP4	-0.0698333333333333
OGFRL1	-0.0155
KIAA0831	0.04225
PPP1R15A	-0.2475
C1orf96	-1.11478571428571
C12orf11	0.00925
BMF	2.1175
MAN1A1	-0.00924999999999999
KIAA1600	0.992166666666667
NLGN4X	-0.4725
ALOX12	-1.67316666666667
RB1CC1	-0.4979
NEIL2	0.416
EIF4E	-0.148
ABHD5	-0.05725
EXOC4	-0.798333333333333
CIP29	0.43
BATF2	-0.42525
SLC29A4	-0.33925
HTR4	0.632
EMB	-2.0495
TRAF6	0.774
LMNB1	-3.4495
FAM19A5	-0.69775
SHE	1.20475
PIK3C2B	1.78875
C15orf15	-1.3215
USP15	-0.6374
TCEAL2	1.31675
C5orf39	-1.676
PTGER2	0.0285
SLC31A1	-1.254625
IFT172	0.85925
ADAM29	0.63075
GFOD1	-0.47825
ST7L	1.4835
C15orf26	-2.405
PKN3	0.448
CNTD1	3.11333333333333
COMMD1	0.323375
NTRK2	1.74258333333333
FOXN3	-0.61225
MFGE8	0.5839
PFKFB2	0.465333333333333
TAS2R4	-0.68075
ENTHD1	0.3335
PRMT5	0.02475
MGC16384	-2.494
LOC442229	0.14625
TSKU	1.94875
KRTCAP3	-2.219125
PDLIM1	1.9458
KCNS2	0.1845
RNF126	-0.883333333333333
CEP63	0.340875
CLIC4	-0.33725
hCG_1990170	-1.1885
ACR	1.2008
KLK7	-0.76675
ALOX5AP	3.35825
RIPK3	4.264
TAS2R9	1.015
C19orf18	3.5345
BIRC6	0.601428571428572
ZNF16	2.0645
RFT1	-0.34825
SLC8A2	1.11375
TACC1	-1.492
ITGAD	2.59966666666667
SAMHD1	0.39325
SH3PXD2B	0.7546
EPC2	0.15825
C20orf85	4.233625
ATP13A2	0.709166666666667
KRT4	2.741625
CAPNS1	0.142
MDM2	0.1155
PCDH20	4.7665
KCNK9	0.9835
OR2C1	-0.1525
KLHDC3	-0.2015
IPPK	0.8645
EFHD2	0.518625
GALR3	-0.05425
NBEA	0.461833333333333
ABCA6	2.6256
CLDN3	0.9685
AKT2	-0.0103571428571429
EGFR	-1.38
RBM16	1.095625
ZDHHC3	0.7234
SLC25A4	0.025
CYB5B	-1.54016666666667
CPXM1	-1.1205
NDRG1	0.306230769230769
FLJ43826	0.7915
OR5L2	0.280833333333333
FARP2	1.0168
MRPL46	-0.89375
LDHAL6B	-0.250333333333333
MAPKAPK3	-0.0171666666666667
NCAM2	-1.1025
PRKD2	0.951333333333333
ZFP36L1	0.4038
CYSLTR1	1.52325
OR4C3	-0.42225
HIST1H2AJ	1.7515
CCNB2	-3.53044444444444
ZNF10	0.461125
TMEM175	0.2645
FAM134A	0.695833333333333
TIGD4	0.359
PCNP	-0.25225
MGC39715	0.06225
LQK1	0.507
CREB1	-0.084
TMPRSS3	0.81325
C4orf32	0.346375
LAT	-2.95333333333333
KCNA3	-1.3875
SKIV2L2	-0.33275
ROPN1B	-1.59325
tcag7.23	0.162
CDT1	-2.367
ZHX2	0.849
CD28	-3.4615
ZNF624	0.87375
SEPT2	0.760666666666667
SOHLH2	0.507375
MCOLN3	-0.66975
UNQ1945	0.5365
MASP2	-1.7745
ZNRF3	-0.4783
GPATCH3	-0.46825
AGL	1.211
QRICH2	0.0555
PSD4	0.977333333333333
CCNB1IP1	-1.768
ENPP7	0.104
OBFC1	0.903
KCNG3	-2.54725
C14orf79	2.0505
ENPEP	3.04666666666667
SCT	3.4205
SKI	0.935875
SEC61G	-1.02975
CAPN11	0.39625
ATXN7L3	0.10425
DBNDD1	0.146
FAIM	-0.0275
ANKRD36	-1.9325
GABRP	-0.9256
TACSTD2	2.58316666666667
EIF3J	-0.85025
PPP2R2A	1.06225
TEKT4	-0.237666666666667
PVALB	0.155166666666667
F10	-2.7495
FAM134C	0.7486
COMP	4.606125
EFCBP1	-3.1912
SCLT1	-1.9725
TAL1	-1.3024
ACSL1	2.046
ABCC5	0.66575
ABL1	-0.449444444444444
RBBP7	0.137416666666667
PTPRG	-1.69425
NCOR1	-0.7858
SPINK4	3.28483333333333
TXNRD1	-0.7985
TNRC15	-0.98375
C9orf138	2.5425
UBE2H	0.00300000000000001
BRDT	-0.0486
C8orf31	0.11925
CCNE2	0.140909090909091
SLC6A8	-1.194625
CALCR	-2.70275
PPP1CB	1.00108333333333
ABHD8	0.602
ARF5	-0.2197
SLC24A4	0.5585
CCT3	0.2035
ZNF121	-0.094375
SLC3A2	-0.6611
OR13A1	0.365
SLC5A10	1.73825
RAD50	-0.232
IER5	-1.02475
MTHFD1L	-1.91475
MBTPS2	0.16075
MVK	0.083875
NCL	-0.4443
PSMD10	0.09175
MOBP	0.749571428571429
FLJ32894	0.533
HRH1	0.0125
C5orf30	0.6225
NUDT16L1	0.2236
RASGRP3	4.06483333333333
PRKRIP1	-0.8711
CCDC75	-1.7705
LOC253970	0.0632499999999999
KIAA1239	0.37025
MED21	-0.56175
SYT11	0.472416666666667
NTSR2	-0.0945
EGFL11	-0.4065
CXorf59	0.9405
OR2A25	-0.1365
SPTBN2	1.1285
LRMP	-1.7775
RNF111	-0.683
PTH	0.802
LOC619208	1.77833333333333
KIAA0895	1.9095
RANBP5	-1.437125
P2RY10	-1.11983333333333
NME5	4.60166666666667
DDX21	-1.36225
LRSAM1	0.4275
HDAC11	2.96283333333333
VMO1	2.54525
NOLA2	-1.17983333333333
ADAR	0.425083333333333
MTO1	-0.499833333333333
SF4	0.364333333333333
P2RX1	-0.51
HBM	0.04525
EN2	0.0055
C14orf172	0.317
TM9SF2	0.146
INHBE	-1.70233333333333
TCTE3	-0.23425
TOX2	-3.28075
CTAGE3	-0.206875
HBB	2.959
MED15	-0.0815
CASR	-0.423
C6orf66	-1.7445
MTPN	-2.441375
UNC50	-0.107
C21orf33	0.213
IRF2	0.662875
PGR	-1.43233333333333
GPR84	2.2175
CROCCL1	-2.7925
SRPX	-0.959
BRE	0.833333333333333
FGF10	2.77925
SDC3	-0.3425
ZRSR1	1.03733333333333
DKFZP434P211	-0.695875
SOX6	0.5065
RPUSD2	0.80875
C14orf173	0.118666666666667
MAPK11	-0.954166666666667
TBC1D22A	0.9535
FAM123A	-2.0145
COL4A6	-1.75733333333333
TOMM70A	0.51175
NAB1	-1.621625
MGC16385	-0.31325
TSPAN18	-1.78466666666667
MED31	-0.59025
PLG	-1.5705
CAPSL	4.595
ZNF532	1.4286
ASB14	-0.35475
CA8	1.7585
NUDT16P	2.09066666666667
SLFN11	-0.789
LRRIQ2	0.162625
NOL7	-0.598333333333333
BRMS1L	0.088375
JARID1A	-0.557833333333333
PANK2	-0.4645
ICAM3	-0.78325
MDS1	-1.026
TAF8	-0.8935
RNF139	0.902
ZNF594	-0.236333333333333
ADAM8	2.56
SFTPC	-0.6025
MAN2B2	1.04225
RGS12	-0.172375
EIF1AY	-5.20408333333333
LRRIQ1	2.20983333333333
GPR150	-0.262
CCDC21	-1.48733333333333
PRRG3	0.06075
SAA4	-4.25925
RAPGEF5	1.3045
ZCCHC2	-1.7365
MGC39372	2.9295
PPP4R2	0.626333333333333
CDCA2	-2.15
OR4D5	0.44
PTGFRN	2.1791
SIGLEC5	2.1125
C19orf61	-0.0483333333333333
NMUR2	0.538
KIAA1586	-1.41383333333333
DAGLA	-1.56866666666667
CHCHD6	-0.1725
GPR32	1.1985
NEUROD6	0.474
SLC2A4RG	0.7301875
CA5B	-0.30925
FBXL3	0.894
MPHOSPH9	-0.62425
HMG2L1	0.94025
HCN4	-0.6375
CEACAM19	2.1275
SH2D4B	0.7926
HFE2	-1.1855
TGM4	1.24433333333333
LYPD2	0.18
TBC1D15	1.67275
MRPS21	0.3954
NONO	-0.7703
CLEC5A	3.648375
ITCH	0.1993
MGAT3	-1.24583333333333
MBP	-1.024375
RPP25	-1.02025
SOSTDC1	-3.223
HRC	-1.6405
TRIM48	0.2645
TMEM133	-0.00475
ECEL1P2	-1.68775
HOXC11	0.582
DOK5	-0.4435
HELZ	-0.59
LOC348180	-0.9685
MGC33894	0.583
ADRB3	0.029
DMD	-0.341083333333333
PTRH2	-0.4125
MPEG1	3.294
NDUFA12	-0.505166666666667
KRTAP2-4	-0.196583333333333
STAMBPL1	-2.0815
ADCY2	0.159
UNQ6125	-0.133
KLHL20	-0.974333333333333
SRM	-1.89375
OTC	-0.42725
TMIE	-0.501333333333333
SNX8	0.1775
LIPK	-0.131
CHURC1	-0.549083333333333
KLC2	0.412666666666667
HDAC1	-0.450666666666667
FAM128A	0.1935
FNDC3B	0.6287
MTCP1	-0.344833333333333
WFDC10B	1.1369
PCDHGB3	0.102
ATRNL1	0.8714
CAV2	-0.385875
MED26	-0.154333333333333
DUS1L	-0.41775
CHRM3	-1.72825
NEK9	1.23925
WARS2	-0.05875
TBX22	0.0305
TOMM40	-0.71575
RP6-213H19.1	-1.322
TUBGCP5	-0.6715
IGSF6	4.64725
TPPP	0.488333333333333
UNQ6190	0.235
GSTM5	0.776375
BTD	2.53133333333333
PDCD1LG2	0.7645
SNRPB2	-0.0318333333333333
ERICH1	-1.43275
APOA4	-1.505375
HOXA11	-0.204
NARG1	0.016
MKX	-1.04525
RAB28	-0.340071428571429
PKP3	1.16
SH3GL2	1.46675
CTSO	3.06825
RPN2	0.10025
IL28RA	-0.3905
SFMBT1	0.25475
WDR57	-0.06475
FER1L3	-0.105333333333333
HSF5	0.121166666666667
TTC9B	-0.43875
C4BPA	-3.895
ALB	-5.54291666666667
SORBS3	0.253625
UPF2	0.829
JPH1	0.3105
AGBL2	0.876
DOPEY1	0.6375
TERF1	0.0731666666666667
KIF22	-0.0718333333333333
NINJ1	1.3985
SEC61A2	0.175666666666667
HIST1H1D	-3.015
SFXN4	-0.048625
UCP3	0.00270000000000001
ZNF703	2.52033333333333
MYL6B	-0.2635
TREM1	3.45275
OR52E6	0.085
CKMT2	2.147
HLA-C	1.403625
SLC13A3	0.8455
TIMP4	-1.45975
SLIT2	1.612
RSF1	-0.669166666666667
LONRF1	0.172642857142857
MON1A	-0.0271666666666667
CACNG6	-1.96733333333333
DPPA4	-6.04316666666667
ZSWIM3	0.721
ZNF804A	0.417333333333333
CCIN	2.1135
SLC25A31	-1.381
KCNMB4	1.0325
RABL5	0.816625
GALNS	-0.712
STX6	-0.42725
HIST1H1C	-2.72083333333333
CIDEB	0.721125
CASP4	-1.1035
PDK3	0.3848
KCNJ11	1.855
TPR	-0.524625
ZSCAN20	-0.8555
MTX2	-0.33775
HIST1H2BH	-0.47275
LOC283767	2.4835
LYRM7	-1.42466666666667
BRD3	-0.236666666666667
HIST1H2BO	-0.167
MAGEB10	0.5355
SLC45A1	1.06225
SERPINA3	-0.1007
KIAA0143	1.42675
KCNJ16	-0.552833333333333
KRT79	0.79775
FABP2	-1.4255
NUT	0.99675
ZNF57	0.3135
FBXL4	0.189375
CLEC9A	0.615
UGT8	-2.09666666666667
BMP2K	-0.4875
MAPK4	-3.85925
SLC25A23	0.2766
HINT1	-1.041
KRTAP13-1	0.237
SFXN5	-0.3499
CHCHD2	-1.08783333333333
FAM3D	2.133
NDP	-3.5955
RHOBTB1	-1.0865
SLC4A4	-1.83
RPL38	-0.832
HTF9C	0.0381666666666667
AP2A2	0.583375
ZBTB46	-0.266
MAP7D1	0.729
AOX1	-1.0835
CYR61	1.42541666666667
DTNA	-0.448
JRKL	0.3985
TMOD3	-1.006
EEA1	1.1902
ADCK5	0.907
IL1R1	1.67433333333333
KLK3	-0.0620714285714286
HRSP12	0.6105
KTN1	0.4375
LOH11CR2A	1.4083
RELL2	-1.98
MAB21L1	2.09975
C20orf59	-1.19566666666667
PHKB	0.148
ADAM2	-3.16233333333333
TBC1D8B	2.71283333333333
FAM13A1	-1.581
LAPTM4B	-0.165333333333333
LCN8	0.502
TMEM147	0.29
SYT4	-0.0515
XPO7	-0.4075
C9orf62	-0.5735
GPR75	-0.96
TRIM5	-0.087125
APOC1	-0.357666666666667
RNASE4	1.81583333333333
PARD6B	-1.614875
ARID1A	0.460083333333333
TPD52L3	0.1137
RRAGB	1.596
RCN2	-0.979166666666667
HIST2H2BE	-0.9698125
STARD7	-0.1945
SHMT2	-0.973
KIAA1751	-0.551833333333334
MLYCD	-0.19475
LOC162632	-1.0172
UQCRH	-1.74025
RP11-217H1.1	-0.53275
SDHA	-0.984833333333333
NCLN	-0.2688
ZNF17	0.880333333333333
RCBTB2	-1.51025
VEGFB	0.1404
RP4-747L4.3	-0.903
COLQ	1.8795
MPN2	-0.863166666666667
DRG2	-0.269
KLRB1	2.352
ALPK2	-0.647
DNASE2B	2.278
FLJ23834	0.165
AXUD1	0.510666666666667
