Hybridization REF	TCGA-BH-A1ET-11B-23R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.686083333333333
CREB3L1	-0.37175
RPS11	1.1325
PNMA1	0.20225
MMP2	1.4645
C10orf90	0.1305
ZHX3	0.232166666666667
ERCC5	0.48525
GPR98	-0.398125
RXFP3	0.355
APBB2	0.967
PRO0478	-0.6655
KLHL13	1.2155
PRSSL1	-0.0963333333333333
PDCL3	-0.1185
DECR1	0.019
SALL1	-3.61666666666667
CADM4	0.5285
RPS18	0.744357142857143
HNRPD	-0.286
CFHR5	0.1398
SLC10A7	0.07025
OR2K2	-0.578
LMAN1	-1.6865
SUHW1	-3.4805
CHD8	-0.2806
SUMO1	0.244
GP1BA	0.8204
DDB1	-0.827166666666667
MYO9B	-0.701
MMP7	7.1755
CRNKL1	0.169375
C9orf45	-0.9
XAB2	0.260875
RTN1	2.130375
KLHL14	0.108
TBX10	-1.781
CENPQ	-1.22875
UTY	-2.19925
ZBTB12	-1.0125
DTNBP1	0.652625
KBTBD8	-1.65933333333333
ZEB1	-0.04
ZG16	-1.4295
MIER1	-0.015
ADAM5P	-2.5955
CHD9	0.06575
STK16	0.31625
KIAA1486	-1.9665
TOB2	1.04808333333333
BANK1	3.84025
OR2V2	0.07425
GRM2	0.114833333333333
PROSC	-0.07425
SPIN2B	0.62675
PIR	-1.25544444444444
IPO9	-1.3655
EVC	0.8985
CXCL13	1.13016666666667
KIAA1199	-3.9476
SORL1	1.29775
NAT10	-0.98175
CHD1	-0.8685
SYN3	0.02775
SLC22A2	-0.286
SERPINF1	1.9395
WDR34	-1.47525
OR7A17	0.38725
C9orf11	-1.798
RNF216L	-0.2742
LHB	-0.1705
STK25	-0.3245
TAOK3	0.480125
LOC152573	0.27525
C3orf39	0.599125
C14orf108	0.3205
CDC25B	-1.52454545454545
BMP3	0.7005
TMEM180	-0.7335
MAP1LC3C	3.5415
CRYGC	-0.9365
POU3F1	-1.6881
C20orf32	-2.106
CCDC95	-0.4075
HIGD1B	5.47775
USP6NL	-0.137625
ABCD4	0.507
DIMT1L	-0.146
TEK	3.037
SLC25A46	-0.295
LARP7	-1.0139
CD160	1.863
MT1JP	1.26133333333333
PHF20	-0.5531875
CPNE4	-2.3745
GTPBP1	-0.177071428571429
RAB33B	1.627
ALDOC	-1.5835
ZNF212	-0.0955
NUDT1	-1.344
RFPL2	-1.081
ZNF83	0.454833333333333
GDPD5	0.684875
PDCD4	2.1552
CEP350	-0.42175
OR10A2	0.34575
CST7	0.5575
CIAO1	-1.52175
SELL	0.479625
OR8J3	0.9735
LTBP4	0.753166666666667
