Hybridization REF	TCGA-C8-A1HI-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.954583333333333
CREB3L1	0.529
RPS11	-0.161875
PNMA1	0.0025
MMP2	0.4495
C10orf90	-1.59225
ZHX3	0.293
ERCC5	0.1985
GPR98	1.065125
RXFP3	0.3495
APBB2	1.33025
PRO0478	-1.390875
KLHL13	1.08975
PRSSL1	0.537666666666667
PDCL3	0.269833333333333
DECR1	-0.7725
SALL1	-3.52433333333333
CADM4	0.516166666666667
RPS18	-0.613642857142857
HNRPD	-0.65175
CFHR5	2.15416666666667
SLC10A7	0.01775
OR2K2	0.1425
LMAN1	-0.38
SUHW1	-4.0335
CHD8	0.1041
SUMO1	0.2165
GP1BA	-0.4444
DDB1	-0.7185
MYO9B	-0.3852
MMP7	5.15075
CRNKL1	1.425875
C9orf45	-1.81066666666667
XAB2	0.537625
RTN1	1.5005
KLHL14	-0.8705
TBX10	-1.819
CENPQ	-1.3835
UTY	-1.62538461538462
ZBTB12	-0.33
DTNBP1	-0.8975
KBTBD8	-1.07433333333333
ZEB1	-0.89
ZG16	-1.39625
MIER1	-0.1484
ADAM5P	0.465
CHD9	-0.4900625
STK16	0.07
KIAA1486	-1.461
TOB2	0.44575
BANK1	2.97025
OR2V2	0.36725
GRM2	-0.00633333333333333
PROSC	0.672
SPIN2B	-0.4765
PIR	-0.777888888888889
IPO9	-0.6688
EVC	1.50233333333333
CXCL13	0.867166666666667
KIAA1199	-3.6999
SORL1	0.20625
NAT10	-0.15975
CHD1	-0.626
SYN3	-0.5495
SLC22A2	-0.51825
SERPINF1	-0.290166666666667
WDR34	-0.4715
OR7A17	0.417
C9orf11	0.2555
RNF216L	-0.4914
LHB	0.0385
STK25	-0.546625
TAOK3	0.733625
LOC152573	-2.9885
C3orf39	0.79175
C14orf108	0.9699
CDC25B	-2.01081818181818
BMP3	-0.2665
TMEM180	0.0225
MAP1LC3C	0.67675
CRYGC	-1.7455
POU3F1	-1.8218
C20orf32	-1.997
CCDC95	-0.332
HIGD1B	4.507
USP6NL	-0.3185
ABCD4	-0.549333333333333
DIMT1L	-0.800916666666667
TEK	1.506625
SLC25A46	-0.80675
LARP7	-1.4583
CD160	0.476833333333333
MT1JP	-0.0725
PHF20	0.0945625
CPNE4	1.40075
GTPBP1	-0.492785714285714
RAB33B	1.43716666666667
ALDOC	-2.032
ZNF212	-0.36275
NUDT1	-0.790666666666667
RFPL2	1.16625
ZNF83	0.228666666666667
GDPD5	-1.377
PDCD4	1.85125
CEP350	0.33425
OR10A2	-0.3975
CST7	0.0175
CIAO1	-0.909
SELL	2.12775
OR8J3	-0.935
LTBP4	0.325
SIRT6	0.24975
CCL19	4.1785
PPIL1	-0.772
GBP7	0.399166666666667
STK17A	-0.618
ABR	0.6965
OR9G1	-0.804
FOXE1	-0.629625
CNGA3	0.727
GML	0.3215
CD38	-1.28125
ZDHHC6	-0.279166666666667
NEFH	-1.7075
CTDSP2	1.28983333333333
PGBD5	-1.149
CCNY	0.0735714285714286
RMND5B	0.16475
ZNF257	-3.18725
FLJ22167	-0.255375
EXOSC7	-0.342
ROR2	1.3725
MAOA	1.02775
TNNT3	1.38433333333333
GYPC	-1.1545
C7orf33	0.2325
PLIN	1.825
LOC90826	0.16925
RNF4	-0.1222
F8A1	0.439666666666667
PLEKHG4	-2.125
GRB2	1.59385
HIST1H2AD	3.25625
DUS3L	-0.653833333333333
EIF1	0.0166666666666667
RP5-1077B9.4	-1.331
FPGT	1.48425
GDF10	2.543
COQ9	-0.197
GCC2	0.332142857142857
RARRES3	1.71125
PLXNA1	-0.3471
KIAA0100	-0.3507
PMF1	0.57825
FNDC1	5.43875
HS2ST1	-0.386
CRELD2	0.0765
C8G	-1.9475
CD82	-0.153
LIM2	-1.3865
UNQ6490	-0.0465
MMP16	0.00774999999999999
DRD3	-0.08725
C5orf26	-0.6775
C11orf73	-0.675125
