Hybridization REF	TCGA-BH-A1F0-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.29025
CREB3L1	0.321
RPS11	0.840375
PNMA1	-0.59475
MMP2	1.49516666666667
C10orf90	-0.69175
ZHX3	0.118166666666667
ERCC5	0.08425
GPR98	-1.5245
RXFP3	0.3895
APBB2	0.36325
PRO0478	-1.265375
KLHL13	-0.93925
PRSSL1	-0.367666666666667
PDCL3	0.424666666666667
DECR1	0.428625
SALL1	-4.472
CADM4	0.474
RPS18	0.330071428571429
HNRPD	-0.620083333333333
CFHR5	0.6225
SLC10A7	-0.039125
OR2K2	0.0985
LMAN1	-0.318125
SUHW1	-2.72225
CHD8	-0.3822
SUMO1	0.8063
GP1BA	2.5815
DDB1	-0.386166666666667
MYO9B	0.2568
MMP7	7.29625
CRNKL1	-0.05725
C9orf45	-1.49966666666667
XAB2	0.0585
RTN1	2.153
KLHL14	-0.581875
TBX10	-1.861
CENPQ	-1.6605
UTY	-1.8065
ZBTB12	-0.397
DTNBP1	0.39125
KBTBD8	0.297333333333333
ZEB1	-0.725166666666667
ZG16	-1.225
MIER1	0.0596
ADAM5P	-0.22
CHD9	-0.638
STK16	-0.2795
KIAA1486	-0.676
TOB2	0.424416666666667
BANK1	5.6065
OR2V2	0.0595
GRM2	0.412166666666667
PROSC	-0.28
SPIN2B	0.65425
PIR	-1.21211111111111
IPO9	-0.937
EVC	0.741333333333333
CXCL13	7.2785
KIAA1199	-0.8164
SORL1	1.18975
NAT10	-0.097
CHD1	-1.1665
SYN3	0
SLC22A2	-0.3
SERPINF1	1.05766666666667
WDR34	-0.76825
OR7A17	0.3465
C9orf11	-0.8395
RNF216L	-0.5576
LHB	0.3565
STK25	0.582875
TAOK3	0.838375
LOC152573	-1.48875
C3orf39	0.06525
C14orf108	0.265
CDC25B	-0.138727272727273
BMP3	0.8065
TMEM180	0.2945
MAP1LC3C	1.9185
CRYGC	-1.058
POU3F1	-1.6592
C20orf32	-1.3985
CCDC95	-0.1595
HIGD1B	4.27625
USP6NL	1.26325
ABCD4	-0.0713333333333333
DIMT1L	-0.518083333333333
TEK	1.99125
SLC25A46	-1.092
LARP7	-0.9866
CD160	1.7185
MT1JP	0.929
PHF20	-0.6060625
CPNE4	-1.3535
GTPBP1	0.1345
RAB33B	0.947
ALDOC	-2.033125
ZNF212	-0.5195
NUDT1	0.0935
RFPL2	-0.2565
ZNF83	-0.573333333333333
GDPD5	-0.07475
PDCD4	1.2598
CEP350	0.07625
OR10A2	0.19975
CST7	3.10625
CIAO1	-0.3365
SELL	3.365375
OR8J3	-0.165
