Hybridization REF	TCGA-BH-A1EO-01A-11R-A137-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.242
CREB3L1	1.06025
RPS11	0.85275
PNMA1	0.58275
MMP2	1.86216666666667
C10orf90	-2.99325
ZHX3	-0.205333333333333
ERCC5	-0.27475
GPR98	-1.743125
RXFP3	0.417
APBB2	1.313
PRO0478	-1.695
KLHL13	-2.4165
PRSSL1	-0.482
PDCL3	0.1605
DECR1	1.979
SALL1	-2.574
CADM4	0.458
RPS18	0.46
HNRPD	-0.634166666666667
CFHR5	0.907833333333333
SLC10A7	-0.09425
OR2K2	-1.1405
LMAN1	-0.976
SUHW1	-3.7795
CHD8	-0.5587
SUMO1	1.1191
GP1BA	0.4548
DDB1	-0.300833333333333
MYO9B	-0.224
MMP7	6.66
CRNKL1	0.936125
C9orf45	-2.0965
XAB2	0.309125
RTN1	2.012625
KLHL14	-1.146625
TBX10	-0.918
CENPQ	-0.65875
UTY	-1.169
ZBTB12	-0.388
DTNBP1	0.179625
KBTBD8	-0.563
ZEB1	-0.1335
ZG16	-0.8435
MIER1	0.2291
ADAM5P	-1.3795
CHD9	-0.94225
STK16	0.285
KIAA1486	-0.7
TOB2	0.263333333333333
BANK1	3.84025
OR2V2	-0.26925
GRM2	-0.166833333333333
PROSC	1.472
SPIN2B	0.54775
PIR	-1.98222222222222
IPO9	-0.8545
EVC	1.62533333333333
CXCL13	4.58916666666667
KIAA1199	0.2968
SORL1	1.4695
NAT10	-0.74325
CHD1	-0.9025
SYN3	-0.57175
SLC22A2	1.25925
SERPINF1	2.10116666666667
WDR34	-0.891
OR7A17	0.6015
C9orf11	-0.5285
RNF216L	-0.4176
LHB	-0.062
STK25	-0.76975
TAOK3	0.858125
LOC152573	-2.249
C3orf39	0.303375
C14orf108	0.9221
CDC25B	-2.24063636363636
BMP3	0.3285
TMEM180	0.077
MAP1LC3C	2.08475
CRYGC	-1.1095
POU3F1	-1.3918
C20orf32	-1.6165
CCDC95	-0.808
HIGD1B	5.4705
USP6NL	-0.259
ABCD4	-0.1425
DIMT1L	-0.0839166666666667
TEK	1.9815
SLC25A46	0.097
LARP7	-0.8526
CD160	0.0660000000000001
MT1JP	-0.456333333333333
PHF20	0.0320625
CPNE4	-1.89375
GTPBP1	-0.433714285714286
RAB33B	1.2655
ALDOC	-2.925875
ZNF212	-0.1485
NUDT1	-0.408333333333333
RFPL2	1.062
ZNF83	0.442
GDPD5	-1.17625
PDCD4	1.80215
CEP350	-0.558
OR10A2	0.31325
CST7	1.64675
CIAO1	-0.9545
SELL	1.737875
OR8J3	0.918
LTBP4	-0.25
SIRT6	-0.43175
CCL19	4.8475
PPIL1	-0.536833333333333
GBP7	0.729666666666667
STK17A	-0.7044
ABR	-0.0145
OR9G1	-0.16
FOXE1	-0.8965
CNGA3	1.716
GML	0.559
CD38	-2.37825
ZDHHC6	-0.144333333333333
NEFH	-0.61875
CTDSP2	0.412166666666667
PGBD5	-1.38266666666667
CCNY	0.174785714285714
RMND5B	0.655083333333333
ZNF257	-1.2715
FLJ22167	-0.671125
EXOSC7	-0.136166666666667
ROR2	1.798
MAOA	0.731125
TNNT3	1.648
GYPC	-0.57075
C7orf33	1.2075
PLIN	3.18216666666667
LOC90826	0.4135
RNF4	-0.4043
F8A1	-0.0703333333333333
PLEKHG4	-2.1815
GRB2	-0.21055
HIST1H2AD	-0.886
DUS3L	-1.18283333333333
EIF1	-0.168666666666667
RP5-1077B9.4	-1.36066666666667
FPGT	1.90775
GDF10	2.0175
COQ9	-0.2055
GCC2	-0.275214285714286
RARRES3	3.31575
PLXNA1	-0.6067
KIAA0100	-0.5851
PMF1	-0.0035
FNDC1	6.03325
HS2ST1	0.131416666666667
CRELD2	0.292
C8G	-1.7795
CD82	0.96325
LIM2	-2.0105
UNQ6490	-0.0605
MMP16	-0.25025
DRD3	-0.0755
C5orf26	-0.4875
C11orf73	1.292625
PTP4A2	0.2135
OR4M2	0.2925
HPCA	-1.618
SEC14L1	-1.14133333333333
CHFR	-0.66825
EMILIN1	1.409125
NDUFS4	0.35475
COL18A1	0.09725
PDZD3	-0.1578
C9orf16	0.249333333333333
ERBB2IP	0.464333333333333
EMX2	5.994
FUS	-1.07975
TF	-3.7446
CLCN4	0.1305
CXorf56	1.14675
C11orf72	0.49475
ELAC2	-0.88275
NPR1	-0.82975
ASS1	-2.6175
USP42	-0.438375
POLR2J	-0.414
SEC23IP	0.2975
UQCRC1	-0.612
LOC729603	-1.5365
C1orf71	0.0545
POLG	-2.698
ADAM23	-2.01875
TFR2	-0.851
RICTOR	-0.9442
MGC39606	0.602
C19orf55	-0.405
SNAPC1	-1.2525
GNA11	-0.124
CCDC52	0.498166666666667
FSIP1	4.691
UPF3A	-0.57825
IGSF11	-1.32916666666667
LAGE3	-0.05575
CHST6	0.4455
UNC13B	0.076375
TTLL4	-1.186625
ZNF687	0.09625
SDC2	0.5589
COX7A2	-0.3445
LAMB4	-0.49025
FAM24A	0.8145
LRRTM3	-0.991
GPHB5	0.90575
OR4C13	-0.8035
EIF3EIP	0.571285714285714
HABP4	-0.116
TMEM125	3.12775
CNTN2	-0.000625000000000014
ASNSD1	0.33475
FUT4	-0.258875
ACF	-3.6155
LOC158381	1.6805
CDH8	-0.19275
AGPS	-1.2705
C4orf18	3.234875
PECI	0.062
UNG	-0.594625
GSTP1	-1.150625
DCUN1D5	-0.5165
DKFZP564J0863	-0.66925
SLC9A3R1	-0.208
BCDO2	-0.891875
CHMP7	-0.479125
REM2	-0.1285
DNHD1	-0.524625
FKBP4	-0.516125
ZNF350	2.273
MGC11102	0.425125
BST1	2.67425
KISS1R	0.065
