Sample REF	0D7A5303-6F45-4910-8BC5-F08E8FC11463
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.2031225575
14-3-3_epsilon-M-C	-0.045437341
14-3-3_zeta-R-V	-0.2492618875
4E-BP1-R-V	0.6210364595
4E-BP1_pS65-R-V	0.0421056745
4E-BP1_pT37_T46-R-V	-0.2649164055
4E-BP1_pT70-R-V	-0.153697809
ACC_pS79-R-V	0.725581879
ACVRL1-R-C	-0.327740283
Akt-R-V	0.380962582
Akt_pS473-R-V	-0.8673806315
Akt_pT308-R-V	-0.758268059
AMPK_alpha-R-C	0.061009795
AMPK_pT172-R-V	0.5238824455
Annexin-1-M-E	0.0294967205000001
Annexin_VII-M-V	-0.218555272
AR-R-V	-0.0588061755
ARHI-M-E	0.0990607110000004
ATM-R-E	0.3903266685
Bad_pS112-R-V	0.0500775769999999
Bak-R-C	-0.0355159094999999
Bap1-c-4-M-V	0.2719007335
Bax-R-V	-0.0937586715000001
Bcl-2-M-V	-0.192104466
beta-Catenin-R-V	0.585851006
Bid-R-C	-0.058455544
Bim-R-V	-0.4467646665
BRCA2-R-C	-0.18903736
c-Kit-R-V	0.2848511395
c-Myc-R-C	0.292506468
C-Raf-R-V	-0.0260130085
Caspase-7_cleavedD198-R-C	-0.180380391
Caveolin-1-R-V	0.4206672915
CD20-R-C	0.0440355729999999
CD31-M-V	-0.0814930115000001
CD49b-M-V	-0.0581019455000003
CDK1-R-V	0.096877036
Chk1_pS345-R-C	0.1327617775
Chk2_pT68-R-C	-0.431775216
cIAP-R-V	-0.0261367355000002
Claudin-7-R-V	0.1791419065
Collagen_VI-R-V	0.00935659399999997
Cyclin_B1-R-V	0.340319627
Cyclin_D1-R-V	-0.690123302
Cyclin_E1-M-V	0.2828396875
Cyclin_E2-R-C	0.0450613084999998
Dvl3-R-V	0.3574926185
E-Cadherin-R-V	1.235272101
eEF2K-R-V	0.6548610955
EGFR-R-V	0.1410510295
eIF4E-R-V	0.0610434390000001
eIF4G-R-C	0.97294339
ER-alpha-R-V	0.081779257
ER-alpha_pS118-R-V	0.1276108955
ERK2-R-E	-0.0522548105
ETS-1-R-V	-0.419942198
FASN-R-V	0.9703713395
FoxM1-R-V	0.1140389745
FOXO3a-R-C	-0.011080137
FOXO3a_pS318_S321-R-C	-0.1005396465
G6PD-M-V	-0.0487338130000001
GAB2-R-V	0.486397927
GAPDH-M-C	0.017268686
GATA3-M-V	-0.000519919000000257
GSK3-alpha-beta-M-V	0.079564599
GSK3-alpha-beta_pS21_S9-R-V	0.0290847765
GSK3_pS9-R-V	0.0283617279999997
HER2-M-V	0.2563767825
Heregulin-R-V	0.0927220385000003
HSP70-R-C	-0.172500932
IGFBP2-R-V	1.041208983
IRS1-R-V	0.2239114515
JNK2-R-C	0.0373109134999998
Ku80-R-C	-0.0159945435000001
Lck-R-V	-0.2034878845
LKB1-M-E	-0.064189652
MAPK_pT202_Y204-R-V	-1.386236709
MEK1-R-V	0.0239275984999998
MEK1_pS217_S221-R-V	-0.285407302
MIG-6-M-V	-0.081438629
Mre11-R-C	-0.0336950005000001
MSH6-R-C	0.255366766
mTOR-R-V	0.2247334755
mTOR_pS2448-R-C	-0.0948180965000001
MYH11-R-V	0.492117046
Myosin-IIa_pS1943-R-V	-0.03819968
N-Cadherin-R-V	-0.213766859
N-Ras-M-V	0.0764714264999999
NDRG1_pT346-R-V	-0.6741538535
NF-kB-p65_pS536-R-C	0.1244769405
NF2-R-C	0.194277741
Notch1-R-V	0.0350738205000001
