Sample REF	0EFB66E0-3439-4FAE-9B6A-C5D085876AAF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.454792071
14-3-3_epsilon-M-C	0.0803490605000001
14-3-3_zeta-R-V	-0.613810199
4E-BP1-R-V	0.623036666
4E-BP1_pS65-R-V	-0.219417522
4E-BP1_pT37_T46-R-V	-0.593496513
4E-BP1_pT70-R-V	0.4919264775
ACC_pS79-R-V	-0.4503610415
ACVRL1-R-C	0.5580678605
Akt-R-V	-0.8527309215
Akt_pS473-R-V	1.129344905
Akt_pT308-R-V	0.8550470595
AMPK_alpha-R-C	0.9512689885
AMPK_pT172-R-V	-0.994347292
Annexin-1-M-E	-0.286712494
Annexin_VII-M-V	0.1620704475
AR-R-V	-0.0506917219999998
ARHI-M-E	0.440255714500001
ATM-R-E	-1.765736067
Bad_pS112-R-V	-0.4549262095
Bak-R-C	0.509701656
Bap1-c-4-M-V	0.538550362
Bax-R-V	-0.65938373
Bcl-2-M-V	-1.1053311035
beta-Catenin-R-V	-1.2062981805
Bid-R-C	0.5266075695
Bim-R-V	-0.866722391
BRCA2-R-C	0.3815582895
c-Kit-R-V	-0.591090753
c-Myc-R-C	1.4261580225
C-Raf-R-V	0.0128211820000002
Caspase-7_cleavedD198-R-C	0.5181727895
Caveolin-1-R-V	0.782816137
CD20-R-C	-0.0628494584999999
CD31-M-V	-0.0581332830000005
CD49b-M-V	-0.203124506
CDK1-R-V	1.1040308445
Chk1_pS345-R-C	0
Chk2_pT68-R-C	-0.7066534905
cIAP-R-V	-0.476337698
Claudin-7-R-V	-0.400712083
Collagen_VI-R-V	0.6954826665
Cyclin_B1-R-V	0.4771704285
Cyclin_D1-R-V	0.6343346965
Cyclin_E1-M-V	0.235839694
Cyclin_E2-R-C	-0.724363434
Dvl3-R-V	-0.244924652
E-Cadherin-R-V	-0.2692213915
eEF2K-R-V	-0.306399912
EGFR-R-V	-0.00742883799999983
eIF4E-R-V	0.0463375314999999
eIF4G-R-C	0.2255411015
ER-alpha-R-V	-0.6362700245
ER-alpha_pS118-R-V	-0.749731847
ERK2-R-E	-0.800502867
ETS-1-R-V	0.7443249675
FASN-R-V	-0.671886006
FoxM1-R-V	-0.0358862129999999
FOXO3a-R-C	0.4079798085
FOXO3a_pS318_S321-R-C	0.2824289
G6PD-M-V	0.0889155915000002
GAB2-R-V	-0.0765045255000003
GAPDH-M-C	1.2523895045
GATA3-M-V	0.3586823345
GSK3-alpha-beta-M-V	-1.0831023375
GSK3-alpha-beta_pS21_S9-R-V	-0.799472243
GSK3_pS9-R-V	0.1315197305
HER2-M-V	-0.679758417
Heregulin-R-V	-0.0252005769999997
HSP70-R-C	1.2818566315
IGFBP2-R-V	-0.2228391995
IRS1-R-V	0.134390363
JNK2-R-C	-0.561253403
Ku80-R-C	-1.733383685
Lck-R-V	-0.0471646969999999
LKB1-M-E	0.1796918415
MAPK_pT202_Y204-R-V	0.2349124365
MEK1-R-V	-0.000175952000000201
MEK1_pS217_S221-R-V	0.1226096455
MIG-6-M-V	0.0463920205000001
Mre11-R-C	0.278583519
MSH6-R-C	-0.0316887504999999
mTOR-R-V	-1.110033274
mTOR_pS2448-R-C	-0.040573121
MYH11-R-V	-0.0829620825000001
Myosin-IIa_pS1943-R-V	-0.5360309095
N-Cadherin-R-V	0.4143624565
N-Ras-M-V	0.0625404220000001
NDRG1_pT346-R-V	0.560966965
NF-kB-p65_pS536-R-C	0.412055136
NF2-R-C	0.2922428635
Notch1-R-V	0.384244191
P-Cadherin-R-C	-0.6318978065
p27-R-V	-0.625867765
p27_pT157-R-C	-0.1363937735
p27_pT198-R-V	0.632204515
p38_pT180_Y182-R-V	-0.363442938
p70S6K-R-V	-0.22068976
p70S6K_pT389-R-V	0.5166012705
p90RSK-R-C	-0.3273843895
p90RSK_pT359_S363-R-C	0.583694208
PAI-1-M-E	0.365148668
PARP1-R-V	0.472734441
PDCD4-R-C	-1.3568102225
PDK1-R-V	0.2253659255
PDK1_pS241-R-V	-1.000293497
PEA15-R-V	-1.0363143045
PEA15_pS116-R-V	0.872849363
PI3K-p110-alpha-R-C	-0.8145462975
PI3K-p85-R-V	-1.453622736
PKC-alpha-M-V	0.268501602
PKC-delta_pS664-R-V	-0.10582053
PKC-pan_BetaII_pS660-R-V	-0.0989625279999999
PR-R-V	-0.306195816
PRAS40_pT246-R-V	0.3542675345
PREX1-R-E	0.163618496
PTEN-R-V	0.313669197
Rab11-R-E	0.252823294
Rab25-R-V	1.295505885
Raptor-R-V	-0.682559613
Rb_pS807_S811-R-V	0.4362075845
RBM15-R-V	0.0543324214999998
Rictor-R-C	-0.920217746
Rictor_pT1135-R-V	0.0792247575
S6-R-E	0.0354168834999999
S6_pS235_S236-R-V	0.642847784
S6_pS240_S244-R-V	1.2807741865
SCD-M-V	-0.0108552070000001
SF2-M-V	0.5080118565
Shc_pY317-R-E	0.277511651
Smad1-R-V	-0.497544586
Smad3-R-V	-0.30607605
Src-M-V	-0.0635439845000003
Src_pY416-R-C	0.59997936
Src_pY527-R-V	0.0505140485000002
STAT3_pY705-R-V	-0.934180018
STAT5-alpha-R-V	-0.911754623
Stathmin-R-V	0.4998642615
Syk-M-V	-0.761670681
TAZ-R-V	0.1594202975
TFRC-R-V	0.685501758
TIGAR-R-V	0.017280736
Transglutaminase-M-V	-0.0267900235000003
TSC1-R-C	-0.8852867095
Tuberin_pT1462-R-V	0.1748176165
XBP1-G-C	1.0573050395
YB-1-R-V	0.125049033
YB-1_pS102-R-V	-0.320378956
