Sample REF	21E8CC9D-962D-4FA5-9814-8134FFA59C51
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.403504865
14-3-3_epsilon-M-C	0.1977251225
14-3-3_zeta-R-V	-0.386774255
4E-BP1-R-V	-0.264866032
4E-BP1_pS65-R-V	-0.860167828
4E-BP1_pT37_T46-R-V	-0.903656453
4E-BP1_pT70-R-V	-1.0971281285
ACC_pS79-R-V	-0.0464830425000002
ACVRL1-R-C	0.1573892935
Akt-R-V	-0.0493525715000001
Akt_pS473-R-V	2.121807532
Akt_pT308-R-V	0.8808453955
AMPK_alpha-R-C	1.1116188235
AMPK_pT172-R-V	-0.89734788
Annexin-1-M-E	0.564654
Annexin_VII-M-V	0.1335506105
AR-R-V	-0.57169074
ARHI-M-E	1.2436340645
ATM-R-E	-0.962357717
Bad_pS112-R-V	-0.2852538115
Bak-R-C	0.0045596170000004
Bap1-c-4-M-V	1.341928712
Bax-R-V	-0.320439635
Bcl-2-M-V	-0.3019527535
beta-Catenin-R-V	-0.4029198305
Bid-R-C	-1.4596421255
Bim-R-V	-0.906191432
BRCA2-R-C	0.2456616235
c-Kit-R-V	-0.947980165
c-Myc-R-C	1.3597813755
C-Raf-R-V	-1.084611312
Caspase-7_cleavedD198-R-C	-0.7661617455
Caveolin-1-R-V	1.36857268
CD20-R-C	-0.5455991115
CD31-M-V	0.164589087
CD49b-M-V	-0.0267378959999998
CDK1-R-V	0.8913899475
Chk1_pS345-R-C	0.80337835
Chk2_pT68-R-C	-0.9831572735
cIAP-R-V	-0.17137666
Claudin-7-R-V	-0.59605143
Collagen_VI-R-V	1.2747011425
Cyclin_B1-R-V	1.2805487785
Cyclin_D1-R-V	-0.7213578265
Cyclin_E1-M-V	1.640707112
Cyclin_E2-R-C	-0.234646050000001
Dvl3-R-V	0.558453698
E-Cadherin-R-V	0.5341569585
eEF2K-R-V	0.496978438
EGFR-R-V	0.159757646
eIF4E-R-V	0.2630292605
eIF4G-R-C	1.0289194515
ER-alpha-R-V	-0.737645303499999
ER-alpha_pS118-R-V	-0.511021484
ERK2-R-E	-0.435140271
ETS-1-R-V	-0.3771291265
FASN-R-V	0.131492344
FoxM1-R-V	0.0435393679999998
FOXO3a-R-C	1.2113581585
FOXO3a_pS318_S321-R-C	-0.000612056000000027
G6PD-M-V	0.6395349385
GAB2-R-V	0.2698330885
GAPDH-M-C	2.0557678545
GATA3-M-V	-0.3502803135
GSK3-alpha-beta-M-V	-0.2797239875
GSK3-alpha-beta_pS21_S9-R-V	-0.036317774
GSK3_pS9-R-V	0.9348980805
HER2-M-V	0.123619933
Heregulin-R-V	0.640426042
HSP70-R-C	-1.3806766635
IGFBP2-R-V	0.2421557535
IRS1-R-V	-0.340762812
JNK2-R-C	0
Ku80-R-C	-0.930005335
Lck-R-V	-1.158992627
LKB1-M-E	-1.0776699235
MAPK_pT202_Y204-R-V	1.7810122075
MEK1-R-V	0.000228969999999773
MEK1_pS217_S221-R-V	-0.7971573595
MIG-6-M-V	-0.0307787335000005
Mre11-R-C	-1.018543947
MSH6-R-C	0.7344699535
mTOR-R-V	-0.306654924
mTOR_pS2448-R-C	0.762805229
MYH11-R-V	-0.8266536945
Myosin-IIa_pS1943-R-V	0.2673474405
N-Cadherin-R-V	-0.8911743475
N-Ras-M-V	-0.239305545
NDRG1_pT346-R-V	1.364345315
NF-kB-p65_pS536-R-C	-0.13563795
NF2-R-C	0.1120884925
Notch1-R-V	0.420921551
P-Cadherin-R-C	-0.8915729255
p27-R-V	-0.205003231
p27_pT157-R-C	-0.2618542455
p27_pT198-R-V	-0.51333021
p38_pT180_Y182-R-V	-0.0401368940000002
p70S6K-R-V	0.477654148
p70S6K_pT389-R-V	0.3321808625
p90RSK-R-C	0.4759939605
p90RSK_pT359_S363-R-C	-0.102372004
PAI-1-M-E	0.883689602
PARP1-R-V	1.276112791
PDCD4-R-C	-0.9083049395
PDK1-R-V	-0.3878431875
PDK1_pS241-R-V	-0.196915147
PEA15-R-V	-0.4720420945
PEA15_pS116-R-V	-1.063925262
PI3K-p110-alpha-R-C	-0.2285967205
PI3K-p85-R-V	-0.9319031
PKC-alpha-M-V	1.071879952
PKC-delta_pS664-R-V	0.190056801
PKC-pan_BetaII_pS660-R-V	0.704415822
PR-R-V	-0.335428316
PRAS40_pT246-R-V	-0.0460445395
PREX1-R-E	0.706235636
PTEN-R-V	1.117047547
Rab11-R-E	-0.757919963
Rab25-R-V	0.230370887
Raptor-R-V	-0.79168497
Rb_pS807_S811-R-V	1.2395859345
RBM15-R-V	0.8577107715
Rictor-R-C	-0.116839396
Rictor_pT1135-R-V	-1.5646421205
S6-R-E	0.8387952335
S6_pS235_S236-R-V	1.446226134
S6_pS240_S244-R-V	2.0841525365
SCD-M-V	0.705869751999999
SF2-M-V	1.3113902065
Shc_pY317-R-E	0.440350566
Smad1-R-V	-0.678677842
Smad3-R-V	-1.2311452
Src-M-V	-0.6522676095
Src_pY416-R-C	1.40335771
Src_pY527-R-V	0.7858662595
STAT3_pY705-R-V	0.477895043
STAT5-alpha-R-V	0.182021915
Stathmin-R-V	-0.9864169605
Syk-M-V	-0.27789146
TAZ-R-V	-0.4662784565
TFRC-R-V	1.488880108
TIGAR-R-V	-0.738347646
Transglutaminase-M-V	0.3104605625
TSC1-R-C	-1.1180500215
Tuberin_pT1462-R-V	0.9781959665
XBP1-G-C	-0.1018678905
YB-1-R-V	-0.228530001
YB-1_pS102-R-V	-0.577495994
