Sample REF	233FE7AC-4003-4A6C-80A1-101B561B6842
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.103750551
14-3-3_epsilon-M-C	-0.1938874625
14-3-3_zeta-R-V	0.138210368
4E-BP1-R-V	0.481219189
4E-BP1_pS65-R-V	0.249359953
4E-BP1_pT37_T46-R-V	0.959202778
4E-BP1_pT70-R-V	-0.0822529745000002
ACC_pS79-R-V	0.9934125655
ACVRL1-R-C	-0.1063595285
Akt-R-V	0.1012707615
Akt_pS473-R-V	-0.0582457060000001
Akt_pT308-R-V	-0.2053749965
AMPK_alpha-R-C	1.2405117775
AMPK_pT172-R-V	0.441241112
Annexin-1-M-E	1.029158373
Annexin_VII-M-V	0.4148706695
AR-R-V	-0.277820047
ARHI-M-E	0.3472565875
ATM-R-E	-0.710366762
Bad_pS112-R-V	-0.2657361945
Bak-R-C	-0.528207583
Bap1-c-4-M-V	0.445551234999999
Bax-R-V	-0.708197371
Bcl-2-M-V	0.9962633955
beta-Catenin-R-V	0.7252029345
Bid-R-C	-0.0277424465
Bim-R-V	0.513144042
BRCA2-R-C	0.0345527364999998
c-Kit-R-V	1.116746284
c-Myc-R-C	1.6416462945
C-Raf-R-V	-0.00909386800000034
Caspase-7_cleavedD198-R-C	-0.5474572095
Caveolin-1-R-V	1.071577003
CD20-R-C	0.3138433935
CD31-M-V	-0.562278405000001
CD49b-M-V	-0.182126933
CDK1-R-V	1.2429284685
Chk1_pS345-R-C	-0.029189922
Chk2_pT68-R-C	-1.2090156685
cIAP-R-V	-0.28887576
Claudin-7-R-V	-0.297198852
Collagen_VI-R-V	0.8964967635
Cyclin_B1-R-V	0.3841713015
Cyclin_D1-R-V	-0.4149080635
Cyclin_E1-M-V	0.31605717
Cyclin_E2-R-C	-0.0025691490000006
Dvl3-R-V	-0.337923779
E-Cadherin-R-V	1.1769300165
eEF2K-R-V	0.470298625
EGFR-R-V	0.083713938
eIF4E-R-V	-0.0922676125000002
eIF4G-R-C	0.3551213935
ER-alpha-R-V	-0.0735683935000002
ER-alpha_pS118-R-V	-0.425602894
ERK2-R-E	0.0849548569999998
ETS-1-R-V	0.3256791345
FASN-R-V	0.621435385
FoxM1-R-V	-0.241820195
FOXO3a-R-C	0.5336931415
FOXO3a_pS318_S321-R-C	-0.696693991
G6PD-M-V	-0.0553268355000003
GAB2-R-V	0.3087400145
GAPDH-M-C	1.1593903775
GATA3-M-V	0.0583383184999997
GSK3-alpha-beta-M-V	-0.3056851525
GSK3-alpha-beta_pS21_S9-R-V	-0.353203041
GSK3_pS9-R-V	0.1987475355
HER2-M-V	-0.0644918450000003
Heregulin-R-V	-0.255951435
HSP70-R-C	0.0106315794999998
IGFBP2-R-V	-0.6542217235
IRS1-R-V	0.042419891
JNK2-R-C	-0.00634620200000047
Ku80-R-C	-0.318146354
Lck-R-V	-1.110041424
LKB1-M-E	-0.3214312245
MAPK_pT202_Y204-R-V	0.5316551455
MEK1-R-V	0.713265119
MEK1_pS217_S221-R-V	-0.1365170755
MIG-6-M-V	-0.4172982565
Mre11-R-C	-0.923043282
MSH6-R-C	-0.1619075235
mTOR-R-V	-0.857022864
mTOR_pS2448-R-C	-0.051459286
MYH11-R-V	0.5843913345
Myosin-IIa_pS1943-R-V	-0.6246727315
N-Cadherin-R-V	-0.6166562625
N-Ras-M-V	0.670240581
NDRG1_pT346-R-V	0.467967838
NF-kB-p65_pS536-R-C	0.210661757
NF2-R-C	-0.4063058925
Notch1-R-V	0
P-Cadherin-R-C	0.4045632375
p27-R-V	0.662180732
p27_pT157-R-C	-0.0557652195
p27_pT198-R-V	0.576951406
p38_pT180_Y182-R-V	0.759131814
p70S6K-R-V	0.30403503
p70S6K_pT389-R-V	-0.564196614500001
p90RSK-R-C	-0.2322855055
p90RSK_pT359_S363-R-C	-0.459659972
PAI-1-M-E	-0.0126878750000001
PARP1-R-V	0.379735313999999
PDCD4-R-C	0.2584404715
PDK1-R-V	-0.2982711635
PDK1_pS241-R-V	-0.18587691
PEA15-R-V	0.2210216015
PEA15_pS116-R-V	-0.821206074
PI3K-p110-alpha-R-C	0.3745329095
PI3K-p85-R-V	-0.127006395
PKC-alpha-M-V	0.175502475
PKC-delta_pS664-R-V	-0.362328885000001
PKC-pan_BetaII_pS660-R-V	-0.186040823
PR-R-V	0.0560267459999997
PRAS40_pT246-R-V	0.2791716165
PREX1-R-E	-0.190141841
PTEN-R-V	0.47502153
Rab11-R-E	-0.240872798
Rab25-R-V	-0.66600659
Raptor-R-V	-0.193282115
Rb_pS807_S811-R-V	0.3432084575
RBM15-R-V	-0.0386667055000003
Rictor-R-C	-0.576267615
Rictor_pT1135-R-V	0.0640143725
S6-R-E	-0.0575822435000002
S6_pS235_S236-R-V	0.630002243999999
S6_pS240_S244-R-V	1.1877750595
SCD-M-V	-0.00217581300000003
SF2-M-V	0.415012729499999
Shc_pY317-R-E	0.458030286
Smad1-R-V	-0.0128816980000002
Smad3-R-V	0.034534997
Src-M-V	-0.4082609875
Src_pY416-R-C	0.796653314
Src_pY527-R-V	1.7322148235
STAT3_pY705-R-V	0.874669658
STAT5-alpha-R-V	0.924372665
Stathmin-R-V	-0.4957589305
Syk-M-V	-0.688818685
TAZ-R-V	-0.332434724500001
TFRC-R-V	0.592502631
TIGAR-R-V	-0.664498696
Transglutaminase-M-V	-0.1462542815
TSC1-R-C	0.1333832275
Tuberin_pT1462-R-V	0.4519333725
XBP1-G-C	0.6184470625
YB-1-R-V	-0.570081308
YB-1_pS102-R-V	-0.31627065
