Sample REF	325798E1-709A-4A61-AF20-E1E85844CF20
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.174875075
14-3-3_epsilon-M-C	-0.1977078075
14-3-3_zeta-R-V	-0.42113045
4E-BP1-R-V	-0.379789742999999
4E-BP1_pS65-R-V	0.0331436590000003
4E-BP1_pT37_T46-R-V	0.359594981
4E-BP1_pT70-R-V	-0.2316241825
ACC_pS79-R-V	0.6844596845
ACVRL1-R-C	-0.2380436365
Akt-R-V	-0.2059084775
Akt_pS473-R-V	1.391673656
Akt_pT308-R-V	1.1321839605
AMPK_alpha-R-C	0.5181643295
AMPK_pT172-R-V	-0.396994955
Annexin-1-M-E	0.121232926
Annexin_VII-M-V	-0.1630983175
AR-R-V	-0.280204942
ARHI-M-E	0.848201134500001
ATM-R-E	-1.357790647
Bad_pS112-R-V	-0.4138638895
Bak-R-C	0.0271002580000002
Bap1-c-4-M-V	0.946495782
Bax-R-V	-0.704004653999999
Bcl-2-M-V	-0.3218776955
beta-Catenin-R-V	-0.0855301784999998
Bid-R-C	0.2271711885
Bim-R-V	-0.465872646
BRCA2-R-C	-0.1497713065
c-Kit-R-V	0.275327443000001
c-Myc-R-C	0.8329694445
C-Raf-R-V	-0.367687605
Caspase-7_cleavedD198-R-C	-0.1469915095
Caveolin-1-R-V	2.100901465
CD20-R-C	-0.5911814755
CD31-M-V	-0.230843843
CD49b-M-V	-0.422170825999999
CDK1-R-V	0.5818645635
Chk1_pS345-R-C	0.40794542
Chk2_pT68-R-C	-1.3785902035
cIAP-R-V	-0.437336154
Claudin-7-R-V	-0.9353599
Collagen_VI-R-V	1.2110165635
Cyclin_B1-R-V	0.8851158485
Cyclin_D1-R-V	-0.923933176499999
Cyclin_E1-M-V	0.643785114
Cyclin_E2-R-C	-0.63007898
Dvl3-R-V	0.163020768
E-Cadherin-R-V	0.8057139605
eEF2K-R-V	0.15991856
EGFR-R-V	-0.105125463
eIF4E-R-V	-0.132403669499999
eIF4G-R-C	0.6334865215
ER-alpha-R-V	0.1824548225
ER-alpha_pS118-R-V	-0.829062283
ERK2-R-E	-0.269308756
ETS-1-R-V	0.7635069945
FASN-R-V	0.781039089
FoxM1-R-V	0.0723063010000002
FOXO3a-R-C	0.8159252285
FOXO3a_pS318_S321-R-C	-0.396044986
G6PD-M-V	0.244102008500001
GAB2-R-V	-0.1255998415
GAPDH-M-C	1.6603349245
GATA3-M-V	0.3810352685
GSK3-alpha-beta-M-V	-0.6751569175
GSK3-alpha-beta_pS21_S9-R-V	-0.396901634
GSK3_pS9-R-V	0.5394651505
HER2-M-V	-0.0968005869999999
Heregulin-R-V	0.244993112
HSP70-R-C	0.8318960415
IGFBP2-R-V	-0.1472832605
IRS1-R-V	-0.0700371959999997
JNK2-R-C	-0.254892284
Ku80-R-C	-0.902636226
Lck-R-V	1.703639993
LKB1-M-E	-0.5312958755
MAPK_pT202_Y204-R-V	0.8857826335
MEK1-R-V	-0.0366832209999997
MEK1_pS217_S221-R-V	-0.3530323125
MIG-6-M-V	-0.4262116635
Mre11-R-C	-0.279288376
MSH6-R-C	0.3390370235
mTOR-R-V	-0.668109019
mTOR_pS2448-R-C	0.367372299
MYH11-R-V	1.7186282745
Myosin-IIa_pS1943-R-V	-0.1280854895
N-Cadherin-R-V	-0.4680283615
N-Ras-M-V	0.504224341
NDRG1_pT346-R-V	0.968912385
NF-kB-p65_pS536-R-C	-0.108238254
NF2-R-C	-0.2833444375
Notch1-R-V	0.0254886210000005
P-Cadherin-R-C	-0.1511890315
p27-R-V	-0.105589256
p27_pT157-R-C	-0.893462512499999
p27_pT198-R-V	-0.169321019
p38_pT180_Y182-R-V	-0.0567338679999998
p70S6K-R-V	0.0822212179999999
p70S6K_pT389-R-V	-0.0632520675000001
p90RSK-R-C	0.0805610305000004
p90RSK_pT359_S363-R-C	-0.319819025
PAI-1-M-E	0.488256672
PARP1-R-V	0.880679861
PDCD4-R-C	0.0693099635000005
PDK1-R-V	-0.3637701305
PDK1_pS241-R-V	-0.492067797
PEA15-R-V	-0.1821183485
PEA15_pS116-R-V	-0.31700504
PI3K-p110-alpha-R-C	-0.5234073305
PI3K-p85-R-V	-0.556582209
PKC-alpha-M-V	0.676447022
PKC-delta_pS664-R-V	-0.205376129
PKC-pan_BetaII_pS660-R-V	0.308982892
PR-R-V	0.0310891930000001
PRAS40_pT246-R-V	0.1149603035
PREX1-R-E	0.310802706
PTEN-R-V	0.721614617
Rab11-R-E	-0.271655454999999
Rab25-R-V	-0.165062043
Raptor-R-V	-0.352647551
Rb_pS807_S811-R-V	0.8441530045
RBM15-R-V	0.4622778415
Rictor-R-C	0.174712033
Rictor_pT1135-R-V	0.4874612755
S6-R-E	0.4433623035
S6_pS235_S236-R-V	1.050793204
S6_pS240_S244-R-V	1.6887196065
SCD-M-V	0.310436822
SF2-M-V	0.9159572765
Shc_pY317-R-E	0.0449176360000001
Smad1-R-V	-0.652549947
Smad3-R-V	-0.36226361
Src-M-V	-0.2761950595
Src_pY416-R-C	1.00792478
Src_pY527-R-V	0.569212997500001
STAT3_pY705-R-V	0.828723738
STAT5-alpha-R-V	0.353050407
Stathmin-R-V	-0.1712540785
Syk-M-V	-0.673324389999999
TAZ-R-V	-0.3162553595
TFRC-R-V	1.093447178
TIGAR-R-V	-0.316558677
Transglutaminase-M-V	-0.0849723674999998
TSC1-R-C	-0.3435503715
Tuberin_pT1462-R-V	0.5827630365
XBP1-G-C	1.3316354835
YB-1-R-V	0
YB-1_pS102-R-V	-0.0906304489999996
