Sample REF	3511ab99-23f6-45bb-b2f9-28e547200841
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.0515408485000002
4E-BP1-R-V	-0.0321337269999998
4E-BP1_pS65-R-V	0.1723823885
4E-BP1_pT37_T46-R-V	0.343682642
ACC_pS79-R-V	0.2898266735
Akt-R-V	0.1139201695
Akt_pS473-R-V	-0.0474140585
Akt_pT308-R-V	-0.1192626235
AMPK_alpha-R-C	0.227336148
AMPK_pT172-R-V	0.3178269015
AR-R-V	0.6583640295
ATM-R-E	-0.317796271
Bak-R-C	0.1114947735
Bax-R-V	0.1035653815
Bcl-2-M-V	-0.28599342
beta-Catenin-R-V	0.24992243
Bid-R-C	-0.13859247
Bim-R-V	-0.2885868305
c-Kit-R-V	-0.4139136275
c-Myc-R-C	0.0397900130000002
C-Raf-R-V	0.116337231
Caspase-7_cleavedD198-R-C	0.5313098075
Caveolin-1-R-V	0.914208821
CD31-M-V	-0.0971613949999998
CD49b-M-V	-0.342143991
CDK1-R-V	-0.1865760735
Chk1_pS345-R-C	-0.170356541
Chk2_pT68-R-C	-0.2335225795
cIAP-R-V	0.0243329745000003
Claudin-7-R-V	0.3171544255
Collagen_VI-R-V	0.5597376995
Cyclin_B1-R-V	-0.6023870975
Cyclin_D1-R-V	0.0413338270000002
Cyclin_E1-M-V	-0.108996892
Dvl3-R-V	0.13561449
E-Cadherin-R-V	0.53834017
eEF2K-R-V	-0.1758556825
eIF4E-R-V	-0.0158554814999998
ER-alpha-R-V	2.462152259
ER-alpha_pS118-R-V	0.153502734
ERK2-R-E	-0.0312947959999998
FOXO3a-R-C	0.0278342230000002
GAB2-R-V	0.3769039175
GATA3-M-V	0.911884586
GSK3-alpha-beta-M-V	0.0926111315000002
GSK3-alpha-beta_pS21_S9-R-V	-0.0983248669999996
HER2-M-V	0.0649921615000002
HSP70-R-C	0.3633604555
IGFBP2-R-V	0.1382710015
IRS1-R-V	-0.245257454
JNK2-R-C	0.109045209
Ku80-R-C	0.0725848890000002
LKB1-M-E	0.0267635485000002
Lck-R-V	0.406298538
MAPK_pT202_Y204-R-V	0.1969691735
MEK1-R-V	0.0848593230000002
