Sample REF	39636744-785B-4D93-8EE5-40D075AEAB71
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0328265974999997
14-3-3_epsilon-M-C	-0.242834263
14-3-3_zeta-R-V	-0.1778816515
4E-BP1-R-V	0.1262262895
4E-BP1_pS65-R-V	0.0760756455
4E-BP1_pT37_T46-R-V	-0.4890938905
4E-BP1_pT70-R-V	0.184108708
ACC_pS79-R-V	-0.181233607
ACVRL1-R-C	0.33974963
Akt-R-V	-0.504448082
Akt_pS473-R-V	-0.5298372605
Akt_pT308-R-V	0.097188504
AMPK_alpha-R-C	0.99966838
AMPK_pT172-R-V	0.4235213025
Annexin-1-M-E	0.3803666865
Annexin_VII-M-V	0.000375743999999845
AR-R-V	0.2425294665
ARHI-M-E	-0.312840202999999
ATM-R-E	0.2673079375
Bad_pS112-R-V	-0.231282465
Bak-R-C	0.3386241335
Bap1-c-4-M-V	-0.2145455555
Bax-R-V	-0.3899524105
Bcl-2-M-V	0.200150044
beta-Catenin-R-V	0.135680338
Bid-R-C	0.372452707
Bim-R-V	0.0445011744999999
BRCA2-R-C	0.441848001
c-Kit-R-V	0.5188585115
c-Myc-R-C	1.322387502
C-Raf-R-V	0.1219393515
Caspase-7_cleavedD198-R-C	0.36993147
Caveolin-1-R-V	0.6378288275
CD20-R-C	0.0356813180000002
CD31-M-V	-0.4032711845
CD49b-M-V	-0.2759160655
CDK1-R-V	1.069727713
Chk1_pS345-R-C	-0.5330786255
Chk2_pT68-R-C	-0.0744420319999999
cIAP-R-V	-0.1591644985
Claudin-7-R-V	-0.1396410185
Collagen_VI-R-V	0.762614187
Cyclin_B1-R-V	-0.275925489
Cyclin_D1-R-V	-0.138787318
Cyclin_E1-M-V	-0.2014558455
Cyclin_E2-R-C	-0.3990233405
Dvl3-R-V	-0.3526378985
E-Cadherin-R-V	1.374868084
eEF2K-R-V	0.0905512315000001
EGFR-R-V	0.3709119765
eIF4E-R-V	-0.233384398
eIF4G-R-C	-0.41054256
ER-alpha-R-V	-0.0598537210000001
ER-alpha_pS118-R-V	-0.5109277035
ERK2-R-E	-0.0756643855000001
ETS-1-R-V	0.532110784
FASN-R-V	-0.0972757915000002
FoxM1-R-V	0.3549133735
FOXO3a-R-C	0
FOXO3a_pS318_S321-R-C	-0.0882160895000001
G6PD-M-V	0.146798457
GAB2-R-V	0.00289799199999985
GAPDH-M-C	0.499293587
GATA3-M-V	0.168830212
GSK3-alpha-beta-M-V	-0.756433473
GSK3-alpha-beta_pS21_S9-R-V	-0.3031314275
GSK3_pS9-R-V	-0.614973236
HER2-M-V	0.0959561274999998
Heregulin-R-V	0.0669735985000002
HSP70-R-C	-0.079345631
IGFBP2-R-V	-0.491896692
IRS1-R-V	0.0975795835
JNK2-R-C	0.1072026385
Ku80-R-C	-0.1434020005
Lck-R-V	0.7474883925
LKB1-M-E	-0.0180677570000001
MAPK_pT202_Y204-R-V	-0.371021294
MEK1-R-V	0.2896130255
MEK1_pS217_S221-R-V	0.330380184
MIG-6-M-V	-0.184230527
Mre11-R-C	0.3613769225
MSH6-R-C	-0.250633977
mTOR-R-V	-0.4751954785
mTOR_pS2448-R-C	-0.3250383125
MYH11-R-V	0.789432377
Myosin-IIa_pS1943-R-V	-0.395040837
N-Cadherin-R-V	0.245497014
N-Ras-M-V	0.1591216445
NDRG1_pT346-R-V	-0.1921289525
NF-kB-p65_pS536-R-C	0.5323127695
NF2-R-C	-0.132169397
Notch1-R-V	0.3997612045
P-Cadherin-R-C	0.140859853
p27-R-V	0.1909143975
p27_pT157-R-C	0.066239655
p27_pT198-R-V	0.4402102485
p38_pT180_Y182-R-V	0.3243187135
p70S6K-R-V	-0.7254347305
p70S6K_pT389-R-V	0.488713173
p90RSK-R-C	-0.489737588
p90RSK_pT359_S363-R-C	0.6920095685
PAI-1-M-E	-0.5883508815
PARP1-R-V	-0.2803614765
PDCD4-R-C	-1.086541015
PDK1-R-V	0.0878405939999998
PDK1_pS241-R-V	-0.1920489425
PEA15-R-V	0.211907586
PEA15_pS116-R-V	-0.0410490865000001
PI3K-p110-alpha-R-C	-0.270175657
PI3K-p85-R-V	-0.1645227775
PKC-alpha-M-V	0.1007359535
PKC-delta_pS664-R-V	-0.3192936045
PKC-pan_BetaII_pS660-R-V	-0.3342313835
PR-R-V	0.2297240595
PRAS40_pT246-R-V	0.0817208630000001
PREX1-R-E	-0.6534427935
PTEN-R-V	-0.4394267205
Rab11-R-E	0.3123062875
Rab25-R-V	0.536884339499999
Raptor-R-V	0.0783810024999998
Rb_pS807_S811-R-V	-0.239141426
RBM15-R-V	-0.698763496
Rictor-R-C	-0.0139084285000002
Rictor_pT1135-R-V	0.159652886
S6-R-E	-0.458247593
S6_pS235_S236-R-V	-0.1102481335
S6_pS240_S244-R-V	0.527678269
SCD-M-V	-0.3073800565
SF2-M-V	-0.24285187
Shc_pY317-R-E	-0.0482806025000002
Smad1-R-V	-0.1087138225
Smad3-R-V	0.1398565285
Src-M-V	0.0597372559999998
Src_pY416-R-C	-0.1531165575
Src_pY527-R-V	0.323269483
STAT3_pY705-R-V	-0.00199124449999988
STAT5-alpha-R-V	0.1796381545
Stathmin-R-V	0.517221916
Syk-M-V	-1.4446097545
TAZ-R-V	0.364223519
TFRC-R-V	-0.0675941595
TIGAR-R-V	0.0622223915
Transglutaminase-M-V	-0.215084895
TSC1-R-C	-0.186254672
Tuberin_pT1462-R-V	0.143063248
XBP1-G-C	0.596749756
YB-1-R-V	0.2455577735
YB-1_pS102-R-V	0.0497536845
