Sample REF	3EB15608-D3BE-4E35-89F9-BEF3DFEB60EC
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.2612780515
14-3-3_epsilon-M-C	-0.30434771
14-3-3_zeta-R-V	-0.3019369435
4E-BP1-R-V	-0.2106444545
4E-BP1_pS65-R-V	0.2179844535
4E-BP1_pT37_T46-R-V	0.5410826725
4E-BP1_pT70-R-V	0.27261978
ACC_pS79-R-V	-0.159509553
ACVRL1-R-C	0.108049576
Akt-R-V	-0.0665162379999997
Akt_pS473-R-V	0.0957936135000002
Akt_pT308-R-V	0.190668601
AMPK_alpha-R-C	-0.0126496989999998
AMPK_pT172-R-V	-0.00724933149999973
Annexin-1-M-E	0.6635364275
Annexin_VII-M-V	-0.0594220759999997
AR-R-V	0.1204198105
ARHI-M-E	0.0192215900000008
ATM-R-E	0.2702293955
Bad_pS112-R-V	-0.333977214
Bak-R-C	0.0889867975000003
Bap1-c-4-M-V	0.1175162375
Bax-R-V	-0.3153003665
Bcl-2-M-V	-0.0632392289999997
beta-Catenin-R-V	0.253049367
Bid-R-C	0.384435964
Bim-R-V	-0.0750838025
BRCA2-R-C	0.115404615
c-Kit-R-V	0.1354073075
c-Myc-R-C	0.367767092
C-Raf-R-V	0.0480982345000002
Caspase-7_cleavedD198-R-C	0.0407429920000002
Caveolin-1-R-V	1.2777631225
CD20-R-C	0.191167539
CD31-M-V	-0.5446141575
CD49b-M-V	-0.3591003885
CDK1-R-V	0.337217482
Chk1_pS345-R-C	-0.4210341245
Chk2_pT68-R-C	-0.707454512
cIAP-R-V	-0.3552931005
Claudin-7-R-V	-0.8416994695
Collagen_VI-R-V	0.751345634
Cyclin_B1-R-V	0.0561363040000002
Cyclin_D1-R-V	0.13449136
Cyclin_E1-M-V	-0.1851944305
Cyclin_E2-R-C	-0.2909726845
Dvl3-R-V	-0.6645645805
E-Cadherin-R-V	0.674254008
eEF2K-R-V	0.3934050135
EGFR-R-V	0.1542335955
eIF4E-R-V	-0.151323692
eIF4G-R-C	-0.195493023
ER-alpha-R-V	0.399664252
ER-alpha_pS118-R-V	-0.3418842295
ERK2-R-E	0.0197836535000002
ETS-1-R-V	0.700433673
FASN-R-V	-0.4586983025
FoxM1-R-V	-0.1744473195
FOXO3a-R-C	-0.0130543159999998
FOXO3a_pS318_S321-R-C	-0.1193213505
G6PD-M-V	-0.504812418
GAB2-R-V	-0.122044431
GAPDH-M-C	0.83135538
GATA3-M-V	0.368628206
GSK3-alpha-beta-M-V	-0.654903727
GSK3-alpha-beta_pS21_S9-R-V	-0.2063487645
GSK3_pS9-R-V	0.00454183200000013
HER2-M-V	0.0526036815000002
Heregulin-R-V	-0.1921922065
HSP70-R-C	0.420280631
IGFBP2-R-V	-0.107812516
IRS1-R-V	-0.0728229924999997
JNK2-R-C	-0.0813590115
Ku80-R-C	-0.3882552965
Lck-R-V	-0.9475043915
LKB1-M-E	0.0129156670000001
MAPK_pT202_Y204-R-V	0.576462144
MEK1-R-V	0.3929268415
MEK1_pS217_S221-R-V	0.0473311520000002
MIG-6-M-V	-0.321092212
Mre11-R-C	-0.0232330285
MSH6-R-C	-0.271971867
mTOR-R-V	-0.4798556785
mTOR_pS2448-R-C	-0.1738867305
MYH11-R-V	1.984411007
Myosin-IIa_pS1943-R-V	0.034118799
N-Cadherin-R-V	-0.00817978699999977
N-Ras-M-V	0.3414209895
NDRG1_pT346-R-V	1.1493716295
NF-kB-p65_pS536-R-C	0.0834331935000003
NF2-R-C	-0.150784995
Notch1-R-V	0.1413665605
P-Cadherin-R-C	0.210594974
p27-R-V	0.3480307885
p27_pT157-R-C	-0.206241959
p27_pT198-R-V	-0.0967710115
p38_pT180_Y182-R-V	0.2235434325
p70S6K-R-V	-0.1267459065
p70S6K_pT389-R-V	0
p90RSK-R-C	-0.294328331
p90RSK_pT359_S363-R-C	0.1924007415
PAI-1-M-E	-0.3407228725
PARP1-R-V	0.0517003164999998
PDCD4-R-C	-0.00788751799999976
PDK1-R-V	-0.199131917
PDK1_pS241-R-V	-0.2738941695
PEA15-R-V	0.461635993
PEA15_pS116-R-V	0.2905597365
PI3K-p110-alpha-R-C	-0.21261436
PI3K-p85-R-V	-0.1718116155
PKC-alpha-M-V	0.1771401155
PKC-delta_pS664-R-V	-0.5668112555
PKC-pan_BetaII_pS660-R-V	-0.2557260125
PR-R-V	0.1217124835
PRAS40_pT246-R-V	0.228575193
PREX1-R-E	-0.5181768385
PTEN-R-V	-0.1073649275
Rab11-R-E	-0.1027192285
Rab25-R-V	-0.9940415875
Raptor-R-V	-0.1104126415
Rb_pS807_S811-R-V	0.0151734600000002
RBM15-R-V	-0.366701703
Rictor-R-C	0.8675908195
Rictor_pT1135-R-V	0.341609781
S6-R-E	-0.385617241
S6_pS235_S236-R-V	0.2218136595
S6_pS240_S244-R-V	0.859740062
SCD-M-V	-0.1875898315
SF2-M-V	0.0869777319999998
Shc_pY317-R-E	-0.2967318275
Smad1-R-V	-0.3561957785
Smad3-R-V	0.1188207805
Src-M-V	-0.0294934900000001
Src_pY416-R-C	0.1789452355
Src_pY527-R-V	0.800936126
STAT3_pY705-R-V	0.2125457075
STAT5-alpha-R-V	0.2230763475
Stathmin-R-V	0.122724533
Syk-M-V	-1.1294755095
TAZ-R-V	-0.318300084
TFRC-R-V	0.2644676335
TIGAR-R-V	-0.0219293514999999
Transglutaminase-M-V	-0.241314997
TSC1-R-C	0.154295472
Tuberin_pT1462-R-V	0.651062238
XBP1-G-C	1.033946747
YB-1-R-V	0.4450741345
YB-1_pS102-R-V	-0.1841284515
