Sample REF	3dc93dcc-2b14-4725-b40e-23be7cdbbb9d
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.0624470235
4E-BP1-R-V	0.654398601
4E-BP1_pS65-R-V	0.1881578555
4E-BP1_pT37_T46-R-V	-0.000522154999999969
ACC_pS79-R-V	-0.1006905115
Akt-R-V	-0.3986360465
Akt_pS473-R-V	-0.9723456565
Akt_pT308-R-V	-0.6993107055
AMPK_alpha-R-C	0.225633397
AMPK_pT172-R-V	0.9005041425
AR-R-V	-0.0287413275
ATM-R-E	0.188777033
Bak-R-C	0.2756975795
Bax-R-V	0.0983000075
Bcl-2-M-V	-1.584499264
beta-Catenin-R-V	0.858293152
Bid-R-C	0.0863983320000001
Bim-R-V	0.0943419084999999
c-Kit-R-V	-0.6808026835
c-Myc-R-C	0.323762067
C-Raf-R-V	0.857221973
Caspase-7_cleavedD198-R-C	-0.2173677265
Caveolin-1-R-V	-0.953802145
CD31-M-V	-0.247304329
CD49b-M-V	0.162391345
CDK1-R-V	-0.2790544635
Chk1_pS345-R-C	0.0599014920000001
Chk2_pT68-R-C	-0.0118535064999998
cIAP-R-V	0.0537292024999999
Claudin-7-R-V	1.8173343125
Collagen_VI-R-V	-0.4064037335
Cyclin_B1-R-V	0.3151996895
Cyclin_D1-R-V	-0.202393033
Cyclin_E1-M-V	0.688005311
Dvl3-R-V	-0.112969842
E-Cadherin-R-V	0.850183499
eEF2K-R-V	-0.0997863944999999
eIF4E-R-V	0.3425824605
ER-alpha-R-V	2.507729788
ER-alpha_pS118-R-V	0.646566853
ERK2-R-E	-0.0624386290000001
FOXO3a-R-C	0.116515733
GAB2-R-V	0.7001311955
GATA3-M-V	-0.869039059
GSK3-alpha-beta-M-V	-0.0256818694999998
GSK3-alpha-beta_pS21_S9-R-V	-0.530897619
HER2-M-V	-0.0277330735
HSP70-R-C	-0.0108123065000001
IGFBP2-R-V	0.9315254985
IRS1-R-V	-0.248901106
JNK2-R-C	-0.50149739
Ku80-R-C	0.200013637
LKB1-M-E	-0.2425379565
Lck-R-V	-0.292624361
MAPK_pT202_Y204-R-V	-0.7672847415
MEK1-R-V	-0.020540902
MEK1_pS217_S221-R-V	-0.1874616855
MIG-6-M-V	0.3871480375
Mre11-R-C	-0.0553394465
mTOR-R-V	0.16598723
N-Cadherin-R-V	-0.1783343635
NF-kB-p65_pS536-R-C	0.140041348
NF2-R-C	-0.307027773
Notch1-R-V	0.0710408919999999
P-Cadherin-R-C	0.574546863
p27-R-V	0.0608358975
p27_pT157-R-C	0.0344217424999999
p38_pT180_Y182-R-V	-0.0410983625000001
p70S6K-R-V	-0.234560084
p70S6K_pT389-R-V	-0.3664943625
p90RSK_pT359_S363-R-C	-0.2316444845
PDK1_pS241-R-V	-0.176051412
PEA15-R-V	-0.17401794
PI3K-p110-alpha-R-C	0.0882183525000002
PKC-alpha-M-V	-0.183466953
PKC-delta_pS664-R-V	0.0340883945
PR-R-V	0.1109677335
PRAS40_pT246-R-V	-0.34336913
PTEN-R-V	0.869430575
Rb_pS807_S811-R-V	0.885439714
S6-R-E	-0.01721283
S6_pS235_S236-R-V	-0.727659535
S6_pS240_S244-R-V	-0.528969047
Shc_pY317-R-E	0.0286430939999998
Smad1-R-V	0.3914349115
Smad3-R-V	-0.1153811185
Src-M-V	0.603433296
Src_pY416-R-C	-0.1430489825
Src_pY527-R-V	-0.127487992
STAT3_pY705-R-V	0.0133661184999998
STAT5-alpha-R-V	-0.8358721825
Stathmin-R-V	-0.036433034
Syk-M-V	0.309957295
YB-1-R-V	0.1961206075
YB-1_pS102-R-V	-0.0149630550000001
PAI-1-M-E	1.0348259395
mTOR_pS2448-R-C	-0.2515243865
EGFR-R-V	0.486619143
4E-BP1_pT70-R-V	-0.0795456550000002
Annexin_VII-M-V	-0.370911932
Bad_pS112-R-V	-0.4236704055
Bap1-c-4-M-V	0.7928867455
BRCA2-R-C	0.3020126395
CD20-R-C	0.0101960755
Cyclin_E2-R-C	0.144277017
eIF4G-R-C	0.9679892865
FASN-R-V	-0.0773878789999998
FOXO3a_pS318_S321-R-C	0.088425585
FoxM1-R-V	0.068803672
G6PD-M-V	0.5187566995
GAPDH-M-C	2.1517096645
GSK3_pS9-R-V	-0.5583588725
Heregulin-R-V	0.0772282849999999
MYH11-R-V	0.212807472
Myosin-IIa_pS1943-R-V	0.183024993
N-Ras-M-V	-0.198192257
NDRG1_pT346-R-V	1.5462939105
p27_pT198-R-V	0.267951914
p90RSK-R-C	-0.0695388545
PDCD4-R-C	0.8896912205
PDK1-R-V	-0.2581107535
PEA15_pS116-R-V	0.0906334835
PI3K-p85-R-V	-0.2220218365
PKC-pan_BetaII_pS660-R-V	-0.1411616335
Rab25-R-V	0.0442269590000002
Rab11-R-E	-0.190334011
Raptor-R-V	0.6592000255
RBM15-R-V	0.725014867
Rictor-R-C	-0.2537710075
Rictor_pT1135-R-V	-0.0876737555
SCD-M-V	-0.0781482025000007
SF2-M-V	-0.103081119
TAZ-R-V	0.1159857315
TIGAR-R-V	0.17249686
Transglutaminase-M-V	-0.0151617295000002
TFRC-R-V	-0.139519627
TSC1-R-C	0.1018881205
Tuberin_pT1462-R-V	-0.2766518095
XBP1-G-C	-0.0660507165
ETS-1-R-V	-0.1155582595
14-3-3_beta-R-V	-0.0155025025000002
14-3-3_zeta-R-V	-0.0316900099999999
ACVRL1-R-C	-0.200860641
ARHI-M-E	-0.0566270215
Annexin-1-M-E	-0.6150219885
PREX1-R-E	2.4662814205
MSH6-R-C	0.4818992925
PARP1-R-V	0.3185221645
