Sample REF	5da7a020-3d19-499b-9941-2028de5c5a3e
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.0335951959999999
4E-BP1-R-V	-0.250837678
4E-BP1_pS65-R-V	-0.106002505
4E-BP1_pT37_T46-R-V	-0.3057977215
ACC_pS79-R-V	0.5876363275
Akt-R-V	-0.1742671545
Akt_pS473-R-V	-0.423101941
Akt_pT308-R-V	-0.114148329
AMPK_alpha-R-C	-0.0719949345000001
AMPK_pT172-R-V	-0.512639239
AR-R-V	0.0688833935000003
ATM-R-E	-0.1990719
Bax-R-V	-0.0789136644999998
Bcl-2-M-V	0.481427109
beta-Catenin-R-V	-0.180702956
Bid-R-C	0.2118921495
Bim-R-V	-0.356399121
c-Kit-R-V	-0.193241833
c-Myc-R-C	0.660018992
C-Raf-R-V	0.0508579994999999
Caspase-7_cleavedD198-R-C	-0.1526197035
Caveolin-1-R-V	-0.786576712
CD31-M-V	0.0335966305
CD49b-M-V	0.424250455
CDK1-R-V	-0.079835161
Chk1_pS345-R-C	-0.0957848925
cIAP-R-V	-0.1237942145
Claudin-7-R-V	-0.007717522
Collagen_VI-R-V	-0.1756481075
Cyclin_B1-R-V	0.1507437225
Cyclin_D1-R-V	0.0844576685000001
Cyclin_E1-M-V	-0.235852361
Dvl3-R-V	0.00512548700000012
E-Cadherin-R-V	0.177597579
eEF2K-R-V	-0.693882569
EGFR-R-V	-0.0831866725
eIF4E-R-V	0.0620574195
ER-alpha-R-V	0.9744352915
ER-alpha_pS118-R-V	1.024908549
ERK2-R-E	-0.386648669
FOXO3a-R-C	-0.069476404
GAB2-R-V	-0.00503432299999998
GATA3-M-V	0.370473557000001
GSK3-alpha-beta-M-V	-0.0675949615
GSK3-alpha-beta_pS21_S9-R-V	0.184804914
HER2-M-V	-0.3237394985
HSP70-R-C	1.4374975045
IGFBP2-R-V	1.1622165405
IRS1-R-V	-0.046664779
JNK2-R-C	-0.4231172135
Ku80-R-C	-0.70384336
Lck-R-V	-0.2769079055
LKB1-M-E	0.231895633
MAPK_pT202_Y204-R-V	0.7154504435
MEK1-R-V	0.0608480395
MEK1_pS217_S221-R-V	0.3449554485
MIG-6-M-V	0.0421854575
Mre11-R-C	0.2422817115
mTOR-R-V	-0.244642572
mTOR_pS2448-R-C	-0.0557847335
N-Cadherin-R-V	0.2709459985
NF-kB-p65_pS536-R-C	-0.465678611
NF2-R-C	-0.4597096355
Notch1-R-V	0.0465713075
P-Cadherin-R-C	0.146587474
p27-R-V	-0.4054379965
p27_pT157-R-C	0.0351733305
p38_pT180_Y182-R-V	0.6058503835
p70S6K-R-V	0.2022160715
p70S6K_pT389-R-V	-0.0868146105
p90RSK_pT359_S363-R-C	0.1210327045
PAI-1-M-E	1.2149235585
PDK1_pS241-R-V	-0.012915277
PEA15-R-V	-0.0682371905
PI3K-p110-alpha-R-C	-0.00801995150000001
PKC-alpha-M-V	-0.00198623699999992
PKC-delta_pS664-R-V	0.041140526
PR-R-V	-0.010549431
PRAS40_pT246-R-V	-0.129273191
PTEN-R-V	0.1427650955
Rb_pS807_S811-R-V	0.0536719185
S6-R-E	-0.225396067
S6_pS235_S236-R-V	-0.0963667095
S6_pS240_S244-R-V	-0.26432264
Shc_pY317-R-E	-0.0257891839999999
Smad1-R-V	0.0385942744999999
Smad3-R-V	0.2924537625
Src-M-V	0.4242885355
Src_pY416-R-C	-0.106946788
Src_pY527-R-V	0.1585254715
STAT3_pY705-R-V	0.338019951
STAT5-alpha-R-V	-0.52080787
Stathmin-R-V	0.3283753845
Syk-M-V	0.6766548155
YB-1-R-V	-0.1640832955
YB-1_pS102-R-V	0.106822153
4E-BP1_pT70-R-V	0.082255606
Annexin_VII-M-V	0.0504812575
Bad_pS112-R-V	0.188262487
Bap1-c-4-M-V	-0.194721118
BRCA2-R-C	-0.096172543
CD20-R-C	-0.169257314
Cyclin_E2-R-C	-0.179617724
ETS-1-R-V	-0.240399965
eIF4G-R-C	0.2461725785
FASN-R-V	1.8218015075
FOXO3a_pS318_S321-R-C	-0.0509500925
FoxM1-R-V	0.0477909715
G6PD-M-V	-0.153043021
GAPDH-M-C	-0.655202003
GSK3_pS9-R-V	0.2565011235
Heregulin-R-V	0.037193578
MYH11-R-V	-0.873405781
Myosin-IIa_pS1943-R-V	-0.0466108405
N-Ras-M-V	0.1588287125
NDRG1_pT346-R-V	0.8646874485
p27_pT198-R-V	-0.1313514305
p90RSK-R-C	-0.1183892065
PDCD4-R-C	-0.73421896
PDK1-R-V	0.02678162
PEA15_pS116-R-V	0.106338975
PI3K-p85-R-V	0.2394631805
PKC-pan_BetaII_pS660-R-V	0.051404767
Rab11-R-E	0.2928046205
Rab25-R-V	-0.6725991755
Raptor-R-V	-0.075845957
RBM15-R-V	-0.27830943
Rictor-R-C	-0.417779289
Rictor_pT1135-R-V	0.1104239745
SCD-M-V	0.14952963
SF2-M-V	-0.0759158975
TAZ-R-V	0.090786031
TIGAR-R-V	0.0554246384999999
Transglutaminase-M-V	-0.055613622
TFRC-R-V	0.095562557
TSC1-R-C	-0.129906782
Tuberin_pT1462-R-V	-0.066617732
XBP1-G-C	-0.241685816
14-3-3_beta-R-V	0.03921669
14-3-3_zeta-R-V	0.0859464055000002
ACVRL1-R-C	0.2082981835
ARHI-M-E	0.1287400065
Annexin-1-M-E	0.3404644505
PREX1-R-E	0.206369507
