Sample REF	68A3D687-0B01-4BDD-B650-D8D204E65559
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0
14-3-3_epsilon-M-C	0.1395955595
14-3-3_zeta-R-V	-0.246003932
4E-BP1-R-V	-0.322995595
4E-BP1_pS65-R-V	-0.776443313
4E-BP1_pT37_T46-R-V	0.180140915
4E-BP1_pT70-R-V	-0.7880314975
ACC_pS79-R-V	-0.1046126055
ACVRL1-R-C	0.0992597305
Akt-R-V	-0.1074821345
Akt_pS473-R-V	0.487014522
Akt_pT308-R-V	0.6328729175
AMPK_alpha-R-C	-0.4334965955
AMPK_pT172-R-V	-0.450862392
Annexin-1-M-E	0.458536293
Annexin_VII-M-V	0.0754210474999999
AR-R-V	-0.629820303
ARHI-M-E	1.1855045015
ATM-R-E	-1.02048728
Bad_pS112-R-V	-0.3433833745
Bak-R-C	-0.0535699459999996
Bap1-c-4-M-V	1.283799149
Bax-R-V	-0.378569198
Bcl-2-M-V	-0.3600823165
beta-Catenin-R-V	-0.4610493935
Bid-R-C	-0.3730441705
Bim-R-V	-0.964320995
BRCA2-R-C	0.1875320605
c-Kit-R-V	-1.006109728
c-Myc-R-C	-0.0697066765000001
C-Raf-R-V	-0.701244875
Caspase-7_cleavedD198-R-C	-0.8242913085
Caveolin-1-R-V	1.62542936
CD20-R-C	-0.3806127135
CD31-M-V	0.106459524
CD49b-M-V	-0.0848674589999998
CDK1-R-V	-0.3579330425
Chk1_pS345-R-C	0.745248787
Chk2_pT68-R-C	-1.0412868365
cIAP-R-V	-0.229506223
Claudin-7-R-V	-0.654180993
Collagen_VI-R-V	1.4368548265
Cyclin_B1-R-V	1.2224192155
Cyclin_D1-R-V	-0.1186855685
Cyclin_E1-M-V	0.981088481
Cyclin_E2-R-C	-0.292775613000001
Dvl3-R-V	0.500324135
E-Cadherin-R-V	0.4760273955
eEF2K-R-V	0.438848875
EGFR-R-V	0.101628083
eIF4E-R-V	0.2048996975
eIF4G-R-C	0.9707898885
ER-alpha-R-V	-0.7957748665
ER-alpha_pS118-R-V	-0.569151047
ERK2-R-E	-0.493269834
ETS-1-R-V	1.0690330085
FASN-R-V	0.0733627809999999
FoxM1-R-V	-0.0145901950000003
FOXO3a-R-C	1.1532285955
FOXO3a_pS318_S321-R-C	-0.0587416190000001
G6PD-M-V	0.5814053755
GAB2-R-V	0.2117035255
GAPDH-M-C	1.9976382915
GATA3-M-V	0.5741782825
GSK3-alpha-beta-M-V	-0.3378535505
GSK3-alpha-beta_pS21_S9-R-V	-0.0944473370000001
GSK3_pS9-R-V	0.8767685175
HER2-M-V	0.0654903699999998
Heregulin-R-V	0.582296479
HSP70-R-C	1.1861090975
IGFBP2-R-V	0.1840261905
IRS1-R-V	-0.398892375
JNK2-R-C	-0.0581295630000001
Ku80-R-C	-0.988134898
Lck-R-V	-1.21712219
LKB1-M-E	-0.8904343105
MAPK_pT202_Y204-R-V	0.4132985425
MEK1-R-V	-0.0579005930000003
MEK1_pS217_S221-R-V	-0.7421243305
MIG-6-M-V	-0.0889082965000005
Mre11-R-C	-1.07667351
MSH6-R-C	0.6763403905
mTOR-R-V	-0.364784487
mTOR_pS2448-R-C	0.704675666
MYH11-R-V	-0.884783257500001
Myosin-IIa_pS1943-R-V	0.2092178775
N-Cadherin-R-V	-0.494711278500001
N-Ras-M-V	0.19161538
NDRG1_pT346-R-V	1.306215752
NF-kB-p65_pS536-R-C	-0.193767513
NF2-R-C	0.0539589294999998
Notch1-R-V	0.362791988
P-Cadherin-R-C	-0.9497024885
p27-R-V	-0.263132794
p27_pT157-R-C	-0.5561591455
p27_pT198-R-V	-0.646310321
p38_pT180_Y182-R-V	-0.0982664570000003
p70S6K-R-V	0.419524585
p70S6K_pT389-R-V	0.2740512995
p90RSK-R-C	0.4178643975
p90RSK_pT359_S363-R-C	-0.160501567
PAI-1-M-E	0.825560039
PARP1-R-V	1.217983228
PDCD4-R-C	-0.7909290915
PDK1-R-V	-0.4459727505
PDK1_pS241-R-V	-0.25504471
PEA15-R-V	-0.7610366655
PEA15_pS116-R-V	-0.784585063
PI3K-p110-alpha-R-C	-0.2867262835
PI3K-p85-R-V	-0.990032663
PKC-alpha-M-V	1.013750389
PKC-delta_pS664-R-V	0.131927238
PKC-pan_BetaII_pS660-R-V	0.646286259
PR-R-V	-0.393557879
PRAS40_pT246-R-V	0.4758676555
PREX1-R-E	0.648106073
PTEN-R-V	1.058917984
Rab11-R-E	-0.585618199
Rab25-R-V	0.925866017
Raptor-R-V	-0.849814533
Rb_pS807_S811-R-V	1.1814563715
RBM15-R-V	0.7995812085
Rictor-R-C	-0.174968959
Rictor_pT1135-R-V	-0.4607915175
S6-R-E	0.7806656705
S6_pS235_S236-R-V	1.388096571
S6_pS240_S244-R-V	2.0260229735
SCD-M-V	0.647740188999999
SF2-M-V	1.2532606435
Shc_pY317-R-E	0.382221003
Smad1-R-V	-0.736807405
Smad3-R-V	-0.870003902
Src-M-V	-0.7103971725
Src_pY416-R-C	1.345228147
Src_pY527-R-V	0.7695397725
STAT3_pY705-R-V	-0.601298093
STAT5-alpha-R-V	0.376709113
Stathmin-R-V	-0.5473292505
Syk-M-V	-0.336021023
TAZ-R-V	-0.5244080195
TFRC-R-V	1.430750545
TIGAR-R-V	-0.783127909
Transglutaminase-M-V	0.2523309995
TSC1-R-C	-1.1761795845
Tuberin_pT1462-R-V	0.9200664035
XBP1-G-C	1.5901893635
YB-1-R-V	-0.212008101
YB-1_pS102-R-V	-0.635625557
