Sample REF	715C8450-EEA3-4C5C-8B9B-D30D994FB08D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.517031282
14-3-3_epsilon-M-C	-0.1821538565
14-3-3_zeta-R-V	-0.622174904
4E-BP1-R-V	-0.252522278
4E-BP1_pS65-R-V	-0.285223947
4E-BP1_pT37_T46-R-V	-0.0618704730000001
4E-BP1_pT70-R-V	0.1234419635
ACC_pS79-R-V	0.4836241825
ACVRL1-R-C	0.3146987325
Akt-R-V	-0.7287241115
Akt_pS473-R-V	-0.124626304
Akt_pT308-R-V	-0.0390783044999998
AMPK_alpha-R-C	0.4046719325
AMPK_pT172-R-V	-0.487816866
Annexin-1-M-E	0.720576558
Annexin_VII-M-V	0.0185175014999999
AR-R-V	-0.191888083
ARHI-M-E	0.480828835500001
ATM-R-E	-1.290096833
Bad_pS112-R-V	-0.3597192285
Bak-R-C	0.118611021
Bap1-c-4-M-V	0.579123483
Bax-R-V	-1.083244864
Bcl-2-M-V	-0.4142032155
beta-Catenin-R-V	-1.1657250595
Bid-R-C	0.4677052705
Bim-R-V	-1.075218278
BRCA2-R-C	0.2014106545
c-Kit-R-V	-0.833599547
c-Myc-R-C	0.8289100195
C-Raf-R-V	-0.0723232039999999
Caspase-7_cleavedD198-R-C	0.1156687085
Caveolin-1-R-V	1.23081167
CD20-R-C	0.0949587294999998
CD31-M-V	-0.525811853
CD49b-M-V	-0.452200004
CDK1-R-V	0.4789610005
Chk1_pS345-R-C	0.040573121
Chk2_pT68-R-C	-1.1934731935
cIAP-R-V	-0.151605602
Claudin-7-R-V	-1.06165858
Collagen_VI-R-V	0.7089401245
Cyclin_B1-R-V	0.5177435495
Cyclin_D1-R-V	0.7693962845
Cyclin_E1-M-V	0.276412815
Cyclin_E2-R-C	-0.67058761
Dvl3-R-V	-0.204351531
E-Cadherin-R-V	-0.2286482705
eEF2K-R-V	-0.0618073190000001
EGFR-R-V	0.0781182479999998
eIF4E-R-V	-0.2481307245
eIF4G-R-C	0.2661142225
ER-alpha-R-V	-1.0637719715
ER-alpha_pS118-R-V	-0.751510386
ERK2-R-E	-0.391245653
ETS-1-R-V	1.3252463555
FASN-R-V	-0.162504844
FoxM1-R-V	-0.120682712
FOXO3a-R-C	0.4485529295
FOXO3a_pS318_S321-R-C	-0.353116402
G6PD-M-V	-0.1232702905
GAB2-R-V	0.0657417405
GAPDH-M-C	1.2929626255
GATA3-M-V	0.9381308175
GSK3-alpha-beta-M-V	-0.9900205655
GSK3-alpha-beta_pS21_S9-R-V	-0.799123003
GSK3_pS9-R-V	0.1720928515
HER2-M-V	0.118230938
Heregulin-R-V	0.110475488
HSP70-R-C	1.1396760245
IGFBP2-R-V	-0.5206494755
IRS1-R-V	-0.0252295730000001
JNK2-R-C	-0.52538296
Ku80-R-C	-1.692810564
Lck-R-V	0.0612982400000002
LKB1-M-E	-0.1179498735
MAPK_pT202_Y204-R-V	1.0664758145
MEK1-R-V	0.614519521
MEK1_pS217_S221-R-V	0.0728315514999998
MIG-6-M-V	-0.2498048115
Mre11-R-C	-0.0356401339999999
MSH6-R-C	-0.0283352754999999
mTOR-R-V	-1.069460153
mTOR_pS2448-R-C	0
MYH11-R-V	-1.5894589235
Myosin-IIa_pS1943-R-V	-0.4954577885
N-Cadherin-R-V	0.1342677335
N-Ras-M-V	0.60001747
NDRG1_pT346-R-V	0.601540086
NF-kB-p65_pS536-R-C	0.474828967
NF2-R-C	0.1558013305
Notch1-R-V	0.190192586
P-Cadherin-R-C	-0.5281679845
p27-R-V	-0.305232359
p27_pT157-R-C	0.2887924785
p27_pT198-R-V	0.206593936
p38_pT180_Y182-R-V	-0.0666750670000003
p70S6K-R-V	-0.257769438
p70S6K_pT389-R-V	0.2631518055
p90RSK-R-C	-0.2868112685
p90RSK_pT359_S363-R-C	0.568620505
PAI-1-M-E	0.325078842
PARP1-R-V	0.513307562
PDCD4-R-C	-0.8991928015
PDK1-R-V	-0.2782627475
PDK1_pS241-R-V	-0.883383837
PEA15-R-V	0.0554214415000001
PEA15_pS116-R-V	0.549726701
PI3K-p110-alpha-R-C	-0.6615512065
PI3K-p85-R-V	-0.987509714
PKC-alpha-M-V	0.309074723
PKC-delta_pS664-R-V	-0.572748428
PKC-pan_BetaII_pS660-R-V	-0.0583894069999999
PR-R-V	-0.146551829
PRAS40_pT246-R-V	0.3888825495
PREX1-R-E	-0.0565695929999999
PTEN-R-V	0.354242318
Rab11-R-E	0.0569667590000003
Rab25-R-V	-0.532434342
Raptor-R-V	-0.565590592
Rb_pS807_S811-R-V	0.4767807055
RBM15-R-V	0.0949055424999998
Rictor-R-C	-0.879644625
Rictor_pT1135-R-V	0.1515906755
S6-R-E	0.0759900044999999
S6_pS235_S236-R-V	0.683420905
S6_pS240_S244-R-V	1.3213473075
SCD-M-V	-0.0569354770000006
SF2-M-V	0.5485849775
Shc_pY317-R-E	0.206238496
Smad1-R-V	-0.51477826
Smad3-R-V	-0.0220169189999999
Src-M-V	-0.1542851795
Src_pY416-R-C	0.640552481
Src_pY527-R-V	1.0444004745
STAT3_pY705-R-V	1.04779906
STAT5-alpha-R-V	0.709011173
Stathmin-R-V	0.2796456875
Syk-M-V	-0.877298057
TAZ-R-V	0.0301366874999998
TFRC-R-V	0.726074879
TIGAR-R-V	-0.185044079
Transglutaminase-M-V	-0.0244245735000002
TSC1-R-C	-0.5685748185
Tuberin_pT1462-R-V	0.3929917425
XBP1-G-C	1.5513323035
YB-1-R-V	0.700701522
YB-1_pS102-R-V	-0.252277359
