Sample REF	738328DA-0CBE-4801-A523-667D56E6A73E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.1499112345
14-3-3_epsilon-M-C	-0.0965983929999998
14-3-3_zeta-R-V	-0.2617433175
4E-BP1-R-V	-0.4268941275
4E-BP1_pS65-R-V	-0.3300773185
4E-BP1_pT37_T46-R-V	0.7284362735
4E-BP1_pT70-R-V	-0.318670007
ACC_pS79-R-V	0.609158599
ACVRL1-R-C	0.0806376879999999
Akt-R-V	-0.343676087
Akt_pS473-R-V	0.8600032035
Akt_pT308-R-V	0.396678965
AMPK_alpha-R-C	0.834405103
AMPK_pT172-R-V	-0.2195653105
Annexin-1-M-E	1.2927886145
Annexin_VII-M-V	-0.160772905
AR-R-V	-0.4844595325
ARHI-M-E	0.949310549000001
ATM-R-E	-1.2566812325
Bad_pS112-R-V	-0.227785219
Bak-R-C	-0.0241196474999998
Bap1-c-4-M-V	1.0476051965
Bax-R-V	-0.6147631505
Bcl-2-M-V	-0.596276269
beta-Catenin-R-V	-0.697243346
Bid-R-C	0.118462502
Bim-R-V	-0.8111494275
BRCA2-R-C	-0.0486618920000002
c-Kit-R-V	-1.1203326355
c-Myc-R-C	1.003995715
C-Raf-R-V	-0.5016311405
Caspase-7_cleavedD198-R-C	-0.167906016
Caveolin-1-R-V	1.7763587485
CD20-R-C	-0.111454636
CD31-M-V	-0.1297344285
CD49b-M-V	-0.3210614115
CDK1-R-V	0.647095678
Chk1_pS345-R-C	0.5090548345
Chk2_pT68-R-C	-1.277480789
cIAP-R-V	-0.4657001755
Claudin-7-R-V	-0.8903749455
Collagen_VI-R-V	1.382031322
Cyclin_B1-R-V	0.986225263
Cyclin_D1-R-V	0.066402917
Cyclin_E1-M-V	0.7448945285
Cyclin_E2-R-C	-0.0517573845000001
Dvl3-R-V	0.2641301825
E-Cadherin-R-V	0.239833443
eEF2K-R-V	0.2026549225
EGFR-R-V	0.2943155215
eIF4E-R-V	-0.0312942549999997
eIF4G-R-C	0.734595936
ER-alpha-R-V	-0.270079825
ER-alpha_pS118-R-V	-0.8053449995
ERK2-R-E	-0.4764956575
ETS-1-R-V	1.282275386
FASN-R-V	-0.1628311715
FoxM1-R-V	-0.2507841475
FOXO3a-R-C	0.917034643
FOXO3a_pS318_S321-R-C	-0.2949355715
G6PD-M-V	0.345211423
GAB2-R-V	0.08664322
GAPDH-M-C	1.761444339
GATA3-M-V	0.876581164
GSK3-alpha-beta-M-V	-0.574047503
GSK3-alpha-beta_pS21_S9-R-V	-0.3306412895
GSK3_pS9-R-V	0.640574565
HER2-M-V	-0.1596713165
Heregulin-R-V	0.3461025265
HSP70-R-C	0.575989074
IGFBP2-R-V	-0.0521677620000001
IRS1-R-V	-0.1923988435
JNK2-R-C	-0.2943235155
Ku80-R-C	-1.2243288505
Lck-R-V	0.7219555885
LKB1-M-E	-0.757266221
MAPK_pT202_Y204-R-V	1.166886174
MEK1-R-V	0.6853002485
MEK1_pS217_S221-R-V	-0.388622291
MIG-6-M-V	-0.325102249
Mre11-R-C	-0.6421639255
MSH6-R-C	0.440146438
mTOR-R-V	-0.6009784395
mTOR_pS2448-R-C	0.4684817135
MYH11-R-V	-1.12097721
Myosin-IIa_pS1943-R-V	-0.0269760750000001
N-Cadherin-R-V	-0.675047713
N-Ras-M-V	0.3220335975
NDRG1_pT346-R-V	1.0700217995
NF-kB-p65_pS536-R-C	0.1843248055
NF2-R-C	-0.182235023
Notch1-R-V	0.300181550500001
P-Cadherin-R-C	-1.185896441
p27-R-V	-0.4993267465
p27_pT157-R-C	0.076609886
p27_pT198-R-V	-0.0684805485000002
p38_pT180_Y182-R-V	-0.0606840165000002
p70S6K-R-V	0.1833306325
p70S6K_pT389-R-V	0.0378573469999997
p90RSK-R-C	0.181670445
p90RSK_pT359_S363-R-C	-0.0512975985000002
PAI-1-M-E	0.5893660865
PARP1-R-V	0.9817892755
PDCD4-R-C	-0.184336887
PDK1-R-V	-0.389540783
PDK1_pS241-R-V	-0.4912386625
PEA15-R-V	0.46081435
PEA15_pS116-R-V	0.2125699605
PI3K-p110-alpha-R-C	-0.472968012
PI3K-p85-R-V	-0.6646374955
PKC-alpha-M-V	0.7775564365
PKC-delta_pS664-R-V	-0.1042667145
PKC-pan_BetaII_pS660-R-V	0.4100923065
PR-R-V	-0.1998628955
PRAS40_pT246-R-V	0.513503494
PREX1-R-E	0.4119121205
PTEN-R-V	0.8227240315
Rab11-R-E	-0.00571795549999976
Rab25-R-V	0.7436050805
Raptor-R-V	-0.7814163615
Rb_pS807_S811-R-V	0.945262419
RBM15-R-V	0.563387256
Rictor-R-C	-0.4111629115
Rictor_pT1135-R-V	0.188532952
S6-R-E	0.544471718
S6_pS235_S236-R-V	1.1519026185
S6_pS240_S244-R-V	1.789829021
SCD-M-V	0.4115462365
SF2-M-V	1.017066691
Shc_pY317-R-E	0.1460270505
Smad1-R-V	-0.9730013575
Smad3-R-V	-0.6638826915
Src-M-V	-0.652848102
Src_pY416-R-C	1.1090341945
Src_pY527-R-V	1.159109148
STAT3_pY705-R-V	-0.3179491775
STAT5-alpha-R-V	0.9127129015
Stathmin-R-V	-0.159811993
Syk-M-V	-0.5722149755
TAZ-R-V	0.085836236
TFRC-R-V	1.1945565925
TIGAR-R-V	-0.2094634555
Transglutaminase-M-V	0.016137047
TSC1-R-C	-0.629539042
Tuberin_pT1462-R-V	0.683872451
XBP1-G-C	1.625487507
YB-1-R-V	0.5302804885
YB-1_pS102-R-V	-0.6593613205
