Sample REF	87EB8632-D2C0-4E37-A707-66410942D9A1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.3085645785
14-3-3_epsilon-M-C	-0.0122005520000001
14-3-3_zeta-R-V	-0.2218426905
4E-BP1-R-V	-0.4817184465
4E-BP1_pS65-R-V	0.2269115985
4E-BP1_pT37_T46-R-V	0.6335697225
4E-BP1_pT70-R-V	0.103832112
ACC_pS79-R-V	-0.83126353
ACVRL1-R-C	0.170629023
Akt-R-V	-0.50358855
Akt_pS473-R-V	0.7480183945
Akt_pT308-R-V	0.383070603
AMPK_alpha-R-C	-0.190018212
AMPK_pT172-R-V	-0.7372342985
Annexin-1-M-E	0.5368777815
Annexin_VII-M-V	0.0627037629999998
AR-R-V	0.1083589695
ARHI-M-E	0.121196643
ATM-R-E	-0.1055911835
Bad_pS112-R-V	-0.199663978
Bak-R-C	-0.0757374985000001
Bap1-c-4-M-V	-0.0815726255000004
Bax-R-V	-0.4622850685
Bcl-2-M-V	0.261125698
beta-Catenin-R-V	0.111594501
Bid-R-C	0.467780826
Bim-R-V	-0.3021257625
BRCA2-R-C	0.404097816
c-Kit-R-V	0.8931390035
c-Myc-R-C	0.344080194
C-Raf-R-V	0.2114132605
Caspase-7_cleavedD198-R-C	0.0756019039999998
Caveolin-1-R-V	0.9540966955
CD20-R-C	0.0165072409999998
CD31-M-V	-0.0686558605000001
CD49b-M-V	-0.2730227755
CDK1-R-V	0
Chk1_pS345-R-C	-0.5021009405
Chk2_pT68-R-C	-0.26774022
cIAP-R-V	-0.2135489215
Claudin-7-R-V	-0.4850110745
Collagen_VI-R-V	0.925140069
Cyclin_B1-R-V	-0.142952559
Cyclin_D1-R-V	0.394866725
Cyclin_E1-M-V	0.1135566445
Cyclin_E2-R-C	-0.1010825395
Dvl3-R-V	-0.3900176365
E-Cadherin-R-V	1.406697934
eEF2K-R-V	0.1896239295
EGFR-R-V	0.0791548375
eIF4E-R-V	-8.07359999999147e-05
eIF4G-R-C	-0.29382426
ER-alpha-R-V	0.449556042
ER-alpha_pS118-R-V	-0.2007591495
ERK2-R-E	0.0752978074999999
ETS-1-R-V	0.17892657
FASN-R-V	-0.7327832345
FoxM1-R-V	0.0967659315
FOXO3a-R-C	0.290640593
FOXO3a_pS318_S321-R-C	-0.2585588845
G6PD-M-V	0.200667728
GAB2-R-V	0.388866732
GAPDH-M-C	0.632266517
GATA3-M-V	0.0249403819999998
GSK3-alpha-beta-M-V	-0.350276948
GSK3-alpha-beta_pS21_S9-R-V	-0.5811632945
GSK3_pS9-R-V	-0.301573881
HER2-M-V	-0.1562114445
Heregulin-R-V	0.0379883275000001
HSP70-R-C	0.390431482
IGFBP2-R-V	0.203691603
IRS1-R-V	0.0158245984999998
JNK2-R-C	-0.1233539595
Ku80-R-C	-0.2348706405
Lck-R-V	-0.9994756155
LKB1-M-E	0.178474876
MAPK_pT202_Y204-R-V	0.889474179
MEK1-R-V	0.3007182835
MEK1_pS217_S221-R-V	0.157465727
MIG-6-M-V	-0.149836166
Mre11-R-C	-0.00521470250000022
MSH6-R-C	-0.143436553
mTOR-R-V	-0.3339347525
mTOR_pS2448-R-C	-0.0138689525
MYH11-R-V	1.948182861
Myosin-IIa_pS1943-R-V	-0.606242091
N-Cadherin-R-V	0.365321222
N-Ras-M-V	0.5529055755
NDRG1_pT346-R-V	0.7079379435
NF-kB-p65_pS536-R-C	0.1897177435
NF2-R-C	-0.274770027
Notch1-R-V	0.1922905155
P-Cadherin-R-C	0.364096298
p27-R-V	0.0494461505000001
p27_pT157-R-C	-0.0886177189999999
p27_pT198-R-V	0.1562488665
p38_pT180_Y182-R-V	-0.7905545815
p70S6K-R-V	-0.612705305500001
p70S6K_pT389-R-V	0.554050199
p90RSK-R-C	-0.0738701330000002
p90RSK_pT359_S363-R-C	0.4608314315
PAI-1-M-E	-0.3908906255
PARP1-R-V	-0.1473885465
PDCD4-R-C	0.629560937
PDK1-R-V	-0.397137917
PDK1_pS241-R-V	-0.1980161835
PEA15-R-V	0.244071421
PEA15_pS116-R-V	0.1494968065
PI3K-p110-alpha-R-C	-0.0486800630000002
PI3K-p85-R-V	-0.2923798835
PKC-alpha-M-V	0.4511480685
PKC-delta_pS664-R-V	-0.4176073695
PKC-pan_BetaII_pS660-R-V	0.0704013704999997
PR-R-V	0.4548813485
PRAS40_pT246-R-V	0.189384751
PREX1-R-E	-0.7172657015
PTEN-R-V	-0.3064537905
Rab11-R-E	0.1462706715
Rab25-R-V	0.670394293499999
Raptor-R-V	-0.00047527650000001
Rb_pS807_S811-R-V	-0.183915403
RBM15-R-V	-0.565790566
Rictor-R-C	0.9713355785
Rictor_pT1135-R-V	0.28908678
S6-R-E	-0.584706104
S6_pS235_S236-R-V	0.6801333285
S6_pS240_S244-R-V	0.660651199
SCD-M-V	-0.1235773645
SF2-M-V	0.116465343
Shc_pY317-R-E	0.0394566404999999
Smad1-R-V	-0.2749976115
Smad3-R-V	0.1535284265
Src-M-V	-0.0145097770000002
Src_pY416-R-C	-0.0201436275000002
Src_pY527-R-V	0.535940383
STAT3_pY705-R-V	0.3908519825
STAT5-alpha-R-V	-0.1399124625
Stathmin-R-V	0.374717328
Syk-M-V	-1.6699429025
TAZ-R-V	-0.0774427090000003
TFRC-R-V	0.0653787705
TIGAR-R-V	-0.0170996075000001
Transglutaminase-M-V	-0.081831923
TSC1-R-C	-0.0180676200000002
Tuberin_pT1462-R-V	0.0648762869999999
XBP1-G-C	0.454472674
YB-1-R-V	-0.3402246025
YB-1_pS102-R-V	0.0820259404999999
