Sample REF	89FE3D24-088B-4F16-82A2-534DB14FF98D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.4445963725
14-3-3_epsilon-M-C	-0.0506026339999996
14-3-3_zeta-R-V	0.0106354655000003
4E-BP1-R-V	-0.0233621784999998
4E-BP1_pS65-R-V	0.2967858955
4E-BP1_pT37_T46-R-V	-0.5509079905
4E-BP1_pT70-R-V	-0.0665750609999998
ACC_pS79-R-V	0.34478277
ACVRL1-R-C	0.142430854
Akt-R-V	-0.202487913
Akt_pS473-R-V	-0.5243981175
Akt_pT308-R-V	0.0519338950000003
AMPK_alpha-R-C	-0.238701811
AMPK_pT172-R-V	0.4781995745
Annexin-1-M-E	0.9373352815
Annexin_VII-M-V	0.270504529
AR-R-V	-0.0500079544999998
ARHI-M-E	0.399663814000001
ATM-R-E	-0.6678924955
Bad_pS112-R-V	-0.297398295
Bak-R-C	0.2858987055
Bap1-c-4-M-V	0.1539947125
Bax-R-V	-0.7653583485
Bcl-2-M-V	0.24817615
beta-Catenin-R-V	-0.615308293
Bid-R-C	0.320877114
Bim-R-V	-0.5108466105
BRCA2-R-C	0.0394102250000001
c-Kit-R-V	0.0861745845000004
c-Myc-R-C	0.045546646
C-Raf-R-V	-0.00385405549999984
Caspase-7_cleavedD198-R-C	0.0796303410000001
Caveolin-1-R-V	1.1278073875
CD20-R-C	0.309301918
CD31-M-V	0.1291162195
CD49b-M-V	-0.1759449085
CDK1-R-V	-0.14663204
Chk1_pS345-R-C	-0.2070307295
Chk2_pT68-R-C	-0.632203485
cIAP-R-V	-0.0667577704999998
Claudin-7-R-V	-0.8239522395
Collagen_VI-R-V	0.94498692
Cyclin_B1-R-V	0.0926147790000003
Cyclin_D1-R-V	0.396336056
Cyclin_E1-M-V	0.0902317715000001
Cyclin_E2-R-C	1.0721785665
Dvl3-R-V	-0.6294803015
E-Cadherin-R-V	-0.040522245
eEF2K-R-V	-0.1092166035
EGFR-R-V	0.0330443955000004
eIF4E-R-V	-0.217725022
eIF4G-R-C	-0.159014548
ER-alpha-R-V	-0.0788371889999999
ER-alpha_pS118-R-V	-0.1496463685
ERK2-R-E	0.0954879705000002
ETS-1-R-V	1.172389789
