Sample REF	8d8099ba-c207-473b-8ffc-e9610494386c
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.206930635
4E-BP1-R-V	2.3372166485
4E-BP1_pS65-R-V	0.468104043
4E-BP1_pT37_T46-R-V	1.2686465445
ACC_pS79-R-V	-0.793632366
Akt-R-V	-0.227091929
Akt_pS473-R-V	-0.590392719
Akt_pT308-R-V	-0.124637393
AMPK_alpha-R-C	-0.1141199675
AMPK_pT172-R-V	0.0504119359999999
AR-R-V	-1.236093012
ATM-R-E	-0.0517413005
Bak-R-C	0.143629228
Bax-R-V	-0.0501970300000001
Bcl-2-M-V	2.5006251605
beta-Catenin-R-V	-0.3792833485
Bid-R-C	0.1370196945
Bim-R-V	0.870433884
c-Kit-R-V	3.555732141
c-Myc-R-C	0.0856997504999999
C-Raf-R-V	-0.0187528335000001
Caspase-7_cleavedD198-R-C	-0.408308693
Caveolin-1-R-V	-2.0759893675
CD31-M-V	-0.000707785500000002
CD49b-M-V	-0.2047489685
CDK1-R-V	0.212614385
Chk1_pS345-R-C	0.1179688745
Chk2_pT68-R-C	0.536616148
cIAP-R-V	-0.109763123
Claudin-7-R-V	1.600393424
Collagen_VI-R-V	-0.90528554
Cyclin_B1-R-V	1.211341596
Cyclin_D1-R-V	-0.1690960285
Cyclin_E1-M-V	1.8497340875
Dvl3-R-V	0.2482746465
E-Cadherin-R-V	-1.0269340295
eEF2K-R-V	-0.747709014
eIF4E-R-V	0.134047863
ER-alpha-R-V	-3.7318631945
ER-alpha_pS118-R-V	-0.4066123935
ERK2-R-E	-0.2034469105
FOXO3a-R-C	0.1453311495
GAB2-R-V	1.728249062
GATA3-M-V	-2.0981223785
GSK3-alpha-beta-M-V	0.331266866
GSK3-alpha-beta_pS21_S9-R-V	-0.4790282995
HER2-M-V	-1.126144525
HSP70-R-C	0.879704194
IGFBP2-R-V	0.105725747
IRS1-R-V	-0.1463662355
JNK2-R-C	-0.5299673805
Ku80-R-C	0.5055051885
LKB1-M-E	-0.190930241
Lck-R-V	-0.3555409895
MAPK_pT202_Y204-R-V	-0.671697435
MEK1-R-V	0.7670882155
MEK1_pS217_S221-R-V	-0.288241375
MIG-6-M-V	0.390841594
Mre11-R-C	0.0478866269999999
mTOR-R-V	-0.2600436695
N-Cadherin-R-V	0.383346082
NF-kB-p65_pS536-R-C	0.1605761225
NF2-R-C	-0.3621074765
Notch1-R-V	0.6155190755
P-Cadherin-R-C	-0.4372848565
p27-R-V	1.376762518
p27_pT157-R-C	0.555639567
p38_pT180_Y182-R-V	-0.663489815
p70S6K-R-V	-0.5062037895
p70S6K_pT389-R-V	-0.183460419
p90RSK_pT359_S363-R-C	-0.218249123
PDK1_pS241-R-V	-0.9178793455
PEA15-R-V	-0.5339744865
PI3K-p110-alpha-R-C	0.0916515330000001
PKC-alpha-M-V	0.0187676845
PKC-delta_pS664-R-V	-0.101647243
PR-R-V	-0.760550462
PRAS40_pT246-R-V	-0.0430780055000001
PTEN-R-V	-0.1556780745
Rb_pS807_S811-R-V	-0.2448007695
S6-R-E	0.2075359055
S6_pS235_S236-R-V	0.0276751475000001
S6_pS240_S244-R-V	-0.9295470605
Shc_pY317-R-E	-0.2186518585
Smad1-R-V	0.810925398
Smad3-R-V	0.830644158
Src-M-V	0.4941964885
Src_pY416-R-C	0.254668753
Src_pY527-R-V	0.3962769125
STAT3_pY705-R-V	-0.37192523
STAT5-alpha-R-V	-0.737876235
Stathmin-R-V	0.6146454285
Syk-M-V	0.2765206205
YB-1-R-V	-0.257496822
YB-1_pS102-R-V	-0.3003784865
PAI-1-M-E	1.758232211
mTOR_pS2448-R-C	-0.550358437
EGFR-R-V	0.1084163575
4E-BP1_pT70-R-V	0.8137462875
Annexin_VII-M-V	-0.4040911355
Bad_pS112-R-V	-0.717128454
Bap1-c-4-M-V	0.403816197
BRCA2-R-C	0.249419329
CD20-R-C	-0.102909988
Cyclin_E2-R-C	1.3554498195
eIF4G-R-C	0.610162384
FASN-R-V	-1.5929689955
FOXO3a_pS318_S321-R-C	-0.2383429495
FoxM1-R-V	2.1515582205
G6PD-M-V	-0.092653734
GAPDH-M-C	3.116840905
GSK3_pS9-R-V	-0.208248624
Heregulin-R-V	0.0671216155000001
MYH11-R-V	-2.0570710375
Myosin-IIa_pS1943-R-V	-0.1863784215
N-Ras-M-V	0.0892839384999998
NDRG1_pT346-R-V	-0.211432514
p27_pT198-R-V	0.2659823155
p90RSK-R-C	0.0427537669999999
PDCD4-R-C	0.253594932
PDK1-R-V	-0.305809411
PEA15_pS116-R-V	0.158282314
PI3K-p85-R-V	-0.897359042
PKC-pan_BetaII_pS660-R-V	-1.089426375
Rab25-R-V	-0.1675880425
Rab11-R-E	-0.0472978415000003
Raptor-R-V	0.00543878599999981
RBM15-R-V	1.1049519615
Rictor-R-C	-0.352818122
Rictor_pT1135-R-V	-0.036586694
SCD-M-V	-0.0592924290000005
SF2-M-V	0.000707785499999947
TAZ-R-V	-0.21348964
TIGAR-R-V	0.2630036055
Transglutaminase-M-V	-0.0472801520000001
TFRC-R-V	-0.0364590545000003
TSC1-R-C	0.586642496
Tuberin_pT1462-R-V	-0.0509666720000002
XBP1-G-C	-0.154554768
ETS-1-R-V	0.090660523
14-3-3_beta-R-V	0.0256142069999998
14-3-3_zeta-R-V	0.6524127025
ACVRL1-R-C	-0.0947509265000002
ARHI-M-E	0.02410936
Annexin-1-M-E	2.457402534
PREX1-R-E	-0.593835938
MSH6-R-C	2.802282173
PARP1-R-V	1.021340194
