Sample REF	8d841c4a-d6b2-4d89-8d26-b415bce6c25d
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.31934495425
4E-BP1-R-V	0.76585607775
4E-BP1_pS65-R-V	0.15638799725
4E-BP1_pT37_T46-R-V	1.01319783875
ACC_pS79-R-V	0.20562807925
Akt-R-V	-0.14237598675
Akt_pS473-R-V	-0.32166017975
Akt_pT308-R-V	0.14880492025
AMPK_alpha-R-C	0.11971337675
AMPK_pT172-R-V	0.47312002025
AR-R-V	0.30601082625
ATM-R-E	-0.23824325725
Bak-R-C	0.36160791125
Bax-R-V	-0.30435123375
Bcl-2-M-V	0.22346451975
beta-Catenin-R-V	-0.26828685225
Bid-R-C	0.25422403475
Bim-R-V	0.0166496172499999
c-Kit-R-V	0.63083174425
c-Myc-R-C	0.25576552675
C-Raf-R-V	-0.29992804425
Caspase-7_cleavedD198-R-C	-0.32215908575
Caveolin-1-R-V	1.17133434475
CD31-M-V	0.16807606475
CD49b-M-V	0.31719172675
CDK1-R-V	0.0806759402500004
Chk1_pS345-R-C	0.0220712897500002
Chk2_pT68-R-C	0.0995510452500001
cIAP-R-V	0.10771330825
Claudin-7-R-V	-0.27028497175
Collagen_VI-R-V	3.39314623625
Cyclin_B1-R-V	-1.41002918175
Cyclin_D1-R-V	0.40917559275
Cyclin_E1-M-V	-0.36697912525
Dvl3-R-V	-0.35476455225
E-Cadherin-R-V	-0.42373641325
eEF2K-R-V	-0.39681601575
eIF4E-R-V	-0.0142364537499999
ER-alpha-R-V	-0.25648033825
ER-alpha_pS118-R-V	-0.35187451025
ERK2-R-E	0.20880443275
FOXO3a-R-C	0.0419179197500001
GAB2-R-V	0.12873472825
GATA3-M-V	-0.15669133625
GSK3-alpha-beta-M-V	-0.64941422975
GSK3-alpha-beta_pS21_S9-R-V	-0.40746785525
HER2-M-V	0.0908772402500001
HSP70-R-C	1.50154858525
IGFBP2-R-V	0.37891307725
IRS1-R-V	0.12452085475
JNK2-R-C	-0.12549477825
Ku80-R-C	-0.17846792925
LKB1-M-E	-0.03977638075
Lck-R-V	-0.12479738025
MAPK_pT202_Y204-R-V	-0.33110426275
MEK1-R-V	-0.19537025825
MEK1_pS217_S221-R-V	-0.30664319075
MIG-6-M-V	0.0396406922500001
Mre11-R-C	0.17219897325
mTOR-R-V	-0.22877548525
N-Cadherin-R-V	0.20893044925
NF-kB-p65_pS536-R-C	-0.55043283825
NF2-R-C	-0.15487834525
Notch1-R-V	-0.03689912825
P-Cadherin-R-C	-0.30027571425
p27-R-V	0.22612069225
p27_pT157-R-C	-0.10160812675
p38_pT180_Y182-R-V	-0.26261402575
p70S6K-R-V	-0.74821261625
p70S6K_pT389-R-V	-0.33302376775
p90RSK_pT359_S363-R-C	-0.0555272687499998
PDK1_pS241-R-V	-0.19906069725
PEA15-R-V	-0.14016578625
PI3K-p110-alpha-R-C	-0.21340042875
PKC-alpha-M-V	-0.0197366032499999
PKC-delta_pS664-R-V	0.10968537825
PR-R-V	2.13608723425
PRAS40_pT246-R-V	-0.48072201725
PTEN-R-V	-0.44835938425
Rb_pS807_S811-R-V	0.39645888175
S6-R-E	-0.72696029525
S6_pS235_S236-R-V	-1.05656416325
S6_pS240_S244-R-V	-0.89331967325
Shc_pY317-R-E	0.0509787927500001
Smad1-R-V	0.0730125182500001
Smad3-R-V	0.0338911722500002
Src-M-V	0.0124920937500002
Src_pY416-R-C	-0.176270367749999
Src_pY527-R-V	0.22858376875
STAT3_pY705-R-V	0.22391469525
STAT5-alpha-R-V	-0.29976253375
Stathmin-R-V	0.23329108675
Syk-M-V	-0.58295285425
YB-1-R-V	-0.0341774377499999
YB-1_pS102-R-V	-0.29331133525
PAI-1-M-E	-0.0570384927499998
mTOR_pS2448-R-C	-0.0930892377499999
EGFR-R-V	0.0435278647500001
4E-BP1_pT70-R-V	0.36456945975
Annexin_VII-M-V	0.12904929175
Bad_pS112-R-V	-0.24292643875
Bap1-c-4-M-V	-0.31781770375
BRCA2-R-C	-0.11819225675
CD20-R-C	0.45471972725
Cyclin_E2-R-C	0.0670205567500001
eIF4G-R-C	-0.65839594475
FASN-R-V	-0.59931255525
FOXO3a_pS318_S321-R-C	-0.15513480625
FoxM1-R-V	-0.28635410525
G6PD-M-V	0.11893993625
GAPDH-M-C	-0.55720782375
GSK3_pS9-R-V	-0.22254211675
Heregulin-R-V	0.21796658475
MYH11-R-V	1.66959454875
Myosin-IIa_pS1943-R-V	0.27111867175
N-Ras-M-V	0.17045253775
NDRG1_pT346-R-V	0.54372758125
p27_pT198-R-V	-0.25615388425
p90RSK-R-C	0.17176862325
PDCD4-R-C	-0.00783036974999984
PDK1-R-V	-0.17001585075
PEA15_pS116-R-V	0.36289703725
PI3K-p85-R-V	-0.0870155617499999
PKC-pan_BetaII_pS660-R-V	-0.22112610875
Rab25-R-V	-0.10259783225
Rab11-R-E	0.41196068275
Raptor-R-V	-0.0473378637499999
RBM15-R-V	-1.26751952525
Rictor-R-C	-0.14351743475
Rictor_pT1135-R-V	0.24452175825
SCD-M-V	-0.35215181275
SF2-M-V	0.11892075475
TAZ-R-V	0.33934674225
TIGAR-R-V	0.23642430875
Transglutaminase-M-V	0.0449280172500001
TFRC-R-V	0.04502919575
TSC1-R-C	0.0575770932500002
Tuberin_pT1462-R-V	0.27071836225
XBP1-G-C	0.45719941525
ETS-1-R-V	0.37140873625
14-3-3_beta-R-V	0.21361848425
14-3-3_zeta-R-V	-0.39721704025
ACVRL1-R-C	0.00861835074999995
ARHI-M-E	0.17537564525
Annexin-1-M-E	0.60927049825
PREX1-R-E	0.99868652625
MSH6-R-C	-0.43059745475
PARP1-R-V	-0.77946856975
