Sample REF	8f64c41b-17ee-40d2-98d6-4c483e5d5384
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.1537318985
4E-BP1-R-V	0.300509461
4E-BP1_pS65-R-V	0.6636654045
4E-BP1_pT37_T46-R-V	-0.055116304
ACC_pS79-R-V	0.3910273855
Akt-R-V	-0.1754133475
Akt_pS473-R-V	-0.6340223415
Akt_pT308-R-V	0.8908770935
AMPK_alpha-R-C	0.15887694
AMPK_pT172-R-V	-1.3676894865
AR-R-V	0.00680594849999994
ATM-R-E	-1.110844456
Bak-R-C	0.1190054145
Bax-R-V	0.1268227405
Bcl-2-M-V	-1.537167121
beta-Catenin-R-V	-0.000437653000000093
Bid-R-C	0.000437653000000093
Bim-R-V	-0.4288612815
c-Kit-R-V	1.2063496195
c-Myc-R-C	0.561019316
C-Raf-R-V	0.347095565
Caspase-7_cleavedD198-R-C	-0.3451366915
Caveolin-1-R-V	-0.070208909
CD31-M-V	-0.00905604800000004
CD49b-M-V	0.350160052
CDK1-R-V	0.0603492065000001
Chk1_pS345-R-C	-0.038857602
Chk2_pT68-R-C	0.1524867265
cIAP-R-V	-0.2267533075
Claudin-7-R-V	-1.7507408515
Collagen_VI-R-V	-0.3820616285
Cyclin_B1-R-V	1.3573916705
Cyclin_D1-R-V	-0.261262902
Cyclin_E1-M-V	0.448351821
Dvl3-R-V	-0.105444606
E-Cadherin-R-V	-0.056669296
eEF2K-R-V	-0.4588444415
eIF4E-R-V	0.1644543515
ER-alpha-R-V	-3.981295563
ER-alpha_pS118-R-V	0.00891249599999988
ERK2-R-E	0.360205254
FOXO3a-R-C	0.095776321
GAB2-R-V	-0.1393052155
GATA3-M-V	-0.799536268
GSK3-alpha-beta-M-V	0.1058031725
GSK3-alpha-beta_pS21_S9-R-V	-0.557614476
HER2-M-V	0.4880958105
HSP70-R-C	-0.0879881035000001
IGFBP2-R-V	1.8109614825
IRS1-R-V	-0.119341057
JNK2-R-C	-0.857339088
Ku80-R-C	0.918369635
LKB1-M-E	-0.3124926975
Lck-R-V	-0.749413164
MAPK_pT202_Y204-R-V	-2.6082478715
MEK1-R-V	-0.896326922
MEK1_pS217_S221-R-V	-0.1281213485
MIG-6-M-V	0.0819735355000001
Mre11-R-C	-0.0838683885
mTOR-R-V	0.325205695
N-Cadherin-R-V	-0.2736821605
NF-kB-p65_pS536-R-C	-0.252064557
NF2-R-C	-0.0950073010000001
Notch1-R-V	0.879107104
P-Cadherin-R-C	1.890322712
p27-R-V	0.0715310524999999
p27_pT157-R-C	0.1519506835
p38_pT180_Y182-R-V	-1.2330800515
p70S6K-R-V	0.393309805
p70S6K_pT389-R-V	-0.4183931235
p90RSK_pT359_S363-R-C	-0.3037893195
PDK1_pS241-R-V	0.526901979
PEA15-R-V	0.063027463
PI3K-p110-alpha-R-C	-0.2254695755
PKC-alpha-M-V	0.101072648
PKC-delta_pS664-R-V	-0.2564331285
PR-R-V	-1.0992759615
PRAS40_pT246-R-V	-0.132879492
PTEN-R-V	-0.631436928
Rb_pS807_S811-R-V	0.075429207
S6-R-E	0.378714824
S6_pS235_S236-R-V	-0.822889562
S6_pS240_S244-R-V	-0.460029025
Shc_pY317-R-E	-0.395353492
Smad1-R-V	0.0501303354999999
Smad3-R-V	-0.2512531775
Src-M-V	0.19729298
Src_pY416-R-C	-0.2599558605
Src_pY527-R-V	-1.385945532
STAT3_pY705-R-V	-0.1736160235
STAT5-alpha-R-V	1.3753479155
Stathmin-R-V	-0.0642453660000001
Syk-M-V	-1.162246708
YB-1-R-V	0.2671743225
YB-1_pS102-R-V	-0.360041521
PAI-1-M-E	-0.0259451565000001
mTOR_pS2448-R-C	-1.0885817515
EGFR-R-V	0.179945487
4E-BP1_pT70-R-V	0.0979206609999999
Annexin_VII-M-V	-0.382524045
Bad_pS112-R-V	-0.7351033225
Bap1-c-4-M-V	0.5553465355
BRCA2-R-C	0.2945455855
CD20-R-C	-0.0581431345000001
Cyclin_E2-R-C	0.0745443299999999
eIF4G-R-C	0.9570726115
FASN-R-V	0.016999945
FOXO3a_pS318_S321-R-C	-0.085043129
FoxM1-R-V	1.525266408
G6PD-M-V	-0.1832605705
GAPDH-M-C	2.0983121935
GSK3_pS9-R-V	-0.3511159005
Heregulin-R-V	0.382797393
MYH11-R-V	2.050567172
Myosin-IIa_pS1943-R-V	-0.0226232670000001
N-Ras-M-V	-0.0546317870000002
NDRG1_pT346-R-V	-0.8366787405
p27_pT198-R-V	0.0811850460000001
p90RSK-R-C	-0.4915237145
PDCD4-R-C	-0.0911745035
PDK1-R-V	0.2422332875
PEA15_pS116-R-V	-0.2196433035
PI3K-p85-R-V	-0.4991066065
PKC-pan_BetaII_pS660-R-V	-1.1435398885
Rab25-R-V	0.252806283
Rab11-R-E	-0.362189451
Raptor-R-V	0.4938715175
RBM15-R-V	0.211277611
Rictor-R-C	0.3687918845
Rictor_pT1135-R-V	-0.0788799585000001
SCD-M-V	-0.0982197885000005
SF2-M-V	0.189732477
TAZ-R-V	-0.0432197315
TIGAR-R-V	0.135241176
Transglutaminase-M-V	0.0457501985
TFRC-R-V	0.199863246
TSC1-R-C	0.9104018925
Tuberin_pT1462-R-V	-0.0231998925000002
XBP1-G-C	0.2009325205
ETS-1-R-V	-0.0552267925
14-3-3_beta-R-V	-0.0703705345000002
14-3-3_zeta-R-V	0.239982514
ACVRL1-R-C	-0.314371977
ARHI-M-E	-0.2796158865
Annexin-1-M-E	0.5098812165
PREX1-R-E	-0.8517085035
MSH6-R-C	1.7577702715
PARP1-R-V	1.4278011765
