Sample REF	97627951-60EF-4283-940A-9550114962F1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.454628481
14-3-3_epsilon-M-C	-0.1015798135
14-3-3_zeta-R-V	-0.266782444
4E-BP1-R-V	-0.174745001
4E-BP1_pS65-R-V	0
4E-BP1_pT37_T46-R-V	0.218501376
4E-BP1_pT70-R-V	-0.0873346924999998
ACC_pS79-R-V	-0.3457879785
ACVRL1-R-C	-0.1419156425
Akt-R-V	-0.3486575075
Akt_pS473-R-V	0.54935233
Akt_pT308-R-V	0.4698892815
AMPK_alpha-R-C	0.5339873035
AMPK_pT172-R-V	-0.881941487
Annexin-1-M-E	1.076981725
Annexin_VII-M-V	-0.1657543255
AR-R-V	-0.553673948
ARHI-M-E	0.944329128500001
ATM-R-E	-1.261662653
Bad_pS112-R-V	-0.5845587475
Bak-R-C	-0.115741613
Bap1-c-4-M-V	1.042623776
Bax-R-V	-0.619744571
Bcl-2-M-V	-0.6012576895
beta-Catenin-R-V	-0.7022247665
Bid-R-C	0.2418554545
Bim-R-V	-1.205496368
BRCA2-R-C	-0.0536433125000002
c-Kit-R-V	-1.088009948
c-Myc-R-C	0.9083041855
C-Raf-R-V	-0.414529684
Caspase-7_cleavedD198-R-C	-0.2003823415
Caveolin-1-R-V	1.947820675
CD20-R-C	-0.1248025525
CD31-M-V	-0.134715849
CD49b-M-V	-0.326042832
CDK1-R-V	0.5673597905
Chk1_pS345-R-C	0.504073414
Chk2_pT68-R-C	-1.2824622095
cIAP-R-V	-0.470681596
Claudin-7-R-V	-0.895356366
Collagen_VI-R-V	1.3639496465
Cyclin_B1-R-V	0.9812438425
Cyclin_D1-R-V	0.3145127685
Cyclin_E1-M-V	0.739913108
Cyclin_E2-R-C	-0.426569689
Dvl3-R-V	0.259148762
E-Cadherin-R-V	0.2348520225
eEF2K-R-V	0.197673502
EGFR-R-V	-0.0792159929999998
eIF4E-R-V	-0.0362756754999998
eIF4G-R-C	0.7296145155
ER-alpha-R-V	-1.0369502395
ER-alpha_pS118-R-V	-0.727818995
ERK2-R-E	-0.734445207
ETS-1-R-V	1.3070007005
FASN-R-V	-0.167812592
FoxM1-R-V	-0.255765568
FOXO3a-R-C	0.9120532225
FOXO3a_pS318_S321-R-C	-0.299916992
G6PD-M-V	0.5673732995
GAB2-R-V	-0.0294718475
GAPDH-M-C	1.7564629185
GATA3-M-V	1.1266511055
GSK3-alpha-beta-M-V	-0.5790289235
GSK3-alpha-beta_pS21_S9-R-V	-0.33562271
GSK3_pS9-R-V	0.6355931445
HER2-M-V	0.220059992
Heregulin-R-V	0.341121106
HSP70-R-C	1.1350071235
IGFBP2-R-V	-0.0571491825000001
IRS1-R-V	-0.304113831
JNK2-R-C	-0.299304936
Ku80-R-C	-1.229310271
Lck-R-V	-1.458297563
LKB1-M-E	-0.4317151805
MAPK_pT202_Y204-R-V	0.6624638705
MEK1-R-V	0.424154067
MEK1_pS217_S221-R-V	-0.4013971985
MIG-6-M-V	-0.2737204095
Mre11-R-C	-0.819360423
MSH6-R-C	0.4351650175
mTOR-R-V	-0.60595986
mTOR_pS2448-R-C	0.463500293
MYH11-R-V	1.4413618935
Myosin-IIa_pS1943-R-V	-0.0319574955000002
N-Cadherin-R-V	0.0530390025
N-Ras-M-V	-0.154613122
NDRG1_pT346-R-V	1.065040379
NF-kB-p65_pS536-R-C	-0.226559143
NF2-R-C	-0.1872164435
Notch1-R-V	0.141735672
P-Cadherin-R-C	-0.6128753585
p27-R-V	-0.504308167
p27_pT157-R-C	1.3152225695
p27_pT198-R-V	0.0647778089999997
p38_pT180_Y182-R-V	-0.33944183
p70S6K-R-V	0.178349212
p70S6K_pT389-R-V	0.0328759264999996
p90RSK-R-C	0.1766890245
p90RSK_pT359_S363-R-C	0.275008734
PAI-1-M-E	0.584384666
PARP1-R-V	0.976807855
PDCD4-R-C	-1.2076098755
PDK1-R-V	-0.6277120275
PDK1_pS241-R-V	-0.496220083
PEA15-R-V	-0.6378116995
PEA15_pS116-R-V	0.30414651
PI3K-p110-alpha-R-C	-0.380601065500001
PI3K-p85-R-V	-1.231208036
PKC-alpha-M-V	0.772575016
PKC-delta_pS664-R-V	-0.109248135
PKC-pan_BetaII_pS660-R-V	0.405110886
PR-R-V	-0.634733252
PRAS40_pT246-R-V	0.5018129285
PREX1-R-E	0.4069307
PTEN-R-V	0.817742611
Rab11-R-E	0.536510332
Rab25-R-V	1.807954029
Raptor-R-V	-0.812513364
Rb_pS807_S811-R-V	0.9402809985
RBM15-R-V	0.5584058355
Rictor-R-C	-0.224801297
Rictor_pT1135-R-V	0.2389732975
S6-R-E	0.9676471115
S6_pS235_S236-R-V	1.146921198
S6_pS240_S244-R-V	1.7848476005
SCD-M-V	0.406564815999999
SF2-M-V	1.0120852705
Shc_pY317-R-E	0.321255058
Smad1-R-V	-0.758241602
Smad3-R-V	-0.598632961
Src-M-V	-0.6087404205
Src_pY416-R-C	1.104052774
Src_pY527-R-V	0.5320162235
STAT3_pY705-R-V	-0.842473466
STAT5-alpha-R-V	-0.585933205
Stathmin-R-V	-0.1137286265
Syk-M-V	-0.577196396
TAZ-R-V	-0.2058521585
TFRC-R-V	1.189575172
TIGAR-R-V	-0.310001746
Transglutaminase-M-V	0.0111556264999999
TSC1-R-C	-1.3348638745
Tuberin_pT1462-R-V	0.6788910305
XBP1-G-C	1.8046432785
YB-1-R-V	0.17893946
YB-1_pS102-R-V	-0.496256279
