Sample REF	9e43165b-f93c-4a25-a1c8-7bdad54cee95
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.2765443365
4E-BP1-R-V	-0.5669100515
4E-BP1_pS65-R-V	-0.0507572935
4E-BP1_pT37_T46-R-V	-0.537290784
ACC_pS79-R-V	-0.951533777
Akt-R-V	-0.623247944
Akt_pS473-R-V	-0.1462336225
Akt_pT308-R-V	0.3407784475
AMPK_alpha-R-C	-0.319279969
AMPK_pT172-R-V	-0.4606764355
AR-R-V	-0.387911135
ATM-R-E	0.2022724855
Bax-R-V	0.10021086
Bcl-2-M-V	0.1856676715
beta-Catenin-R-V	-0.3536111145
Bid-R-C	0.658125926
Bim-R-V	-0.0085684775
c-Kit-R-V	2.1078239895
c-Myc-R-C	1.1651949235
C-Raf-R-V	0.173917754
Caspase-7_cleavedD198-R-C	0.778837651
Caveolin-1-R-V	0.7161310165
CD31-M-V	0.201248272
CD49b-M-V	0.2119730295
CDK1-R-V	0.3375334115
Chk1_pS345-R-C	0.058192029
cIAP-R-V	-0.24845371
Claudin-7-R-V	-0.4168125545
Collagen_VI-R-V	1.675245317
Cyclin_B1-R-V	-0.789642158
Cyclin_D1-R-V	0.171338164
Cyclin_E1-M-V	-0.0816887675
Dvl3-R-V	-0.2968825105
E-Cadherin-R-V	-0.0388034505000001
eEF2K-R-V	0.0308369475
EGFR-R-V	0.633566738
eIF4E-R-V	-0.09715129
ER-alpha-R-V	-1.128228968
ER-alpha_pS118-R-V	-0.3941740945
ERK2-R-E	-0.3227660545
FOXO3a-R-C	0.2178539205
GAB2-R-V	-0.3789253515
GATA3-M-V	-1.4816068805
GSK3-alpha-beta-M-V	-0.471131204
GSK3-alpha-beta_pS21_S9-R-V	-0.7928657565
HER2-M-V	-1.003658622
HSP70-R-C	2.150697055
IGFBP2-R-V	-0.546937084
IRS1-R-V	0.2484846465
JNK2-R-C	-0.372221097
Ku80-R-C	-0.7682381525
Lck-R-V	0.885080851
LKB1-M-E	0.3372436775
MAPK_pT202_Y204-R-V	-0.221350666
MEK1-R-V	-0.0179536840000001
MEK1_pS217_S221-R-V	0.098151083
MIG-6-M-V	-0.0707536600000001
Mre11-R-C	0.544250897
mTOR-R-V	-0.3640261075
mTOR_pS2448-R-C	-0.110338331
N-Cadherin-R-V	0.901912178
NF-kB-p65_pS536-R-C	-0.6040230215
NF2-R-C	-0.422589507
Notch1-R-V	0.448331263
P-Cadherin-R-C	0.3094287545
p27-R-V	0.220937628
p27_pT157-R-C	0.387479625
p38_pT180_Y182-R-V	-0.228172152
p70S6K-R-V	-0.526356564
p70S6K_pT389-R-V	0.241634776
p90RSK_pT359_S363-R-C	0.667643366
PAI-1-M-E	-0.115801722
PDK1_pS241-R-V	-0.4304342945
PEA15-R-V	-0.307293773
PI3K-p110-alpha-R-C	-0.0337150230000001
PKC-alpha-M-V	0.3941919725
PKC-delta_pS664-R-V	0.1503482605
PR-R-V	0.1903360825
PRAS40_pT246-R-V	-0.00299417949999992
PTEN-R-V	-0.163601526
Rb_pS807_S811-R-V	-0.531329553
S6-R-E	-0.3554484385
S6_pS235_S236-R-V	-0.358806967
S6_pS240_S244-R-V	-0.4500005105
Shc_pY317-R-E	0.2358421895
Smad1-R-V	-0.207955577
Smad3-R-V	-0.186415488
Src-M-V	0.0602547099999999
Src_pY416-R-C	0.0651635805
Src_pY527-R-V	0.439638292
STAT3_pY705-R-V	0.1722712775
STAT5-alpha-R-V	0.0405593944999996
Stathmin-R-V	0.765661346
Syk-M-V	-0.183736064
YB-1-R-V	-0.343591995
YB-1_pS102-R-V	0.2571420825
4E-BP1_pT70-R-V	-0.0726435704999999
Annexin_VII-M-V	-0.013330282
Bad_pS112-R-V	-0.0581728575
Bap1-c-4-M-V	-0.2232980835
BRCA2-R-C	0.0471819635
CD20-R-C	0.1623478615
Cyclin_E2-R-C	-0.2133714735
ETS-1-R-V	0.0613291425
eIF4G-R-C	-0.437733394
FASN-R-V	-1.084061213
FOXO3a_pS318_S321-R-C	0.22171835
FoxM1-R-V	0.140959109
G6PD-M-V	-0.0575124055
GAPDH-M-C	-1.4603119245
GSK3_pS9-R-V	-0.533436294
Heregulin-R-V	0.1697074405
MYH11-R-V	1.9949239275
Myosin-IIa_pS1943-R-V	-0.203472956
N-Ras-M-V	0.445648903
NDRG1_pT346-R-V	0.427940856
p27_pT198-R-V	0.267527503
p90RSK-R-C	0.00638865700000002
PDCD4-R-C	0.0980263495
PDK1-R-V	0.0027691125
PEA15_pS116-R-V	0.5060897475
PI3K-p85-R-V	0.0429301369999999
PKC-pan_BetaII_pS660-R-V	-0.3868074485
Rab11-R-E	0.774717658
Rab25-R-V	-0.389074938
Raptor-R-V	-0.2338111615
RBM15-R-V	-0.9803658445
Rictor-R-C	0.4228836485
Rictor_pT1135-R-V	0.409033025
SCD-M-V	0.0223822974999999
SF2-M-V	-0.073841464
TAZ-R-V	0.3195491695
TIGAR-R-V	0.0846418109999999
Transglutaminase-M-V	-0.1853018405
TFRC-R-V	-1.1506756095
TSC1-R-C	-0.0102245294999999
Tuberin_pT1462-R-V	0.1525330975
XBP1-G-C	0.0690045545
14-3-3_beta-R-V	0.3576019815
14-3-3_zeta-R-V	-0.480944235
ACVRL1-R-C	0.560097906
ARHI-M-E	0.562230442
Annexin-1-M-E	0.685874976
PREX1-R-E	-0.4655423755
