Sample REF	A6417AA5-7E20-4D27-AFCC-306B837B095F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.536097635
14-3-3_epsilon-M-C	-0.2774502385
14-3-3_zeta-R-V	0.173451259
4E-BP1-R-V	0
4E-BP1_pS65-R-V	-0.561146064
4E-BP1_pT37_T46-R-V	-0.635872367
4E-BP1_pT70-R-V	-0.7403997385
ACC_pS79-R-V	0.6921637595
ACVRL1-R-C	-0.2382931165
Akt-R-V	0.1663721025
Akt_pS473-R-V	0.749410158
Akt_pT308-R-V	0.5033325865
AMPK_alpha-R-C	-0.0900034825000002
AMPK_pT172-R-V	0.416970359
Annexin-1-M-E	1.206221352
Annexin_VII-M-V	0.3108502145
AR-R-V	-0.315531107
ARHI-M-E	0.7684587035
ATM-R-E	-0.182051891
Bad_pS112-R-V	-0.3650133525
Bak-R-C	-0.470615744
Bap1-c-4-M-V	0.866753350999999
Bax-R-V	-0.795614996
Bcl-2-M-V	0.3431003685
beta-Catenin-R-V	-0.0277809405000002
Bid-R-C	-0.3156719265
Bim-R-V	-0.214492539
BRCA2-R-C	-0.2295137375
c-Kit-R-V	-0.571132167
c-Myc-R-C	-0.0522827915000001
C-Raf-R-V	-0.47075685
Caspase-7_cleavedD198-R-C	-1.0206722825
Caveolin-1-R-V	1.635434647
CD20-R-C	-0.6124108195
CD31-M-V	-0.310586274
CD49b-M-V	-0.501913257
CDK1-R-V	-0.1606472005
Chk1_pS345-R-C	0.328202989
Chk2_pT68-R-C	-1.4583326345
cIAP-R-V	-0.609998469
Claudin-7-R-V	-1.071226791
Collagen_VI-R-V	1.1470327205
Cyclin_B1-R-V	0.8053734175
Cyclin_D1-R-V	-1.1965331875
Cyclin_E1-M-V	0.564042682999999
Cyclin_E2-R-C	-0.709821411000001
Dvl3-R-V	0.0832783369999999
E-Cadherin-R-V	0.855984370499999
eEF2K-R-V	0.0218030769999999
EGFR-R-V	0.0867605219999998
eIF4E-R-V	-0.0953738235000001
eIF4G-R-C	0.5537440905
ER-alpha-R-V	0.5556289215
ER-alpha_pS118-R-V	-0.986196845
ERK2-R-E	0.117036168
ETS-1-R-V	0.7490006155
FASN-R-V	0.713184643
FoxM1-R-V	-0.431635993
FOXO3a-R-C	0.7361827975
FOXO3a_pS318_S321-R-C	-0.475787417
G6PD-M-V	0.1643595775
GAB2-R-V	0.0721280794999997
GAPDH-M-C	1.5805924935
GATA3-M-V	0.6112305645
GSK3-alpha-beta-M-V	-0.7548993485
GSK3-alpha-beta_pS21_S9-R-V	0.194856443
GSK3_pS9-R-V	0.4821141385
HER2-M-V	0.165367857
Heregulin-R-V	0.165250681
HSP70-R-C	-0.3278259345
IGFBP2-R-V	-0.1761623405
IRS1-R-V	-0.600721748000001
JNK2-R-C	-0.0925194840000003
Ku80-R-C	-0.415587054
Lck-R-V	-0.660499873
LKB1-M-E	-0.9969937655
MAPK_pT202_Y204-R-V	0.7933639815
MEK1-R-V	1.18315051
MEK1_pS217_S221-R-V	-0.0656421105000002
MIG-6-M-V	-0.505954094500001
Mre11-R-C	-1.187095823
MSH6-R-C	0.2592945925
mTOR-R-V	-0.781830285
mTOR_pS2448-R-C	0.287629868
MYH11-R-V	1.3940050715
Myosin-IIa_pS1943-R-V	-0.2078279205
N-Cadherin-R-V	-1.3663497085
N-Ras-M-V	0.539024095999999
NDRG1_pT346-R-V	0.889169954
NF-kB-p65_pS536-R-C	0.570046576
NF2-R-C	-0.3466621065
Notch1-R-V	0.149133023
P-Cadherin-R-C	-0.9734957515
p27-R-V	0.101626576
p27_pT157-R-C	0.5981424265
p27_pT198-R-V	-0.678577308
p38_pT180_Y182-R-V	0.929849415
p70S6K-R-V	0.291801401999999
p70S6K_pT389-R-V	-0.142994498500001
p90RSK-R-C	0.00081859949999985
p90RSK_pT359_S363-R-C	-0.553240911
PAI-1-M-E	0.408514241
PARP1-R-V	0.800937429999999
PDCD4-R-C	-0.3349580705
PDK1-R-V	-0.2182129345
PDK1_pS241-R-V	0.164872772
PEA15-R-V	0.5272866465
PEA15_pS116-R-V	-0.474609559000001
PI3K-p110-alpha-R-C	-0.375241890500001
PI3K-p85-R-V	-0.362289566
PKC-alpha-M-V	0.596704591
PKC-delta_pS664-R-V	-0.28511856
PKC-pan_BetaII_pS660-R-V	0.345987461
PR-R-V	-0.14186292
PRAS40_pT246-R-V	0.2415513115
PREX1-R-E	0.231060275
PTEN-R-V	0.641872186
Rab11-R-E	-0.737684029
Rab25-R-V	-0.244804474
Raptor-R-V	-0.530215108
Rb_pS807_S811-R-V	0.7644105735
RBM15-R-V	0.3825354105
Rictor-R-C	-0.0289144770000005
Rictor_pT1135-R-V	-0.2821280575
S6-R-E	0.3636198725
S6_pS235_S236-R-V	0.971050773
S6_pS240_S244-R-V	1.6089771755
SCD-M-V	0.230694390999999
SF2-M-V	0.836214845499999
Shc_pY317-R-E	-0.0348247950000005
Smad1-R-V	-0.480134722
Smad3-R-V	-0.322555896
Src-M-V	-0.3854536865
Src_pY416-R-C	0.928182349
Src_pY527-R-V	1.3159144345
STAT3_pY705-R-V	0.792133127
STAT5-alpha-R-V	1.111187133
Stathmin-R-V	-0.7525144705
Syk-M-V	-0.638924951
TAZ-R-V	-0.733970449500001
TFRC-R-V	1.013704747
TIGAR-R-V	-0.517531328
Transglutaminase-M-V	-0.1647147985
TSC1-R-C	0.0840771464999999
Tuberin_pT1462-R-V	0.7097141595
XBP1-G-C	1.1656592395
YB-1-R-V	-0.0202998270000005
YB-1_pS102-R-V	-0.983416173
