Sample REF	A8CECAA2-9F67-4079-8D69-3EA987F4BF69
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.591172522
14-3-3_epsilon-M-C	0.1844769525
14-3-3_zeta-R-V	-0.666263022
4E-BP1-R-V	-0.0512835389999999
4E-BP1_pS65-R-V	-0.041198332
4E-BP1_pT37_T46-R-V	-0.315786395
4E-BP1_pT70-R-V	0.0742183454999998
ACC_pS79-R-V	1.4579425135
ACVRL1-R-C	0.4601495555
Akt-R-V	-0.4463693565
Akt_pS473-R-V	-0.499252207
Akt_pT308-R-V	-0.1453299095
AMPK_alpha-R-C	-0.3628800675
AMPK_pT172-R-V	-0.458632896
Annexin-1-M-E	0.110914361
Annexin_VII-M-V	-0.2947653845
AR-R-V	0.267483378
ARHI-M-E	0.6907199915
ATM-R-E	-1.071843983
Bad_pS112-R-V	-0.3781017355
Bak-R-C	0.44777383
Bap1-c-4-M-V	0.0459625429999995
Bax-R-V	-0.632914517
Bcl-2-M-V	-0.0283184295000001
beta-Catenin-R-V	-0.9621673595
Bid-R-C	0.3473356165
Bim-R-V	-0.32033611
BRCA2-R-C	0.4230530445
c-Kit-R-V	0
c-Myc-R-C	0.2685763575
C-Raf-R-V	0.0677205169999998
Caspase-7_cleavedD198-R-C	0.1192835885
Caveolin-1-R-V	0.722125122
CD20-R-C	0.3445757735
CD31-M-V	0.355634963
CD49b-M-V	0.0947890759999996
CDK1-R-V	0.1126440175
Chk1_pS345-R-C	-0.206932263
Chk2_pT68-R-C	0.1143028635
cIAP-R-V	0.143706652
Claudin-7-R-V	-0.605057562
Collagen_VI-R-V	1.3405372525
Cyclin_B1-R-V	0.4063313815
Cyclin_D1-R-V	0.7743429445
Cyclin_E1-M-V	0.31967389
Cyclin_E2-R-C	0.434222815
Dvl3-R-V	-0.210226246
E-Cadherin-R-V	-0.00369277850000049
eEF2K-R-V	-0.0692414399999999
EGFR-R-V	0.509275057
eIF4E-R-V	-0.1512818345
eIF4G-R-C	-0.4448943655
ER-alpha-R-V	-0.4140380975
ER-alpha_pS118-R-V	0.16685923
ERK2-R-E	-0.825316471
ETS-1-R-V	0.2230956225
FASN-R-V	1.450797695
FoxM1-R-V	0.592897238
FOXO3a-R-C	0.5596223915
FOXO3a_pS318_S321-R-C	-0.164619733
G6PD-M-V	0.3769274145
GAB2-R-V	-0.3388413705
GAPDH-M-C	0.4838101365
GATA3-M-V	-0.3272965205
GSK3-alpha-beta-M-V	-0.9446452585
GSK3-alpha-beta_pS21_S9-R-V	-0.462920953
GSK3_pS9-R-V	-0.0946986805000001
HER2-M-V	-0.333979916
Heregulin-R-V	0.471217916
HSP70-R-C	1.2353201715
IGFBP2-R-V	0.5065563505
IRS1-R-V	0.272205396
JNK2-R-C	-0.371064942
Ku80-R-C	-1.174618125
Lck-R-V	-0.281382453
LKB1-M-E	0.2188018545
MAPK_pT202_Y204-R-V	-0.2843250775
MEK1-R-V	-0.315087172
MEK1_pS217_S221-R-V	0.2017748325
MIG-6-M-V	0.0200871764999997
Mre11-R-C	0.217289235
MSH6-R-C	-0.1551352025
mTOR-R-V	-1.083825338
mTOR_pS2448-R-C	-0.352055999
MYH11-R-V	-0.6376394215
Myosin-IIa_pS1943-R-V	-1.2836293595
N-Cadherin-R-V	0.4568411395
N-Ras-M-V	0.602759298
NDRG1_pT346-R-V	0.103920601
NF-kB-p65_pS536-R-C	0.185757911
NF2-R-C	-0.2091562505
Notch1-R-V	0.413413105
P-Cadherin-R-C	-0.0239349115000002
p27-R-V	-0.224953111
p27_pT157-R-C	0.1507807365
p27_pT198-R-V	0.18392247
p38_pT180_Y182-R-V	-0.129254488
p70S6K-R-V	-0.461212809000001
p70S6K_pT389-R-V	0.2745785205
p90RSK-R-C	-0.6180231575
p90RSK_pT359_S363-R-C	0.476363838
PAI-1-M-E	-0.12561929
PARP1-R-V	-0.145642689
PDCD4-R-C	-1.0666502675
PDK1-R-V	-0.3825538415
PDK1_pS241-R-V	-0.676976529
PEA15-R-V	-0.5304652945
PEA15_pS116-R-V	-0.112647396
PI3K-p110-alpha-R-C	-0.0605586675000005
PI3K-p85-R-V	-0.621172522
PKC-alpha-M-V	0.0489094019999996
PKC-delta_pS664-R-V	-0.243407617
PKC-pan_BetaII_pS660-R-V	-0.697196822
PR-R-V	0.49622546
PRAS40_pT246-R-V	0.4836363825
PREX1-R-E	-0.493305869
PTEN-R-V	-0.192701738
Rab11-R-E	0.217641869
Rab25-R-V	-0.492939791
Raptor-R-V	-0.24607171
Rb_pS807_S811-R-V	-0.2136525455
RBM15-R-V	0.00990049249999991
Rictor-R-C	-0.730044614
Rictor_pT1135-R-V	0.1809063225
S6-R-E	-0.6723085245
S6_pS235_S236-R-V	0.0302573309999996
S6_pS240_S244-R-V	0.5121948185
SCD-M-V	0.570817695
SF2-M-V	0.218803835499999
Shc_pY317-R-E	-0.0126017670000005
Smad1-R-V	-0.123148862
Smad3-R-V	0.390630165
Src-M-V	-0.0479664495000003
Src_pY416-R-C	0.310349173
Src_pY527-R-V	0.2189041395
STAT3_pY705-R-V	-0.671277266
STAT5-alpha-R-V	0.127679281
Stathmin-R-V	0.4533570795
Syk-M-V	-1.657109979
TAZ-R-V	0.1476987875
TFRC-R-V	-0.0830776100000001
TIGAR-R-V	0.140750274
Transglutaminase-M-V	-0.0834240275
TSC1-R-C	-0.9148522505
Tuberin_pT1462-R-V	0.2074207795
XBP1-G-C	0.3632399325
YB-1-R-V	-0.57714728
YB-1_pS102-R-V	0.249096225
