Sample REF	ABDD9B9C-278F-4077-BB4F-5B890D7E58C7
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.431394284
14-3-3_epsilon-M-C	-0.1148378405
14-3-3_zeta-R-V	-0.486052887
4E-BP1-R-V	-0.705216597999999
4E-BP1_pS65-R-V	-0.25150025
4E-BP1_pT37_T46-R-V	0.591623783
4E-BP1_pT70-R-V	-0.1736439125
ACC_pS79-R-V	1.1384789385
ACVRL1-R-C	0.0115616665000005
Akt-R-V	-0.4897031375
Akt_pS473-R-V	1.478520607
Akt_pT308-R-V	0.2506519145
AMPK_alpha-R-C	-0.3677838235
AMPK_pT172-R-V	-0.53318852
Annexin-1-M-E	0.611396695
Annexin_VII-M-V	-0.3067999555
AR-R-V	-0.0576399079999996
ARHI-M-E	0.803283498500001
ATM-R-E	-1.289321509
Bad_pS112-R-V	-0.7047106685
Bak-R-C	0.00280666400000018
Bap1-c-4-M-V	0.901578146
Bax-R-V	-0.760790201
Bcl-2-M-V	-0.3909296945
beta-Catenin-R-V	-0.843270396499999
Bid-R-C	0.1621054975
Bim-R-V	-0.828335238
BRCA2-R-C	0.0999419155000001
c-Kit-R-V	-0.868161215999999
c-Myc-R-C	0.0669891685000001
C-Raf-R-V	-0.405923558
Caspase-7_cleavedD198-R-C	-0.2102823975
Caveolin-1-R-V	0.892551187
CD20-R-C	-0.0247299964999999
CD31-M-V	-0.275761479
CD49b-M-V	-0.376897156
CDK1-R-V	-0.4514614255
Chk1_pS345-R-C	0.363027784
Chk2_pT68-R-C	-1.2119214175
cIAP-R-V	-0.410274626
Claudin-7-R-V	-1.036401996
Collagen_VI-R-V	1.3454954055
Cyclin_B1-R-V	0.8401982125
Cyclin_D1-R-V	0.2151936175
Cyclin_E1-M-V	0.598867478
Cyclin_E2-R-C	-0.376559224
Dvl3-R-V	0.118103132
E-Cadherin-R-V	0.0938063924999999
eEF2K-R-V	0.0566278720000004
EGFR-R-V	-0.00109432199999993
eIF4E-R-V	-0.1773213055
eIF4G-R-C	0.5885688855
ER-alpha-R-V	-0.0317941504999999
ER-alpha_pS118-R-V	-0.505551553
ERK2-R-E	-0.875490837
ETS-1-R-V	1.1853675255
FASN-R-V	1.725950826
FoxM1-R-V	-0.0740087460000001
FOXO3a-R-C	0.7710075925
FOXO3a_pS318_S321-R-C	-0.430627968
G6PD-M-V	0.1991843725
GAB2-R-V	-0.1705174775
GAPDH-M-C	1.6154172885
GATA3-M-V	0.7640503495
GSK3-alpha-beta-M-V	-0.7200745535
GSK3-alpha-beta_pS21_S9-R-V	-0.47666834
GSK3_pS9-R-V	0.4945475145
HER2-M-V	0.371431097
Heregulin-R-V	0.200075476
HSP70-R-C	0.5910029355
IGFBP2-R-V	0.0492083775000001
IRS1-R-V	0.0346223530000003
JNK2-R-C	-0.350976532
Ku80-R-C	-1.370355901
Lck-R-V	0.154374846000001
LKB1-M-E	-0.1017855355
MAPK_pT202_Y204-R-V	1.0900683095
MEK1-R-V	0.117006519
MEK1_pS217_S221-R-V	-0.3045594435
MIG-6-M-V	-0.4711292995
Mre11-R-C	-0.679496885
MSH6-R-C	0.2941193875
mTOR-R-V	-0.747005489999999
mTOR_pS2448-R-C	0.322454663
MYH11-R-V	0.4827968155
Myosin-IIa_pS1943-R-V	-0.1730031255
N-Cadherin-R-V	-0.0718558524999999
N-Ras-M-V	0.697450417
NDRG1_pT346-R-V	0.923994749
NF-kB-p65_pS536-R-C	-0.446862801
NF2-R-C	-0.3282620735
Notch1-R-V	0.464037520000001
P-Cadherin-R-C	-0.5375401875
p27-R-V	-0.363431207
p27_pT157-R-C	-0.4487019765
p27_pT198-R-V	-0.270386865
p38_pT180_Y182-R-V	-0.48048746
p70S6K-R-V	0.0373035819999998
p70S6K_pT389-R-V	-0.1081697035
p90RSK-R-C	0.0356433945000003
p90RSK_pT359_S363-R-C	0.106020575
PAI-1-M-E	0.443339036
PARP1-R-V	0.835762225
PDCD4-R-C	-0.961897106499999
PDK1-R-V	-0.5851385215
PDK1_pS241-R-V	-0.637265713
PEA15-R-V	-0.6685552335
PEA15_pS116-R-V	-0.0998835630000001
PI3K-p110-alpha-R-C	-0.6206077355
PI3K-p85-R-V	-0.721424275
PKC-alpha-M-V	0.631529386
PKC-delta_pS664-R-V	-0.250293765
PKC-pan_BetaII_pS660-R-V	0.264065256
PR-R-V	0.259033193
PRAS40_pT246-R-V	0.3787790115
PREX1-R-E	0.26588507
PTEN-R-V	0.676696981
Rab11-R-E	-0.158098317
Rab25-R-V	0.604876456
Raptor-R-V	-0.787140491
Rb_pS807_S811-R-V	0.7992353685
RBM15-R-V	0.4173602055
Rictor-R-C	-0.557189962
Rictor_pT1135-R-V	0.1618705745
S6-R-E	0.3984446675
S6_pS235_S236-R-V	1.005875568
S6_pS240_S244-R-V	1.6438019705
SCD-M-V	0.265519186
SF2-M-V	0.8710396405
Shc_pY317-R-E	0
Smad1-R-V	-0.755774618
Smad3-R-V	-0.233922008
Src-M-V	-0.4167341265
Src_pY416-R-C	0.963007144
Src_pY527-R-V	0.5733106665
STAT3_pY705-R-V	-0.471637261
STAT5-alpha-R-V	0.568174806
Stathmin-R-V	0.0604402335000003
Syk-M-V	-0.718242026
TAZ-R-V	-0.0437661635
TFRC-R-V	1.048529542
TIGAR-R-V	-0.276551607
Transglutaminase-M-V	-0.1298900035
TSC1-R-C	-1.3643648985
Tuberin_pT1462-R-V	0.5378454005
XBP1-G-C	1.7811565235
YB-1-R-V	0.576994487
YB-1_pS102-R-V	-0.539965407
