Sample REF	BF5A86FA-5213-494A-852B-C0782A9A0A56
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.3489232975
14-3-3_epsilon-M-C	0.199331401
14-3-3_zeta-R-V	-1.0818796595
4E-BP1-R-V	-0.2951854155
4E-BP1_pS65-R-V	0.1169433625
4E-BP1_pT37_T46-R-V	-0.1297613185
4E-BP1_pT70-R-V	0.342069607
ACC_pS79-R-V	-1.012930005
ACVRL1-R-C	0.227312314
Akt-R-V	-1.187354002
Akt_pS473-R-V	-0.7002830785
Akt_pT308-R-V	-0.177323346
AMPK_alpha-R-C	-0.11393169
AMPK_pT172-R-V	-0.9548030645
Annexin-1-M-E	-0.7606110515
Annexin_VII-M-V	-0.68479842
AR-R-V	0.3365012945
ARHI-M-E	0.386275592000001
ATM-R-E	-0.6287548955
Bad_pS112-R-V	-0.300047566
Bak-R-C	0.3396167445
Bap1-c-4-M-V	-0.1631639435
Bax-R-V	-0.4335284405
Bcl-2-M-V	-0.0892624889999998
beta-Catenin-R-V	-0.503088719
Bid-R-C	0.456261285
Bim-R-V	0.0689225715000001
BRCA2-R-C	0.216187904
c-Kit-R-V	0.0897407805000003
c-Myc-R-C	0.379202634
C-Raf-R-V	0.2317514155
Caspase-7_cleavedD198-R-C	0.321565446
Caveolin-1-R-V	0.3420574345
CD20-R-C	0.472606254
CD31-M-V	0.4214135865
CD49b-M-V	0.0070010855
CDK1-R-V	0.0167791380000002
Chk1_pS345-R-C	-0.00510790549999962
Chk2_pT68-R-C	0.584310784
cIAP-R-V	0.1246668785
Claudin-7-R-V	-0.2161155335
Collagen_VI-R-V	0.627197185
Cyclin_B1-R-V	-0.127905084
Cyclin_D1-R-V	0.439939092
Cyclin_E1-M-V	0.1933425615
Cyclin_E2-R-C	0.6802079755
Dvl3-R-V	-0.3115353945
E-Cadherin-R-V	0.333717297
eEF2K-R-V	0.0329794045000003
EGFR-R-V	0.1174039995
eIF4E-R-V	-0.523813872
eIF4G-R-C	-0.769059871
ER-alpha-R-V	-0.042219303
ER-alpha_pS118-R-V	0.3462155575
ERK2-R-E	-0.7922825475
ETS-1-R-V	0.082584325
FASN-R-V	-1.8376937535
FoxM1-R-V	0.7075072885
FOXO3a-R-C	0.151323471
FOXO3a_pS318_S321-R-C	0.0892840375000001
G6PD-M-V	0.19268359
GAB2-R-V	-0.461122949
GAPDH-M-C	-0.0750503629999999
GATA3-M-V	-0.170449524
GSK3-alpha-beta-M-V	-1.032078724
GSK3-alpha-beta_pS21_S9-R-V	-0.4371154725
GSK3_pS9-R-V	-0.466605058
HER2-M-V	-0.1641540915
Heregulin-R-V	0.1531177085
HSP70-R-C	0.862394853
IGFBP2-R-V	-0.0502160549999999
IRS1-R-V	0.1220838855
JNK2-R-C	-0.4766523985
Ku80-R-C	-0.8037824795
Lck-R-V	-0.00761145649999984
LKB1-M-E	0.517983075
MAPK_pT202_Y204-R-V	-0.565942387
MEK1-R-V	-0.5441449065
MEK1_pS217_S221-R-V	0.201609475
MIG-6-M-V	0.168413884
Mre11-R-C	0.3886163985
MSH6-R-C	-0.0223882659999997
mTOR-R-V	-0.8104595655
mTOR_pS2448-R-C	-0.0732792595
MYH11-R-V	0.493604196
Myosin-IIa_pS1943-R-V	-1.139601632
N-Cadherin-R-V	0.558433579
N-Ras-M-V	0.0438986594999999
NDRG1_pT346-R-V	0.2893768385
NF-kB-p65_pS536-R-C	0.1340092415
NF2-R-C	-0.293048381
Notch1-R-V	0.2311739855
P-Cadherin-R-C	0.23942198
p27-R-V	-0.0576667104999999
p27_pT157-R-C	0.427501046
p27_pT198-R-V	0.2623896525
p38_pT180_Y182-R-V	-0.8952073895
p70S6K-R-V	-0.7588469895
p70S6K_pT389-R-V	0.254996673
p90RSK-R-C	-0.598228731
p90RSK_pT359_S363-R-C	0.3290702145
PAI-1-M-E	-0.0997217694999999
PARP1-R-V	-0.5640378965
PDCD4-R-C	-0.535328385
PDK1-R-V	-0.38646783
PDK1_pS241-R-V	-0.9188605765
PEA15-R-V	-0.544368629
PEA15_pS116-R-V	0.6647874115
PI3K-p110-alpha-R-C	-0.301040951
PI3K-p85-R-V	-0.9067398015
PKC-alpha-M-V	-0.0372904565000001
PKC-delta_pS664-R-V	0.1412271805
PKC-pan_BetaII_pS660-R-V	-0.9361559295
PR-R-V	0.6822215145
PRAS40_pT246-R-V	0.00420561700000022
PREX1-R-E	-0.5828032815
PTEN-R-V	-0.6839430065
Rab11-R-E	0.3398580405
Rab25-R-V	-0.0467782105000007
Raptor-R-V	0.0805232535000001
Rb_pS807_S811-R-V	-0.372278867
RBM15-R-V	-0.410349715
Rictor-R-C	-0.4186934445
Rictor_pT1135-R-V	0.502084171
S6-R-E	-1.076767357
S6_pS235_S236-R-V	-0.6312865545
S6_pS240_S244-R-V	-0.0466656809999999
SCD-M-V	0.1995884575
SF2-M-V	0.0688889699999997
Shc_pY317-R-E	-0.1260974255
Smad1-R-V	0.2363707995
Smad3-R-V	0.3221861365
Src-M-V	-0.0492135280000001
Src_pY416-R-C	-0.0932415505000002
Src_pY527-R-V	-0.4837682
STAT3_pY705-R-V	-0.8187985175
STAT5-alpha-R-V	-0.8109898535
Stathmin-R-V	0.43268585
Syk-M-V	-1.6362189915
TAZ-R-V	0.115945673
