Sample REF	CE2C9C0F-7CD7-4C05-AF2F-85D4552F8183
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.3777636265
14-3-3_epsilon-M-C	-0.016966526
14-3-3_zeta-R-V	-0.0730249365000002
4E-BP1-R-V	0.4701027645
4E-BP1_pS65-R-V	0.0621268155
4E-BP1_pT37_T46-R-V	-0.00596081450000008
4E-BP1_pT70-R-V	-0.142502111
ACC_pS79-R-V	0.000112015999999882
ACVRL1-R-C	-0.12380139
Akt-R-V	0.041228252
Akt_pS473-R-V	-0.0125616924999998
Akt_pT308-R-V	0.021880371
AMPK_alpha-R-C	-0.00242416400000012
AMPK_pT172-R-V	0.5393195085
Annexin-1-M-E	0.0892531534999998
Annexin_VII-M-V	0.0764462839999998
AR-R-V	-0.0380701785000002
ARHI-M-E	-0.0449412329999999
ATM-R-E	0.0957492215
Bad_pS112-R-V	0.174978509
Bak-R-C	0.1219898535
Bap1-c-4-M-V	0.1013422275
Bax-R-V	-0.0626701245000001
Bcl-2-M-V	0.350658343
beta-Catenin-R-V	0.91042777
Bid-R-C	-0.17725526
Bim-R-V	0.2648260215
BRCA2-R-C	-0.225207658
c-Kit-R-V	0.6919843995
c-Myc-R-C	0.326968127
C-Raf-R-V	-0.0910049655000001
Caspase-7_cleavedD198-R-C	-0.105002864
Caveolin-1-R-V	0.8845749055
CD20-R-C	0.106661504
CD31-M-V	-0.4861005775
CD49b-M-V	0.2236308135
CDK1-R-V	0.17368354
Chk1_pS345-R-C	-0.0401390405000002
Chk2_pT68-R-C	-0.369769669
cIAP-R-V	-0.0282233985000002
Claudin-7-R-V	0.0974265114999999
Collagen_VI-R-V	0.441055481
Cyclin_B1-R-V	-0.47619025
Cyclin_D1-R-V	-0.68495611
Cyclin_E1-M-V	-0.430290029500001
Cyclin_E2-R-C	-0.0944911515000006
Dvl3-R-V	0.1532436845
E-Cadherin-R-V	1.764099178
eEF2K-R-V	0.3561190305
EGFR-R-V	0.0947723315
eIF4E-R-V	0.0135079199999999
eIF4G-R-C	0.125160162
ER-alpha-R-V	0.578564601
ER-alpha_pS118-R-V	-0.0474703945000001
ERK2-R-E	-0.0721067715000001
ETS-1-R-V	-0.0369413390000002
FASN-R-V	0.2222820885
FoxM1-R-V	-0.1186035705
FOXO3a-R-C	-0.0926379549999998
FOXO3a_pS318_S321-R-C	0.0353583634999999
G6PD-M-V	-0.113796997
GAB2-R-V	0.154542863
GAPDH-M-C	-0.0614269730000001
GATA3-M-V	0.160611968
GSK3-alpha-beta-M-V	-0.209019797
GSK3-alpha-beta_pS21_S9-R-V	0.1020093435
GSK3_pS9-R-V	0.321022494
HER2-M-V	0.1295236975
Heregulin-R-V	-0.1162358225
HSP70-R-C	-0.399026007
IGFBP2-R-V	0.298652535
IRS1-R-V	0.0686556395
JNK2-R-C	0.2133611425
Ku80-R-C	0.3173052065
Lck-R-V	-0.8750655095
LKB1-M-E	-0.168223935
MAPK_pT202_Y204-R-V	0.158521172
MEK1-R-V	0.0965814304999999
MEK1_pS217_S221-R-V	-0.13043955
MIG-6-M-V	-0.101106586
Mre11-R-C	-0.1585928695
MSH6-R-C	0.186084908
mTOR-R-V	0.1182286865
mTOR_pS2448-R-C	-0.0308321825000002
MYH11-R-V	1.484616528
Myosin-IIa_pS1943-R-V	0.120874229
N-Cadherin-R-V	-0.606782185
N-Ras-M-V	0.0823609324999999
NDRG1_pT346-R-V	0.1481772095
NF-kB-p65_pS536-R-C	-0.2654371325
NF2-R-C	0.148040572
Notch1-R-V	-0.0258237274999997
P-Cadherin-R-C	0.203009961
p27-R-V	0.5750576755
p27_pT157-R-C	-0.254971415
p27_pT198-R-V	-0.0332757785000002
p38_pT180_Y182-R-V	0.2620705705
p70S6K-R-V	0.3540540285
p70S6K_pT389-R-V	-0.371298734
p90RSK-R-C	0.0528358339999999
p90RSK_pT359_S363-R-C	-0.3007965265
PAI-1-M-E	-0.5896980205
PARP1-R-V	0.0449487134999997
PDCD4-R-C	0.349781948
PDK1-R-V	-0.0351398580000002
PDK1_pS241-R-V	0.1989226375
PEA15-R-V	-0.0373040530000002
PEA15_pS116-R-V	-0.2708909835
PI3K-p110-alpha-R-C	0.246854272
PI3K-p85-R-V	0.1348573485
PKC-alpha-M-V	0.3409545365
PKC-delta_pS664-R-V	-0.1156681845
PKC-pan_BetaII_pS660-R-V	0.1635662045
PR-R-V	0.2314665365
PRAS40_pT246-R-V	-0.0692298370000002
PREX1-R-E	-0.3885214435
PTEN-R-V	0.5361389925
Rab11-R-E	-0.2834754335
Rab25-R-V	-0.7762405955
Raptor-R-V	-0.1690147785
Rb_pS807_S811-R-V	-0.0324833280000001
RBM15-R-V	0.357164526
Rictor-R-C	0.4866487105
Rictor_pT1135-R-V	0.0173394799999999
S6-R-E	0.633232069
S6_pS235_S236-R-V	0.2742110645
S6_pS240_S244-R-V	0.421020081
SCD-M-V	0.1608560255
SF2-M-V	-0.113239860000001
Shc_pY317-R-E	0.0885007834999998
Smad1-R-V	-0.0366186115
Smad3-R-V	-0.0293558695000001
Src-M-V	-0.0602662290000002
Src_pY416-R-C	0.2764570855
Src_pY527-R-V	0.18050881
STAT3_pY705-R-V	0.5606322595
STAT5-alpha-R-V	0.3766957605
Stathmin-R-V	-0.122842875
Syk-M-V	-0.2570977385
TAZ-R-V	-0.237859835
TFRC-R-V	-0.6283147195
TIGAR-R-V	-0.1268615965
Transglutaminase-M-V	-0.168326887
TSC1-R-C	0.127968747
Tuberin_pT1462-R-V	0.115330227
XBP1-G-C	-0.0421248140000001
YB-1-R-V	-0.0357783155000001
YB-1_pS102-R-V	-0.0453231395000002
