Sample REF	DF5927EA-DE81-492A-B1AD-03A0E533A338
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.4966863845
14-3-3_epsilon-M-C	0.00065311800000023
14-3-3_zeta-R-V	0.0367497655
4E-BP1-R-V	0.1515802855
4E-BP1_pS65-R-V	0.1494479355
4E-BP1_pT37_T46-R-V	0.0722029375
4E-BP1_pT70-R-V	-0.047023746
ACC_pS79-R-V	0.589075072
ACVRL1-R-C	0.030486099
Akt-R-V	0.221008738
Akt_pS473-R-V	-0.1788870765
Akt_pT308-R-V	-0.2438956
AMPK_alpha-R-C	-0.623144221
AMPK_pT172-R-V	0.8082076395
Annexin-1-M-E	1.2684640135
Annexin_VII-M-V	0.30310276
AR-R-V	-0.1588205405
ARHI-M-E	0.591529388
ATM-R-E	-0.4277557075
Bad_pS112-R-V	-0.432000683
Bak-R-C	0.1292221825
Bap1-c-4-M-V	0.4070306315
Bax-R-V	-0.6924839615
Bcl-2-M-V	0.492386126
beta-Catenin-R-V	-0.8431842
Bid-R-C	0.118018189
Bim-R-V	-0.8136465555
BRCA2-R-C	-0.014659419
c-Kit-R-V	-0.6727827885
c-Myc-R-C	-0.39929038
C-Raf-R-V	-0.0193555225000002
Caspase-7_cleavedD198-R-C	-0.0181521870000001
Caveolin-1-R-V	0.8672512685
CD20-R-C	0.451741675
CD31-M-V	0.0396557094999999
CD49b-M-V	-0.4486523805
CDK1-R-V	-0.615001153
Chk1_pS345-R-C	-0.1315197305
Chk2_pT68-R-C	-1.210541651
cIAP-R-V	-0.2473948095
Claudin-7-R-V	-1.0235741675
Collagen_VI-R-V	0.792241654
Cyclin_B1-R-V	0.345650698
Cyclin_D1-R-V	-0.073806721
Cyclin_E1-M-V	0.1043199635
Cyclin_E2-R-C	0.1412961865
Dvl3-R-V	-0.2402332965
E-Cadherin-R-V	-0.400741122
eEF2K-R-V	0.1957680425
EGFR-R-V	0.3121385305
eIF4E-R-V	-0.0515231799999998
eIF4G-R-C	0.146586258
ER-alpha-R-V	-1.018878199
ER-alpha_pS118-R-V	-0.0382913414999999
ERK2-R-E	0.1076305785
ETS-1-R-V	1.507698172
FASN-R-V	-0.0940422665
FoxM1-R-V	-0.1672042275
FOXO3a-R-C	0.276460078
FOXO3a_pS318_S321-R-C	-0.6598388235
G6PD-M-V	0.160830939
GAB2-R-V	0.420716875
GAPDH-M-C	1.120869774
GATA3-M-V	1.147464656
GSK3-alpha-beta-M-V	-0.364030816
GSK3-alpha-beta_pS21_S9-R-V	-0.8777312435
GSK3_pS9-R-V	0
HER2-M-V	0.5178367685
Heregulin-R-V	0.1826182665
HSP70-R-C	0.356161624
IGFBP2-R-V	-0.692742327
IRS1-R-V	-0.2688688345
JNK2-R-C	-0.0518200765000003
Ku80-R-C	-0.7783230415
Lck-R-V	-0.1080232685
LKB1-M-E	-0.000445947000000002
MAPK_pT202_Y204-R-V	-0.706053721
MEK1-R-V	1.0367596815
MEK1_pS217_S221-R-V	-0.134099452
MIG-6-M-V	-0.328837149
Mre11-R-C	-0.6112839455
MSH6-R-C	-0.200428127
mTOR-R-V	-0.7923764745
mTOR_pS2448-R-C	-0.1720928515
MYH11-R-V	-1.761551775
Myosin-IIa_pS1943-R-V	-0.66755064
N-Cadherin-R-V	-0.178579953
N-Ras-M-V	0.1645619985
NDRG1_pT346-R-V	0.4294472345
NF-kB-p65_pS536-R-C	0.4260426185
NF2-R-C	-0.359672796
Notch1-R-V	0.2732067895
P-Cadherin-R-C	-0.558048671
p27-R-V	-0.1751521985
p27_pT157-R-C	0.932480709
p27_pT198-R-V	-0.2269409675
p38_pT180_Y182-R-V	0.1998977525
p70S6K-R-V	0.7266437555
p70S6K_pT389-R-V	-0.458474824000001
p90RSK-R-C	-0.45890412
p90RSK_pT359_S363-R-C	-0.2687314895
PAI-1-M-E	0.7233418335
PARP1-R-V	0.3412147105
PDCD4-R-C	-0.573485052
PDK1-R-V	-0.333353395
PDK1_pS241-R-V	-0.1160327255
PEA15-R-V	0.520634922
PEA15_pS116-R-V	0.7610813645
PI3K-p110-alpha-R-C	0.212336215
PI3K-p85-R-V	-0.4415568035
PKC-alpha-M-V	0.1369818715
PKC-delta_pS664-R-V	-0.5860560675
PKC-pan_BetaII_pS660-R-V	0.2511661525
PR-R-V	-0.0885753395000002
PRAS40_pT246-R-V	0.606779452
PREX1-R-E	-0.2286624445
PTEN-R-V	0.4062496665
Rab11-R-E	0.1377042995
Rab25-R-V	0.1440872395
Raptor-R-V	-0.1727699115
Rb_pS807_S811-R-V	0.304687854
RBM15-R-V	-0.069314254
Rictor-R-C	-0.8583347435
Rictor_pT1135-R-V	0.23449372
S6-R-E	-0.096102847
S6_pS235_S236-R-V	0.5113280535
S6_pS240_S244-R-V	1.149254456
SCD-M-V	0.1195678285
SF2-M-V	0.376492126
Shc_pY317-R-E	0.5524239485
Smad1-R-V	-0.3244838595
Smad3-R-V	0.1299285475
Src-M-V	-0.149167955
Src_pY416-R-C	1.0307602985
Src_pY527-R-V	1.260684078
STAT3_pY705-R-V	0.0440927755000002
STAT5-alpha-R-V	1.0418928765
Stathmin-R-V	-0.185397346
Syk-M-V	0.0262907265000001
TAZ-R-V	-0.0405146810000003
TFRC-R-V	0.5539820275
TIGAR-R-V	0.0646964484999999
Transglutaminase-M-V	-0.184489806
TSC1-R-C	0.13155293
Tuberin_pT1462-R-V	0.358360188
XBP1-G-C	1.899736322
YB-1-R-V	1.2300830515
YB-1_pS102-R-V	-0.2146652465
