Sample REF	F251633F-A6B6-4238-93A8-6C32EFCA1607
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.137582918
14-3-3_epsilon-M-C	0.1273352415
14-3-3_zeta-R-V	-0.243037536
4E-BP1-R-V	0.0423341849999999
4E-BP1_pS65-R-V	0.0725311709999998
4E-BP1_pT37_T46-R-V	-0.545437949
4E-BP1_pT70-R-V	-0.0671499545000003
ACC_pS79-R-V	0.6218186365
ACVRL1-R-C	0.1998286225
Akt-R-V	-0.1987169375
Akt_pS473-R-V	-0.385931381
Akt_pT308-R-V	-0.4399299925
AMPK_alpha-R-C	-0.4449565135
AMPK_pT172-R-V	0.408048618
Annexin-1-M-E	0.698195813
Annexin_VII-M-V	0.0337550074999997
AR-R-V	0.121991027
ARHI-M-E	0.1405820215
ATM-R-E	-0.130299474
Bad_pS112-R-V	-0.2719900085
Bak-R-C	0.254855869
Bap1-c-4-M-V	-0.0509278390000005
Bax-R-V	-0.731853525
Bcl-2-M-V	0.2933331045
beta-Catenin-R-V	0.1141379525
Bid-R-C	0.4112711305
Bim-R-V	-0.219260598
BRCA2-R-C	0.0927119884999998
c-Kit-R-V	0.66316137
c-Myc-R-C	0.2937416605
C-Raf-R-V	0.0781207839999999
Caspase-7_cleavedD198-R-C	-0.0825222155000003
Caveolin-1-R-V	0.182387601
CD20-R-C	0.1556869095
CD31-M-V	-0.180118688
CD49b-M-V	-0.0707953120000002
CDK1-R-V	-0.0946146585000003
Chk1_pS345-R-C	-0.236894509
Chk2_pT68-R-C	-0.1093857565
cIAP-R-V	-0.0556252640000003
Claudin-7-R-V	-0.528142662
Collagen_VI-R-V	0.9193464065
Cyclin_B1-R-V	-0.1123077725
Cyclin_D1-R-V	0.2207375925
Cyclin_E1-M-V	-0.0859468480000005
Cyclin_E2-R-C	-0.0224873530000005
Dvl3-R-V	-0.479619438
E-Cadherin-R-V	0.7021410285
eEF2K-R-V	0.0152557539999998
EGFR-R-V	0.0970605279999996
eIF4E-R-V	-0.2461604865
eIF4G-R-C	-0.1112428585
ER-alpha-R-V	-0.5232416855
ER-alpha_pS118-R-V	-0.1133581
ERK2-R-E	-0.101135254
ETS-1-R-V	0.1236596965
FASN-R-V	0.694777468
FoxM1-R-V	0.301352523
FOXO3a-R-C	0.1896672705
FOXO3a_pS318_S321-R-C	-0.232798443
G6PD-M-V	0.1172800195
GAB2-R-V	0.1626763025
GAPDH-M-C	0.6629113035
GATA3-M-V	-0.2893840395
GSK3-alpha-beta-M-V	-0.5918053755
GSK3-alpha-beta_pS21_S9-R-V	-0.429101358
GSK3_pS9-R-V	-0.3085517835
HER2-M-V	-0.205841001
Heregulin-R-V	-0.0150916399999999
HSP70-R-C	0.8793213265
IGFBP2-R-V	-0.5078081995
IRS1-R-V	0.160662957
