Sample REF	a55195f2-8c4d-40ab-a452-8424a0403d03
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.0315443252499998
4E-BP1-R-V	1.51450158475
4E-BP1_pS65-R-V	0.31839949225
4E-BP1_pT37_T46-R-V	1.31842291375
ACC_pS79-R-V	0.12275763525
Akt-R-V	-0.28295718875
Akt_pS473-R-V	-0.28916844975
Akt_pT308-R-V	-0.37055293875
AMPK_alpha-R-C	-0.43973356025
AMPK_pT172-R-V	0.00509206725
AR-R-V	-1.64742293375
ATM-R-E	0.0799079217499999
Bak-R-C	0.21753360125
Bax-R-V	0.0525237492499999
Bcl-2-M-V	-0.98507275625
beta-Catenin-R-V	0.47243975275
Bid-R-C	-0.0233314442499999
Bim-R-V	0.33264668025
c-Kit-R-V	0.82813963625
c-Myc-R-C	-0.01261178025
C-Raf-R-V	0.26105607275
Caspase-7_cleavedD198-R-C	0.0142557102499999
Caveolin-1-R-V	-0.67575070425
CD31-M-V	-0.87620540325
CD49b-M-V	-0.39988149825
CDK1-R-V	0.36046246525
Chk1_pS345-R-C	-0.44481749025
Chk2_pT68-R-C	-0.83822440375
cIAP-R-V	-0.22380146975
Claudin-7-R-V	0.22257561825
Collagen_VI-R-V	0.22817721125
Cyclin_B1-R-V	1.89317564325
Cyclin_D1-R-V	-0.82970528125
Cyclin_E1-M-V	2.21311864175
Dvl3-R-V	0.55184316575
E-Cadherin-R-V	-0.0850239332500001
eEF2K-R-V	0.50853559025
eIF4E-R-V	0.26606707625
ER-alpha-R-V	-3.58426254225
ER-alpha_pS118-R-V	-0.48190749825
ERK2-R-E	0.27753320275
FOXO3a-R-C	-0.21108474525
GAB2-R-V	-0.02192106975
GATA3-M-V	-1.96554681325
GSK3-alpha-beta-M-V	0.32291823725
GSK3-alpha-beta_pS21_S9-R-V	-0.22351839425
HER2-M-V	-0.27630525775
HSP70-R-C	-0.76544663075
IGFBP2-R-V	0.85587551525
IRS1-R-V	-0.10583144925
JNK2-R-C	-0.40130661025
Ku80-R-C	0.17061073475
LKB1-M-E	-0.0792382947500001
Lck-R-V	0.57829278475
MAPK_pT202_Y204-R-V	-0.17355620575
MEK1-R-V	-0.00509206725
MEK1_pS217_S221-R-V	-0.0857228727500001
MIG-6-M-V	0.25049120625
Mre11-R-C	-0.41896693175
mTOR-R-V	-0.15698698925
N-Cadherin-R-V	0.12929114825
NF-kB-p65_pS536-R-C	0.10744817475
NF2-R-C	-0.14654736125
Notch1-R-V	0.57193649375
P-Cadherin-R-C	0.15366139675
p27-R-V	-0.20036363075
p27_pT157-R-C	0.0367803402499998
p38_pT180_Y182-R-V	0.31818200625
p70S6K-R-V	0.12167260975
p70S6K_pT389-R-V	0.41167134025
p90RSK_pT359_S363-R-C	0.24547664225
PDK1_pS241-R-V	-0.52214345025
PEA15-R-V	-0.22140312625
PI3K-p110-alpha-R-C	0.07395907925
PKC-alpha-M-V	0.20676015675
PKC-delta_pS664-R-V	-0.0777742637500001
PR-R-V	-1.18228614275
PRAS40_pT246-R-V	-0.05504123525
PTEN-R-V	-0.28215865425
Rb_pS807_S811-R-V	0.57324563175
S6-R-E	0.46734637475
S6_pS235_S236-R-V	0.83202930275
S6_pS240_S244-R-V	0.64297736775
Shc_pY317-R-E	-0.16559455125
Smad1-R-V	0.10903090425
Smad3-R-V	-0.07142452375
Src-M-V	0.26257908075
Src_pY416-R-C	-0.32967348675
Src_pY527-R-V	0.19341880375
STAT3_pY705-R-V	-0.04685726375
STAT5-alpha-R-V	1.16112448825
Stathmin-R-V	-0.21715712625
Syk-M-V	0.75110220975
YB-1-R-V	0.0812692872499998
YB-1_pS102-R-V	0.42597650275
PAI-1-M-E	-0.81467496975
mTOR_pS2448-R-C	-0.58747961575
EGFR-R-V	0.42130595675
4E-BP1_pT70-R-V	0.54699678875
Annexin_VII-M-V	0.0214212167500001
Bad_pS112-R-V	-0.29061783975
Bap1-c-4-M-V	0.33205889725
BRCA2-R-C	-0.19308151975
CD20-R-C	0.12036231425
Cyclin_E2-R-C	0.67003990875
eIF4G-R-C	1.25370582125
FASN-R-V	-1.04738218525
FOXO3a_pS318_S321-R-C	0.13062309775
FoxM1-R-V	1.96802411575
G6PD-M-V	-0.25705894475
GAPDH-M-C	-0.0739168507500001
GSK3_pS9-R-V	-0.0395130987500001
Heregulin-R-V	0.29933895675
MYH11-R-V	-0.66290307525
Myosin-IIa_pS1943-R-V	-0.22839974925
N-Ras-M-V	0.19044916075
NDRG1_pT346-R-V	0.0791260252499999
p27_pT198-R-V	-0.16038334125
p90RSK-R-C	0.21918251525
PDCD4-R-C	-1.22517434075
PDK1-R-V	-0.15407802375
PEA15_pS116-R-V	0.17315348025
PI3K-p85-R-V	-0.13013944375
