Sample REF	bd38e599-aa6d-4349-b7de-630514cc1220
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	-0.1983263785
4E-BP1-R-V	0.547350437
4E-BP1_pS65-R-V	0.1655623085
4E-BP1_pT37_T46-R-V	0.055092496
ACC_pS79-R-V	-0.0867605285
Akt-R-V	-0.1006376425
Akt_pS473-R-V	-0.1601788815
Akt_pT308-R-V	-0.4716621315
AMPK_alpha-R-C	-0.0879420000000001
AMPK_pT172-R-V	0.2391477505
AR-R-V	-1.3524116195
ATM-R-E	0.299266524
Bak-R-C	-0.1818735285
Bax-R-V	0.1197846735
Bcl-2-M-V	-0.902959097
beta-Catenin-R-V	0.697513229
Bid-R-C	-0.157292227
Bim-R-V	0.1823418715
c-Kit-R-V	1.7613675835
c-Myc-R-C	0.666059381
C-Raf-R-V	0.134242291
Caspase-7_cleavedD198-R-C	1.1219701485
Caveolin-1-R-V	-1.237307577
CD31-M-V	-0.064286913
CD49b-M-V	-0.457049996
CDK1-R-V	0.2509212225
Chk1_pS345-R-C	-0.084737026
Chk2_pT68-R-C	0.0530334645000001
cIAP-R-V	-0.1759305375
Claudin-7-R-V	1.7274162525
Collagen_VI-R-V	-0.3992926365
Cyclin_B1-R-V	1.3497125065
Cyclin_D1-R-V	-0.332418797
Cyclin_E1-M-V	1.509667793
Dvl3-R-V	0.130768591
E-Cadherin-R-V	-0.000455401000000077
eEF2K-R-V	-0.4392656835
eIF4E-R-V	-0.0747583885000001
ER-alpha-R-V	-3.19841462
ER-alpha_pS118-R-V	-0.293913412
ERK2-R-E	0.164743304
FOXO3a-R-C	-0.185367472
GAB2-R-V	0.3119250815
GATA3-M-V	-1.797642748
GSK3-alpha-beta-M-V	0.8384985415
GSK3-alpha-beta_pS21_S9-R-V	0.400646127
HER2-M-V	-0.3566924725
HSP70-R-C	0.6244531595
IGFBP2-R-V	-1.9183165465
IRS1-R-V	0.148282813
JNK2-R-C	-0.526864876
Ku80-R-C	0.46363508
LKB1-M-E	-0.0211513675000001
Lck-R-V	0.0771084240000001
MAPK_pT202_Y204-R-V	1.1914042265
MEK1-R-V	-0.146166421
MEK1_pS217_S221-R-V	0.3061082345
MIG-6-M-V	0.0527132125000001
Mre11-R-C	-0.1022400775
mTOR-R-V	0.266881611
N-Cadherin-R-V	-0.1757381195
NF-kB-p65_pS536-R-C	0.00347621099999995
NF2-R-C	0.037323578
Notch1-R-V	0.543064624
P-Cadherin-R-C	-0.250935123
p27-R-V	-0.4104237845
p27_pT157-R-C	-0.0267418775000001
p38_pT180_Y182-R-V	0.4770595315
p70S6K-R-V	-0.558960439
p70S6K_pT389-R-V	-0.2339238295
p90RSK_pT359_S363-R-C	-0.0958364405
PDK1_pS241-R-V	-0.298178514
PEA15-R-V	0.0467240109999999
PI3K-p110-alpha-R-C	-0.0251885794999998
PKC-alpha-M-V	0.348262945
PKC-delta_pS664-R-V	-0.2388070145
PR-R-V	-0.9877630755
PRAS40_pT246-R-V	-0.039061452
PTEN-R-V	0.277493793
Rb_pS807_S811-R-V	-0.0804281999999999
S6-R-E	0.156960274
S6_pS235_S236-R-V	0.887840928
S6_pS240_S244-R-V	0.282261973
Shc_pY317-R-E	-0.1225871
Smad1-R-V	-0.1100811295
Smad3-R-V	-0.2214512415
Src-M-V	0.201029133
Src_pY416-R-C	-0.1927860805
Src_pY527-R-V	0.00758312000000005
STAT3_pY705-R-V	0.2355515805
STAT5-alpha-R-V	0.5870854255
Stathmin-R-V	-0.044001521
Syk-M-V	0.170240421
YB-1-R-V	0.6112104745
YB-1_pS102-R-V	0.139845198
PAI-1-M-E	-0.0495366205000001
mTOR_pS2448-R-C	-0.0288059405
EGFR-R-V	-0.027332067
4E-BP1_pT70-R-V	0.0522628499999997
Annexin_VII-M-V	-0.269304681
Bad_pS112-R-V	0.1356634295
Bap1-c-4-M-V	0.2191879725
BRCA2-R-C	-0.2713821595
CD20-R-C	-0.1534020675
Cyclin_E2-R-C	-0.043879182
eIF4G-R-C	0.4558471135
FASN-R-V	-1.757070955
FOXO3a_pS318_S321-R-C	0.230844343
FoxM1-R-V	0.965452876
G6PD-M-V	-0.3835999555
GAPDH-M-C	-0.0264914555
GSK3_pS9-R-V	0.1790296525
Heregulin-R-V	-0.328647226
MYH11-R-V	-1.606677699
Myosin-IIa_pS1943-R-V	-0.022159594
N-Ras-M-V	-0.247744237
NDRG1_pT346-R-V	-0.5901765405
p27_pT198-R-V	-0.0264609969999998
p90RSK-R-C	0.0435306125
PDCD4-R-C	0.8928052265
PDK1-R-V	-0.5526144005
PEA15_pS116-R-V	-0.3217553075
PI3K-p85-R-V	0.2831817835
PKC-pan_BetaII_pS660-R-V	0.1379757735
Rab25-R-V	0.678690573
Rab11-R-E	-0.141614508
Raptor-R-V	0.0238023235
RBM15-R-V	0.416019445
Rictor-R-C	-0.0816234345
Rictor_pT1135-R-V	-0.0937375975
SCD-M-V	-0.118593501500001
SF2-M-V	-0.402161642
TAZ-R-V	0.0825415605000001
TIGAR-R-V	0.0428682029999999
Transglutaminase-M-V	0.3459146835
TFRC-R-V	0.127525726
TSC1-R-C	0.0466177605
Tuberin_pT1462-R-V	-0.1307896325
XBP1-G-C	0.4161626425
ETS-1-R-V	0.0185670575000001
14-3-3_beta-R-V	-0.1783618965
14-3-3_zeta-R-V	0.158057324
ACVRL1-R-C	-0.379628837
ARHI-M-E	-0.3383341175
Annexin-1-M-E	0.8321056355
PREX1-R-E	-0.0036284365
MSH6-R-C	0.7728365695
PARP1-R-V	0.2333412545
