Sample REF	c4fcf63c-a35e-451c-bf06-64b36bc30ba0
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	-0.0713719104999999
4E-BP1-R-V	-0.009927562
4E-BP1_pS65-R-V	-0.4170575485
4E-BP1_pT37_T46-R-V	-0.542900309
ACC_pS79-R-V	-0.1491190295
Akt-R-V	-0.0315715875000001
Akt_pS473-R-V	0.3556810065
Akt_pT308-R-V	-0.1593388935
AMPK_alpha-R-C	0.180019185
AMPK_pT172-R-V	-0.0785740765
AR-R-V	0.6988139635
ATM-R-E	0.787221444
Bak-R-C	0.2737880665
Bax-R-V	0.2246282445
Bcl-2-M-V	0.119939747
beta-Catenin-R-V	-1.43688821
Bid-R-C	0.019429664
Bim-R-V	-0.2315732765
c-Kit-R-V	-0.0314817934999998
c-Myc-R-C	-0.377741887
C-Raf-R-V	-0.114755001
Caspase-7_cleavedD198-R-C	-0.1229351995
Caveolin-1-R-V	0.940216371
CD31-M-V	0.20946452
CD49b-M-V	-0.122118719
CDK1-R-V	0.00928627550000005
Chk1_pS345-R-C	0.136653983
Chk2_pT68-R-C	-0.0986220635000001
cIAP-R-V	-0.1188933015
Claudin-7-R-V	-0.5164804705
Collagen_VI-R-V	-0.2688620965
Cyclin_B1-R-V	-0.3835417695
Cyclin_D1-R-V	0.161169312
Cyclin_E1-M-V	-0.234898936
Dvl3-R-V	-0.312979391
E-Cadherin-R-V	-2.550050471
eEF2K-R-V	0.5108235245
eIF4E-R-V	0.1216126225
ER-alpha-R-V	1.936050613
ER-alpha_pS118-R-V	0.119637312
ERK2-R-E	0.0717463409999999
FOXO3a-R-C	0.123762113
GAB2-R-V	0.1053196995
GATA3-M-V	0.626109463
GSK3-alpha-beta-M-V	-0.5763066995
GSK3-alpha-beta_pS21_S9-R-V	0.356667255
HER2-M-V	-0.4130721915
HSP70-R-C	1.1618659885
IGFBP2-R-V	1.9871761415
IRS1-R-V	0.0931182689999999
JNK2-R-C	0.283638718
Ku80-R-C	-0.0461902830000001
LKB1-M-E	0.0795775964999998
Lck-R-V	0.974003323
MAPK_pT202_Y204-R-V	-0.4055555005
MEK1-R-V	0.496547393
MEK1_pS217_S221-R-V	-0.1541720385
MIG-6-M-V	-0.0198480125
Mre11-R-C	0.0279251484999999
mTOR-R-V	-0.287724143
N-Cadherin-R-V	0.4083302675
NF-kB-p65_pS536-R-C	0.239844565
NF2-R-C	-0.015643388
Notch1-R-V	0.200617024
P-Cadherin-R-C	-0.247112324
p27-R-V	0.3535348315
p27_pT157-R-C	-0.0402005115000001
p38_pT180_Y182-R-V	0.4987428675
p70S6K-R-V	-0.038185345
p70S6K_pT389-R-V	0.0132051794999999
p90RSK_pT359_S363-R-C	0.000633974500000023
PDK1_pS241-R-V	-0.0811251570000001
PEA15-R-V	0.367187433
PI3K-p110-alpha-R-C	-0.0482698564999997
PKC-alpha-M-V	-0.0869052640000001
PKC-delta_pS664-R-V	0.1734657385
PR-R-V	2.9844370525
PRAS40_pT246-R-V	-0.0751710270000001
PTEN-R-V	0.544328481
Rb_pS807_S811-R-V	-0.330784429
S6-R-E	-1.098098269
S6_pS235_S236-R-V	-1.358204421
S6_pS240_S244-R-V	-0.791436204
Shc_pY317-R-E	-0.0118516369999999
Smad1-R-V	0.1734110825
Smad3-R-V	0.0692717045000002
Src-M-V	-0.239207055
Src_pY416-R-C	-0.0931365394999997
Src_pY527-R-V	0.164218868
STAT3_pY705-R-V	-0.3705104635
STAT5-alpha-R-V	0.3735667205
Stathmin-R-V	0.21448509
Syk-M-V	0.484315936
YB-1-R-V	-0.1441520325
YB-1_pS102-R-V	-0.437468326
PAI-1-M-E	-0.6189232315
mTOR_pS2448-R-C	-0.0348350785000001
EGFR-R-V	0.36224418
4E-BP1_pT70-R-V	-0.210963356
Annexin_VII-M-V	0.203018488
Bad_pS112-R-V	0.2329589545
Bap1-c-4-M-V	-0.1748327615
BRCA2-R-C	-0.2970648135
CD20-R-C	0.1047493555
Cyclin_E2-R-C	-0.0132228719999999
eIF4G-R-C	-0.6579033555
FASN-R-V	-1.320055514
FOXO3a_pS318_S321-R-C	0.00858567600000004
FoxM1-R-V	-0.325110428
G6PD-M-V	0.0684602184999998
GAPDH-M-C	-0.6685459065
GSK3_pS9-R-V	0.3646793225
Heregulin-R-V	-0.0473916000000001
MYH11-R-V	1.244797031
Myosin-IIa_pS1943-R-V	-0.811389467
N-Ras-M-V	0.3694843
NDRG1_pT346-R-V	0.9151713075
p27_pT198-R-V	-0.0506356719999999
p90RSK-R-C	0.4059777895
PDCD4-R-C	0.6160969415
PDK1-R-V	-0.000633974500000023
PEA15_pS116-R-V	0.3519880925
PI3K-p85-R-V	0.5622858105
PKC-pan_BetaII_pS660-R-V	0.5090313405
Rab25-R-V	-0.160072096
Rab11-R-E	0.116472096
Raptor-R-V	-0.1076442535
RBM15-R-V	-0.361538557
Rictor-R-C	-0.3073487365
Rictor_pT1135-R-V	0.2172751935
SCD-M-V	-1.4270728185
SF2-M-V	0.097278313
TAZ-R-V	0.0757232815000001
TIGAR-R-V	0.110980316
Transglutaminase-M-V	-0.3778606555
TFRC-R-V	-0.0446845770000002
TSC1-R-C	-1.2565407785
Tuberin_pT1462-R-V	0.3569887405
XBP1-G-C	-0.2898383465
ETS-1-R-V	0.2722411265
14-3-3_beta-R-V	0.2239199905
14-3-3_zeta-R-V	-0.159779576
ACVRL1-R-C	0.0458400289999998
ARHI-M-E	0.1615281885
Annexin-1-M-E	0.3757521195
PREX1-R-E	0.3643393735
MSH6-R-C	-0.2170598695
PARP1-R-V	0.3751473075
