Sample REF	d44c8f0f-090f-417f-b80e-ff5da42138d0
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	-0.0345971874999998
4E-BP1-R-V	-0.140832825
4E-BP1_pS65-R-V	-0.1661817675
4E-BP1_pT37_T46-R-V	0.0906216800000001
ACC_pS79-R-V	0.2208905695
Akt-R-V	0.6397988065
Akt_pS473-R-V	0.2603590835
Akt_pT308-R-V	0.1047553215
AMPK_alpha-R-C	0.494396847
AMPK_pT172-R-V	1.0337586935
AR-R-V	1.6186097235
ATM-R-E	0.641183988
Bak-R-C	-0.0936395804999999
Bax-R-V	-0.0946248334999999
Bcl-2-M-V	1.40000185
beta-Catenin-R-V	0.85950661
Bid-R-C	-0.274485495
Bim-R-V	-0.1395407525
c-Kit-R-V	-0.5080830335
c-Myc-R-C	-0.361356685
C-Raf-R-V	0.134316647
Caspase-7_cleavedD198-R-C	-0.9967615045
Caveolin-1-R-V	-0.234923524
CD31-M-V	-0.151860876
CD49b-M-V	0.0157473530000004
CDK1-R-V	-0.2339330715
Chk1_pS345-R-C	-0.215687757
Chk2_pT68-R-C	-0.0826701854999997
cIAP-R-V	0.3178320865
Claudin-7-R-V	1.0691596825
Collagen_VI-R-V	-1.0075413955
Cyclin_B1-R-V	-0.6194792955
Cyclin_D1-R-V	-0.328441288
Cyclin_E1-M-V	-0.224594231
Dvl3-R-V	0.230110612
E-Cadherin-R-V	0.555564372
eEF2K-R-V	0.5751862105
eIF4E-R-V	-0.0239204594999999
ER-alpha-R-V	3.601492015
ER-alpha_pS118-R-V	0.683134897
ERK2-R-E	0.209046389
FOXO3a-R-C	-0.263773654
GAB2-R-V	-0.4896974445
GATA3-M-V	1.01804966
GSK3-alpha-beta-M-V	0.4201142245
GSK3-alpha-beta_pS21_S9-R-V	0.769678969
HER2-M-V	0.2782137175
HSP70-R-C	-0.4581206895
IGFBP2-R-V	0.6948826565
IRS1-R-V	0.463470663
JNK2-R-C	0.550233914
Ku80-R-C	0.318339087
LKB1-M-E	0.2616149815
Lck-R-V	-0.611263224
MAPK_pT202_Y204-R-V	0.8547180525
MEK1-R-V	0.227002396
MEK1_pS217_S221-R-V	0.4852592315
MIG-6-M-V	-0.1903131765
Mre11-R-C	-0.1164122125
mTOR-R-V	0.835971951
N-Cadherin-R-V	-0.1202816905
NF-kB-p65_pS536-R-C	0.724909185
NF2-R-C	0.411272052
Notch1-R-V	-0.185049488
P-Cadherin-R-C	-0.396433013
p27-R-V	0.0891847155000002
p27_pT157-R-C	-0.00123691950000004
p38_pT180_Y182-R-V	-0.0168860344999999
p70S6K-R-V	-0.103526672
p70S6K_pT389-R-V	-0.2612917305
p90RSK_pT359_S363-R-C	0.1592048335
PDK1_pS241-R-V	0.338924835
PEA15-R-V	-0.0471397919999998
PI3K-p110-alpha-R-C	-0.0228744674999996
PKC-alpha-M-V	-0.11849442
PKC-delta_pS664-R-V	0.0012369195000001
PR-R-V	5.3586416875
PRAS40_pT246-R-V	0.131024769
PTEN-R-V	0.6400523
Rb_pS807_S811-R-V	0.981908086
S6-R-E	-0.121869828
S6_pS235_S236-R-V	-0.00770758699999996
S6_pS240_S244-R-V	0.0140783050000001
Shc_pY317-R-E	0.25968764
Smad1-R-V	0.3695421485
Smad3-R-V	-0.2118695485
Src-M-V	-0.177259273
Src_pY416-R-C	0.0152364765000003
Src_pY527-R-V	0.324474309
STAT3_pY705-R-V	0.0398944545000001
STAT5-alpha-R-V	1.1267788875
Stathmin-R-V	-0.113491474
Syk-M-V	-0.262216073
YB-1-R-V	-0.0099190925
YB-1_pS102-R-V	0.0919255030000001
PAI-1-M-E	-0.2744622685
mTOR_pS2448-R-C	0.2125010695
EGFR-R-V	-0.212607227
4E-BP1_pT70-R-V	-0.107608906
Annexin_VII-M-V	-0.0058679559999999
Bad_pS112-R-V	0.1241448125
Bap1-c-4-M-V	0.00364710950000013
BRCA2-R-C	-0.3631110485
CD20-R-C	-0.2437231625
Cyclin_E2-R-C	-0.113672717
eIF4G-R-C	0.8298209675
FASN-R-V	-0.258112691
FOXO3a_pS318_S321-R-C	0.152403437
FoxM1-R-V	-0.242589609
G6PD-M-V	0.0650149475000003
GAPDH-M-C	-0.1266831985
GSK3_pS9-R-V	0.7446526715
Heregulin-R-V	0.02646464
MYH11-R-V	-2.030761144
Myosin-IIa_pS1943-R-V	0.467236737
N-Ras-M-V	-0.185980154
NDRG1_pT346-R-V	-0.0282456314999999
p27_pT198-R-V	-0.272316568
p90RSK-R-C	0.5135742615
PDCD4-R-C	1.2745214235
PDK1-R-V	0.1527761895
PEA15_pS116-R-V	0.1084613755
PI3K-p85-R-V	0.1017327625
PKC-pan_BetaII_pS660-R-V	0.3015118925
Rab25-R-V	0.437241768
Rab11-R-E	-0.377784782
Raptor-R-V	0.5691208245
RBM15-R-V	0.897077945
Rictor-R-C	0.1940443585
Rictor_pT1135-R-V	-0.1475276335
SCD-M-V	0.1622579335
SF2-M-V	-0.0341520099999999
TAZ-R-V	-0.2583753495
TIGAR-R-V	-0.0647818979999999
Transglutaminase-M-V	-0.1703606765
TFRC-R-V	0.770017743
TSC1-R-C	-0.1635974385
Tuberin_pT1462-R-V	0.5723801845
XBP1-G-C	-0.1918054055
ETS-1-R-V	-0.0264664244999998
14-3-3_beta-R-V	-0.1140129075
14-3-3_zeta-R-V	-0.315493624
ACVRL1-R-C	-0.030962526
ARHI-M-E	-0.1488669535
Annexin-1-M-E	-0.0206337074999999
PREX1-R-E	0.9659771515
MSH6-R-C	0.0230528285000001
PARP1-R-V	-0.0127386445
