Sample REF	d6e27bfa-0efe-457b-8628-38958d21268b
Composite Element REF	Protein Expression
14-3-3_epsilon-M-C	0.0603073397499998
4E-BP1-R-V	-0.15304360175
4E-BP1_pS65-R-V	0.15651403575
4E-BP1_pT37_T46-R-V	0.79955543325
ACC_pS79-R-V	0.49337027775
Akt-R-V	-0.36837633625
Akt_pS473-R-V	-0.37591016825
Akt_pT308-R-V	-0.47837699725
AMPK_alpha-R-C	-0.27024745575
AMPK_pT172-R-V	0.11372286175
AR-R-V	-1.29089723925
ATM-R-E	-0.16183767875
Bak-R-C	-0.0319586192500001
Bax-R-V	-0.23964919925
Bcl-2-M-V	-1.44345474075
beta-Catenin-R-V	0.40684033425
Bid-R-C	0.00146967025
Bim-R-V	-0.58895081625
c-Kit-R-V	0.19032611575
c-Myc-R-C	0.40295386925
C-Raf-R-V	-0.19874408375
Caspase-7_cleavedD198-R-C	-0.23176770725
Caveolin-1-R-V	-0.62503803675
CD31-M-V	-0.0698781367500001
CD49b-M-V	-0.11526048075
CDK1-R-V	-0.19425935525
Chk1_pS345-R-C	-0.0630646157500002
Chk2_pT68-R-C	-0.00146967025000011
cIAP-R-V	-0.11507962325
Claudin-7-R-V	0.43499748575
Collagen_VI-R-V	-0.56625295525
Cyclin_B1-R-V	0.15554918675
Cyclin_D1-R-V	-0.30288867375
Cyclin_E1-M-V	-0.15273482675
Dvl3-R-V	-0.00179678975000019
E-Cadherin-R-V	0.0413484842499997
eEF2K-R-V	-0.0492227242500001
eIF4E-R-V	-0.0347186132500003
ER-alpha-R-V	-3.21568439875
ER-alpha_pS118-R-V	-0.25436925275
ERK2-R-E	0.16134728425
FOXO3a-R-C	-0.0486135257500002
GAB2-R-V	0.55351742875
GATA3-M-V	-1.89153712775
GSK3-alpha-beta-M-V	-0.35965936125
GSK3-alpha-beta_pS21_S9-R-V	0.06070293325
HER2-M-V	1.23632983275
HSP70-R-C	0.60690570175
IGFBP2-R-V	1.27851885075
IRS1-R-V	-0.12369617975
JNK2-R-C	-0.53290763775
Ku80-R-C	0.21568958025
LKB1-M-E	-0.20516662525
Lck-R-V	0.36158156025
MAPK_pT202_Y204-R-V	0.0966974517499999
MEK1-R-V	0.21839198625
MEK1_pS217_S221-R-V	0.18121396575
MIG-6-M-V	0.19634722375
Mre11-R-C	0.0469708827499998
mTOR-R-V	-0.30005536075
N-Cadherin-R-V	-0.0844883632500002
NF-kB-p65_pS536-R-C	0.46536159325
NF2-R-C	-0.0445997667500001
Notch1-R-V	0.44442373825
P-Cadherin-R-C	0.56687018125
p27-R-V	-0.42671821025
p27_pT157-R-C	-0.00813921925000027
p38_pT180_Y182-R-V	0.37818447775
p70S6K-R-V	-0.35243948775
p70S6K_pT389-R-V	-0.13055673825
p90RSK_pT359_S363-R-C	-0.0987179602500001
PDK1_pS241-R-V	-0.33147063675
PEA15-R-V	-0.0427477717500002
PI3K-p110-alpha-R-C	-0.23708441225
PKC-alpha-M-V	0.35246728625
PKC-delta_pS664-R-V	-0.0496791492500002
PR-R-V	-1.16512849225
PRAS40_pT246-R-V	0.0990466232499998
PTEN-R-V	-0.13467371775
Rb_pS807_S811-R-V	1.04494837525
S6-R-E	-0.0245704127500002
S6_pS235_S236-R-V	1.12009715025
S6_pS240_S244-R-V	0.56687966025
Shc_pY317-R-E	-0.0893579817500003
Smad1-R-V	-0.20145178625
Smad3-R-V	-0.28479280725
Src-M-V	0.0756418502499998
Src_pY416-R-C	-0.02792028825
Src_pY527-R-V	0.12135634425
STAT3_pY705-R-V	0.38084995475
STAT5-alpha-R-V	0.36997657275
Stathmin-R-V	0.0209865162499998
Syk-M-V	0.78592112525
YB-1-R-V	0.0692712277499998
YB-1_pS102-R-V	0.13961871925
PAI-1-M-E	1.26054503575
mTOR_pS2448-R-C	-0.00303023025000015
EGFR-R-V	0.0901234732499998
4E-BP1_pT70-R-V	-0.10848613975
Annexin_VII-M-V	-0.28893655275
Bad_pS112-R-V	0.32218176375
Bap1-c-4-M-V	0.15873214175
BRCA2-R-C	-0.0551905332500002
CD20-R-C	0.0658281767499997
Cyclin_E2-R-C	-0.0880797927500001
eIF4G-R-C	0.55885791975
FASN-R-V	-1.39119141075
FOXO3a_pS318_S321-R-C	0.38200759125
FoxM1-R-V	0.46060248825
G6PD-M-V	-0.11093286125
GAPDH-M-C	0.24733739175
GSK3_pS9-R-V	0.31101984575
Heregulin-R-V	-0.0623957397500001
MYH11-R-V	0.42193205025
Myosin-IIa_pS1943-R-V	0.42902198025
N-Ras-M-V	0.0209362802499997
NDRG1_pT346-R-V	3.25767782575
p27_pT198-R-V	-0.08201899875
p90RSK-R-C	0.51487980275
PDCD4-R-C	0.57577295575
PDK1-R-V	-0.46509704725
PEA15_pS116-R-V	0.00358363774999981
PI3K-p85-R-V	-0.16867359925
PKC-pan_BetaII_pS660-R-V	0.64691773775
Rab25-R-V	-0.0481644617500001
Rab11-R-E	-0.0367375077500004
Raptor-R-V	-0.21920377625
RBM15-R-V	0.36500403825
Rictor-R-C	0.21074362875
Rictor_pT1135-R-V	0.25820456875
SCD-M-V	-0.267448865250001
SF2-M-V	-0.11354904975
TAZ-R-V	-0.00813453925000018
TIGAR-R-V	0.13169996825
Transglutaminase-M-V	0.17607420575
TFRC-R-V	0.0934802002499999
TSC1-R-C	0.26307249175
Tuberin_pT1462-R-V	0.0397807737499998
XBP1-G-C	0.10561177375
ETS-1-R-V	0.14462486275
14-3-3_beta-R-V	0.0551850227499997
14-3-3_zeta-R-V	0.0570965862499997
ACVRL1-R-C	-0.09485050075
ARHI-M-E	-0.0742974182500002
Annexin-1-M-E	0.66769905575
PREX1-R-E	-0.45920134125
MSH6-R-C	0.85970648575
PARP1-R-V	-0.23490150225
